character.id,name,achievement_points,equipped_item_level,gender.name,faction.name,race.name,active_spec.name,realm.slug,guild.name,pvp_summary.href,statistics.href,mythic_keystone_profile.href,equipment.href,active_title.name,professions.href,covenant_progress.chosen_covenant.name,covenant_progress.renown_level,covenant_progress.soulbinds.href
41056082,Loker,11850,212,Female,Alliance,Dwarf,Protection,auchindoun,Kupo,https://eu.api.blizzard.com/profile/wow/character/auchindoun/loker/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/auchindoun/loker/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/auchindoun/loker/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/auchindoun/loker/equipment?namespace=profile-eu,Crusader,https://eu.api.blizzard.com/profile/wow/character/auchindoun/loker/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/auchindoun/loker/soulbinds?namespace=profile-eu
137831375,Hashcat,16125,217,Male,Alliance,Human,Protection,defias-brotherhood,Liquidation,https://eu.api.blizzard.com/profile/wow/character/defias-brotherhood/hashcat/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/defias-brotherhood/hashcat/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/defias-brotherhood/hashcat/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/defias-brotherhood/hashcat/equipment?namespace=profile-eu,Inquisitor,https://eu.api.blizzard.com/profile/wow/character/defias-brotherhood/hashcat/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/defias-brotherhood/hashcat/soulbinds?namespace=profile-eu
108995357,Garantine,19415,215,Male,Alliance,Lightforged Draenei,Protection,stormrage,Andromeda,https://eu.api.blizzard.com/profile/wow/character/stormrage/garantine/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/stormrage/garantine/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/stormrage/garantine/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/stormrage/garantine/equipment?namespace=profile-eu,Starcaller,https://eu.api.blizzard.com/profile/wow/character/stormrage/garantine/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/stormrage/garantine/soulbinds?namespace=profile-eu
114556606,Shawney,17435,215,Female,Alliance,Lightforged Draenei,Protection,stormrage,The Brotherhood,https://eu.api.blizzard.com/profile/wow/character/stormrage/shawney/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/stormrage/shawney/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/stormrage/shawney/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/stormrage/shawney/equipment?namespace=profile-eu,Crusader,https://eu.api.blizzard.com/profile/wow/character/stormrage/shawney/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/stormrage/shawney/soulbinds?namespace=profile-eu
124366429,Loveliest,31875,213,Male,Horde,Blood Elf,Protection,stormrage,Wombles Of The World,https://eu.api.blizzard.com/profile/wow/character/stormrage/loveliest/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/stormrage/loveliest/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/stormrage/loveliest/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/stormrage/loveliest/equipment?namespace=profile-eu,the Undying,https://eu.api.blizzard.com/profile/wow/character/stormrage/loveliest/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/stormrage/loveliest/soulbinds?namespace=profile-eu
135330361,Racduck,17100,219,Male,Alliance,Human,Protection,dunemaul,Dawnbreakers,https://eu.api.blizzard.com/profile/wow/character/dunemaul/racduck/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/dunemaul/racduck/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/dunemaul/racduck/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/dunemaul/racduck/equipment?namespace=profile-eu,Knight,https://eu.api.blizzard.com/profile/wow/character/dunemaul/racduck/professions?namespace=profile-eu,Venthyr,26,https://eu.api.blizzard.com/profile/wow/character/dunemaul/racduck/soulbinds?namespace=profile-eu
163224163,Радостьмоя,17390,212,Female,Alliance,Draenei,Protection,gordunni,Да вы рофлите,https://eu.api.blizzard.com/profile/wow/character/gordunni/%D1%80%D0%B0%D0%B4%D0%BE%D1%81%D1%82%D1%8C%D0%BC%D0%BE%D1%8F/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/gordunni/%D1%80%D0%B0%D0%B4%D0%BE%D1%81%D1%82%D1%8C%D0%BC%D0%BE%D1%8F/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/gordunni/%D1%80%D0%B0%D0%B4%D0%BE%D1%81%D1%82%D1%8C%D0%BC%D0%BE%D1%8F/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/gordunni/%D1%80%D0%B0%D0%B4%D0%BE%D1%81%D1%82%D1%8C%D0%BC%D0%BE%D1%8F/equipment?namespace=profile-eu,the Love Fool,https://eu.api.blizzard.com/profile/wow/character/gordunni/%D1%80%D0%B0%D0%B4%D0%BE%D1%81%D1%82%D1%8C%D0%BC%D0%BE%D1%8F/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/gordunni/%D1%80%D0%B0%D0%B4%D0%BE%D1%81%D1%82%D1%8C%D0%BC%D0%BE%D1%8F/soulbinds?namespace=profile-eu
93089091,Eliminato,18280,213,Male,Horde,Blood Elf,Protection,stormrage,Smile,https://eu.api.blizzard.com/profile/wow/character/stormrage/eliminato/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/stormrage/eliminato/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/stormrage/eliminato/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/stormrage/eliminato/equipment?namespace=profile-eu,the Undying,https://eu.api.blizzard.com/profile/wow/character/stormrage/eliminato/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/stormrage/eliminato/soulbinds?namespace=profile-eu
140827443,Dârvan,10105,216,Female,Alliance,Lightforged Draenei,Protection,blackmoore,Venceremos,https://eu.api.blizzard.com/profile/wow/character/blackmoore/d%C3%A2rvan/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/blackmoore/d%C3%A2rvan/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/blackmoore/d%C3%A2rvan/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/blackmoore/d%C3%A2rvan/equipment?namespace=profile-eu,Vengeance Incarnate,https://eu.api.blizzard.com/profile/wow/character/blackmoore/d%C3%A2rvan/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/blackmoore/d%C3%A2rvan/soulbinds?namespace=profile-eu
75165662,Fnatix,22595,211,Female,Horde,Blood Elf,Protection,kazzak,Snitches Get Stitches,https://eu.api.blizzard.com/profile/wow/character/kazzak/fnatix/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/kazzak/fnatix/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/kazzak/fnatix/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/kazzak/fnatix/equipment?namespace=profile-eu,Conqueror of Ulduar,https://eu.api.blizzard.com/profile/wow/character/kazzak/fnatix/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/kazzak/fnatix/soulbinds?namespace=profile-eu
165287936,Holzkûh,10910,215,Female,Alliance,Human,Protection,blackmoore,Covenant,https://eu.api.blizzard.com/profile/wow/character/blackmoore/holzk%C3%BBh/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/blackmoore/holzk%C3%BBh/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/blackmoore/holzk%C3%BBh/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/blackmoore/holzk%C3%BBh/equipment?namespace=profile-eu,Jenkins,https://eu.api.blizzard.com/profile/wow/character/blackmoore/holzk%C3%BBh/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/blackmoore/holzk%C3%BBh/soulbinds?namespace=profile-eu
