Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id
Sinful Gladiator's Plate Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Precious' Ribbon,Sinful Gladiator's Plate Chestplate,Girdle of the Soulflayer,Shadowghast Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Sinful Gladiator's Plate Handguards,Most Regal Signet of Sire Denathrius,Sinful Gladiator's Signet,Stone Legion Heraldry,Blood-Spattered Scale,Cowled Batwing Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,Tabard of the Lightbringer,195177961
Sinful Gladiator's Plate Helm,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Gorgeous Blouse,Breastplate of Otherworldly Influence,Binding of Warped Desires,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Shadowghast Ring,Sinful Gladiator's Ring,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,Tabard of the Lightbringer,78769113
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,,Sinful Gladiator's Plate Chestguard,Binding of Warped Desires,Ceremonial Parade Legguards,Muckwallow Stompers,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Gorestained Cleaver,Chyrus's Crest of Hope,,165259343
Shadowghast Helm,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Precious' Ribbon,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Ritual Commander's Ring,Sinful Gladiator's Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Sinful Gladiator's Drape,Engorged Worm Smasher,Barricade of the Endless Empire,Tabard of the Lightbringer,151740789
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Sleeveless T-Shirt,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Acidslough Bulwark,Renowned Guild Tabard,162758759
Darkfrost Helmet,Azure-Venom Choker,Pauldrons of Unleashed Pride,,Breastplate of Cautious Calculation,Shadowghast Waistguard,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fogweaver Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Hymnal of the Path,Sinful Aspirant's Insignia of Alacrity,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,,59088983
Wrathbark Greathelm,Charm of Eternal Winter,Vile Butcher's Pauldrons,Captain Sanders' Shirt,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Bloodoath Signet,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Blighted Margrave's Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,Tabard of the Lightbringer,76528323
Wing Commander's Helmet,Sin Stained Pendant,Prankster's Pauldrons,,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Shadowghast Sabatons,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Death God's Signet,Entwined Gorger Tendril,Splintered Heart of Al'ar,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Axe of the Deadgrove,Builwark of the Stone Legion,Army of the Light Tabard,169471389
Darkfrost Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,,Breastplate of Cautious Calculation,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Signet of the False Accuser,Ardent Sunstar Signet,Blood-Spattered Scale,Gluttonous Spike,Decadent Nathrian Shawl,Engorged Worm Smasher,Acidslough Bulwark,,196175533
Shadowghast Helm,Sinful Gladiator's Necklace,Pauldrons of Unleashed Pride,,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Shoulderblade Vambraces,Guilewind Stone Talons,Ritual Bone Band,Death God's Signet,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Drape of Twisted Loyalties,Engorged Worm Smasher,Elysian Sentinel's Aegis,,185742940
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Binding of Warped Desires,Ceremonial Parade Legguards,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fogweaver Gauntlets,Hyperlight Band,Death God's Signet,Viscera of Coalesced Hatred,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,Orgrimmar Tabard,242027620
Darkfrost Helmet,Noble's Birthstone Pendant,Pauldrons of Unleashed Pride,,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Shadowghast Greaves,Muckwallow Stompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Ritual Bone Band,Stitchflesh's Misplaced Signet,Anima Field Emitter,Stone Legion Heraldry,Cowled Batwing Cloak,Engorged Worm Smasher,Encrusted Canopic Lid,,147900568
Wrathbark Greathelm,Gaiazelle's Spiked Collar,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fallen Templar's Gauntlets,Death God's Signet,Ritual Bone Band,Bladedancer's Armor Kit,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,Tabard of the Achiever,197832918
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Red Linen Shirt,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Halkias's Towering Pillars,Valinor's Ground Pounders,Shoulderblade Vambraces,Fogweaver Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Sinsmasher,Acidslough Bulwark,Tabard of the Zandalari,160349069
Wrathbark Greathelm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Irradiated Undercoat,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Stone Legion Heraldry,Cowled Batwing Cloak,Barbed-Edge of the Stone Legion,Stonewrought Gargoyles Barrier,Darkspear Tabard,173705901
