character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Eye of the Storm win_rate,Arathi Basin Comp Stomp win_rate,Eye of the Storm played,Arathi Basin Comp Stomp played,Eye of the Storm won,Arathi Basin Comp Stomp won,The Battle for Gilneas win_rate,The Battle for Gilneas played,The Battle for Gilneas won,Strand of the Ancients win_rate,Battle for Wintergrasp win_rate,Strand of the Ancients played,Battle for Wintergrasp played,Strand of the Ancients won,Battle for Wintergrasp won,Arathi Basin Winter win_rate,Korrak's Revenge win_rate,Arathi Basin Winter played,Korrak's Revenge played,Arathi Basin Winter won,Korrak's Revenge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Ashran win_rate,Ashran played,Ashran won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
128060902,Wyleria,burning-blade,14.0,1114.0,50.0,100.0,0.0,0.0,75.0,50.0,75.0,100.0,100.0,50.0,100.0,100.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110447787,Ayyah,stormscale,4.0,466.0,,0.0,,,100.0,100.0,,,,50.0,100.0,,,1.0,,,1.0,1.0,,,,2.0,1.0,,,0.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164676101,Algrunas,kazzak,16.0,1342.0,50.0,67.0,100.0,67.0,100.0,0.0,33.0,50.0,,,,100.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,,,,2.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,,,,2.0,33.0,100.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
131665211,Korohshock,blackrock,22.0,355.0,,,,100.0,100.0,,50.0,,0.0,,,,,,,1.0,1.0,,2.0,,1.0,,,,,,,1.0,1.0,,1.0,,0.0,,,,100.0,,1.0,,1.0,,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
121953897,Yolomaker,drakthul,57.0,4044.0,25.0,50.0,80.0,50.0,30.0,0.0,50.0,30.0,33.0,50.0,,100.0,4.0,6.0,5.0,2.0,10.0,1.0,8.0,10.0,3.0,2.0,,2.0,1.0,3.0,4.0,1.0,3.0,0.0,4.0,3.0,1.0,1.0,,2.0,62.0,,13.0,,8.0,,17.0,6.0,1.0,75.0,100.0,8.0,2.0,6.0,2.0,,,,,,,,,,,,,,,
150109791,Avengerippy,drakthul,34.0,7327.0,73.0,,,64.0,45.0,92.0,67.0,100.0,43.0,62.0,50.0,0.0,11.0,,,11.0,11.0,12.0,3.0,4.0,7.0,8.0,4.0,2.0,8.0,,,7.0,5.0,11.0,2.0,4.0,3.0,5.0,2.0,0.0,73.0,100.0,15.0,6.0,11.0,6.0,88.0,8.0,7.0,,55.0,,11.0,,6.0,67.0,86.0,6.0,7.0,4.0,6.0,,,,,,,,,
167094488,Bolderbast,tarren-mill,14.0,3157.0,0.0,,,75.0,67.0,62.0,67.0,,40.0,55.0,25.0,40.0,2.0,,,4.0,9.0,8.0,15.0,,10.0,11.0,8.0,15.0,0.0,,,3.0,6.0,5.0,10.0,,4.0,6.0,2.0,6.0,50.0,,2.0,,1.0,,57.0,7.0,4.0,,100.0,,1.0,,1.0,,,,,,,50.0,10.0,5.0,,,,,,
100414051,Ötztwo,ysondre,16.0,17821.0,55.0,53.0,51.0,66.0,67.0,,0.0,,,,,,22.0,70.0,49.0,29.0,15.0,,1.0,,,,,,12.0,37.0,25.0,19.0,10.0,,0.0,,,,,,42.0,,38.0,,16.0,,82.0,22.0,18.0,47.0,0.0,34.0,2.0,16.0,0.0,,,,,,,,,,,,,,,
141445649,Adrianie,ysera,126.0,140.0,,,,,0.0,,,,0.0,100.0,0.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,0.0,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132278049,Oliiver,drakthul,6.0,1300.0,0.0,100.0,,50.0,,,0.0,100.0,0.0,,,,2.0,1.0,,4.0,,,1.0,1.0,1.0,,,,0.0,1.0,,2.0,,,0.0,1.0,0.0,,,,100.0,100.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
76947846,Kynval,nemesis,10.0,7648.0,40.0,67.0,43.0,33.0,59.0,46.0,27.0,,100.0,100.0,0.0,,20.0,33.0,21.0,12.0,22.0,13.0,11.0,,1.0,1.0,1.0,,8.0,22.0,9.0,4.0,13.0,6.0,3.0,,1.0,1.0,0.0,,45.0,,22.0,,10.0,,39.0,18.0,7.0,45.0,,20.0,,9.0,,,0.0,,2.0,,0.0,,,,,,,,,
153791439,Callydon,tarren-mill,22.0,5697.0,38.0,42.0,67.0,30.0,57.0,50.0,74.0,100.0,60.0,100.0,0.0,75.0,8.0,12.0,6.0,10.0,14.0,8.0,19.0,2.0,5.0,1.0,1.0,4.0,3.0,5.0,4.0,3.0,8.0,4.0,14.0,2.0,3.0,1.0,0.0,3.0,40.0,,10.0,,4.0,,90.0,10.0,9.0,0.0,50.0,3.0,2.0,0.0,1.0,,100.0,,1.0,,1.0,,,,0.0,1.0,0.0,,,
