character.id,character.name,character.realm.slug,honor_level,honorable_kills,Twin Peaks win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Twin Peaks played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Twin Peaks won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Battle for Wintergrasp won,Deepwind Gorge won,Arathi Basin Winter win_rate,Korrak's Revenge win_rate,Arathi Basin Winter played,Korrak's Revenge played,Arathi Basin Winter won,Korrak's Revenge won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Comp Stomp win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Comp Stomp played,Rated Eye of the Storm won,Ashran won,Arathi Basin Comp Stomp won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
141445649,Adrianie,ysera,126.0,140.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117147829,Sephrania,ysera,34.0,5938.0,82.0,58.0,50.0,71.0,11.0,12.0,14.0,14.0,9.0,7.0,7.0,10.0,33.0,80.0,71.0,62.0,50.0,50.0,59.0,33.0,52.0,69.0,100.0,67.0,12.0,5.0,7.0,13.0,2.0,18.0,17.0,12.0,25.0,13.0,1.0,3.0,4.0,4.0,5.0,8.0,1.0,9.0,10.0,4.0,13.0,9.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
135982257,Tynah,tarren-mill,12.0,5961.0,50.0,100.0,67.0,50.0,10.0,6.0,6.0,6.0,5.0,6.0,4.0,3.0,47.0,50.0,75.0,33.0,,36.0,81.0,60.0,60.0,0.0,88.0,,19.0,4.0,4.0,6.0,,14.0,16.0,5.0,10.0,1.0,8.0,,9.0,2.0,3.0,2.0,,5.0,13.0,3.0,6.0,0.0,7.0,,50.0,100.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
90161233,Fincent,malorne,178.0,23884.0,45.0,60.0,50.0,45.0,29.0,30.0,18.0,20.0,13.0,18.0,9.0,9.0,64.0,47.0,34.0,47.0,36.0,64.0,37.0,46.0,41.0,25.0,43.0,55.0,14.0,34.0,32.0,49.0,22.0,22.0,30.0,39.0,29.0,12.0,7.0,11.0,9.0,16.0,11.0,23.0,8.0,14.0,11.0,18.0,12.0,3.0,3.0,6.0,0.0,25.0,1.0,12.0,0.0,3.0,200.0,0.0,100.0,12.0,1.0,2.0,24.0,0.0,2.0,,,,,,
160282360,Romtank,draenor,57.0,9463.0,55.0,29.0,0.0,100.0,22.0,7.0,3.0,1.0,12.0,2.0,0.0,1.0,53.0,62.0,43.0,60.0,71.0,55.0,43.0,45.0,41.0,14.0,75.0,100.0,19.0,16.0,14.0,10.0,7.0,11.0,14.0,20.0,22.0,7.0,4.0,2.0,10.0,10.0,6.0,6.0,5.0,6.0,6.0,9.0,9.0,1.0,3.0,2.0,33.0,100.0,3.0,1.0,1.0,1.0,,0.0,,,3.0,,,0.0,,,,,,,
167392337,Jayline,tarren-mill,9.0,132.0,,,,,,,,,,,,,,,,,,,25.0,,33.0,,,,,,,,,,4.0,,3.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
176027665,Loajak,twisting-nether,44.0,71.0,,,,0.0,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175247733,Vödkä,dalaran,45.0,1182.0,100.0,0.0,11.0,0.0,1.0,1.0,9.0,2.0,1.0,0.0,1.0,0.0,20.0,,,100.0,,33.0,25.0,0.0,100.0,,0.0,20.0,5.0,,,1.0,,3.0,4.0,2.0,1.0,,3.0,5.0,1.0,,,1.0,,1.0,1.0,0.0,1.0,,0.0,1.0,,,,,,,,33.0,,,3.0,,,1.0,,,,,,,
159032241,Shâdi,antonidas,6.0,317.0,33.0,0.0,50.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149040372,Noobypums,silvermoon,5.0,3476.0,0.0,0.0,,,3.0,1.0,,,0.0,0.0,,,53.0,33.0,50.0,,100.0,100.0,,100.0,,0.0,,,32.0,3.0,6.0,,1.0,2.0,,1.0,,1.0,,,17.0,1.0,3.0,,1.0,2.0,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
