character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,The Battle for Gilneas played,Temple of Kotmogu played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,The Battle for Gilneas won,Temple of Kotmogu won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Silvershard Mines win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Silvershard Mines played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Silvershard Mines won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Classic Arathi Basin win_rate,Classic Arathi Basin played,Classic Arathi Basin won,Classic Warsong Gulch win_rate,Strand of the Ancients win_rate,Rated Eye of the Storm win_rate,Classic Warsong Gulch played,Strand of the Ancients played,Rated Eye of the Storm played,Classic Warsong Gulch won,Strand of the Ancients won,Rated Eye of the Storm won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
175810099,Paloushe,dalaran,9.0,2176.0,67.0,100.0,56.0,100.0,0.0,0.0,57.0,40.0,100.0,50.0,40.0,0.0,6.0,1.0,9.0,2.0,2.0,3.0,7.0,5.0,2.0,2.0,5.0,2.0,4.0,1.0,5.0,2.0,0.0,0.0,4.0,2.0,2.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153197999,Gordain,malfurion,17.0,4505.0,38.0,50.0,86.0,38.0,33.0,50.0,67.0,50.0,40.0,75.0,33.0,0.0,8.0,6.0,7.0,8.0,3.0,4.0,6.0,4.0,5.0,4.0,9.0,2.0,3.0,3.0,6.0,3.0,1.0,2.0,4.0,2.0,2.0,3.0,3.0,0.0,50.0,50.0,100.0,100.0,0.0,8.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,
166500867,Keleda,malygos,4.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,
180862156,Mythterhawk,outland,48.0,8751.0,40.0,58.0,54.0,68.0,68.0,59.0,,75.0,79.0,77.0,89.0,75.0,5.0,12.0,13.0,19.0,19.0,22.0,,8.0,14.0,13.0,9.0,4.0,2.0,7.0,7.0,13.0,13.0,13.0,,6.0,11.0,10.0,8.0,3.0,78.0,60.0,,,,27.0,15.0,,,,21.0,9.0,,,,60.0,5.0,3.0,43.0,50.0,125.0,7.0,2.0,4.0,3.0,1.0,5.0,,,,,,
119175954,Klausadin,malfurion,30.0,3227.0,,0.0,100.0,43.0,100.0,50.0,,20.0,50.0,57.0,33.0,67.0,,2.0,1.0,7.0,2.0,4.0,,5.0,4.0,7.0,3.0,3.0,,0.0,1.0,3.0,2.0,2.0,,1.0,2.0,4.0,1.0,2.0,100.0,,,100.0,,6.0,,,1.0,,6.0,,,1.0,,,,,,,20.0,,,5.0,,,1.0,,,,,,
164633271,Elkk,silvermoon,17.0,17665.0,57.0,50.0,73.0,52.0,64.0,77.0,25.0,75.0,60.0,76.0,50.0,63.0,42.0,32.0,11.0,23.0,33.0,30.0,4.0,12.0,10.0,17.0,2.0,19.0,24.0,16.0,8.0,12.0,21.0,23.0,1.0,9.0,6.0,13.0,1.0,12.0,39.0,0.0,,,62.0,23.0,1.0,,,13.0,9.0,0.0,,,8.0,45.0,20.0,9.0,64.0,33.0,,22.0,18.0,,14.0,6.0,,,,,,,
139225789,Sannylight,malfurion,5.0,70.0,,,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,1.0,,,,,0.0,,,,,,,,100.0,,,1.0,,,1.0,,,,,,,,
67972002,Ithillien,ravencrest,43.0,5524.0,38.0,83.0,57.0,40.0,71.0,82.0,0.0,50.0,67.0,100.0,20.0,,13.0,6.0,14.0,5.0,7.0,11.0,1.0,8.0,3.0,1.0,5.0,,5.0,5.0,8.0,2.0,5.0,9.0,0.0,4.0,2.0,1.0,1.0,,56.0,75.0,,,100.0,9.0,4.0,,,1.0,5.0,3.0,,,1.0,57.0,7.0,4.0,67.0,,,6.0,,,4.0,,,,,,,,
136035953,Praesidious,malygos,10.0,1654.0,25.0,67.0,33.0,100.0,60.0,100.0,,0.0,100.0,50.0,100.0,,4.0,3.0,3.0,1.0,5.0,1.0,,1.0,3.0,2.0,1.0,,1.0,2.0,1.0,1.0,3.0,1.0,,0.0,3.0,1.0,1.0,,,0.0,100.0,,100.0,,2.0,1.0,,1.0,,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
166002765,Gerlak,malfurion,17.0,904.0,100.0,,,100.0,,50.0,,33.0,,0.0,,0.0,4.0,,,1.0,,4.0,,3.0,,1.0,,1.0,4.0,,,1.0,,2.0,,1.0,,0.0,,0.0,50.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
150790113,Aleriy,amanthul,14.0,22927.0,61.0,52.0,56.0,39.0,63.0,46.0,100.0,50.0,0.0,67.0,60.0,25.0,46.0,63.0,36.0,23.0,38.0,13.0,1.0,4.0,6.0,3.0,5.0,4.0,28.0,33.0,20.0,9.0,24.0,6.0,1.0,2.0,0.0,2.0,3.0,1.0,50.0,25.0,33.0,,,6.0,4.0,3.0,,,3.0,1.0,1.0,,,45.0,64.0,29.0,49.0,36.0,,41.0,36.0,,20.0,13.0,,,,,,,
88154349,Duiker,blackmoore,48.0,2198.0,33.0,,,,0.0,100.0,,0.0,,,,,3.0,,,,1.0,1.0,,1.0,,,,,1.0,,,,0.0,1.0,,0.0,,,,,,,,100.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
157638243,Thalwin,malygos,18.0,5784.0,50.0,33.0,44.0,0.0,40.0,60.0,,14.0,25.0,33.0,25.0,43.0,10.0,3.0,9.0,6.0,10.0,5.0,,7.0,16.0,6.0,20.0,7.0,5.0,1.0,4.0,0.0,4.0,3.0,,1.0,4.0,2.0,5.0,3.0,33.0,25.0,,,,6.0,4.0,,,,2.0,1.0,,,,50.0,2.0,1.0,50.0,,,4.0,,,2.0,,,,,,,,
80525482,Sunkepper,kazzak,12.0,9278.0,38.0,56.0,45.0,70.0,77.0,53.0,67.0,100.0,,100.0,0.0,,71.0,16.0,20.0,20.0,13.0,17.0,3.0,4.0,,1.0,2.0,,27.0,9.0,9.0,14.0,10.0,9.0,2.0,4.0,,1.0,0.0,,47.0,40.0,,,57.0,19.0,5.0,,,7.0,9.0,2.0,,,4.0,50.0,30.0,15.0,55.0,65.0,700.0,22.0,17.0,1.0,12.0,11.0,7.0,,,,,,
175531570,Fedobig,twisting-nether,12.0,841.0,100.0,,40.0,,,,100.0,,,100.0,100.0,0.0,1.0,,5.0,,,,1.0,,,2.0,1.0,1.0,1.0,,2.0,,,,1.0,,,2.0,1.0,0.0,0.0,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
154431466,Mysterybox,doomhammer,22.0,536.0,0.0,100.0,50.0,,100.0,0.0,100.0,,50.0,,,100.0,1.0,1.0,2.0,,1.0,1.0,1.0,,2.0,,,1.0,0.0,1.0,1.0,,1.0,0.0,1.0,,1.0,,,1.0,0.0,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
161134019,Pirea,malygos,53.0,62731.0,54.0,66.0,50.0,50.0,52.0,60.0,100.0,178.0,60.0,50.0,50.0,,186.0,281.0,50.0,40.0,48.0,20.0,1.0,9.0,5.0,2.0,4.0,,100.0,185.0,25.0,20.0,25.0,12.0,1.0,16.0,3.0,1.0,2.0,,39.0,31.0,,100.0,,33.0,13.0,,5.0,,13.0,4.0,,5.0,,70.0,288.0,202.0,71.0,68.0,,302.0,228.0,,214.0,154.0,,,,,,,
26235153,Sorothan,malygos,2.0,1362.0,33.0,25.0,,,,50.0,,,,,,,3.0,4.0,,,,2.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,50.0,,,,,2.0,,,,,1.0,,,,,33.0,6.0,2.0,78.0,100.0,,9.0,3.0,,7.0,3.0,,,,,,,
192412319,Ferrelerino,grim-batol,11.0,3840.0,58.0,40.0,40.0,50.0,33.0,100.0,67.0,,,,33.0,,12.0,10.0,5.0,16.0,9.0,2.0,3.0,,,,3.0,,7.0,4.0,2.0,8.0,3.0,2.0,2.0,,,,1.0,,50.0,44.0,,,,8.0,9.0,,,,4.0,4.0,,,,38.0,13.0,5.0,54.0,50.0,,13.0,8.0,,7.0,4.0,,,,,,,
