character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Arathi Basin Winter win_rate,Korrak's Revenge win_rate,Arathi Basin Winter played,Korrak's Revenge played,Arathi Basin Winter won,Korrak's Revenge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
101228281,Reava,alleria,76.0,11264.0,58.0,40.0,80.0,62.0,68.0,70.0,65.0,76.0,52.0,75.0,53.0,62.0,33.0,39.0,43.0,20.0,60.0,100.0,50.0,31.0,10.0,15.0,26.0,19.0,20.0,34.0,33.0,27.0,4.0,32.0,8.0,3.0,18.0,21.0,10.0,5.0,2.0,6.0,18.0,4.0,12.0,16.0,13.0,14.0,22.0,25.0,14.0,3.0,17.0,5.0,1.0,7.0,9.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,
237882031,Padawa,ghostlands,20.0,1543.0,,,,100.0,,,25.0,25.0,50.0,25.0,71.0,,,83.0,75.0,60.0,,,60.0,,,,1.0,,,4.0,8.0,10.0,4.0,7.0,,,6.0,4.0,10.0,,,5.0,,,,1.0,,,1.0,2.0,5.0,1.0,5.0,,,5.0,3.0,6.0,,,3.0,,,,,,,,,,,,
142937633,Caesar,rexxar,93.0,1375.0,0.0,17.0,100.0,,0.0,0.0,57.0,67.0,71.0,,78.0,50.0,,,,,,,,1.0,6.0,3.0,,1.0,1.0,7.0,6.0,7.0,,9.0,4.0,,,,,,,,0.0,1.0,3.0,,0.0,0.0,4.0,4.0,5.0,,7.0,2.0,,,,,,,,,,,,,,,,,,,
149922389,Verdikt,alleria,13.0,3767.0,60.0,50.0,20.0,100.0,0.0,100.0,31.0,40.0,67.0,,43.0,67.0,,0.0,57.0,,80.0,100.0,100.0,5.0,8.0,5.0,9.0,1.0,4.0,13.0,5.0,3.0,,14.0,3.0,,4.0,7.0,,5.0,4.0,2.0,3.0,4.0,1.0,9.0,0.0,4.0,4.0,2.0,2.0,,6.0,2.0,,0.0,4.0,,4.0,4.0,2.0,,,,,,,,,,,,
150574619,Lysira,alleria,26.0,783.0,0.0,25.0,50.0,0.0,,,60.0,100.0,100.0,,67.0,,,,,,,,,1.0,4.0,2.0,1.0,,,5.0,2.0,1.0,,3.0,,,,,,,,,0.0,1.0,1.0,0.0,,,3.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,
154551794,Queezlè,antonidas,26.0,71695.0,60.0,62.0,54.0,55.0,48.0,79.0,65.0,69.0,72.0,,66.0,93.0,,,100.0,,,,,113.0,212.0,288.0,130.0,169.0,91.0,99.0,78.0,145.0,,99.0,14.0,,,1.0,,,,,68.0,131.0,156.0,71.0,81.0,72.0,64.0,54.0,104.0,,65.0,13.0,,,1.0,,,,,,,,,,,,,,,,
164108514,Torkas,alleria,25.0,569.0,100.0,,,0.0,,,100.0,0.0,,,100.0,,,,100.0,,100.0,,0.0,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,2.0,,1.0,,1.0,1.0,,,0.0,,,1.0,0.0,,,1.0,,,,2.0,,1.0,,0.0,,,,,,,,,,,,
191840232,Nakui,aegwynn,28.0,2299.0,,,,0.0,,50.0,100.0,67.0,60.0,,100.0,0.0,33.0,67.0,67.0,29.0,0.0,100.0,67.0,,,,2.0,,2.0,3.0,6.0,5.0,,1.0,1.0,3.0,6.0,6.0,7.0,4.0,1.0,3.0,,,,0.0,,1.0,3.0,4.0,3.0,,1.0,0.0,1.0,4.0,4.0,2.0,0.0,1.0,2.0,,,,,,,,,,,,
114336886,Vanlor,eredar,74.0,907.0,,,,,,100.0,0.0,0.0,,,60.0,0.0,,100.0,,0.0,,100.0,,,,,,,1.0,2.0,1.0,,,5.0,1.0,,2.0,,1.0,,1.0,,,,,,,1.0,0.0,0.0,,,3.0,0.0,,2.0,,0.0,,1.0,,,,,,,,,,,,,
96768294,Vasilipupkin,antonidas,122.0,141705.0,62.0,57.0,55.0,53.0,55.0,60.0,56.0,52.0,53.0,3225.0,63.0,51.0,,77.0,19.0,50.0,33.0,100.0,50.0,271.0,512.0,477.0,300.0,211.0,121.0,209.0,132.0,202.0,4.0,144.0,89.0,,13.0,16.0,4.0,6.0,10.0,2.0,168.0,294.0,263.0,160.0,116.0,73.0,117.0,68.0,107.0,129.0,91.0,45.0,,10.0,3.0,2.0,2.0,10.0,1.0,33.0,0.0,3.0,2.0,1.0,0.0,,,,,,
