character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Strand of the Ancients win_rate,Isle of Conquest win_rate,Strand of the Ancients played,Isle of Conquest played,Strand of the Ancients won,Isle of Conquest won,Battle for Wintergrasp win_rate,Battle for Wintergrasp played,Battle for Wintergrasp won,Ashran win_rate,Ashran played,Ashran won,Southshore vs. Tarren Mill win_rate,Arathi Basin Winter win_rate,Korrak's Revenge win_rate,Southshore vs. Tarren Mill played,Arathi Basin Winter played,Korrak's Revenge played,Southshore vs. Tarren Mill won,Arathi Basin Winter won,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
171439082,Grippingcnt,kazzak,54.0,1134.0,100.0,100.0,50.0,0.0,67.0,33.0,100.0,100.0,100.0,0.0,80.0,33.0,50.0,100.0,1.0,1.0,2.0,1.0,6.0,3.0,9.0,2.0,4.0,1.0,5.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,9.0,2.0,4.0,0.0,4.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
158091204,Hotwhitegirl,frostwolf,3.0,20152.0,46.0,63.0,57.0,50.0,68.0,67.0,62.0,,0.0,50.0,,,0.0,,26.0,60.0,68.0,44.0,28.0,3.0,40.0,,3.0,2.0,,,1.0,,12.0,38.0,39.0,22.0,19.0,2.0,25.0,,0.0,1.0,,,0.0,,52.0,60.0,56.0,57.0,29.0,34.0,,,,,,,,,,,,,,,,,,,,,
192017612,Pomfritzel,silvermoon,15.0,885.0,67.0,,,,,100.0,,,,,100.0,100.0,0.0,67.0,3.0,,,,,1.0,,,,,1.0,2.0,1.0,3.0,2.0,,,,,1.0,,,,,1.0,2.0,0.0,2.0,,50.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
132686977,Kae,anetheron,65.0,69961.0,58.0,77.0,72.0,63.0,50.0,59.0,75.0,,62.0,0.0,67.0,50.0,33.0,,131.0,168.0,212.0,164.0,10.0,17.0,8.0,,13.0,3.0,3.0,4.0,3.0,,76.0,129.0,153.0,104.0,5.0,10.0,6.0,,8.0,0.0,2.0,2.0,1.0,,55.0,74.0,159.0,31.0,88.0,23.0,50.0,2.0,1.0,,,,,,,,,,,,,,,,,,
140444507,Lanura,anetheron,18.0,86.0,100.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147758522,Lesterow,thrall,22.0,979.0,,,,100.0,0.0,100.0,,,50.0,,100.0,100.0,0.0,,,,,4.0,2.0,1.0,,,2.0,,2.0,4.0,1.0,,,,,4.0,0.0,1.0,,,1.0,,2.0,4.0,0.0,,,50.0,,2.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
139420938,Vispard,kazzak,38.0,2123.0,100.0,67.0,100.0,,0.0,100.0,,100.0,,,,100.0,0.0,,1.0,3.0,1.0,,1.0,1.0,,1.0,,,,1.0,2.0,,1.0,2.0,1.0,,0.0,1.0,,1.0,,,,1.0,0.0,,,50.0,,2.0,,1.0,50.0,2.0,1.0,100.0,1.0,1.0,,,,,,,,,,,,,,,
134760381,Holygauls,blackrock,14.0,3772.0,67.0,71.0,86.0,60.0,75.0,60.0,71.0,,78.0,,67.0,,,,3.0,7.0,7.0,5.0,8.0,10.0,7.0,,9.0,,3.0,,,,2.0,5.0,6.0,3.0,6.0,6.0,5.0,,7.0,,2.0,,,,,0.0,,1.0,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
147544743,Lusimusi,rajaxx,48.0,20033.0,52.0,33.0,100.0,66.0,39.0,58.0,59.0,56.0,58.0,12.0,63.0,54.0,38.0,60.0,29.0,3.0,1.0,29.0,28.0,24.0,32.0,9.0,43.0,8.0,30.0,24.0,26.0,30.0,15.0,1.0,1.0,19.0,11.0,14.0,19.0,5.0,25.0,1.0,19.0,13.0,10.0,18.0,0.0,68.0,2.0,28.0,0.0,19.0,45.0,22.0,10.0,56.0,9.0,5.0,50.0,100.0,71.0,2.0,2.0,7.0,1.0,2.0,5.0,,,,,,
91221822,Cemgiskan,illidan,41.0,3108.0,44.0,22.0,67.0,40.0,71.0,100.0,71.0,,0.0,,0.0,0.0,0.0,100.0,18.0,9.0,3.0,5.0,7.0,1.0,7.0,,1.0,,2.0,2.0,1.0,1.0,8.0,2.0,2.0,2.0,5.0,1.0,5.0,,0.0,,0.0,0.0,0.0,1.0,33.0,22.0,9.0,9.0,3.0,2.0,0.0,2.0,0.0,100.0,6.0,6.0,,,,,,,,,,,,,,,
74088509,Oktér,antonidas,63.0,62799.0,62.0,42.0,42.0,47.0,49.0,36.0,56.0,1600.0,45.0,46.0,112.0,42.0,50.0,38.0,143.0,177.0,185.0,116.0,166.0,133.0,161.0,3.0,117.0,136.0,32.0,31.0,20.0,34.0,88.0,74.0,77.0,54.0,81.0,48.0,90.0,48.0,53.0,63.0,36.0,13.0,10.0,13.0,37.0,71.0,108.0,126.0,40.0,90.0,50.0,2.0,1.0,0.0,1.0,0.0,,67.0,0.0,,3.0,1.0,,2.0,0.0,,,,,,
175702096,Duvornas,ragnaros,68.0,5158.0,53.0,50.0,100.0,29.0,50.0,82.0,17.0,,43.0,50.0,75.0,60.0,82.0,78.0,15.0,2.0,2.0,7.0,6.0,11.0,6.0,,7.0,2.0,8.0,5.0,11.0,9.0,8.0,1.0,2.0,2.0,3.0,9.0,1.0,,3.0,1.0,6.0,3.0,9.0,7.0,,35.0,,17.0,,6.0,50.0,4.0,2.0,38.0,8.0,3.0,,,,,,,,,,,,,,,
13529412,Ziim,anetheron,23.0,41367.0,51.0,73.0,64.0,60.0,50.0,71.0,56.0,,62.0,43.0,67.0,57.0,67.0,40.0,100.0,112.0,81.0,80.0,18.0,14.0,16.0,,13.0,7.0,6.0,7.0,6.0,5.0,51.0,82.0,52.0,48.0,9.0,10.0,9.0,,8.0,3.0,4.0,4.0,4.0,2.0,57.0,53.0,54.0,55.0,31.0,29.0,100.0,1.0,1.0,33.0,3.0,1.0,,100.0,,,1.0,,,1.0,,100.0,1.0,1.0,,,
129841285,Arathõr,archimonde,31.0,8023.0,62.0,33.0,56.0,36.0,57.0,36.0,57.0,,41.0,33.0,50.0,100.0,50.0,,16.0,18.0,18.0,11.0,14.0,22.0,14.0,,29.0,15.0,4.0,1.0,2.0,,10.0,6.0,10.0,4.0,8.0,8.0,8.0,,12.0,5.0,2.0,1.0,1.0,,57.0,33.0,7.0,18.0,4.0,6.0,50.0,2.0,1.0,,,,,,,,,,,,,,,,,,
11679284,Nyù,anetheron,18.0,24934.0,33.0,52.0,61.0,60.0,45.0,53.0,69.0,,41.0,100.0,,,,,117.0,87.0,59.0,55.0,31.0,15.0,35.0,,22.0,1.0,,,,,39.0,45.0,36.0,33.0,14.0,8.0,24.0,,9.0,1.0,,,,,49.0,56.0,39.0,34.0,19.0,19.0,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,
166659456,Schalet,blackrock,125.0,55701.0,45.0,44.0,48.0,39.0,51.0,53.0,56.0,3100.0,50.0,53.0,157.0,33.0,56.0,50.0,141.0,269.0,184.0,197.0,109.0,86.0,108.0,2.0,119.0,76.0,28.0,15.0,27.0,2.0,64.0,118.0,88.0,76.0,56.0,46.0,60.0,62.0,59.0,40.0,44.0,5.0,15.0,1.0,43.0,50.0,148.0,115.0,64.0,57.0,50.0,2.0,1.0,50.0,4.0,2.0,,,0.0,,,1.0,,,0.0,100.0,1.0,1.0,,,
120136583,Darkwaldy,rajaxx,142.0,9046.0,0.0,80.0,33.0,25.0,40.0,60.0,43.0,,67.0,50.0,0.0,,50.0,,1.0,5.0,6.0,4.0,5.0,5.0,7.0,,3.0,4.0,1.0,,2.0,,0.0,4.0,2.0,1.0,2.0,3.0,3.0,,2.0,2.0,0.0,,1.0,,100.0,100.0,1.0,2.0,1.0,2.0,100.0,1.0,1.0,,,,,,89.0,,,27.0,,,24.0,100.0,16.0,16.0,,,
156092404,Malkóm,argent-dawn,53.0,2202.0,25.0,,,100.0,0.0,33.0,83.0,100.0,0.0,,38.0,50.0,50.0,50.0,8.0,,,2.0,2.0,3.0,6.0,1.0,1.0,,8.0,2.0,8.0,8.0,2.0,,,2.0,0.0,1.0,5.0,1.0,0.0,,3.0,1.0,4.0,4.0,,25.0,,8.0,,2.0,17.0,6.0,1.0,14.0,7.0,1.0,,,,,,,,,,,,,,,
97350006,Euerendee,blackhand,29.0,682.0,100.0,,,,,100.0,100.0,,,,0.0,,,,1.0,,,,,2.0,1.0,,,,2.0,,,,1.0,,,,,2.0,1.0,,,,0.0,,,,,,,,,,100.0,2.0,2.0,100.0,2.0,2.0,,,,,,,,,,,,,,,
79324335,Zwölfpala,guldan,34.0,3103.0,75.0,60.0,33.0,29.0,33.0,75.0,56.0,,31.0,50.0,0.0,38.0,,,4.0,5.0,3.0,7.0,6.0,12.0,9.0,,13.0,4.0,2.0,8.0,,,3.0,3.0,1.0,2.0,2.0,9.0,5.0,,4.0,2.0,0.0,3.0,,,0.0,50.0,2.0,4.0,0.0,2.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,
147410169,Saze,ragnaros,18.0,2680.0,50.0,,100.0,0.0,45.0,67.0,57.0,43.0,44.0,,33.0,62.0,38.0,67.0,2.0,,1.0,2.0,11.0,15.0,7.0,7.0,9.0,,9.0,8.0,13.0,6.0,1.0,,1.0,0.0,5.0,10.0,4.0,3.0,4.0,,3.0,5.0,5.0,4.0,,33.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,
88359394,Verx,sanguino,14.0,24652.0,52.0,53.0,63.0,54.0,62.0,0.0,,,50.0,,,0.0,,,42.0,88.0,93.0,59.0,8.0,1.0,,,2.0,,,2.0,,,22.0,47.0,59.0,32.0,5.0,0.0,,,1.0,,,0.0,,,58.0,40.0,60.0,35.0,35.0,14.0,67.0,3.0,2.0,0.0,1.0,0.0,,,50.0,,,6.0,,,3.0,,,,,,
