character.id,character.name,character.realm.slug,honor_level,honorable_kills,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Twin Peaks played,Silvershard Mines played,Rated Eye of the Storm played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Twin Peaks won,Silvershard Mines won,Rated Eye of the Storm won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Deepwind Gorge won,Alterac Valley win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,The Battle for Gilneas win_rate,Ashran win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,The Battle for Gilneas played,Ashran played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Alterac Valley won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,The Battle for Gilneas won,Ashran won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
118699248,Zaryn,uldaman,5.0,1018.0,50.0,33.0,100.0,100.0,0.0,50.0,100.0,50.0,100.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191467363,Bkhawk,frostmane,56.0,8744.0,25.0,29.0,40.0,43.0,200.0,71.0,100.0,57.0,75.0,4.0,14.0,5.0,7.0,1.0,7.0,1.0,7.0,8.0,1.0,4.0,2.0,3.0,2.0,5.0,1.0,4.0,6.0,33.0,50.0,43.0,46.0,58.0,75.0,33.0,64.0,43.0,12.0,12.0,7.0,13.0,12.0,4.0,3.0,14.0,14.0,4.0,6.0,3.0,6.0,7.0,3.0,1.0,9.0,6.0,,,,,,,,,,,,,,,
133236058,Tøtørpal,drekthar,72.0,1281.0,,,0.0,100.0,,33.0,,100.0,0.0,,,2.0,2.0,,3.0,,1.0,2.0,,,0.0,2.0,,1.0,,1.0,0.0,,100.0,,100.0,33.0,100.0,67.0,50.0,100.0,,1.0,,1.0,3.0,1.0,3.0,2.0,1.0,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,
85146514,Dáyworker,blackhand,9.0,5817.0,46.0,33.0,40.0,62.0,,57.0,45.0,0.0,,28.0,18.0,15.0,13.0,,23.0,11.0,2.0,,13.0,6.0,6.0,8.0,,13.0,5.0,0.0,,,48.0,92.0,,35.0,,,67.0,,,23.0,13.0,,17.0,,,3.0,,,11.0,12.0,,6.0,,,2.0,,,,,,,,,,,,,,,,
107144363,Shtrauska,les-clairvoyants,45.0,11295.0,31.0,18.0,24.0,40.0,,38.0,35.0,67.0,,52.0,22.0,51.0,42.0,,45.0,17.0,12.0,,16.0,4.0,12.0,17.0,,17.0,6.0,8.0,,67.0,13.0,30.0,0.0,27.0,,33.0,,,3.0,15.0,20.0,1.0,56.0,,3.0,,,2.0,2.0,6.0,0.0,15.0,,1.0,,,,,,0.0,1.0,0.0,,,,,,,,,
29023071,Dankai,zuljin,14.0,8147.0,62.0,68.0,33.0,100.0,,100.0,,0.0,,37.0,25.0,3.0,1.0,,2.0,,1.0,,23.0,17.0,1.0,1.0,,2.0,,0.0,,43.0,50.0,70.0,67.0,100.0,50.0,100.0,0.0,,28.0,18.0,23.0,6.0,1.0,4.0,1.0,1.0,,12.0,9.0,16.0,4.0,1.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,
157207976,Lëviathän,kazzak,10.0,2666.0,58.0,80.0,33.0,50.0,,67.0,,0.0,,12.0,5.0,6.0,4.0,,6.0,,2.0,,7.0,4.0,2.0,2.0,,4.0,,0.0,,40.0,57.0,,0.0,33.0,0.0,100.0,,75.0,5.0,7.0,,1.0,9.0,1.0,2.0,,4.0,2.0,4.0,,0.0,3.0,0.0,2.0,,3.0,,,,,,,,,,,,,,,
129570316,Talgëes,ysondre,164.0,68797.0,46.0,52.0,58.0,54.0,,48.0,58.0,88.0,,173.0,195.0,99.0,68.0,,69.0,31.0,8.0,,79.0,101.0,57.0,37.0,,33.0,18.0,7.0,,53.0,49.0,63.0,38.0,61.0,,60.0,50.0,75.0,148.0,137.0,92.0,112.0,99.0,,5.0,2.0,4.0,78.0,67.0,58.0,42.0,60.0,,3.0,1.0,3.0,50.0,4.0,2.0,50.0,2.0,1.0,100.0,2.0,2.0,,,,,,
113680702,Veilyy,tarren-mill,11.0,350.0,,,50.0,100.0,,75.0,,100.0,0.0,,,2.0,1.0,,4.0,,2.0,1.0,,,1.0,1.0,,3.0,,2.0,0.0,,,,,0.0,,0.0,50.0,,,,,,2.0,,2.0,2.0,,,,,,0.0,,0.0,1.0,,,,,,,,,,,,,,,,
172353075,Аулер,gordunni,64.0,3613.0,58.0,100.0,60.0,38.0,,73.0,100.0,1100.0,,12.0,2.0,5.0,13.0,,26.0,1.0,1.0,,7.0,2.0,3.0,5.0,,19.0,1.0,11.0,,100.0,33.0,0.0,100.0,73.0,,,,50.0,1.0,3.0,1.0,1.0,11.0,,,,2.0,1.0,1.0,0.0,1.0,8.0,,,,1.0,100.0,1.0,1.0,,,,,,,,,,,,
