character.id,character.name,character.realm.slug,honor_level,honorable_kills,Isle of Conquest win_rate,Arathi Basin win_rate,Isle of Conquest played,Arathi Basin played,Isle of Conquest won,Arathi Basin won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Battle for Wintergrasp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
178142124,Десперайт,gordunni,39.0,808.0,100.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158366847,Epicskillz,conseil-des-ombres,40.0,129912.0,58.0,62.0,115.0,13.0,67.0,8.0,48.0,60.0,49.0,53.0,54.0,60.0,59.0,53.0,63.0,59.0,50.0,0.0,67.0,90.0,40.0,62.0,101.0,503.0,277.0,282.0,209.0,398.0,184.0,323.0,212.0,90.0,2.0,1.0,21.0,10.0,5.0,13.0,48.0,303.0,136.0,150.0,112.0,238.0,108.0,172.0,134.0,53.0,1.0,0.0,14.0,9.0,2.0,8.0,,,,,,,,,,,,
78769113,Экзекуторс,howling-fjord,47.0,31676.0,32.0,100.0,81.0,3.0,26.0,3.0,41.0,36.0,41.0,53.0,50.0,46.0,60.0,40.0,48.0,10.0,80.0,,20.0,67.0,50.0,33.0,81.0,95.0,70.0,81.0,68.0,65.0,30.0,62.0,66.0,10.0,5.0,,5.0,3.0,6.0,3.0,33.0,34.0,29.0,43.0,34.0,30.0,18.0,25.0,32.0,1.0,4.0,,1.0,2.0,3.0,1.0,2200.0,1.0,22.0,,,,,,,,,
154704488,Jitizim,ravencrest,15.0,3998.0,80.0,73.0,10.0,15.0,8.0,11.0,60.0,,,100.0,,64.0,40.0,82.0,45.0,,67.0,,60.0,71.0,33.0,67.0,10.0,,,3.0,,11.0,5.0,11.0,11.0,,3.0,,10.0,7.0,3.0,12.0,6.0,,,3.0,,7.0,2.0,9.0,5.0,,2.0,,6.0,5.0,1.0,8.0,100.0,4.0,4.0,,,,,,,,,
134245080,Zedbug,spinebreaker,7.0,1238.0,100.0,50.0,1.0,4.0,1.0,2.0,33.0,,,,,60.0,100.0,83.0,100.0,,0.0,,17.0,67.0,,50.0,3.0,,,,,5.0,1.0,6.0,1.0,,1.0,,6.0,3.0,,2.0,1.0,,,,,3.0,1.0,5.0,1.0,,0.0,,1.0,2.0,,1.0,,,,,,,,,,,,
133368774,Qunaii,defias-brotherhood,29.0,1882.0,25.0,50.0,4.0,2.0,1.0,1.0,50.0,,,80.0,,100.0,0.0,25.0,,,,0.0,0.0,50.0,,60.0,6.0,,,5.0,,1.0,1.0,4.0,,,,1.0,1.0,4.0,,5.0,3.0,,,4.0,,1.0,0.0,1.0,,,,0.0,0.0,2.0,,3.0,50.0,2.0,1.0,0.0,6.0,0.0,,,,,,
118742265,Plambi,burning-legion,20.0,17769.0,37.0,78.0,27.0,9.0,10.0,7.0,61.0,58.0,55.0,61.0,63.0,75.0,80.0,67.0,80.0,,50.0,,80.0,78.0,43.0,69.0,36.0,59.0,42.0,41.0,46.0,16.0,10.0,12.0,10.0,,2.0,,10.0,9.0,7.0,13.0,22.0,34.0,23.0,25.0,29.0,12.0,8.0,8.0,8.0,,1.0,,8.0,7.0,3.0,9.0,,,,,,,,,,,,
162999798,Iladonf,dalaran,16.0,161.0,50.0,,2.0,,1.0,,,,,,,100.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
154135172,Imaqtcats,sanguino,7.0,691.0,,0.0,,3.0,,0.0,,,,,,0.0,71.0,75.0,50.0,,,,100.0,50.0,100.0,100.0,,,,,,2.0,7.0,4.0,2.0,,,,1.0,2.0,1.0,1.0,,,,,,0.0,5.0,3.0,1.0,,,,1.0,1.0,1.0,1.0,100.0,1.0,1.0,,,,,,,,,
156424854,Falixix,la-croisade-écarlate,43.0,27492.0,50.0,,6.0,,3.0,,55.0,58.0,70.0,62.0,57.0,55.0,33.0,50.0,22.0,0.0,60.0,,,0.0,,0.0,22.0,62.0,56.0,26.0,42.0,40.0,6.0,42.0,9.0,1.0,5.0,,,3.0,,2.0,12.0,36.0,39.0,16.0,24.0,22.0,2.0,21.0,2.0,0.0,3.0,,,0.0,,0.0,,,,,,,,,,,,
