character.id,character.name,character.realm.slug,honor_level,honorable_kills,Classic Warsong Gulch win_rate,Twin Peaks win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Twin Peaks played,Rated Eye of the Storm played,Temple of Kotmogu played,Seething Shore played,Korrak's Revenge played,Deepwind Gorge played,Classic Warsong Gulch won,Twin Peaks won,Rated Eye of the Storm won,Temple of Kotmogu won,Seething Shore won,Korrak's Revenge won,Deepwind Gorge won,Alterac Valley win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Alterac Valley played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Silvershard Mines played,The Battle for Gilneas played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Alterac Valley won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Silvershard Mines won,The Battle for Gilneas won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Cooking: Impossible win_rate,Southshore vs. Tarren Mill played,Cooking: Impossible played,Southshore vs. Tarren Mill won,Cooking: Impossible won
93597379,Hallowed,aggra-português,43.0,395.0,0.0,50.0,100.0,100.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195177961,Anthonel,nemesis,65.0,41330.0,50.0,57.0,,54.0,60.0,75.0,50.0,44.0,46.0,,52.0,25.0,4.0,6.0,22.0,26.0,,28.0,15.0,3.0,3.0,42.0,53.0,60.0,58.0,36.0,65.0,59.0,50.0,100.0,60.0,67.0,75.0,74.0,100.0,91.0,30.0,63.0,24.0,87.0,46.0,34.0,34.0,2.0,15.0,39.0,20.0,27.0,18.0,38.0,16.0,38.0,14.0,31.0,30.0,20.0,17.0,2.0,9.0,26.0,15.0,20.0,18.0,,,,,,
210021985,Goldanna,nagrand,69.0,1492.0,,100.0,,100.0,100.0,,,,3.0,,1.0,1.0,,,,3.0,,1.0,1.0,,,54.0,,,,60.0,,,100.0,25.0,,0.0,0.0,50.0,,13.0,,,,5.0,,,1.0,4.0,,1.0,2.0,4.0,,7.0,,,,3.0,,,1.0,1.0,,0.0,0.0,2.0,,,,,,,
102178351,Zahndoktor,antonidas,18.0,665.0,,,,100.0,100.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,100.0,,,,0.0,,,,100.0,,,,50.0,,2.0,,,,1.0,,,,2.0,,,,2.0,,2.0,,,,0.0,,,,2.0,,,,1.0,,,,,,,
191894188,Panzarjohnny,kazzak,44.0,787.0,,33.0,,100.0,,,0.0,,3.0,,3.0,,,1.0,,1.0,,3.0,,,0.0,0.0,,,,40.0,100.0,,,,,40.0,0.0,,,1.0,,,,5.0,1.0,,,,,5.0,1.0,,,0.0,,,,2.0,1.0,,,,,2.0,0.0,,,,,,,,
190776907,Kínky,frostmane,194.0,190946.0,73.0,69.0,3375.0,77.0,287.0,20.0,40.0,572.0,398.0,4.0,367.0,71.0,5.0,5.0,416.0,275.0,135.0,282.0,204.0,1.0,2.0,67.0,59.0,63.0,66.0,65.0,68.0,65.0,75.0,0.0,100.0,64.0,64.0,60.0,100.0,419.0,562.0,294.0,248.0,321.0,367.0,353.0,271.0,3.0,1.0,28.0,22.0,10.0,1.0,279.0,331.0,185.0,163.0,210.0,249.0,230.0,202.0,0.0,1.0,18.0,14.0,6.0,1.0,,,,,,
155509663,Phyxius,aggra-português,214.0,63788.0,56.0,68.0,775.0,45.0,67.0,75.0,43.0,75.0,114.0,4.0,131.0,36.0,4.0,14.0,42.0,77.0,31.0,59.0,24.0,3.0,6.0,53.0,62.0,54.0,0.0,48.0,50.0,60.0,54.0,50.0,100.0,62.0,66.0,57.0,100.0,68.0,58.0,69.0,4.0,40.0,128.0,100.0,101.0,4.0,2.0,47.0,35.0,23.0,16.0,36.0,36.0,37.0,0.0,19.0,64.0,60.0,55.0,2.0,2.0,29.0,23.0,13.0,16.0,,,,,,
139956677,Dritnz,silvermoon,68.0,2518.0,33.0,75.0,0.0,44.0,80.0,,67.0,3.0,4.0,2.0,9.0,5.0,,3.0,1.0,3.0,0.0,4.0,4.0,,2.0,50.0,0.0,43.0,50.0,0.0,50.0,57.0,67.0,100.0,0.0,0.0,100.0,100.0,,4.0,2.0,7.0,2.0,1.0,8.0,7.0,3.0,2.0,1.0,3.0,1.0,1.0,,2.0,0.0,3.0,1.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,,,,,,,
101864005,Dreamer,ragnaros,25.0,25595.0,51.0,0.0,,100.0,,,,39.0,1.0,,1.0,,,,20.0,0.0,,1.0,,,,63.0,59.0,63.0,43.0,33.0,80.0,50.0,40.0,,,,100.0,50.0,,73.0,69.0,38.0,44.0,15.0,5.0,2.0,5.0,,,,1.0,2.0,,46.0,41.0,24.0,19.0,5.0,4.0,1.0,2.0,,,,1.0,1.0,,,,,,,
154149298,Yonuno,sanguino,4.0,1099.0,0.0,50.0,,100.0,0.0,,,2.0,2.0,,1.0,3.0,,,0.0,1.0,,1.0,0.0,,,40.0,,67.0,,33.0,,50.0,,,,,,,,5.0,,6.0,,6.0,,2.0,,,,,,,,2.0,,4.0,,2.0,,1.0,,,,,,,,,,,,,
