character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Arathi Basin Winter win_rate,Seething Shore win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Arathi Basin Winter played,Seething Shore played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Arathi Basin Winter won,Seething Shore won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
76857312,Rosso,nemesis,58.0,15505.0,36.0,63.0,68.0,75.0,45.0,49.0,65.0,73.0,66.0,56.0,56.0,33.0,0.0,0.0,0.0,39.0,51.0,47.0,48.0,56.0,49.0,43.0,11.0,44.0,9.0,9.0,3.0,1.0,1.0,1.0,14.0,32.0,32.0,36.0,25.0,24.0,28.0,8.0,29.0,5.0,5.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
150451053,Koyjin,kazzak,104.0,57121.0,55.0,49.0,49.0,61.0,53.0,43.0,78.0,67.0,58.0,69.0,53.0,,,,,87.0,449.0,170.0,114.0,109.0,72.0,45.0,9.0,31.0,13.0,15.0,,,,,48.0,219.0,83.0,69.0,58.0,31.0,35.0,6.0,18.0,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
195177961,Anthonel,nemesis,65.0,41330.0,42.0,50.0,53.0,60.0,58.0,36.0,57.0,65.0,59.0,54.0,50.0,100.0,67.0,75.0,50.0,91.0,44.0,30.0,63.0,24.0,87.0,46.0,46.0,34.0,52.0,34.0,2.0,39.0,20.0,6.0,38.0,22.0,16.0,38.0,14.0,31.0,26.0,30.0,20.0,28.0,17.0,2.0,26.0,15.0,3.0,60.0,60.0,74.0,100.0,75.0,15.0,25.0,27.0,18.0,4.0,9.0,15.0,20.0,18.0,3.0,,,,,,
77793456,Obscurìty,nemesis,14.0,16595.0,40.0,43.0,32.0,53.0,33.0,33.0,52.0,50.0,50.0,60.0,71.0,,50.0,,,40.0,30.0,37.0,43.0,45.0,39.0,29.0,22.0,30.0,10.0,7.0,,2.0,,,16.0,13.0,12.0,23.0,15.0,13.0,15.0,11.0,15.0,6.0,5.0,,1.0,,,,100.0,,,,,1.0,,,,,1.0,,,,,,,,,
184227887,Glôr,nemesis,13.0,998.0,25.0,,,,,0.0,100.0,,67.0,,,0.0,0.0,0.0,0.0,4.0,,,,,2.0,1.0,,3.0,,,1.0,1.0,2.0,3.0,1.0,,,,,0.0,1.0,,2.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,3.0,,,,0.0,0.0,,,,,,,,
160711211,Hugen,tarren-mill,15.0,2967.0,0.0,,,50.0,,50.0,100.0,62.0,80.0,75.0,,50.0,57.0,100.0,44.0,2.0,,,4.0,,2.0,2.0,8.0,5.0,4.0,,2.0,7.0,5.0,9.0,0.0,,,2.0,,1.0,2.0,5.0,4.0,3.0,,1.0,4.0,5.0,4.0,,86.0,,,,,7.0,,,,,6.0,,,,0.0,1.0,0.0,,,
165593113,Gloòm,nemesis,25.0,3133.0,100.0,,,60.0,,67.0,67.0,67.0,80.0,25.0,20.0,,80.0,50.0,33.0,4.0,,,5.0,,3.0,3.0,3.0,5.0,4.0,5.0,,5.0,2.0,3.0,4.0,,,3.0,,2.0,2.0,2.0,4.0,1.0,1.0,,4.0,1.0,1.0,,100.0,25.0,100.0,,,2.0,4.0,48.0,,,2.0,1.0,48.0,,,,,,,
165797653,Päm,twisting-nether,43.0,2115.0,0.0,,,33.0,,,0.0,67.0,0.0,0.0,,,33.0,100.0,0.0,1.0,,,3.0,,,1.0,3.0,2.0,4.0,,,3.0,2.0,2.0,0.0,,,1.0,,,0.0,2.0,0.0,0.0,,,1.0,2.0,0.0,,0.0,50.0,,17.0,,1.0,4.0,,18.0,,0.0,2.0,,3.0,,,,,,
173771360,Avenger,archimonde,35.0,53336.0,67.0,52.0,46.0,51.0,48.0,58.0,62.0,60.0,44.0,70.0,47.0,100.0,33.0,50.0,80.0,36.0,69.0,69.0,89.0,102.0,24.0,24.0,20.0,32.0,23.0,17.0,1.0,3.0,4.0,5.0,24.0,36.0,32.0,45.0,49.0,14.0,15.0,12.0,14.0,16.0,8.0,1.0,1.0,2.0,4.0,,100.0,0.0,,89.0,,2.0,1.0,,9.0,,2.0,0.0,,8.0,,,,,,
76947846,Kynval,nemesis,10.0,7648.0,40.0,67.0,43.0,45.0,45.0,33.0,59.0,46.0,39.0,27.0,,,100.0,0.0,,20.0,33.0,21.0,22.0,20.0,12.0,22.0,13.0,18.0,11.0,,,1.0,1.0,,8.0,22.0,9.0,10.0,9.0,4.0,13.0,6.0,7.0,3.0,,,1.0,0.0,,,100.0,,,0.0,,1.0,,,2.0,,1.0,,,0.0,,,,,,
