character.id,character.name,character.realm.slug,honor_level,honorable_kills,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Ashran played,Seething Shore played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Ashran won,Seething Shore won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Deepwind Gorge (Legacy) win_rate,Warsong Gulch win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Deepwind Gorge (Legacy) played,Warsong Gulch played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Deepwind Gorge (Legacy) won,Warsong Gulch won,Isle of Conquest win_rate,Isle of Conquest played,Isle of Conquest won,Strand of the Ancients win_rate,Korrak's Revenge win_rate,Strand of the Ancients played,Korrak's Revenge played,Strand of the Ancients won,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Southshore vs. Tarren Mill win_rate,Cooking: Impossible win_rate,Southshore vs. Tarren Mill played,Cooking: Impossible played,Southshore vs. Tarren Mill won,Cooking: Impossible won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won
194396987,Crael,hyjal,22.0,412.0,100.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0,50.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176474438,Vìzzer,burning-legion,55.0,2516.0,43.0,33.0,50.0,,55.0,100.0,100.0,57.0,,62.0,7.0,9.0,10.0,,11.0,1.0,5.0,14.0,,8.0,3.0,3.0,5.0,,6.0,1.0,5.0,8.0,,5.0,0.0,100.0,100.0,33.0,60.0,78.0,1.0,2.0,1.0,9.0,5.0,9.0,0.0,2.0,1.0,3.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,
154538607,Angeloladin,blackrock,137.0,2624.0,83.0,86.0,67.0,,33.0,,43.0,100.0,100.0,20.0,6.0,7.0,6.0,,12.0,,7.0,1.0,3.0,5.0,5.0,6.0,4.0,,4.0,,3.0,1.0,3.0,1.0,67.0,,,67.0,,88.0,6.0,,,3.0,,8.0,4.0,,,2.0,,7.0,50.0,2.0,1.0,,,,,,,,,,,,,,,,,,
170326502,Spontais,tarren-mill,13.0,1922.0,60.0,50.0,67.0,,100.0,,100.0,,,100.0,5.0,2.0,3.0,,3.0,,2.0,,,2.0,3.0,1.0,2.0,,3.0,,2.0,,,2.0,,0.0,,100.0,,25.0,,1.0,,5.0,,4.0,,0.0,,5.0,,1.0,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,
154220855,Eliasér,zuljin,51.0,53942.0,57.0,61.0,58.0,7000.0,42.0,100.0,57.0,67.0,75.0,50.0,106.0,49.0,91.0,1.0,43.0,1.0,7.0,3.0,4.0,4.0,60.0,30.0,53.0,70.0,18.0,1.0,4.0,2.0,3.0,2.0,53.0,64.0,59.0,54.0,39.0,100.0,68.0,223.0,176.0,122.0,28.0,2.0,36.0,143.0,103.0,66.0,11.0,2.0,45.0,38.0,17.0,57.0,60.0,136.0,5.0,77.0,3.0,,,,,,,,,,,,
156893719,Vuduuh,zuljin,105.0,255.0,,,100.0,,0.0,,,,0.0,,,,1.0,,1.0,,,,1.0,,,,1.0,,0.0,,,,0.0,,,,,100.0,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,100.0,1.0,1.0,,,,,,,,,
162618567,Camarlengo,zuljin,65.0,2297.0,43.0,50.0,50.0,100.0,64.0,67.0,67.0,67.0,33.0,0.0,7.0,2.0,4.0,1.0,11.0,3.0,6.0,6.0,3.0,1.0,3.0,1.0,2.0,1.0,7.0,2.0,4.0,4.0,1.0,0.0,33.0,,,100.0,,67.0,3.0,,,1.0,,3.0,1.0,,,1.0,,2.0,50.0,4.0,2.0,,,,,,,,,,,,,,,,,,
198291286,Бариарт,soulflayer,33.0,3107.0,50.0,67.0,70.0,,40.0,,83.0,50.0,100.0,43.0,4.0,3.0,10.0,,5.0,,6.0,6.0,1.0,7.0,2.0,2.0,7.0,,2.0,,5.0,3.0,1.0,3.0,50.0,,,75.0,,100.0,2.0,,,4.0,,3.0,1.0,,,3.0,,3.0,33.0,3.0,1.0,,,,,,,,,,,,,,,,,,
73785417,Schutzinator,eredar,20.0,4518.0,41.0,100.0,29.0,,50.0,,,,,,17.0,1.0,17.0,,2.0,,,,,,7.0,1.0,5.0,,1.0,,,,,,33.0,13.0,44.0,11.0,,,21.0,15.0,25.0,18.0,,,7.0,2.0,11.0,2.0,,,56.0,18.0,10.0,43.0,,23.0,,10.0,,,,,,,,,,,,,
160056280,Lawrs,draenor,13.0,16063.0,54.0,0.0,48.0,,100.0,,,0.0,,,26.0,1.0,21.0,,1.0,,,1.0,,,14.0,0.0,10.0,,1.0,,,0.0,,,45.0,53.0,33.0,41.0,100.0,0.0,31.0,68.0,49.0,51.0,3.0,1.0,14.0,36.0,16.0,21.0,3.0,0.0,30.0,20.0,6.0,58.0,,65.0,,38.0,,,,,,,,,,,,,
