character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Isle of Conquest win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Isle of Conquest played,Temple of Kotmogu played,Ashran played,Seething Shore played,Battle for Wintergrasp played,Alterac Valley won,Isle of Conquest won,Temple of Kotmogu won,Ashran won,Seething Shore won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Deepwind Gorge (Legacy) win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Deepwind Gorge (Legacy) played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Deepwind Gorge (Legacy) won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Strand of the Ancients win_rate,Strand of the Ancients played,Strand of the Ancients won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Rated Eye of the Storm win_rate,Arathi Basin Winter win_rate,Rated Eye of the Storm played,Arathi Basin Winter played,Rated Eye of the Storm won,Arathi Basin Winter won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
102178351,Zahndoktor,antonidas,18.0,665.0,100.0,0.0,100.0,100.0,100.0,50.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142577511,Jouren,lightbringer,27.0,3964.0,64.0,0.0,60.0,0.0,67.0,100.0,11.0,2.0,10.0,1.0,6.0,3.0,7.0,0.0,6.0,0.0,4.0,3.0,100.0,0.0,86.0,29.0,86.0,40.0,50.0,50.0,100.0,75.0,2.0,2.0,7.0,7.0,7.0,5.0,2.0,8.0,2.0,4.0,2.0,0.0,6.0,2.0,6.0,2.0,1.0,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,
192599651,Aalmae,silvermoon,7.0,180.0,,,0.0,0.0,100.0,,,,1.0,1.0,1.0,,,,0.0,0.0,1.0,,,,,0.0,100.0,0.0,,,0.0,,,,,1.0,1.0,1.0,,,1.0,,,,,0.0,1.0,0.0,,,0.0,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
1644249,Xiluva,lightbringer,9.0,4462.0,,100.0,,,,,,1.0,,,,,,1.0,,,,,0.0,,50.0,,,,,,,,1.0,,2.0,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100330881,Toastbringer,ravencrest,46.0,4739.0,20.0,69.0,67.0,,,0.0,5.0,13.0,6.0,,,1.0,1.0,9.0,4.0,,,0.0,47.0,55.0,60.0,71.0,78.0,50.0,57.0,,,,17.0,11.0,5.0,7.0,9.0,10.0,7.0,,,,8.0,6.0,3.0,5.0,7.0,5.0,4.0,,,,,,,58.0,19.0,11.0,,,,,,,,,,,,,,,
140247153,Veldini,lightbringer,11.0,2480.0,0.0,33.0,62.0,80.0,50.0,0.0,2.0,3.0,8.0,5.0,4.0,2.0,0.0,1.0,5.0,4.0,2.0,0.0,,0.0,33.0,67.0,0.0,0.0,0.0,50.0,33.0,50.0,,1.0,3.0,3.0,2.0,2.0,1.0,4.0,3.0,4.0,,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
173745100,Léothras,hyjal,19.0,6348.0,100.0,33.0,50.0,50.0,50.0,50.0,4.0,3.0,6.0,2.0,4.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,67.0,62.0,71.0,57.0,43.0,75.0,0.0,80.0,100.0,,3.0,8.0,7.0,7.0,7.0,4.0,1.0,5.0,1.0,,2.0,5.0,5.0,4.0,3.0,3.0,0.0,4.0,1.0,,100.0,1.0,1.0,25.0,4.0,1.0,100.0,1.0,1.0,,,,,,,,,,,,
131225862,Piciipocok,lightbringer,26.0,8702.0,33.0,30.0,53.0,50.0,25.0,57.0,15.0,20.0,15.0,2.0,4.0,7.0,5.0,6.0,8.0,1.0,1.0,4.0,56.0,60.0,55.0,29.0,55.0,45.0,40.0,71.0,33.0,25.0,9.0,5.0,11.0,14.0,11.0,11.0,5.0,7.0,3.0,4.0,5.0,3.0,6.0,4.0,6.0,5.0,2.0,5.0,1.0,1.0,83.0,6.0,5.0,75.0,4.0,3.0,100.0,26.0,26.0,100.0,50.0,1.0,4.0,1.0,2.0,,,,,,
134419779,Asherough,lightbringer,8.0,400.0,50.0,,0.0,,0.0,,2.0,,1.0,,1.0,,1.0,,0.0,,0.0,,,,,100.0,0.0,,,100.0,0.0,50.0,,,,2.0,1.0,,,1.0,2.0,2.0,,,,2.0,0.0,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
120605132,Boennliu,dun-morogh,27.0,2947.0,,0.0,48.0,,75.0,,,1.0,21.0,,8.0,,,0.0,10.0,,6.0,,18.0,67.0,67.0,67.0,71.0,50.0,14.0,,0.0,50.0,11.0,3.0,6.0,6.0,7.0,8.0,7.0,,2.0,4.0,2.0,2.0,4.0,4.0,5.0,4.0,1.0,,0.0,2.0,,,,,,,100.0,5.0,5.0,,100.0,,2.0,,2.0,50.0,2.0,1.0,,,
191422244,Таукаскад,soulflayer,5.0,1195.0,50.0,50.0,50.0,,0.0,25.0,4.0,4.0,2.0,,2.0,4.0,2.0,2.0,1.0,,0.0,1.0,,,100.0,0.0,,67.0,,100.0,0.0,0.0,,,1.0,1.0,,3.0,,1.0,1.0,1.0,,,1.0,0.0,,2.0,,1.0,0.0,0.0,,,,,,,,,,,100.0,,1.0,,1.0,,,,,,
17377688,Wauspaus,lightbringer,51.0,135148.0,54.0,60.0,47.0,25.0,44.0,50.0,306.0,233.0,51.0,4.0,9.0,6.0,166.0,140.0,24.0,1.0,4.0,3.0,61.0,40.0,47.0,67.0,38.0,52.0,40.0,43.0,75.0,83.0,577.0,557.0,302.0,215.0,74.0,272.0,10.0,7.0,4.0,6.0,351.0,225.0,142.0,143.0,28.0,142.0,4.0,3.0,3.0,5.0,,,,50.0,296.0,148.0,,,,3400.0,,4.0,,136.0,,,,,,,
56971754,Powerofheal,lightbringer,11.0,12808.0,70.0,56.0,40.0,,,,50.0,39.0,20.0,,,,35.0,22.0,8.0,,,,62.0,50.0,47.0,52.0,36.0,47.0,38.0,57.0,60.0,100.0,56.0,28.0,34.0,23.0,25.0,30.0,16.0,7.0,5.0,1.0,35.0,14.0,16.0,12.0,9.0,14.0,6.0,4.0,3.0,1.0,80.0,5.0,4.0,29.0,28.0,8.0,,,,,100.0,,2.0,,2.0,,,,,,
155579085,Beleobus,ravencrest,11.0,1482.0,0.0,100.0,50.0,33.0,100.0,0.0,2.0,2.0,4.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,,,50.0,100.0,33.0,33.0,,100.0,75.0,67.0,,,2.0,3.0,3.0,3.0,,1.0,4.0,3.0,,,1.0,3.0,1.0,1.0,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,
162118109,Feldhoof,kirin-tor,32.0,51578.0,49.0,45.0,43.0,40.0,60.0,75.0,89.0,38.0,14.0,10.0,10.0,4.0,44.0,17.0,6.0,4.0,6.0,3.0,51.0,56.0,43.0,27.0,44.0,64.0,67.0,50.0,40.0,50.0,104.0,77.0,51.0,11.0,9.0,14.0,6.0,2.0,5.0,4.0,53.0,43.0,22.0,3.0,4.0,9.0,4.0,1.0,2.0,2.0,,,,57.0,42.0,24.0,,,,,100.0,,1.0,,1.0,,,,,,
80096614,Drtechy,lightbringer,6.0,2820.0,43.0,0.0,62.0,,,,14.0,9.0,8.0,,,,6.0,0.0,5.0,,,,57.0,75.0,67.0,80.0,9.0,62.0,67.0,,,,7.0,4.0,3.0,5.0,11.0,8.0,3.0,,,,4.0,3.0,2.0,4.0,1.0,5.0,2.0,,,,,,,0.0,4.0,0.0,,,,,,,,,,,,,,,
