character.id,character.name,character.realm.slug,honor_level,honorable_kills,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,The Battle for Gilneas played,Temple of Kotmogu played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,The Battle for Gilneas won,Temple of Kotmogu won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Silvershard Mines win_rate,Deepwind Gorge (Legacy) win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Silvershard Mines played,Deepwind Gorge (Legacy) played,Battle for Wintergrasp played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Silvershard Mines won,Deepwind Gorge (Legacy) won,Battle for Wintergrasp won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Cooking: Impossible win_rate,Korrak's Revenge win_rate,Cooking: Impossible played,Korrak's Revenge played,Cooking: Impossible won,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
134733100,Golakhtashan,draenor,18.0,476.0,100.0,0.0,100.0,0.0,50.0,0.0,0.0,50.0,0.0,33.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111519487,Harad,nordrassil,44.0,24688.0,39.0,50.0,56.0,46.0,62.0,100.0,60.0,100.0,60.0,50.0,62.0,40.0,39.0,26.0,21.0,6.0,5.0,5.0,5.0,4.0,24.0,20.0,22.0,12.0,13.0,6.0,3.0,5.0,3.0,2.0,62.0,57.0,57.0,67.0,50.0,44.0,50.0,77.0,115.0,70.0,33.0,16.0,9.0,2.0,48.0,65.0,40.0,22.0,8.0,4.0,1.0,,,,,,,,,,,,,,,,,,
62804529,Tyr,bronze-dragonflight,3.0,11724.0,50.0,43.0,0.0,25.0,0.0,,0.0,,0.0,0.0,10.0,7.0,3.0,4.0,1.0,,1.0,,2.0,1.0,5.0,3.0,0.0,1.0,0.0,,0.0,,0.0,0.0,18.0,53.0,64.0,50.0,100.0,,,11.0,34.0,11.0,10.0,1.0,,,2.0,18.0,7.0,5.0,1.0,,,400.0,1.0,4.0,,,,,,,,,,,,,,,
174098353,Paladili,ragnaros,3.0,617.0,,0.0,0.0,100.0,,100.0,,50.0,0.0,,,1.0,1.0,1.0,,1.0,,2.0,1.0,,,0.0,0.0,1.0,,1.0,,1.0,0.0,,40.0,,,,,,50.0,5.0,,,,,,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
118072551,Laurelin,nordrassil,31.0,21456.0,38.0,43.0,44.0,54.0,38.0,50.0,30.0,56.0,29.0,47.0,32.0,23.0,16.0,24.0,13.0,6.0,10.0,9.0,7.0,15.0,12.0,10.0,7.0,13.0,5.0,3.0,3.0,5.0,2.0,7.0,42.0,47.0,58.0,37.0,50.0,44.0,36.0,43.0,32.0,12.0,27.0,18.0,9.0,11.0,18.0,15.0,7.0,10.0,9.0,4.0,4.0,200.0,3.0,6.0,17.0,56.0,6.0,9.0,1.0,5.0,,,,,,,,,
112613598,Lowod,aegwynn,15.0,4756.0,70.0,71.0,0.0,33.0,62.0,100.0,67.0,,0.0,,10.0,14.0,4.0,9.0,13.0,1.0,3.0,,1.0,,7.0,10.0,0.0,3.0,8.0,1.0,2.0,,0.0,,55.0,27.0,27.0,64.0,25.0,62.0,,11.0,15.0,11.0,11.0,8.0,8.0,,6.0,4.0,3.0,7.0,2.0,5.0,,,,,,0.0,,1.0,,0.0,,,,,,,,,
182890831,Menacejam,silvermoon,21.0,11496.0,43.0,92.0,45.0,47.0,57.0,0.0,100.0,100.0,0.0,,28.0,13.0,20.0,34.0,28.0,1.0,7.0,1.0,1.0,,12.0,12.0,9.0,16.0,16.0,0.0,7.0,1.0,0.0,,87.0,47.0,57.0,43.0,32.0,56.0,67.0,15.0,17.0,30.0,21.0,25.0,18.0,6.0,13.0,8.0,17.0,9.0,8.0,10.0,4.0,,,,,17.0,,6.0,,1.0,,,,,,,,,
176201206,Nakkimon,bronze-dragonflight,19.0,7297.0,33.0,36.0,27.0,60.0,50.0,52.0,73.0,42.0,46.0,60.0,3.0,25.0,11.0,15.0,16.0,27.0,11.0,12.0,13.0,15.0,1.0,9.0,3.0,9.0,8.0,14.0,8.0,5.0,6.0,9.0,72.0,,,,58.0,,62.0,18.0,,,,12.0,,13.0,13.0,,,,7.0,,8.0,38.0,8.0,3.0,,75.0,,4.0,,3.0,50.0,2.0,1.0,,,,,,
193673568,Pikapala,kazzak,9.0,791.0,,100.0,,,,17.0,,,,,,4.0,,,,6.0,,,,,,4.0,,,,1.0,,,,,25.0,,,,,,25.0,4.0,,,,,,4.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
97577933,Monstermixen,bronze-dragonflight,5.0,2356.0,,0.0,,,,,,100.0,,,,1.0,,,,,,1.0,,,,0.0,,,,,,1.0,,,0.0,0.0,100.0,,,,,2.0,1.0,1.0,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
210056226,Dwellinger,nagrand,20.0,6798.0,29.0,100.0,67.0,86.0,75.0,,91.0,67.0,40.0,50.0,14.0,1.0,6.0,7.0,12.0,,11.0,3.0,10.0,2.0,4.0,1.0,4.0,6.0,9.0,,10.0,2.0,4.0,1.0,0.0,50.0,0.0,,67.0,56.0,50.0,1.0,4.0,2.0,,6.0,9.0,2.0,0.0,2.0,0.0,,4.0,5.0,1.0,,,,,0.0,,10.0,,0.0,33.0,3.0,1.0,,,,,,
191469178,Katsika,frostmane,24.0,815.0,100.0,0.0,100.0,,100.0,,0.0,100.0,100.0,100.0,1.0,1.0,2.0,,1.0,,1.0,2.0,1.0,1.0,1.0,0.0,2.0,,1.0,,0.0,2.0,1.0,1.0,100.0,,,,0.0,,50.0,2.0,,,,2.0,,2.0,2.0,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,
210012493,Mattius,nagrand,14.0,1414.0,80.0,,,,0.0,,,,,,5.0,,,,1.0,,,,,,4.0,,,,0.0,,,,,,38.0,0.0,25.0,25.0,33.0,,,8.0,2.0,4.0,4.0,3.0,,,3.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
197433936,Foq,kazzak,96.0,30988.0,55.0,54.0,67.0,52.0,50.0,100.0,83.0,0.0,75.0,,117.0,37.0,51.0,65.0,16.0,1.0,6.0,1.0,4.0,,64.0,20.0,34.0,34.0,8.0,1.0,5.0,0.0,3.0,,55.0,61.0,65.0,68.0,72.0,67.0,100.0,84.0,159.0,136.0,85.0,18.0,9.0,1.0,46.0,97.0,88.0,58.0,13.0,6.0,1.0,,,,,,,,,,,,,,,,,,
160786498,Nephelium,chamber-of-aspects,44.0,501.0,,100.0,50.0,100.0,,,67.0,,100.0,100.0,,1.0,2.0,1.0,,,3.0,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,1.0,1.0,100.0,,,,,,100.0,1.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
176008983,Ameerkat,twisting-nether,8.0,177.0,,100.0,,,,,50.0,50.0,0.0,,,1.0,,,,,2.0,2.0,1.0,,,1.0,,,,,1.0,1.0,0.0,,,,,,50.0,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
42166217,Vaastra,bronze-dragonflight,4.0,10945.0,55.0,50.0,79.0,44.0,33.0,,0.0,100.0,0.0,50.0,22.0,6.0,14.0,9.0,3.0,,2.0,1.0,1.0,2.0,12.0,3.0,11.0,4.0,1.0,,0.0,1.0,0.0,1.0,64.0,60.0,35.0,54.0,,,,14.0,25.0,31.0,26.0,,,,9.0,15.0,11.0,14.0,,,,,,,,,,,,,,,,,,,,,
176954223,Rfiku,bronze-dragonflight,25.0,1153.0,100.0,100.0,0.0,50.0,20.0,25.0,67.0,0.0,100.0,100.0,1.0,1.0,3.0,4.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,50.0,,,,25.0,,0.0,2.0,,,,4.0,,1.0,1.0,,,,1.0,,0.0,,,,,100.0,,1.0,,1.0,0.0,1.0,0.0,,,,,,
