character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Ashran played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Ashran won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Battle for Wintergrasp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Arathi Basin win_rate,Rated Eye of the Storm played,Arathi Basin played,Rated Eye of the Storm won,Arathi Basin won,Strand of the Ancients win_rate,Deepwind Gorge (Legacy) win_rate,Korrak's Revenge win_rate,Strand of the Ancients played,Deepwind Gorge (Legacy) played,Korrak's Revenge played,Strand of the Ancients won,Deepwind Gorge (Legacy) won,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
136938662,Komaster,todeswache,6.0,4186.0,50.0,49.0,11.0,60.0,100.0,100.0,40.0,100.0,50.0,50.0,100.0,100.0,0.0,100.0,0.0,8.0,35.0,9.0,5.0,5.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,17.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
237882031,Padawa,ghostlands,20.0,1543.0,,,,100.0,,25.0,25.0,50.0,71.0,,,83.0,75.0,,60.0,,,,1.0,,4.0,8.0,10.0,7.0,,,6.0,4.0,,5.0,,,,1.0,,1.0,2.0,5.0,5.0,,,5.0,3.0,,3.0,25.0,60.0,4.0,10.0,1.0,6.0,,,,,,,,,,,,,,,,,,
116692201,Kayendra,zirkel-des-cenarius,266.0,33362.0,39.0,70.0,56.0,64.0,36.0,66.0,69.0,61.0,70.0,100.0,,89.0,83.0,86.0,,28.0,73.0,16.0,42.0,11.0,59.0,59.0,77.0,70.0,1.0,,18.0,18.0,7.0,,11.0,51.0,9.0,27.0,4.0,39.0,41.0,47.0,49.0,1.0,,16.0,15.0,6.0,,,53.0,,15.0,,8.0,54.0,74.0,0.0,13.0,38.0,5.0,7.0,28.0,0.0,,,,,,,,,
111017100,Vyneira,zirkel-des-cenarius,42.0,496.0,,,,,,100.0,50.0,,40.0,,,100.0,100.0,,,,,,,,1.0,2.0,,5.0,,,1.0,2.0,,,,,,,,1.0,1.0,,2.0,,,1.0,2.0,,,,100.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,
162356824,Qúáke,die-nachtwache,3.0,15858.0,43.0,58.0,50.0,67.0,33.0,,,,,,,,,,,7.0,12.0,14.0,3.0,3.0,,,,,,,,,,,3.0,7.0,7.0,2.0,1.0,,,,,,,,,,,,,,,,,60.0,,,5.0,,,3.0,,,,,,,,,,,
195876081,Deziath,grim-batol,38.0,2103.0,29.0,,,60.0,30.0,17.0,40.0,75.0,38.0,33.0,,50.0,20.0,0.0,50.0,7.0,,,5.0,10.0,6.0,5.0,4.0,8.0,6.0,,6.0,5.0,3.0,6.0,2.0,,,3.0,3.0,1.0,2.0,3.0,3.0,2.0,,3.0,1.0,0.0,3.0,,43.0,,7.0,,3.0,,,,,,,,,,,,,,,,,,
196094155,Глизори,gordunni,14.0,5048.0,33.0,,,75.0,60.0,58.0,33.0,62.0,83.0,33.0,,100.0,100.0,67.0,80.0,6.0,,,8.0,5.0,12.0,6.0,8.0,12.0,3.0,,8.0,4.0,3.0,5.0,2.0,,,6.0,3.0,7.0,2.0,5.0,10.0,1.0,,8.0,4.0,2.0,4.0,,70.0,,10.0,,7.0,,,,,,,,,,,,,,,,,,
144221254,Korppi,emeriss,26.0,5647.0,64.0,62.0,67.0,50.0,86.0,44.0,67.0,69.0,71.0,100.0,,62.0,83.0,100.0,50.0,22.0,8.0,3.0,6.0,14.0,9.0,15.0,13.0,17.0,3.0,,8.0,6.0,2.0,2.0,14.0,5.0,2.0,3.0,12.0,4.0,10.0,9.0,12.0,3.0,,5.0,5.0,2.0,1.0,,67.0,,3.0,,2.0,,60.0,,,5.0,,,3.0,,,,,,,,,,
87769201,Smö,suramar,10.0,5109.0,33.0,50.0,0.0,40.0,78.0,50.0,0.0,50.0,29.0,,,100.0,100.0,,,3.0,4.0,4.0,5.0,9.0,2.0,2.0,4.0,7.0,,,1.0,2.0,,,1.0,2.0,0.0,2.0,7.0,1.0,0.0,2.0,2.0,,,1.0,2.0,,,,67.0,,3.0,,2.0,33.0,40.0,,3.0,5.0,,1.0,2.0,,,,,,,,,,
96390414,Trimack,frostmourne,4.0,22002.0,100.0,,50.0,,,,,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,,0.0,,,,,,,,,
155141153,Aradax,antonidas,14.0,1428.0,100.0,,,100.0,33.0,0.0,100.0,,100.0,20.0,,0.0,0.0,33.0,,4.0,,,2.0,3.0,1.0,2.0,,1.0,5.0,,1.0,2.0,3.0,,4.0,,,2.0,1.0,0.0,2.0,,1.0,1.0,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,2.0,0.0,,,,,,
130863518,Pinpar,los-errantes,148.0,14438.0,50.0,44.0,58.0,59.0,54.0,55.0,60.0,65.0,75.0,,,150.0,50.0,0.0,75.0,22.0,27.0,33.0,22.0,13.0,22.0,20.0,17.0,24.0,,,2.0,4.0,1.0,4.0,11.0,12.0,19.0,13.0,7.0,12.0,12.0,11.0,18.0,,,3.0,2.0,0.0,3.0,,100.0,,2.0,,2.0,79.0,45.0,,14.0,11.0,,11.0,5.0,,,,,,,,,,
90161233,Fincent,malorne,178.0,23884.0,64.0,47.0,34.0,47.0,64.0,45.0,37.0,46.0,41.0,0.0,0.0,60.0,50.0,43.0,55.0,14.0,34.0,32.0,49.0,22.0,29.0,30.0,39.0,29.0,1.0,1.0,30.0,18.0,7.0,11.0,9.0,16.0,11.0,23.0,14.0,13.0,11.0,18.0,12.0,0.0,0.0,18.0,9.0,3.0,6.0,200.0,45.0,12.0,20.0,24.0,9.0,36.0,25.0,25.0,22.0,12.0,12.0,8.0,3.0,3.0,,,,100.0,2.0,2.0,,,
84047016,Tyreen,zirkel-des-cenarius,24.0,18035.0,42.0,70.0,67.0,62.0,77.0,58.0,63.0,62.0,84.0,,,,,,,38.0,76.0,54.0,37.0,26.0,36.0,27.0,40.0,68.0,,,,,,,16.0,53.0,36.0,23.0,20.0,21.0,17.0,25.0,57.0,,,,,,,,,,,,,63.0,92.0,,27.0,12.0,,17.0,11.0,,,,,,,,,,
155945324,Norm,ravencrest,14.0,1653.0,,,,60.0,0.0,75.0,67.0,100.0,75.0,50.0,0.0,50.0,100.0,100.0,67.0,,,,5.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,,,,3.0,0.0,3.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,2.0,,100.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,
91973227,Noraliä,kaelthas,11.0,3767.0,20.0,57.0,50.0,75.0,50.0,60.0,,17.0,,,,,,,,10.0,7.0,8.0,4.0,6.0,10.0,,6.0,,,,,,,,2.0,4.0,4.0,3.0,3.0,6.0,,1.0,,,,,,,,,,,,,,40.0,,,25.0,,,10.0,,,,,,,,,,,
135460264,Eroowina,burning-legion,2.0,157.0,0.0,,,,,,,100.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100695388,Ileila,alleria,5.0,23717.0,52.0,57.0,36.0,42.0,17.0,29.0,,33.0,25.0,,,,0.0,,,64.0,107.0,75.0,24.0,12.0,7.0,,3.0,4.0,,,,1.0,,,33.0,61.0,27.0,10.0,2.0,2.0,,1.0,1.0,,,,0.0,,,,0.0,,1.0,,0.0,33.0,,,30.0,,,10.0,,,,,,,,,,,
