character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Strand of the Ancients win_rate,Ashran win_rate,Strand of the Ancients played,Ashran played,Strand of the Ancients won,Ashran won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
108809209,Trynias,eredar,28.0,3040.0,100.0,100.0,50.0,33.0,57.0,100.0,67.0,60.0,100.0,86.0,45.0,0.0,25.0,33.0,100.0,0.0,2.0,4.0,2.0,3.0,7.0,1.0,3.0,5.0,5.0,7.0,11.0,1.0,4.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,2.0,3.0,5.0,6.0,5.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
92055683,Punis,aszune,33.0,19766.0,57.0,51.0,54.0,65.0,60.0,38.0,66.0,56.0,61.0,62.0,67.0,50.0,0.0,20.0,,33.0,65.0,96.0,83.0,72.0,47.0,34.0,32.0,59.0,18.0,8.0,6.0,6.0,1.0,5.0,,3.0,37.0,49.0,45.0,47.0,28.0,13.0,21.0,33.0,11.0,5.0,4.0,3.0,0.0,1.0,,1.0,48.0,100.0,64.0,1.0,31.0,1.0,,,,,,,,,,,,,,,
165507222,Thyrann,blackmoore,29.0,21290.0,68.0,60.0,53.0,54.0,71.0,59.0,47.0,24.0,73.0,50.0,,0.0,,,100.0,,38.0,110.0,59.0,35.0,17.0,29.0,17.0,17.0,22.0,8.0,,1.0,,,13.0,,26.0,66.0,31.0,19.0,12.0,17.0,8.0,4.0,16.0,4.0,,0.0,,,13.0,,45.0,,29.0,,13.0,,,,,,,,,,,,,,,,
96588270,Gumgum,arygos,27.0,2582.0,0.0,0.0,0.0,40.0,0.0,33.0,33.0,0.0,0.0,100.0,,100.0,,,,,1.0,2.0,1.0,5.0,1.0,3.0,3.0,1.0,4.0,1.0,,1.0,,,,,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,,1.0,,,,,0.0,,1.0,,0.0,,0.0,1.0,0.0,,,,,,,,,,,,
24059176,Rátos,arygos,19.0,3558.0,100.0,0.0,25.0,25.0,75.0,0.0,33.0,33.0,13.0,80.0,,,,100.0,100.0,,1.0,2.0,4.0,4.0,4.0,1.0,3.0,3.0,15.0,5.0,,,,1.0,4.0,,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,4.0,,,,1.0,4.0,,50.0,,2.0,,1.0,,56.0,9.0,5.0,,,,,,,,,,,,
167238257,Isotheos,azjolnerub,1.0,55.0,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
74440951,Theressa,arygos,61.0,3264.0,80.0,50.0,0.0,33.0,40.0,100.0,100.0,50.0,80.0,50.0,,0.0,33.0,50.0,100.0,50.0,5.0,8.0,2.0,6.0,5.0,1.0,1.0,4.0,5.0,4.0,,1.0,3.0,2.0,1.0,2.0,4.0,4.0,0.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,,0.0,1.0,1.0,1.0,1.0,0.0,67.0,2.0,3.0,0.0,2.0,,,,,,,,,,,,,,,
162817992,Элладир,howling-fjord,19.0,7525.0,67.0,64.0,46.0,45.0,100.0,41.0,64.0,54.0,62.0,50.0,69.0,88.0,14.0,,,73.0,6.0,11.0,13.0,11.0,1.0,17.0,11.0,13.0,13.0,2.0,13.0,8.0,7.0,,,11.0,4.0,7.0,6.0,5.0,1.0,7.0,7.0,7.0,8.0,1.0,9.0,7.0,1.0,,,8.0,,100.0,,2.0,,2.0,83.0,6.0,5.0,100.0,1.0,1.0,,,,,,,,,
155141153,Aradax,antonidas,14.0,1428.0,100.0,,,100.0,33.0,0.0,100.0,,100.0,,0.0,0.0,,33.0,,,4.0,,,2.0,3.0,1.0,2.0,,1.0,,1.0,2.0,,3.0,,,4.0,,,2.0,1.0,0.0,2.0,,1.0,,0.0,0.0,,1.0,,,,20.0,,5.0,,1.0,,,,,,,0.0,2.0,0.0,,,,,,
65143466,Amris,blackmoore,7.0,187.0,,100.0,,,,,100.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,100.0,1.0,1.0,,,,,,,,,,,,
