character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Korrak's Revenge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Korrak's Revenge played,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
137177891,Heartfilia,norgannon,22.0,3935.0,83.0,40.0,100.0,20.0,43.0,67.0,0.0,71.0,100.0,71.0,60.0,100.0,50.0,71.0,12.0,5.0,6.0,5.0,7.0,6.0,1.0,7.0,6.0,7.0,5.0,1.0,4.0,7.0,10.0,2.0,6.0,1.0,3.0,4.0,0.0,5.0,6.0,5.0,3.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
97349937,Grendizer,ragnaros,19.0,6045.0,64.0,43.0,54.0,81.0,86.0,83.0,4000.0,80.0,0.0,100.0,33.0,80.0,50.0,50.0,11.0,7.0,13.0,58.0,43.0,64.0,1.0,41.0,1.0,7.0,6.0,5.0,4.0,6.0,7.0,3.0,7.0,47.0,37.0,53.0,40.0,33.0,0.0,7.0,2.0,4.0,2.0,3.0,84.0,88.0,30.0,97.0,100.0,100.0,50.0,51.0,10.0,33.0,1.0,4.0,42.0,45.0,3.0,32.0,1.0,4.0,,,,,,,,,
164899019,Arthmenthil,archimonde,47.0,11410.0,67.0,64.0,25.0,67.0,58.0,36.0,60.0,48.0,50.0,36.0,62.0,50.0,29.0,71.0,6.0,14.0,8.0,21.0,24.0,14.0,5.0,25.0,2.0,14.0,21.0,14.0,7.0,7.0,4.0,9.0,2.0,14.0,14.0,5.0,3.0,12.0,1.0,5.0,13.0,7.0,2.0,5.0,20.0,100.0,,33.0,100.0,100.0,5.0,1.0,,9.0,3.0,3.0,1.0,1.0,,3.0,3.0,3.0,100.0,1.0,1.0,,,,,,
161150944,Avea,dun-morogh,12.0,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,6.0,,,,,,4.0,,,,,,,,,
155250431,Deviouslight,drakthul,12.0,3659.0,40.0,33.0,67.0,25.0,33.0,67.0,,0.0,100.0,100.0,25.0,100.0,40.0,67.0,5.0,3.0,6.0,4.0,3.0,6.0,,3.0,2.0,4.0,4.0,1.0,5.0,3.0,2.0,1.0,4.0,1.0,1.0,4.0,,0.0,2.0,4.0,1.0,1.0,2.0,2.0,,,,,60.0,100.0,,,,,10.0,1.0,,,,,6.0,1.0,,,,,,,,,
118742265,Plambi,burning-legion,20.0,17769.0,61.0,61.0,37.0,75.0,80.0,67.0,,80.0,50.0,80.0,78.0,78.0,43.0,69.0,36.0,41.0,27.0,16.0,10.0,12.0,,10.0,2.0,10.0,9.0,9.0,7.0,13.0,22.0,25.0,10.0,12.0,8.0,8.0,,8.0,1.0,8.0,7.0,7.0,3.0,9.0,58.0,55.0,63.0,,,,59.0,42.0,46.0,,,,34.0,23.0,29.0,,,,,,,,,,,,
121583901,Дредстар,fordragon,43.0,15444.0,67.0,58.0,100.0,40.0,53.0,51.0,,48.0,50.0,120.0,44.0,29.0,25.0,71.0,9.0,38.0,19.0,35.0,45.0,37.0,,50.0,2.0,10.0,9.0,7.0,4.0,7.0,6.0,22.0,19.0,14.0,24.0,19.0,,24.0,1.0,12.0,4.0,2.0,1.0,5.0,38.0,63.0,20.0,52.0,,33.0,26.0,30.0,5.0,25.0,,3.0,10.0,19.0,1.0,13.0,,1.0,100.0,2.0,2.0,,,,,,
155994042,Luhvenn,ysondre,54.0,16871.0,70.0,36.0,50.0,73.0,65.0,70.0,,66.0,,89.0,100.0,100.0,33.0,,10.0,11.0,6.0,84.0,95.0,93.0,,87.0,,9.0,1.0,1.0,6.0,,7.0,4.0,3.0,61.0,62.0,65.0,,57.0,,8.0,1.0,1.0,2.0,,61.0,69.0,30.0,73.0,11.0,,84.0,70.0,10.0,99.0,9.0,,51.0,48.0,3.0,72.0,1.0,,100.0,1.0,1.0,,,,,,
156363333,Biosync,ravencrest,5.0,58.0,,,0.0,,,,,,0.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147815072,Valheera,blackmoore,9.0,343.0,,,,,100.0,,,,,,100.0,0.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156158832,Xasil,blackmoore,69.0,4223.0,8.0,29.0,12.0,33.0,50.0,86.0,,57.0,,50.0,0.0,25.0,100.0,60.0,13.0,14.0,8.0,6.0,6.0,7.0,,7.0,,8.0,7.0,4.0,1.0,5.0,1.0,4.0,1.0,2.0,3.0,6.0,,4.0,,4.0,0.0,1.0,1.0,3.0,30.0,50.0,50.0,50.0,0.0,,10.0,2.0,2.0,4.0,1.0,,3.0,1.0,1.0,2.0,0.0,,,,,,,,,,
164108514,Torkas,alleria,25.0,569.0,100.0,0.0,,100.0,0.0,,,100.0,,,100.0,,100.0,0.0,1.0,1.0,,1.0,1.0,,,1.0,,,2.0,,1.0,1.0,1.0,0.0,,1.0,0.0,,,1.0,,,2.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
158112757,Làzarùs,thrall,7.0,1253.0,100.0,25.0,0.0,60.0,100.0,25.0,,80.0,,75.0,100.0,33.0,,,1.0,4.0,1.0,5.0,2.0,4.0,,5.0,,4.0,3.0,3.0,,,1.0,1.0,0.0,3.0,2.0,1.0,,4.0,,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181393909,Darkfellix,aggra-português,53.0,8642.0,71.0,39.0,78.0,38.0,35.0,35.0,83.0,42.0,,68.0,44.0,45.0,50.0,41.0,7.0,23.0,9.0,24.0,26.0,20.0,6.0,26.0,,19.0,43.0,33.0,4.0,32.0,5.0,9.0,7.0,9.0,9.0,7.0,5.0,11.0,,13.0,19.0,15.0,2.0,13.0,,,,0.0,0.0,,,,,2.0,1.0,,,,,0.0,0.0,,100.0,10.0,10.0,,,,,,
155141153,Aradax,antonidas,14.0,1428.0,100.0,100.0,33.0,0.0,100.0,,,100.0,20.0,0.0,0.0,,33.0,,4.0,2.0,3.0,1.0,2.0,,,1.0,5.0,1.0,2.0,,3.0,,4.0,2.0,1.0,0.0,2.0,,,1.0,1.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,,,
117244225,Ethakor,ysondre,7.0,5235.0,62.0,52.0,20.0,38.0,,62.0,,,,,,,,,13.0,29.0,10.0,8.0,,8.0,,,,,,,,,8.0,15.0,2.0,3.0,,5.0,,,,,,,,,48.0,53.0,83.0,,,,29.0,19.0,6.0,,,,14.0,10.0,5.0,,,,,,,,,,,,
120278986,Muuhhskete,norgannon,3.0,617.0,,100.0,0.0,0.0,100.0,100.0,,0.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,0.0,0.0,1.0,1.0,,0.0,,,,,,,50.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,
115797994,Helmhut,dun-morogh,33.0,1827.0,67.0,100.0,0.0,,,,,,100.0,,0.0,100.0,67.0,,3.0,1.0,3.0,,,,,,1.0,,1.0,1.0,3.0,,2.0,1.0,0.0,,,,,,1.0,,0.0,1.0,2.0,,,,,100.0,,22.0,,,,1.0,,9.0,,,,1.0,,2.0,100.0,1.0,1.0,,,,,,
161155112,Astreol,dun-morogh,1.0,249.0,,100.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,0.0,,,,,1.0,1.0,,,,,0.0,0.0,,,,,,,,,,,,,
107016596,Scoxx,twilights-hammer,14.0,30351.0,32.0,46.0,0.0,73.0,38.0,40.0,1500.0,57.0,100.0,67.0,20.0,75.0,40.0,36.0,98.0,72.0,8.0,15.0,8.0,10.0,2.0,14.0,10.0,6.0,5.0,4.0,5.0,11.0,31.0,33.0,0.0,11.0,3.0,4.0,30.0,8.0,10.0,4.0,1.0,3.0,2.0,4.0,66.0,56.0,42.0,0.0,100.0,,38.0,62.0,84.0,3.0,3.0,,25.0,35.0,35.0,0.0,3.0,,,,,,,,,,
195387984,Goldlight,hyjal,45.0,2119.0,,91.0,0.0,55.0,100.0,50.0,100.0,38.0,100.0,33.0,60.0,75.0,100.0,33.0,,11.0,1.0,11.0,5.0,2.0,1.0,8.0,1.0,3.0,5.0,4.0,1.0,6.0,,10.0,0.0,6.0,5.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77877412,Kenra,dun-morogh,39.0,8763.0,0.0,100.0,0.0,,0.0,0.0,,,,100.0,0.0,,,,1.0,1.0,2.0,,1.0,1.0,,,,1.0,1.0,,,,0.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,,,,60.0,67.0,,,,,5.0,3.0,,,,,3.0,2.0,,,,,,,,,,,,,
