character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Korrak's Revenge played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Korrak's Revenge won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Ashran win_rate,Ashran played,Ashran won,Cooking: Impossible win_rate,Arathi Basin Comp Stomp win_rate,Cooking: Impossible played,Arathi Basin Comp Stomp played,Cooking: Impossible won,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
166079251,Steks,blades-edge,22.0,20841.0,48.0,59.0,62.0,49.0,64.0,48.0,33.0,82.0,38.0,58.0,40.0,67.0,100.0,70.0,57.0,60.0,14.0,25.0,160.0,49.0,93.0,43.0,61.0,23.0,15.0,11.0,26.0,12.0,5.0,3.0,3.0,10.0,7.0,5.0,7.0,4.0,77.0,29.0,58.0,21.0,39.0,11.0,5.0,9.0,10.0,7.0,2.0,2.0,3.0,7.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
210098991,Langi,lightnings-blade,7.0,131.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
127168376,Andgrod,minahonda,16.0,4570.0,0.0,85.0,55.0,55.0,44.0,75.0,35.0,67.0,71.0,44.0,59.0,50.0,75.0,50.0,75.0,,,,2.0,13.0,11.0,11.0,9.0,4.0,17.0,18.0,17.0,16.0,17.0,2.0,4.0,6.0,4.0,,,,0.0,11.0,6.0,6.0,4.0,3.0,6.0,12.0,12.0,7.0,10.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,
164644939,Valourholy,bronzebeard,14.0,417.0,,,,0.0,,,0.0,0.0,,,,,67.0,100.0,100.0,,,,,,,2.0,,,1.0,1.0,,,,,3.0,2.0,1.0,,,,,,,0.0,,,0.0,0.0,,,,,2.0,2.0,1.0,,,,100.0,1.0,1.0,,,,,,,,,,,,
169282652,Usqell,twisting-nether,34.0,1566.0,100.0,,,100.0,,,50.0,50.0,50.0,,,,,50.0,100.0,,,57.0,1.0,,,2.0,,,2.0,2.0,2.0,,,,,2.0,1.0,,,7.0,1.0,,,2.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,,4.0,,,,,,,,,,,,,,,
155792068,Nepogen,ravencrest,10.0,2308.0,50.0,,0.0,75.0,,100.0,50.0,0.0,67.0,50.0,,,100.0,50.0,0.0,,,57.0,6.0,,1.0,4.0,,3.0,4.0,1.0,3.0,2.0,,,2.0,2.0,1.0,,,7.0,3.0,,0.0,3.0,,3.0,2.0,0.0,2.0,1.0,,,2.0,1.0,0.0,,,4.0,,,,60.0,5.0,3.0,,,,,,,,,
108905108,Jippe,eonar,101.0,44580.0,59.0,57.0,50.0,67.0,64.0,79.0,44.0,41.0,45.0,68.0,38.0,67.0,47.0,62.0,56.0,64.0,25.0,69.0,29.0,21.0,12.0,33.0,14.0,29.0,16.0,27.0,22.0,34.0,8.0,6.0,19.0,13.0,9.0,11.0,4.0,13.0,17.0,12.0,6.0,22.0,9.0,23.0,7.0,11.0,10.0,23.0,3.0,4.0,9.0,8.0,5.0,7.0,1.0,9.0,,,,,,,50.0,100.0,2.0,20.0,1.0,20.0,,,
209292187,Догу,soulflayer,17.0,4222.0,50.0,,,100.0,,50.0,50.0,50.0,0.0,100.0,,,67.0,67.0,100.0,80.0,,80.0,8.0,,,2.0,,6.0,4.0,2.0,3.0,5.0,,,3.0,3.0,1.0,5.0,,5.0,4.0,,,2.0,,3.0,2.0,1.0,0.0,5.0,,,2.0,2.0,1.0,4.0,,4.0,,,,100.0,4.0,4.0,,100.0,,6.0,,6.0,,,
167090249,Rskl,veknilash,8.0,581.0,,,,,,,50.0,0.0,0.0,0.0,,,75.0,100.0,100.0,,,67.0,,,,,,,4.0,1.0,1.0,1.0,,,4.0,1.0,2.0,,,6.0,,,,,,,2.0,0.0,0.0,0.0,,,3.0,1.0,2.0,,,4.0,38.0,8.0,3.0,,,,,,,,,,,,
111052905,Lisburn,eonar,8.0,16434.0,41.0,38.0,61.0,49.0,36.0,50.0,33.0,43.0,36.0,26.0,67.0,,,,,,,50.0,73.0,55.0,51.0,57.0,64.0,40.0,15.0,23.0,25.0,19.0,6.0,,,,,,,2.0,30.0,21.0,31.0,28.0,23.0,20.0,5.0,10.0,9.0,5.0,4.0,,,,,,,1.0,,,,,,,,,,,,,,,
172353075,Аулер,gordunni,64.0,3613.0,100.0,58.0,100.0,33.0,0.0,100.0,60.0,38.0,73.0,73.0,100.0,,1100.0,,,50.0,100.0,,1.0,12.0,2.0,3.0,1.0,1.0,5.0,13.0,11.0,26.0,1.0,,1.0,,,2.0,1.0,,1.0,7.0,2.0,1.0,0.0,1.0,3.0,5.0,8.0,19.0,1.0,,11.0,,,1.0,1.0,,,,,,,,,,,,,,,,
96588270,Gumgum,arygos,27.0,2582.0,0.0,0.0,0.0,40.0,0.0,0.0,33.0,33.0,0.0,0.0,100.0,,,100.0,,,0.0,,1.0,2.0,1.0,5.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,,,1.0,,,1.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,1.0,,,0.0,,,,,,,,,,,,,,,,
