character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Warsong Gulch win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Warsong Gulch played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Warsong Gulch won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Ashran win_rate,Seething Shore win_rate,Arathi Basin win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Ashran played,Seething Shore played,Arathi Basin played,Korrak's Revenge played,Rated Eye of the Storm won,Ashran won,Seething Shore won,Arathi Basin won,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
41056082,Loker,auchindoun,78.0,32461.0,86.0,66.0,55.0,61.0,50.0,62.0,64.0,83.0,61.0,76.0,67.0,100.0,100.0,100.0,100.0,37.0,200.0,71.0,49.0,16.0,16.0,22.0,12.0,18.0,17.0,15.0,2.0,1.0,1.0,1.0,32.0,131.0,39.0,30.0,8.0,10.0,14.0,10.0,11.0,13.0,10.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
137831375,Hashcat,defias-brotherhood,26.0,6099.0,60.0,,,58.0,,,40.0,53.0,50.0,59.0,,65.0,50.0,100.0,75.0,5.0,,,19.0,,,10.0,15.0,10.0,17.0,,17.0,4.0,3.0,20.0,3.0,,,11.0,,,4.0,8.0,5.0,10.0,,11.0,2.0,3.0,15.0,0.0,100.0,44.0,57.0,40.0,1.0,1.0,16.0,23.0,5.0,0.0,1.0,7.0,13.0,2.0,,,,,,,,,
108995357,Garantine,stormrage,9.0,11006.0,77.0,,,,,,,100.0,,50.0,,,,,,13.0,,,,,,,1.0,,2.0,,,,,,10.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114556606,Shawney,stormrage,2.0,4630.0,58.0,46.0,55.0,45.0,30.0,27.0,,0.0,0.0,0.0,,,,,,12.0,24.0,20.0,11.0,10.0,11.0,,1.0,1.0,1.0,,,,,,7.0,11.0,11.0,5.0,3.0,3.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124366429,Loveliest,stormrage,181.0,48091.0,46.0,62.0,48.0,63.0,46.0,40.0,83.0,69.0,59.0,55.0,56.0,71.0,67.0,100.0,100.0,82.0,191.0,112.0,103.0,70.0,45.0,23.0,16.0,22.0,29.0,16.0,7.0,3.0,4.0,2.0,38.0,119.0,54.0,65.0,32.0,18.0,19.0,11.0,13.0,16.0,9.0,5.0,2.0,4.0,2.0,,0.0,71.0,100.0,86.0,,1.0,7.0,3.0,7.0,,0.0,5.0,3.0,6.0,100.0,2.0,2.0,,,,,,
135330361,Racduck,dunemaul,37.0,17635.0,76.0,45.0,51.0,49.0,11.0,78.0,65.0,54.0,69.0,46.0,54.0,45.0,50.0,,80.0,42.0,33.0,43.0,37.0,9.0,45.0,20.0,37.0,26.0,28.0,13.0,11.0,8.0,,15.0,32.0,15.0,22.0,18.0,1.0,35.0,13.0,20.0,18.0,13.0,7.0,5.0,4.0,,12.0,71.0,50.0,71.0,35.0,,7.0,2.0,14.0,20.0,,5.0,1.0,10.0,7.0,,67.0,3.0,2.0,,,,,,
163224163,Радостьмоя,gordunni,94.0,10242.0,,55.0,38.0,67.0,100.0,,43.0,56.0,59.0,54.0,67.0,62.0,,100.0,82.0,,22.0,8.0,24.0,3.0,,28.0,43.0,41.0,48.0,12.0,16.0,,2.0,11.0,,12.0,3.0,16.0,3.0,,12.0,24.0,24.0,26.0,8.0,10.0,,2.0,9.0,,,55.0,69.0,0.0,,,20.0,16.0,1.0,,,11.0,11.0,0.0,50.0,4.0,2.0,,,,,,
93089091,Eliminato,stormrage,72.0,17903.0,55.0,59.0,57.0,61.0,44.0,62.0,69.0,32.0,69.0,48.0,67.0,67.0,70.0,100.0,46.0,29.0,51.0,30.0,38.0,9.0,21.0,26.0,22.0,26.0,40.0,12.0,27.0,10.0,2.0,13.0,16.0,30.0,17.0,23.0,4.0,13.0,18.0,7.0,18.0,19.0,8.0,18.0,7.0,2.0,6.0,,100.0,59.0,52.0,100.0,,3.0,22.0,21.0,11.0,,3.0,13.0,11.0,11.0,60.0,10.0,6.0,,,,,,
75165662,Fnatix,kazzak,26.0,9273.0,50.0,67.0,66.0,64.0,61.0,36.0,67.0,25.0,58.0,25.0,50.0,,,,,24.0,30.0,35.0,28.0,18.0,11.0,6.0,4.0,12.0,4.0,6.0,,,,,12.0,20.0,23.0,18.0,11.0,4.0,4.0,1.0,7.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165287936,Holzkûh,blackmoore,28.0,2449.0,100.0,,,100.0,,,71.0,67.0,43.0,60.0,,50.0,,,86.0,1.0,,,4.0,,,7.0,3.0,7.0,10.0,,4.0,,,7.0,1.0,,,4.0,,,5.0,2.0,3.0,6.0,,2.0,,,6.0,50.0,,40.0,25.0,,4.0,,5.0,4.0,,2.0,,2.0,1.0,,,,,,,,,,
117146148,Kardasi,ravencrest,22.0,3159.0,58.0,,,40.0,,62.0,100.0,43.0,100.0,88.0,,57.0,71.0,,100.0,12.0,,,5.0,,8.0,4.0,7.0,1.0,8.0,,7.0,7.0,,1.0,7.0,,,2.0,,5.0,4.0,3.0,1.0,7.0,,4.0,5.0,,1.0,,29.0,100.0,67.0,,,7.0,2.0,3.0,,,2.0,2.0,2.0,,,,,,,,,,
237886091,Hamsandwich,ghostlands,1.0,323.0,,,0.0,,,,,,,,,100.0,,,,,,1.0,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
