character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Isle of Conquest win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Isle of Conquest played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Alterac Valley won,Isle of Conquest won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Deepwind Gorge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Rated Eye of the Storm win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Korrak's Revenge played,Rated Eye of the Storm won,Korrak's Revenge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
156893097,Dawnbringer,archimonde,12.0,1099.0,100.0,33.0,100.0,100.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111673299,Gusrim,shadowsong,19.0,36139.0,47.0,45.0,67.0,50.0,60.0,50.0,75.0,32.0,11.0,6.0,6.0,5.0,2.0,4.0,15.0,5.0,4.0,3.0,3.0,1.0,3.0,57.0,59.0,43.0,52.0,88.0,45.0,62.0,71.0,67.0,100.0,20.0,47.0,59.0,44.0,64.0,8.0,20.0,13.0,7.0,3.0,1.0,5.0,27.0,35.0,19.0,33.0,7.0,9.0,8.0,5.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
41056082,Loker,auchindoun,78.0,32461.0,86.0,62.0,76.0,,100.0,,100.0,37.0,16.0,17.0,,2.0,,1.0,32.0,10.0,13.0,,2.0,,1.0,66.0,55.0,61.0,50.0,64.0,83.0,61.0,67.0,,,100.0,200.0,71.0,49.0,16.0,22.0,12.0,18.0,15.0,,,1.0,131.0,39.0,30.0,8.0,14.0,10.0,11.0,10.0,,,1.0,100.0,1.0,1.0,,,,,,,,,,,,
226274304,Valithria,sylvanas,58.0,7799.0,56.0,71.0,73.0,100.0,80.0,62.0,29.0,9.0,7.0,11.0,2.0,10.0,8.0,7.0,5.0,5.0,8.0,2.0,8.0,5.0,2.0,33.0,33.0,62.0,100.0,50.0,33.0,80.0,50.0,,,,3.0,3.0,8.0,1.0,2.0,6.0,5.0,8.0,,,,1.0,1.0,5.0,1.0,1.0,2.0,4.0,4.0,,,,100.0,51.0,51.0,75.0,0.0,4.0,2.0,3.0,0.0,,,,,,
226283851,Doríáth,sylvanas,47.0,56222.0,38.0,58.0,57.0,58.0,40.0,50.0,31.0,29.0,19.0,28.0,12.0,15.0,12.0,13.0,11.0,11.0,16.0,7.0,6.0,6.0,4.0,67.0,43.0,39.0,46.0,43.0,59.0,45.0,43.0,,,44.0,6.0,7.0,23.0,13.0,21.0,27.0,20.0,7.0,,,18.0,4.0,3.0,9.0,6.0,9.0,16.0,9.0,3.0,,,8.0,,,,,,,,,,,,,,,
176231782,Intrøper,outland,11.0,3109.0,50.0,50.0,29.0,83.0,75.0,75.0,67.0,2.0,2.0,7.0,6.0,4.0,4.0,3.0,1.0,1.0,2.0,5.0,3.0,3.0,2.0,50.0,100.0,38.0,,33.0,67.0,44.0,50.0,,,0.0,4.0,3.0,8.0,,3.0,6.0,9.0,4.0,,,1.0,2.0,3.0,3.0,,1.0,4.0,4.0,2.0,,,0.0,,,,,,,,,,,,,,,
175091275,Läthgërtha,dun-modr,44.0,3760.0,0.0,40.0,40.0,62.0,59.0,43.0,33.0,2.0,5.0,10.0,16.0,17.0,14.0,3.0,0.0,2.0,4.0,10.0,10.0,6.0,1.0,,,50.0,,62.0,80.0,58.0,,0.0,,67.0,,,4.0,,16.0,10.0,19.0,,2.0,,27.0,,,2.0,,10.0,8.0,11.0,,0.0,,18.0,,,,56.0,,9.0,,5.0,,0.0,1.0,0.0,,,
143937353,Blumes,argent-dawn,79.0,8686.0,56.0,88.0,50.0,44.0,74.0,56.0,60.0,9.0,8.0,32.0,36.0,19.0,16.0,5.0,5.0,7.0,16.0,16.0,14.0,9.0,3.0,57.0,37.0,70.0,,44.0,35.0,54.0,43.0,57.0,100.0,70.0,14.0,19.0,10.0,,32.0,31.0,24.0,14.0,7.0,1.0,10.0,8.0,7.0,7.0,,14.0,11.0,13.0,6.0,4.0,1.0,7.0,100.0,3.0,3.0,100.0,18.0,9.0,11.0,9.0,2.0,0.0,1.0,0.0,,,
226400871,Zaxonia,sylvanas,41.0,6178.0,53.0,67.0,57.0,0.0,50.0,75.0,,15.0,6.0,7.0,2.0,4.0,4.0,,8.0,4.0,4.0,0.0,2.0,3.0,,83.0,100.0,0.0,,67.0,33.0,50.0,100.0,15.0,0.0,100.0,6.0,1.0,2.0,,3.0,3.0,4.0,2.0,20.0,1.0,1.0,5.0,1.0,0.0,,2.0,1.0,2.0,2.0,3.0,0.0,1.0,,,,,25.0,,16.0,,4.0,,,,,,
178142124,Десперайт,gordunni,39.0,808.0,,100.0,,,,0.0,,,1.0,,,,1.0,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183148479,Медаяз,gordunni,15.0,2420.0,100.0,100.0,33.0,50.0,,100.0,50.0,1.0,3.0,6.0,4.0,,1.0,2.0,1.0,3.0,2.0,2.0,,1.0,1.0,33.0,25.0,20.0,100.0,50.0,50.0,,33.0,100.0,,0.0,3.0,4.0,5.0,2.0,4.0,2.0,,3.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,,0.0,,,,,,,,,,,,,,,
139956677,Dritnz,silvermoon,68.0,2518.0,50.0,0.0,44.0,80.0,0.0,100.0,100.0,4.0,1.0,9.0,5.0,3.0,1.0,1.0,2.0,0.0,4.0,4.0,0.0,1.0,1.0,33.0,0.0,43.0,50.0,75.0,50.0,57.0,67.0,100.0,0.0,67.0,3.0,2.0,7.0,2.0,4.0,8.0,7.0,3.0,2.0,1.0,3.0,1.0,0.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,0.0,2.0,,,,0.0,,2.0,,0.0,,,,,,,
218020568,Zephyrindark,sylvanas,62.0,5598.0,100.0,0.0,94.0,50.0,77.0,56.0,100.0,2.0,1.0,17.0,18.0,13.0,9.0,1.0,2.0,0.0,16.0,9.0,10.0,5.0,1.0,100.0,,62.0,,53.0,62.0,71.0,67.0,50.0,100.0,60.0,1.0,,8.0,,17.0,21.0,14.0,6.0,2.0,1.0,15.0,1.0,,5.0,,9.0,13.0,10.0,4.0,1.0,1.0,9.0,,,,100.0,,2.0,,2.0,,,,,,,
184164572,Confesser,silvermoon,51.0,7586.0,43.0,67.0,60.0,63.0,25.0,47.0,33.0,7.0,6.0,20.0,19.0,12.0,17.0,3.0,3.0,4.0,12.0,12.0,3.0,8.0,1.0,55.0,25.0,53.0,,50.0,65.0,83.0,0.0,,,50.0,11.0,4.0,19.0,,18.0,20.0,12.0,1.0,,,12.0,6.0,1.0,10.0,,9.0,13.0,10.0,0.0,,,6.0,,,,,,,,,,,,,,,
225939205,Luxeques,sylvanas,25.0,2089.0,,,50.0,25.0,33.0,50.0,100.0,,,16.0,4.0,3.0,10.0,1.0,,,8.0,1.0,1.0,5.0,1.0,,100.0,80.0,,67.0,100.0,50.0,100.0,,,50.0,,3.0,5.0,,3.0,1.0,8.0,4.0,,,2.0,,3.0,4.0,,2.0,1.0,4.0,4.0,,,1.0,100.0,4.0,4.0,25.0,,4.0,,1.0,,,,,,,
