character.id,character.name,character.realm.slug,honor_level,honorable_kills,Isle of Conquest win_rate,Arathi Basin win_rate,Isle of Conquest played,Arathi Basin played,Isle of Conquest won,Arathi Basin won,Alterac Valley win_rate,Eye of the Storm win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Battle for Wintergrasp won,Deepwind Gorge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Ashran win_rate,Ashran played,Ashran won,Rated Eye of the Storm win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Rated Eye of the Storm won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
178142124,Десперайт,gordunni,39.0,808.0,100.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113620817,Cykapala,ravencrest,15.0,3411.0,67.0,75.0,3.0,4.0,2.0,3.0,67.0,53.0,50.0,86.0,100.0,17.0,100.0,67.0,25.0,100.0,50.0,3.0,15.0,4.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,4.0,2.0,8.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
156356594,Wyrea,antonidas,16.0,234.0,,,,,,,0.0,,,,,,,,100.0,,,1.0,,,,,,,,1.0,,,0.0,,,,,,,,1.0,,,50.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
181587981,Кэмрад,gordunni,23.0,5384.0,75.0,,4.0,,3.0,,100.0,86.0,50.0,77.0,71.0,60.0,71.0,,,,,1.0,7.0,8.0,13.0,7.0,15.0,7.0,,,,,1.0,6.0,4.0,10.0,5.0,9.0,5.0,,,,,,,,67.0,83.0,50.0,9.0,6.0,6.0,6.0,5.0,3.0,,,,,,,,,,,,,,,
199152184,Слипноумо,gordunni,16.0,1928.0,,67.0,,3.0,,2.0,50.0,100.0,67.0,60.0,,50.0,,75.0,0.0,0.0,33.0,2.0,5.0,6.0,10.0,,2.0,,8.0,1.0,1.0,3.0,1.0,5.0,4.0,6.0,,1.0,,6.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
210021985,Goldanna,nagrand,69.0,1492.0,60.0,0.0,5.0,2.0,3.0,0.0,54.0,,100.0,,,100.0,100.0,100.0,0.0,50.0,,13.0,,3.0,,,1.0,1.0,1.0,1.0,4.0,,7.0,,3.0,,,1.0,1.0,1.0,0.0,2.0,,,,,,,,,,,,,,25.0,4.0,1.0,,,,,,,,,,,,
226274304,Valithria,sylvanas,58.0,7799.0,71.0,62.0,7.0,8.0,5.0,5.0,56.0,62.0,50.0,33.0,80.0,73.0,50.0,100.0,80.0,29.0,,9.0,8.0,2.0,6.0,5.0,11.0,8.0,2.0,10.0,7.0,,5.0,5.0,1.0,2.0,4.0,8.0,4.0,2.0,8.0,2.0,,,,,33.0,33.0,100.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,75.0,100.0,0.0,4.0,51.0,2.0,3.0,51.0,0.0,,,
180191286,Альтошка,gordunni,17.0,3076.0,0.0,0.0,1.0,2.0,0.0,0.0,75.0,67.0,25.0,43.0,67.0,25.0,0.0,71.0,100.0,50.0,33.0,4.0,3.0,4.0,7.0,6.0,4.0,1.0,7.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,4.0,1.0,0.0,5.0,1.0,1.0,1.0,,,,33.0,,,6.0,,,2.0,,,100.0,2.0,2.0,,,,,,,,,,,,
226283851,Doríáth,sylvanas,47.0,56222.0,58.0,50.0,19.0,12.0,11.0,6.0,38.0,39.0,43.0,59.0,45.0,57.0,43.0,58.0,40.0,31.0,44.0,29.0,23.0,21.0,27.0,20.0,28.0,7.0,12.0,15.0,13.0,18.0,11.0,9.0,9.0,16.0,9.0,16.0,3.0,7.0,6.0,4.0,8.0,,,,67.0,43.0,46.0,6.0,7.0,13.0,4.0,3.0,6.0,,,,,,,,,,,,,,,
184106006,Спангебуб,gordunni,59.0,13508.0,40.0,57.0,10.0,7.0,4.0,4.0,70.0,82.0,33.0,69.0,86.0,52.0,80.0,77.0,75.0,53.0,33.0,10.0,11.0,12.0,26.0,7.0,25.0,5.0,22.0,16.0,17.0,6.0,7.0,9.0,4.0,18.0,6.0,13.0,4.0,17.0,12.0,9.0,2.0,100.0,3.0,3.0,33.0,100.0,,3.0,2.0,,1.0,2.0,,100.0,2.0,2.0,50.0,100.0,40.0,4.0,19.0,5.0,2.0,19.0,2.0,,,
156893097,Dawnbringer,archimonde,12.0,1099.0,33.0,0.0,3.0,2.0,1.0,0.0,100.0,,,,,100.0,,100.0,0.0,0.0,,1.0,,,,,1.0,,2.0,3.0,1.0,,1.0,,,,,1.0,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192656603,Пчелобав,gordunni,48.0,1256.0,100.0,100.0,2.0,1.0,2.0,1.0,50.0,50.0,100.0,50.0,,60.0,,,100.0,33.0,,2.0,2.0,1.0,2.0,,5.0,,,1.0,3.0,,1.0,1.0,1.0,1.0,,3.0,,,1.0,1.0,,50.0,2.0,1.0,,,,,,,,,,50.0,2.0,1.0,,,,,,,,,,,,
101228281,Reava,alleria,76.0,11264.0,70.0,20.0,20.0,10.0,14.0,2.0,58.0,62.0,65.0,76.0,52.0,53.0,62.0,39.0,43.0,60.0,50.0,31.0,26.0,34.0,33.0,27.0,32.0,8.0,18.0,21.0,5.0,6.0,18.0,16.0,22.0,25.0,14.0,17.0,5.0,7.0,9.0,3.0,3.0,,,,40.0,80.0,68.0,10.0,15.0,19.0,4.0,12.0,13.0,33.0,3.0,1.0,75.0,100.0,,4.0,2.0,,3.0,2.0,,,,
64791081,Ревирант,gordunni,57.0,7346.0,0.0,86.0,1.0,7.0,0.0,6.0,50.0,38.0,50.0,29.0,56.0,72.0,33.0,50.0,59.0,0.0,33.0,2.0,13.0,14.0,31.0,16.0,18.0,3.0,8.0,17.0,2.0,6.0,1.0,5.0,7.0,9.0,9.0,13.0,1.0,4.0,10.0,0.0,2.0,38.0,8.0,3.0,45.0,100.0,71.0,22.0,1.0,7.0,10.0,1.0,5.0,100.0,1.0,1.0,,100.0,,,5.0,,,5.0,,,,
162999798,Iladonf,dalaran,16.0,161.0,50.0,,2.0,,1.0,,,,100.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183148479,Медаяз,gordunni,15.0,2420.0,100.0,100.0,3.0,1.0,3.0,1.0,100.0,20.0,50.0,50.0,,33.0,33.0,50.0,,50.0,0.0,1.0,5.0,4.0,2.0,,6.0,3.0,4.0,,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,2.0,,1.0,0.0,,,,33.0,25.0,100.0,3.0,4.0,2.0,1.0,1.0,2.0,100.0,1.0,1.0,,,,,,,,,,,,
139653617,Bolívar,magtheridon,25.0,10775.0,60.0,65.0,5.0,17.0,3.0,11.0,29.0,67.0,74.0,55.0,74.0,45.0,56.0,76.0,50.0,50.0,74.0,7.0,18.0,27.0,20.0,19.0,22.0,9.0,17.0,20.0,4.0,19.0,2.0,12.0,20.0,11.0,14.0,10.0,5.0,13.0,10.0,2.0,14.0,50.0,2.0,1.0,56.0,100.0,0.0,9.0,1.0,1.0,5.0,1.0,0.0,75.0,4.0,3.0,,100.0,50.0,,2.0,2.0,,2.0,1.0,100.0,1.0,1.0
83741128,Talaessa,pozzo-delleternità,8.0,9343.0,20.0,,10.0,,2.0,,65.0,38.0,,0.0,,,,,100.0,100.0,,17.0,13.0,,1.0,,,,,1.0,1.0,,11.0,5.0,,0.0,,,,,1.0,1.0,,,,,45.0,22.0,70.0,11.0,9.0,10.0,5.0,2.0,7.0,,,,,100.0,,,11.0,,,11.0,,,,
77429208,Дэно,fordragon,26.0,10022.0,57.0,,21.0,,12.0,,56.0,44.0,64.0,50.0,48.0,50.0,50.0,,,,,9.0,50.0,11.0,4.0,23.0,4.0,2.0,,,,,5.0,22.0,7.0,2.0,11.0,2.0,1.0,,,,,,,,53.0,53.0,68.0,15.0,30.0,19.0,8.0,16.0,13.0,,,,,,,,,,,,,,,
149900052,Nølight,antonidas,48.0,882.0,0.0,100.0,2.0,1.0,0.0,1.0,75.0,33.0,,100.0,50.0,0.0,,67.0,0.0,33.0,,4.0,3.0,,1.0,2.0,1.0,,3.0,2.0,3.0,,3.0,1.0,,1.0,1.0,0.0,,2.0,0.0,1.0,,100.0,1.0,1.0,,,,,,,,,,,,,50.0,,,2.0,,,1.0,,,,,
