character.id,character.name,character.realm.slug,honor_level,honorable_kills,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Deepwind Gorge (Legacy) win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Deepwind Gorge (Legacy) played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Deepwind Gorge (Legacy) won,Rated Eye of the Storm win_rate,Battle for Wintergrasp win_rate,Rated Eye of the Storm played,Battle for Wintergrasp played,Rated Eye of the Storm won,Battle for Wintergrasp won,Arathi Basin Winter win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Arathi Basin Winter played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Arathi Basin Winter won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
174241461,Hêizën,marécage-de-zangar,17.0,519.0,100.0,100.0,33.0,100.0,60.0,0.0,0.0,50.0,50.0,0.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77429208,Дэно,fordragon,26.0,10022.0,57.0,64.0,50.0,48.0,50.0,,,,,,21.0,11.0,4.0,23.0,4.0,,,,,,12.0,7.0,2.0,11.0,2.0,,,,,,56.0,53.0,53.0,44.0,68.0,50.0,9.0,15.0,30.0,50.0,19.0,2.0,5.0,8.0,16.0,22.0,13.0,1.0,,,,,,,,,,,,,,,,,,,,,
178142124,Десперайт,gordunni,39.0,808.0,100.0,,,,,,,,0.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196142318,Оливьешька,deathguard,13.0,1256.0,75.0,75.0,0.0,67.0,0.0,0.0,33.0,33.0,100.0,0.0,4.0,4.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,0.0,,,,,,1.0,,,,,,0.0,,,100.0,100.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
139077409,Тоенак,deathguard,33.0,9779.0,44.0,45.0,56.0,29.0,46.0,,50.0,71.0,67.0,0.0,9.0,11.0,9.0,7.0,13.0,,4.0,7.0,3.0,1.0,4.0,5.0,5.0,2.0,6.0,,2.0,5.0,2.0,0.0,50.0,75.0,40.0,62.0,0.0,44.0,12.0,4.0,5.0,8.0,1.0,9.0,6.0,3.0,2.0,5.0,0.0,4.0,,44.0,,9.0,,4.0,100.0,100.0,100.0,2.0,6.0,1.0,2.0,6.0,1.0,,,,,,
175495365,Фрига,galakrond,14.0,4640.0,64.0,20.0,50.0,78.0,50.0,33.0,0.0,50.0,43.0,60.0,11.0,5.0,6.0,9.0,6.0,3.0,5.0,16.0,7.0,5.0,7.0,1.0,3.0,7.0,3.0,1.0,0.0,8.0,3.0,3.0,38.0,,,31.0,,,8.0,,,16.0,,,3.0,,,5.0,,,,33.0,,6.0,,2.0,,,,,,,,,,,,,,,
161758922,Candus,draenor,5.0,24480.0,25.0,100.0,67.0,67.0,100.0,,0.0,100.0,,,4.0,2.0,3.0,3.0,1.0,,1.0,1.0,,,1.0,2.0,2.0,2.0,1.0,,0.0,1.0,,,25.0,50.0,60.0,40.0,83.0,100.0,20.0,8.0,10.0,10.0,6.0,2.0,5.0,4.0,6.0,4.0,5.0,2.0,,100.0,,1.0,,1.0,,,100.0,,,1.0,,,1.0,,,,,,
157157590,Warlórd,stormscale,27.0,1631.0,33.0,50.0,50.0,,0.0,50.0,100.0,0.0,,25.0,3.0,2.0,2.0,,1.0,6.0,1.0,2.0,,4.0,1.0,1.0,1.0,,0.0,3.0,1.0,0.0,,1.0,,,,100.0,,,,,,1.0,,,,,,1.0,,,,75.0,,4.0,,3.0,,,,,,,,,,,,,,,
166322312,Probold,blackmoore,4.0,677.0,100.0,100.0,0.0,100.0,100.0,0.0,,100.0,25.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,3.0,1.0,0.0,100.0,,,100.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
209977712,Tésh,nagrand,13.0,3269.0,0.0,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,100.0,68.0,80.0,29.0,79.0,,3.0,37.0,5.0,7.0,14.0,,3.0,25.0,4.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,
