character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Ashran played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Ashran won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge win_rate,Deepwind Gorge played,Deepwind Gorge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
77429208,Дэно,fordragon,26.0,10022.0,56.0,53.0,53.0,44.0,68.0,57.0,64.0,50.0,48.0,50.0,50.0,9.0,15.0,30.0,50.0,19.0,21.0,11.0,4.0,23.0,4.0,2.0,5.0,8.0,16.0,22.0,13.0,12.0,7.0,2.0,11.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192498688,Эндоул,gordunni,12.0,2723.0,0.0,,,100.0,,50.0,0.0,50.0,25.0,0.0,,1.0,,,1.0,,2.0,1.0,2.0,4.0,1.0,,0.0,,,1.0,,1.0,0.0,1.0,1.0,0.0,,0.0,25.0,67.0,100.0,100.0,25.0,100.0,0.0,1.0,4.0,3.0,2.0,1.0,4.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,,,,,,,,,,,,
121583901,Дредстар,fordragon,43.0,15444.0,67.0,38.0,63.0,58.0,20.0,100.0,40.0,53.0,51.0,48.0,52.0,9.0,26.0,30.0,38.0,5.0,19.0,35.0,45.0,37.0,50.0,25.0,6.0,10.0,19.0,22.0,1.0,19.0,14.0,24.0,19.0,24.0,13.0,50.0,,120.0,44.0,29.0,25.0,100.0,33.0,2.0,,10.0,9.0,7.0,4.0,2.0,3.0,1.0,,12.0,4.0,2.0,1.0,2.0,1.0,71.0,7.0,5.0,,,,,,,,,
173473003,Болрен,fordragon,4.0,302.0,100.0,,,,,,,0.0,100.0,100.0,,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,0.0,1.0,1.0,,50.0,,,,0.0,,,,2.0,,,,1.0,,,,1.0,,,,0.0,,,,,,,,,,,,,,,
242363131,Джиммиджи,gordunni,155.0,11779.0,40.0,20.0,33.0,47.0,50.0,17.0,60.0,8.0,67.0,47.0,100.0,5.0,10.0,6.0,15.0,6.0,6.0,5.0,12.0,6.0,17.0,1.0,2.0,2.0,2.0,7.0,3.0,1.0,3.0,1.0,4.0,8.0,1.0,,,50.0,50.0,0.0,0.0,100.0,100.0,,,6.0,2.0,1.0,3.0,8.0,1.0,,,3.0,1.0,0.0,0.0,8.0,1.0,67.0,3.0,2.0,,,,,,,,,
181677258,Саффирин,gordunni,14.0,1222.0,100.0,50.0,67.0,50.0,50.0,,0.0,40.0,,50.0,100.0,1.0,6.0,3.0,2.0,4.0,,3.0,5.0,,2.0,1.0,1.0,3.0,2.0,1.0,2.0,,0.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98593662,Squall,zuluhed,1.0,35842.0,75.0,80.0,87.0,69.0,69.0,67.0,100.0,,50.0,0.0,,12.0,50.0,31.0,39.0,16.0,3.0,1.0,,2.0,2.0,,9.0,40.0,27.0,27.0,11.0,2.0,1.0,,1.0,0.0,,,,0.0,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,
137417779,Ardiana,khadgar,36.0,39099.0,57.0,49.0,48.0,50.0,47.0,58.0,78.0,50.0,17.0,62.0,67.0,63.0,431.0,114.0,107.0,95.0,100.0,9.0,6.0,6.0,8.0,3.0,36.0,213.0,55.0,54.0,45.0,58.0,7.0,3.0,1.0,5.0,2.0,,,100.0,,,0.0,,0.0,,,1.0,,,1.0,,8.0,,,1.0,,,0.0,,0.0,0.0,1.0,0.0,,,,,,,,,
147481452,Nairda,twisting-nether,6.0,702.0,0.0,0.0,,0.0,,100.0,100.0,,0.0,100.0,,1.0,1.0,,1.0,,1.0,2.0,,1.0,1.0,,0.0,0.0,,0.0,,1.0,2.0,,0.0,1.0,,,,,0.0,,100.0,100.0,,,,,2.0,,1.0,2.0,,,,,0.0,,1.0,2.0,,0.0,1.0,0.0,,,,,,,,,
174891056,Нэйтеро,fordragon,14.0,194.0,100.0,,,,,,0.0,,0.0,,,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
