character.id,character.name,character.realm.slug,honor_level,honorable_kills,Eye of the Storm win_rate,Isle of Conquest win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Deepwind Gorge win_rate,Eye of the Storm played,Isle of Conquest played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Ashran played,Seething Shore played,Warsong Gulch played,Deepwind Gorge played,Eye of the Storm won,Isle of Conquest won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Ashran won,Seething Shore won,Warsong Gulch won,Deepwind Gorge won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,Deepwind Gorge (Legacy) win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,Deepwind Gorge (Legacy) played,Battle for Wintergrasp played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,Deepwind Gorge (Legacy) won,Battle for Wintergrasp won,Arathi Basin Winter win_rate,Arathi Basin win_rate,Arathi Basin Winter played,Arathi Basin played,Arathi Basin Winter won,Arathi Basin won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
191746469,Blahblahdin,kazzak,22.0,538.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18820223,Лайтмен,azuregos,8.0,9405.0,100.0,0.0,50.0,,50.0,,,,,1.0,1.0,8.0,,6.0,,,,,1.0,0.0,4.0,,3.0,,,,,83.0,40.0,77.0,0.0,80.0,75.0,100.0,0.0,6.0,20.0,13.0,3.0,5.0,4.0,2.0,1.0,5.0,8.0,10.0,0.0,4.0,3.0,2.0,0.0,,,,,,,,,,,,,,,,,,
175169023,Артипал,azuregos,21.0,1122.0,,,100.0,,50.0,,,,,,,2.0,,2.0,,,,,,,2.0,,1.0,,,,,,50.0,,0.0,62.0,100.0,,,,2.0,,1.0,8.0,3.0,,,,1.0,,0.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,
247894298,Каэрвиль,azuregos,11.0,194.0,100.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186395929,Бэдгар,azuregos,8.0,919.0,67.0,100.0,,,,,0.0,,,3.0,1.0,,,,,1.0,,,2.0,1.0,,,,,0.0,,,50.0,,,,50.0,50.0,,25.0,2.0,,,,2.0,2.0,,4.0,1.0,,,,1.0,1.0,,1.0,20.0,0.0,5.0,1.0,1.0,0.0,,,,,,,,,,,,
244614725,Бодрыйклоп,gordunni,7.0,688.0,0.0,100.0,100.0,,100.0,,100.0,0.0,,1.0,2.0,3.0,,2.0,,1.0,1.0,,0.0,2.0,3.0,,2.0,,1.0,0.0,,,,,,100.0,100.0,,0.0,,,,,2.0,1.0,,1.0,,,,,2.0,1.0,,0.0,,100.0,,1.0,,1.0,,,,,,,,,,,,
149922389,Verdikt,alleria,13.0,3767.0,100.0,100.0,67.0,,43.0,,0.0,57.0,100.0,9.0,4.0,3.0,,14.0,,4.0,7.0,2.0,9.0,4.0,2.0,,6.0,,0.0,4.0,2.0,60.0,50.0,20.0,0.0,31.0,40.0,67.0,80.0,5.0,8.0,5.0,1.0,13.0,5.0,3.0,5.0,3.0,4.0,1.0,0.0,4.0,2.0,2.0,4.0,,,,,,,100.0,4.0,4.0,,,,,,,,,
137831375,Hashcat,defias-brotherhood,26.0,6099.0,58.0,,50.0,0.0,59.0,100.0,44.0,65.0,75.0,19.0,,10.0,1.0,17.0,1.0,16.0,17.0,20.0,11.0,,5.0,0.0,10.0,1.0,7.0,11.0,15.0,60.0,,,,40.0,53.0,,50.0,5.0,,,,10.0,15.0,,4.0,3.0,,,,4.0,8.0,,2.0,,57.0,,23.0,,13.0,100.0,3.0,3.0,40.0,5.0,2.0,,,,,,
174891056,Нэйтеро,fordragon,14.0,194.0,,,0.0,,,,,,,,,1.0,,,,,,,,,0.0,,,,,,,100.0,,,,0.0,,,,1.0,,,,1.0,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,
196139612,Греночка,azuregos,13.0,1702.0,,67.0,75.0,,0.0,100.0,0.0,50.0,0.0,,3.0,4.0,,1.0,2.0,1.0,2.0,2.0,,2.0,3.0,,0.0,2.0,0.0,1.0,0.0,67.0,,,,75.0,75.0,,50.0,3.0,,,,4.0,4.0,,2.0,2.0,,,,3.0,3.0,,1.0,,0.0,,1.0,,0.0,,,,0.0,1.0,0.0,,,,,,
