character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Winter played,Rated Eye of the Storm won,Ashran won,Arathi Basin Winter won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
242363131,Джиммиджи,gordunni,155.0,11779.0,40.0,20.0,33.0,47.0,50.0,17.0,60.0,8.0,67.0,47.0,100.0,50.0,50.0,0.0,0.0,100.0,100.0,67.0,5.0,10.0,6.0,15.0,6.0,6.0,5.0,12.0,6.0,17.0,1.0,6.0,2.0,1.0,3.0,8.0,1.0,3.0,2.0,2.0,2.0,7.0,3.0,1.0,3.0,1.0,4.0,8.0,1.0,3.0,1.0,0.0,0.0,8.0,1.0,2.0,,,,,,,,,,,,,,,
192045964,Дикобраазз,eversong,36.0,11295.0,47.0,,,29.0,,53.0,57.0,67.0,18.0,30.0,70.0,64.0,44.0,43.0,59.0,100.0,33.0,75.0,15.0,,,14.0,,17.0,7.0,12.0,11.0,10.0,10.0,11.0,18.0,7.0,29.0,4.0,3.0,4.0,7.0,,,4.0,,9.0,4.0,8.0,2.0,3.0,7.0,7.0,8.0,3.0,17.0,4.0,1.0,3.0,,,,,,,,,,,,,,,
243470491,Ппаладин,soulflayer,32.0,2615.0,50.0,,,25.0,,60.0,56.0,43.0,50.0,75.0,,44.0,50.0,33.0,25.0,,,50.0,2.0,,,4.0,,5.0,9.0,7.0,8.0,4.0,,9.0,2.0,6.0,4.0,,,8.0,1.0,,,1.0,,3.0,5.0,3.0,4.0,3.0,,4.0,1.0,2.0,1.0,,,4.0,50.0,100.0,50.0,4.0,3.0,2.0,2.0,3.0,1.0,,,,,,
199760651,Хозбасс,eversong,18.0,1604.0,50.0,,,,,60.0,,,,,,,100.0,100.0,100.0,100.0,,,2.0,,,,,5.0,,,,,,,2.0,1.0,1.0,2.0,,,1.0,,,,,3.0,,,,,,,2.0,1.0,1.0,2.0,,,,100.0,50.0,,1.0,2.0,,1.0,1.0,,,,,,
170921071,Дитристаг,gordunni,76.0,58369.0,62.0,51.0,49.0,56.0,45.0,74.0,52.0,59.0,49.0,48.0,55.0,73.0,54.0,71.0,26.0,,12.0,75.0,69.0,71.0,49.0,45.0,42.0,27.0,52.0,71.0,49.0,62.0,29.0,11.0,63.0,17.0,19.0,,8.0,4.0,43.0,36.0,24.0,25.0,19.0,20.0,27.0,42.0,24.0,30.0,16.0,8.0,34.0,12.0,5.0,,1.0,3.0,,50.0,100.0,,16.0,1.0,,8.0,1.0,,,,,,
167867313,Thespecter,tarren-mill,1.0,120.0,,,,,,,50.0,,,,,0.0,,,0.0,,,,,,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,
200315419,Быкенор,gordunni,27.0,1323.0,33.0,,,0.0,,100.0,100.0,100.0,,,,0.0,100.0,0.0,100.0,,,0.0,3.0,,,1.0,,1.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,,,1.0,1.0,,,0.0,,1.0,1.0,1.0,,,,0.0,1.0,0.0,1.0,,,0.0,,33.0,100.0,,6.0,1.0,,2.0,1.0,,,,,,
202206009,Левкофейа,eversong,13.0,3174.0,,,,25.0,,50.0,50.0,56.0,40.0,62.0,,67.0,38.0,57.0,0.0,,,62.0,,,,4.0,,2.0,8.0,9.0,5.0,8.0,,6.0,16.0,7.0,1.0,,,8.0,,,,1.0,,1.0,4.0,5.0,2.0,5.0,,4.0,6.0,4.0,0.0,,,5.0,,100.0,,,1.0,,,1.0,,,,,,,
108623248,Майзас,soulflayer,27.0,5416.0,35.0,36.0,33.0,70.0,25.0,29.0,55.0,60.0,25.0,25.0,,29.0,100.0,100.0,33.0,,,0.0,17.0,14.0,9.0,10.0,4.0,17.0,11.0,5.0,4.0,4.0,,7.0,2.0,2.0,3.0,,,2.0,6.0,5.0,3.0,7.0,1.0,5.0,6.0,3.0,1.0,1.0,,2.0,2.0,2.0,1.0,,,0.0,,0.0,0.0,,2.0,1.0,,0.0,0.0,,,,,,
165962447,Àcci,blackrock,15.0,2091.0,25.0,,,75.0,,100.0,60.0,100.0,67.0,100.0,,75.0,0.0,100.0,50.0,,,67.0,4.0,,,4.0,,1.0,5.0,1.0,3.0,3.0,,4.0,1.0,1.0,4.0,,,3.0,1.0,,,3.0,,1.0,3.0,1.0,2.0,3.0,,3.0,0.0,1.0,2.0,,,2.0,,50.0,,,4.0,,,2.0,,,,,,,
