character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Ashran win_rate,Deepwind Gorge win_rate,Ashran played,Deepwind Gorge played,Ashran won,Deepwind Gorge won,Arathi Basin Winter win_rate,Cooking: Impossible win_rate,Arathi Basin Winter played,Cooking: Impossible played,Arathi Basin Winter won,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
226274304,Valithria,sylvanas,58.0,7799.0,56.0,33.0,33.0,62.0,100.0,71.0,50.0,33.0,80.0,75.0,73.0,50.0,100.0,80.0,62.0,29.0,100.0,0.0,9.0,3.0,3.0,8.0,1.0,7.0,2.0,6.0,5.0,4.0,11.0,8.0,2.0,10.0,8.0,7.0,51.0,2.0,5.0,1.0,1.0,5.0,1.0,5.0,1.0,2.0,4.0,3.0,8.0,4.0,2.0,8.0,5.0,2.0,51.0,0.0,,,,,,,,,,,,,,,
178142124,Десперайт,gordunni,39.0,808.0,,,,,,100.0,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
115463739,Ærdaras,blackhand,11.0,4606.0,50.0,20.0,33.0,25.0,,40.0,33.0,60.0,46.0,,46.0,100.0,50.0,40.0,50.0,75.0,,,6.0,10.0,3.0,16.0,,5.0,6.0,10.0,13.0,,13.0,1.0,10.0,10.0,4.0,4.0,,,3.0,2.0,1.0,4.0,,2.0,2.0,6.0,6.0,,6.0,1.0,5.0,4.0,2.0,3.0,,,0.0,100.0,1.0,2.0,0.0,2.0,,,,,,,,,
241481552,Хэл,lich-king,22.0,6035.0,50.0,50.0,0.0,57.0,,80.0,55.0,67.0,62.0,,86.0,75.0,80.0,57.0,17.0,20.0,,,4.0,2.0,2.0,7.0,,5.0,11.0,6.0,8.0,,7.0,4.0,10.0,7.0,6.0,5.0,,,2.0,1.0,0.0,4.0,,4.0,6.0,4.0,5.0,,6.0,3.0,8.0,4.0,1.0,1.0,,,,0.0,,1.0,,0.0,,,,,,,,,
51285832,Громел,gordunni,54.0,123409.0,64.0,63.0,53.0,62.0,62.0,64.0,60.0,59.0,59.0,,75.0,66.0,71.0,59.0,65.0,63.0,100.0,0.0,186.0,316.0,279.0,242.0,225.0,233.0,259.0,129.0,268.0,,153.0,88.0,35.0,41.0,23.0,35.0,6.0,1.0,119.0,200.0,149.0,151.0,140.0,150.0,156.0,76.0,157.0,,115.0,58.0,25.0,24.0,15.0,22.0,6.0,0.0,100.0,,5.0,,5.0,,23.0,100.0,13.0,1.0,3.0,1.0,,,
175828779,Холисмайл,howling-fjord,3.0,396.0,100.0,,,,,,100.0,,100.0,,,,,,0.0,100.0,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
107578790,Sindrome,anachronos,31.0,3876.0,,0.0,100.0,38.0,,0.0,83.0,25.0,0.0,,100.0,,100.0,50.0,33.0,100.0,100.0,,,2.0,2.0,8.0,,1.0,6.0,4.0,1.0,,2.0,,2.0,4.0,3.0,1.0,2.0,,,0.0,2.0,3.0,,0.0,5.0,1.0,0.0,,2.0,,2.0,2.0,1.0,1.0,2.0,,,100.0,,5.0,,5.0,33.0,,3.0,,1.0,,,,
150090293,Аэлесис,goldrinn,56.0,8437.0,100.0,58.0,50.0,83.0,,0.0,67.0,77.0,50.0,,25.0,57.0,100.0,75.0,,71.0,100.0,0.0,1.0,12.0,4.0,6.0,,1.0,9.0,13.0,8.0,,12.0,7.0,2.0,4.0,,7.0,1.0,1.0,1.0,7.0,2.0,5.0,,0.0,6.0,10.0,4.0,,3.0,4.0,2.0,3.0,,5.0,1.0,0.0,,,,,,,,,,,,,,,
166079251,Steks,blades-edge,22.0,20841.0,48.0,59.0,62.0,49.0,64.0,48.0,33.0,82.0,38.0,,58.0,40.0,100.0,70.0,57.0,60.0,,14.0,160.0,49.0,93.0,43.0,61.0,23.0,15.0,11.0,26.0,,12.0,5.0,3.0,10.0,7.0,5.0,,7.0,77.0,29.0,58.0,21.0,39.0,11.0,5.0,9.0,10.0,,7.0,2.0,3.0,7.0,4.0,3.0,,1.0,,25.0,,4.0,,1.0,67.0,,3.0,,2.0,,,,
245828891,Саннанса,gordunni,85.0,13951.0,67.0,41.0,47.0,47.0,37.0,67.0,50.0,47.0,50.0,,49.0,70.0,56.0,0.0,33.0,0.0,,,12.0,44.0,15.0,32.0,27.0,6.0,38.0,45.0,44.0,,61.0,20.0,16.0,2.0,3.0,4.0,,,8.0,18.0,7.0,15.0,10.0,4.0,19.0,21.0,22.0,,30.0,14.0,9.0,0.0,1.0,0.0,,,0.0,75.0,2.0,4.0,0.0,3.0,,,,,,,,,
180634966,Танкэ,gordunni,112.0,34277.0,44.0,67.0,78.0,71.0,63.0,43.0,72.0,67.0,65.0,450.0,69.0,67.0,80.0,62.0,65.0,62.0,100.0,0.0,45.0,42.0,45.0,75.0,27.0,37.0,64.0,58.0,74.0,2.0,90.0,45.0,55.0,40.0,34.0,16.0,17.0,2.0,20.0,28.0,35.0,53.0,17.0,16.0,46.0,39.0,48.0,9.0,62.0,30.0,44.0,25.0,22.0,10.0,17.0,0.0,40.0,90.0,10.0,20.0,4.0,18.0,91.0,,11.0,,10.0,,,,
241481850,Нуш,greymane,178.0,10954.0,100.0,69.0,60.0,67.0,,67.0,52.0,50.0,66.0,82.0,55.0,92.0,67.0,63.0,36.0,20.0,100.0,,1.0,13.0,10.0,12.0,,3.0,23.0,14.0,29.0,11.0,31.0,12.0,30.0,19.0,11.0,5.0,12.0,,1.0,9.0,6.0,8.0,,2.0,12.0,7.0,19.0,9.0,17.0,11.0,20.0,12.0,4.0,1.0,12.0,,50.0,55.0,2.0,11.0,1.0,6.0,75.0,100.0,4.0,1.0,3.0,1.0,,,
200315419,Быкенор,gordunni,27.0,1323.0,33.0,,,0.0,,100.0,100.0,100.0,,,,,0.0,100.0,0.0,100.0,,,3.0,,,1.0,,1.0,1.0,1.0,,,,,2.0,1.0,1.0,1.0,,,1.0,,,0.0,,1.0,1.0,1.0,,,,,0.0,1.0,0.0,1.0,,,33.0,0.0,6.0,1.0,2.0,0.0,100.0,,1.0,,1.0,,,,
246997567,Малхарион,soulflayer,10.0,38521.0,56.0,61.0,59.0,64.0,60.0,58.0,61.0,65.0,50.0,,50.0,,0.0,0.0,100.0,,,,122.0,163.0,204.0,163.0,148.0,65.0,101.0,46.0,100.0,,56.0,,3.0,1.0,1.0,,,,68.0,99.0,120.0,104.0,89.0,38.0,62.0,30.0,50.0,,28.0,,0.0,0.0,1.0,,,,0.0,,2.0,,0.0,,,,,,,,,,
115920321,Гангарт,galakrond,46.0,6675.0,0.0,100.0,,,0.0,,,,0.0,,,,,,,50.0,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,2.0,,,0.0,1.0,,,0.0,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
170717326,Нортрет,gordunni,93.0,10046.0,67.0,25.0,100.0,67.0,,0.0,100.0,40.0,50.0,,73.0,67.0,233.0,100.0,0.0,75.0,100.0,,6.0,8.0,1.0,3.0,,1.0,6.0,5.0,6.0,,113.0,3.0,3.0,3.0,1.0,4.0,6.0,,4.0,2.0,1.0,2.0,,0.0,6.0,2.0,3.0,,83.0,2.0,7.0,3.0,0.0,3.0,6.0,,,67.0,,3.0,,2.0,67.0,0.0,3.0,1.0,2.0,0.0,,,
245744753,Милириум,gordunni,13.0,2328.0,44.0,,,,,50.0,100.0,67.0,0.0,,20.0,,50.0,100.0,100.0,38.0,,,9.0,,,,,4.0,1.0,3.0,1.0,,5.0,,2.0,2.0,1.0,8.0,,,4.0,,,,,2.0,1.0,2.0,0.0,,1.0,,1.0,2.0,1.0,3.0,,,40.0,100.0,5.0,1.0,2.0,1.0,50.0,,2.0,,1.0,,,,
196045964,Бирнисон,goldrinn,23.0,4598.0,60.0,,,62.0,,67.0,50.0,54.0,40.0,0.0,14.0,100.0,73.0,33.0,40.0,29.0,,,10.0,,,13.0,,3.0,16.0,13.0,10.0,1.0,7.0,1.0,11.0,12.0,10.0,7.0,,,6.0,,,8.0,,2.0,8.0,7.0,4.0,0.0,1.0,1.0,8.0,4.0,4.0,2.0,,,,60.0,,5.0,,3.0,50.0,,2.0,,1.0,,,,
178770969,Раггнар,goldrinn,37.0,13330.0,0.0,33.0,100.0,60.0,,100.0,55.0,60.0,52.0,,75.0,86.0,72.0,68.0,56.0,100.0,100.0,25.0,3.0,6.0,1.0,47.0,,2.0,31.0,35.0,29.0,,40.0,7.0,32.0,25.0,18.0,1.0,1.0,4.0,0.0,2.0,1.0,28.0,,2.0,17.0,21.0,15.0,,30.0,6.0,23.0,17.0,10.0,1.0,1.0,1.0,50.0,65.0,2.0,23.0,1.0,15.0,100.0,,1.0,,1.0,,,,
