character.id,character.name,character.realm.slug,honor_level,honorable_kills,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Korrak's Revenge played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Korrak's Revenge won,Deepwind Gorge won,Alterac Valley win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Battle for Wintergrasp played,Alterac Valley won,Battle for Wintergrasp won,Strand of the Ancients win_rate,Strand of the Ancients played,Strand of the Ancients won,Ashran win_rate,Ashran played,Ashran won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
153765540,Йосяфлексер,howling-fjord,120.0,4664.0,75.0,100.0,67.0,100.0,39.0,50.0,90.0,71.0,57.0,55.0,77.0,60.0,67.0,100.0,75.0,4.0,1.0,9.0,1.0,18.0,16.0,10.0,7.0,14.0,11.0,13.0,5.0,9.0,1.0,4.0,3.0,1.0,6.0,1.0,7.0,8.0,9.0,5.0,8.0,6.0,10.0,3.0,6.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
199152184,Слипноумо,gordunni,16.0,1928.0,,,100.0,,67.0,60.0,,,50.0,,75.0,0.0,67.0,,33.0,,,5.0,,6.0,10.0,,,2.0,,8.0,1.0,3.0,,3.0,,,5.0,,4.0,6.0,,,1.0,,6.0,0.0,2.0,,1.0,50.0,0.0,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,
237817005,Светодуня,borean-tundra,17.0,5647.0,38.0,57.0,53.0,25.0,40.0,,40.0,,,,,,,,0.0,24.0,14.0,17.0,4.0,5.0,,5.0,,,,,,,,1.0,9.0,8.0,9.0,1.0,2.0,,2.0,,,,,,,,0.0,25.0,,8.0,,2.0,,44.0,16.0,7.0,,,,,,,,,,,,,,,
18820223,Лайтмен,azuregos,8.0,9405.0,40.0,77.0,100.0,0.0,80.0,75.0,50.0,,50.0,100.0,,,,,,20.0,13.0,1.0,1.0,5.0,4.0,8.0,,6.0,2.0,,,,,,8.0,10.0,1.0,0.0,4.0,3.0,4.0,,3.0,2.0,,,,,,83.0,0.0,6.0,1.0,5.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,
244844901,Танкохилодпс,borean-tundra,7.0,1525.0,,,33.0,50.0,50.0,,100.0,,67.0,,0.0,100.0,0.0,,60.0,,,3.0,2.0,2.0,,2.0,,3.0,,3.0,1.0,3.0,,5.0,,,1.0,1.0,1.0,,2.0,,2.0,,0.0,1.0,0.0,,3.0,29.0,50.0,7.0,2.0,2.0,1.0,,,,0.0,2.0,0.0,,,,,,,,,,,,
151740789,Аббигайль,howling-fjord,58.0,14103.0,89.0,100.0,74.0,33.0,64.0,65.0,64.0,,63.0,71.0,69.0,67.0,60.0,50.0,73.0,9.0,3.0,19.0,3.0,36.0,31.0,33.0,,35.0,21.0,32.0,21.0,30.0,2.0,11.0,8.0,3.0,14.0,1.0,23.0,20.0,21.0,,22.0,15.0,22.0,14.0,18.0,1.0,8.0,43.0,100.0,7.0,3.0,3.0,3.0,0.0,1.0,0.0,,,,100.0,3.0,3.0,,,,,,,,,
197580854,Ørjän,silvermoon,12.0,3585.0,,,33.0,50.0,67.0,50.0,75.0,100.0,67.0,,36.0,55.0,75.0,,54.0,,,3.0,4.0,15.0,4.0,4.0,2.0,12.0,,11.0,11.0,8.0,,13.0,,,1.0,2.0,10.0,2.0,3.0,2.0,8.0,,4.0,6.0,6.0,,7.0,100.0,75.0,1.0,4.0,1.0,3.0,,,,100.0,1.0,1.0,,,,,,,,,,,,
59088983,Любаня,ashenvale,9.0,38603.0,61.0,59.0,63.0,40.0,50.0,69.0,74.0,,61.0,67.0,100.0,80.0,100.0,,75.0,180.0,137.0,107.0,47.0,34.0,13.0,23.0,,18.0,3.0,1.0,5.0,5.0,,4.0,110.0,81.0,67.0,19.0,17.0,9.0,17.0,,11.0,2.0,1.0,4.0,5.0,,3.0,51.0,50.0,87.0,2.0,44.0,1.0,51.0,107.0,55.0,0.0,2.0,0.0,80.0,5.0,4.0,100.0,1.0,1.0,,,,,,
149922389,Verdikt,alleria,13.0,3767.0,50.0,20.0,100.0,100.0,31.0,40.0,67.0,,43.0,67.0,0.0,57.0,,,100.0,8.0,5.0,9.0,4.0,13.0,5.0,3.0,,14.0,3.0,4.0,7.0,,,2.0,4.0,1.0,9.0,4.0,4.0,2.0,2.0,,6.0,2.0,0.0,4.0,,,2.0,60.0,80.0,5.0,5.0,3.0,4.0,0.0,1.0,0.0,,,,,,,100.0,4.0,4.0,,,,,,
153806585,Мст,gordunni,20.0,2581.0,,,29.0,50.0,33.0,46.0,69.0,80.0,75.0,67.0,40.0,75.0,33.0,0.0,50.0,,,7.0,4.0,6.0,13.0,13.0,5.0,8.0,3.0,10.0,8.0,6.0,2.0,6.0,,,2.0,2.0,2.0,6.0,9.0,4.0,6.0,2.0,4.0,6.0,2.0,0.0,3.0,50.0,100.0,4.0,3.0,2.0,3.0,,,,0.0,1.0,0.0,100.0,2.0,2.0,100.0,4.0,4.0,,,,,,
112172855,Divenda,ravencrest,34.0,539.0,,,,33.0,,0.0,0.0,,0.0,,,,,,,,,,3.0,,1.0,1.0,,1.0,,,,,,,,,,1.0,,0.0,0.0,,0.0,,,,,,,100.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,
