character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,The Battle for Gilneas played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Battle for Wintergrasp played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,The Battle for Gilneas won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Battle for Wintergrasp won,Ashran win_rate,Deepwind Gorge win_rate,Ashran played,Deepwind Gorge played,Ashran won,Deepwind Gorge won,Isle of Conquest win_rate,Silvershard Mines win_rate,Rated Eye of the Storm win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin win_rate,Isle of Conquest played,Silvershard Mines played,Rated Eye of the Storm played,Deepwind Gorge (Legacy) played,Arathi Basin played,Isle of Conquest won,Silvershard Mines won,Rated Eye of the Storm won,Deepwind Gorge (Legacy) won,Arathi Basin won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
89592022,Kisassi,sargeras,49.0,4025.0,0.0,52.0,57.0,53.0,80.0,50.0,100.0,50.0,0.0,0.0,100.0,1.0,21.0,14.0,19.0,10.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,11.0,8.0,10.0,8.0,2.0,2.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193749388,Palrahz,archimonde,29.0,432.0,,,,,,100.0,,,0.0,,100.0,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,,,0.0,,1.0,50.0,0.0,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130553238,Ephalistos,sargeras,77.0,12353.0,53.0,61.0,42.0,48.0,50.0,62.0,46.0,62.0,62.0,50.0,40.0,19.0,31.0,26.0,21.0,18.0,40.0,26.0,37.0,13.0,6.0,5.0,10.0,19.0,11.0,10.0,9.0,25.0,12.0,23.0,8.0,3.0,2.0,100.0,60.0,1.0,10.0,1.0,6.0,25.0,56.0,167.0,50.0,33.0,8.0,34.0,6.0,20.0,6.0,2.0,19.0,10.0,10.0,2.0,,,,,,,,,,,,,,,
164846211,Holyrayén,blackrock,6.0,103.0,,,,,,,100.0,0.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162975147,Kridx,sargeras,17.0,1084.0,0.0,,,100.0,,100.0,,0.0,100.0,100.0,,1.0,,,1.0,,1.0,,1.0,1.0,2.0,,0.0,,,1.0,,1.0,,0.0,1.0,2.0,,,100.0,,3.0,,3.0,0.0,100.0,,,67.0,1.0,2.0,,,3.0,0.0,2.0,,,2.0,,,,,,,,,,,,,,,
191746469,Blahblahdin,kazzak,22.0,538.0,,,,0.0,,,0.0,0.0,0.0,100.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,0.0,,,0.0,0.0,0.0,1.0,,100.0,100.0,1.0,1.0,1.0,1.0,100.0,,0.0,,,2.0,,1.0,,,2.0,,0.0,,,,,,,,,,,,,,,,,
165037468,Diktrol,stormreaver,16.0,2301.0,50.0,,,67.0,,100.0,57.0,67.0,67.0,100.0,50.0,6.0,,,3.0,,1.0,7.0,3.0,3.0,2.0,4.0,3.0,,,2.0,,1.0,4.0,2.0,2.0,2.0,2.0,100.0,88.0,4.0,8.0,4.0,7.0,100.0,62.0,0.0,,20.0,2.0,8.0,2.0,,5.0,2.0,5.0,0.0,,1.0,100.0,1.0,1.0,,,,,,,,,,,,
89544148,Labuche,sargeras,35.0,9132.0,60.0,0.0,38.0,40.0,33.0,46.0,64.0,40.0,50.0,33.0,55.0,15.0,5.0,8.0,10.0,9.0,13.0,14.0,10.0,2.0,3.0,11.0,9.0,0.0,3.0,4.0,3.0,6.0,9.0,4.0,1.0,1.0,6.0,38.0,25.0,13.0,4.0,5.0,1.0,48.0,50.0,,100.0,100.0,31.0,4.0,,1.0,2.0,15.0,2.0,,1.0,2.0,,,,50.0,4.0,2.0,,,,,,,,,
107840220,Zieghh,sargeras,20.0,8137.0,51.0,54.0,67.0,75.0,43.0,20.0,33.0,20.0,33.0,,48.0,41.0,13.0,6.0,4.0,7.0,5.0,3.0,5.0,3.0,,21.0,21.0,7.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,,10.0,40.0,,5.0,,2.0,,36.0,75.0,,29.0,,25.0,4.0,,7.0,,9.0,3.0,,2.0,,,,,,,,100.0,1.0,1.0,,,,,,
162758759,Понидоктор,howling-fjord,27.0,496.0,,,,100.0,,33.0,100.0,0.0,50.0,100.0,,,,,1.0,,3.0,1.0,3.0,2.0,1.0,,,,,1.0,,1.0,1.0,0.0,1.0,1.0,,0.0,50.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
