character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Cooking: Impossible win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Cooking: Impossible played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Cooking: Impossible won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Strand of the Ancients win_rate,Strand of the Ancients played,Strand of the Ancients won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
143937353,Blumes,argent-dawn,79.0,8686.0,56.0,57.0,37.0,70.0,88.0,44.0,35.0,54.0,100.0,50.0,43.0,57.0,100.0,0.0,44.0,74.0,56.0,60.0,100.0,18.0,70.0,9.0,14.0,19.0,10.0,8.0,32.0,31.0,24.0,9.0,32.0,14.0,7.0,1.0,1.0,36.0,19.0,16.0,5.0,3.0,11.0,10.0,5.0,8.0,7.0,7.0,7.0,14.0,11.0,13.0,9.0,16.0,6.0,4.0,1.0,0.0,16.0,14.0,9.0,3.0,3.0,2.0,7.0,,,,,,
165797653,Päm,twisting-nether,43.0,2115.0,0.0,,,33.0,,0.0,67.0,0.0,,0.0,,,,,0.0,33.0,100.0,50.0,,17.0,0.0,1.0,,,3.0,,1.0,3.0,2.0,,4.0,,,,,1.0,3.0,2.0,4.0,,18.0,2.0,0.0,,,1.0,,0.0,2.0,0.0,,0.0,,,,,0.0,1.0,2.0,2.0,,3.0,0.0,,,,,,
175810099,Paloushe,dalaran,9.0,2176.0,67.0,,,100.0,56.0,100.0,,0.0,,0.0,,57.0,,,40.0,100.0,50.0,40.0,,,0.0,6.0,,,1.0,9.0,2.0,,2.0,,3.0,,7.0,,,5.0,2.0,2.0,5.0,,,2.0,4.0,,,1.0,5.0,2.0,,0.0,,0.0,,4.0,,,2.0,2.0,1.0,2.0,,,0.0,,,,,,
34336323,Zaeia,voljin,10.0,1060.0,,100.0,56.0,50.0,,,,,,100.0,,,,,,,100.0,,,,0.0,,2.0,18.0,2.0,,,,,,1.0,,,,,,,1.0,,,,1.0,,2.0,10.0,1.0,,,,,,1.0,,,,,,,1.0,,,,0.0,,,,,,
165703894,Pepydring,khaz-modan,15.0,53.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
110828335,Hibiya,dun-modr,29.0,6185.0,67.0,67.0,50.0,33.0,25.0,0.0,40.0,100.0,,67.0,0.0,,,,100.0,,0.0,100.0,,0.0,100.0,6.0,3.0,2.0,3.0,4.0,1.0,5.0,1.0,,3.0,1.0,,,,1.0,,1.0,1.0,,2.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,,2.0,0.0,,,,1.0,,0.0,1.0,,0.0,2.0,100.0,1.0,1.0,,,
177858534,Рокарола,gordunni,14.0,3910.0,89.0,20.0,50.0,67.0,100.0,50.0,29.0,44.0,,38.0,33.0,,,,,0.0,,,,,,9.0,10.0,8.0,12.0,2.0,10.0,7.0,9.0,,8.0,6.0,,,,,1.0,,,,,,8.0,2.0,4.0,8.0,2.0,5.0,2.0,4.0,,3.0,2.0,,,,,0.0,,,,,,20.0,10.0,2.0,,,
171221642,Коннемарра,gordunni,49.0,972.0,,50.0,0.0,,,100.0,80.0,60.0,,0.0,100.0,,,,150.0,,,,,,,,2.0,1.0,,,1.0,5.0,5.0,,1.0,1.0,,,,2.0,,,,,,,,1.0,0.0,,,1.0,4.0,3.0,,0.0,1.0,,,,3.0,,,,,,,0.0,1.0,0.0,,,
1644249,Xiluva,lightbringer,9.0,4462.0,,0.0,,50.0,100.0,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,0.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
172559574,Eladryla,archimonde,2.0,832.0,,,,,0.0,,,,,,,,,,0.0,100.0,100.0,50.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,0.0,,,,,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,
