character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Isle of Conquest played,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Isle of Conquest won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Winter played,Rated Eye of the Storm won,Ashran won,Arathi Basin Winter won,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Arathi Basin Comp Stomp played,Korrak's Revenge played,Arathi Basin Comp Stomp won,Korrak's Revenge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
115287737,Look,throkferoth,87.0,3041.0,50.0,57.0,50.0,58.0,50.0,67.0,50.0,67.0,50.0,50.0,33.0,20.0,2.0,7.0,8.0,12.0,10.0,9.0,2.0,12.0,4.0,4.0,3.0,5.0,1.0,4.0,4.0,7.0,5.0,6.0,1.0,8.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188759228,Karmacharger,silvermoon,13.0,410.0,,,,,50.0,0.0,,0.0,,,,,,,,,2.0,1.0,,1.0,,,,,,,,,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43507403,Naville,arakarahm,20.0,7719.0,38.0,55.0,87.0,50.0,75.0,25.0,67.0,,,,,,13.0,22.0,15.0,4.0,16.0,4.0,6.0,,,,,,5.0,12.0,13.0,2.0,12.0,1.0,4.0,,,,,,70.0,42.0,44.0,36.0,40.0,12.0,16.0,14.0,28.0,5.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,
160811800,Plipoudou,throkferoth,1.0,31.0,,,,,,,,0.0,,0.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78393075,Тирионша,howling-fjord,18.0,7682.0,31.0,60.0,47.0,54.0,41.0,61.0,43.0,,,,,0.0,13.0,15.0,19.0,35.0,29.0,28.0,23.0,,,,,1.0,4.0,9.0,9.0,19.0,12.0,17.0,10.0,,,,,0.0,52.0,60.0,40.0,14.0,23.0,25.0,15.0,7.0,12.0,15.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,
108323144,Legendharry,frostwolf,10.0,158.0,,,,,,,100.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143857173,Vehlyr,kaelthas,6.0,808.0,0.0,100.0,0.0,0.0,100.0,100.0,,100.0,100.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,,,,0.0,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,
139956677,Dritnz,silvermoon,68.0,2518.0,50.0,43.0,75.0,50.0,57.0,44.0,67.0,80.0,0.0,100.0,100.0,67.0,4.0,7.0,4.0,8.0,7.0,9.0,3.0,5.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,0.0,1.0,1.0,2.0,33.0,0.0,50.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,100.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,
96552718,Heriøn,kaelthas,38.0,7535.0,,43.0,70.0,64.0,42.0,57.0,62.0,78.0,89.0,56.0,67.0,100.0,,7.0,10.0,11.0,12.0,14.0,13.0,9.0,9.0,9.0,3.0,1.0,,3.0,7.0,7.0,5.0,8.0,8.0,7.0,8.0,5.0,2.0,1.0,56.0,0.0,0.0,100.0,9.0,1.0,1.0,2.0,5.0,0.0,0.0,2.0,,,,,,,,,,100.0,67.0,3.0,6.0,3.0,4.0,,,,,,
5818326,Florius,arakarahm,42.0,17245.0,49.0,65.0,50.0,56.0,38.0,62.0,44.0,0.0,0.0,67.0,,0.0,51.0,17.0,12.0,9.0,8.0,21.0,9.0,2.0,1.0,3.0,,2.0,25.0,11.0,6.0,5.0,3.0,13.0,4.0,0.0,0.0,2.0,,0.0,37.0,43.0,62.0,48.0,35.0,28.0,32.0,27.0,13.0,12.0,20.0,13.0,,,,,,,,,,,,,,,,,,,,,
137142680,Asterawyn,kaelthas,54.0,65733.0,45.0,46.0,50.0,43.0,37.0,44.0,43.0,117.0,0.0,0.0,45.0,100.0,134.0,112.0,101.0,111.0,120.0,135.0,74.0,12.0,9.0,2.0,11.0,1.0,60.0,52.0,51.0,48.0,44.0,60.0,32.0,14.0,0.0,0.0,5.0,1.0,44.0,35.0,44.0,33.0,135.0,136.0,104.0,168.0,59.0,48.0,46.0,55.0,,,100.0,,,1.0,,,1.0,100.0,50.0,2.0,2.0,2.0,1.0,,,,,,
151428507,Åtropos,eredar,2.0,801.0,,,100.0,,,100.0,,,,33.0,0.0,,,,2.0,,,1.0,,,,3.0,1.0,,,,2.0,,,1.0,,,,1.0,0.0,,,,,0.0,,,,1.0,,,,0.0,,,,,,,,,,,0.0,,1.0,,0.0,,,,,,
123994069,Goatý,draenor,7.0,1128.0,100.0,100.0,25.0,0.0,50.0,60.0,,100.0,100.0,75.0,100.0,100.0,1.0,2.0,4.0,1.0,2.0,5.0,,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,,2.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188302871,Hieronimo,hyjal,12.0,3757.0,50.0,67.0,,0.0,50.0,62.0,,100.0,0.0,100.0,73.0,,6.0,3.0,,4.0,4.0,13.0,,2.0,2.0,1.0,11.0,,3.0,2.0,,0.0,2.0,8.0,,2.0,0.0,1.0,8.0,,,,,36.0,,,,11.0,,,,4.0,,,43.0,,,7.0,,,3.0,,,,,,,,,,,,
53690588,Allika,ysondre,161.0,106144.0,47.0,56.0,63.0,61.0,66.0,61.0,52.0,150.0,33.0,,56.0,0.0,131.0,279.0,206.0,152.0,233.0,174.0,117.0,6.0,6.0,,9.0,1.0,61.0,156.0,129.0,93.0,154.0,106.0,61.0,9.0,2.0,,5.0,0.0,66.0,58.0,56.0,50.0,446.0,243.0,324.0,117.0,296.0,141.0,183.0,59.0,,33.0,0.0,,6.0,1.0,,2.0,0.0,100.0,,1.0,,1.0,,,,,,,
168998405,Sarthigas,dalaran,23.0,7694.0,55.0,57.0,60.0,47.0,70.0,43.0,,88.0,64.0,62.0,56.0,57.0,33.0,7.0,10.0,15.0,10.0,7.0,,8.0,11.0,13.0,18.0,7.0,18.0,4.0,6.0,7.0,7.0,3.0,,7.0,7.0,8.0,10.0,4.0,,,,81.0,,,,27.0,,,,22.0,,67.0,,,6.0,,,4.0,,,,,,,,,,,,,
74087219,Rákscha,eredar,26.0,17267.0,41.0,52.0,58.0,40.0,48.0,64.0,0.0,,,0.0,,50.0,39.0,33.0,31.0,10.0,29.0,11.0,2.0,,,2.0,,2.0,16.0,17.0,18.0,4.0,14.0,7.0,0.0,,,0.0,,1.0,58.0,64.0,45.0,59.0,43.0,33.0,38.0,46.0,25.0,21.0,17.0,27.0,,,,,,,,,,,,,,,,,,,,,
144046900,Рахэль,howling-fjord,41.0,94792.0,69.0,59.0,61.0,50.0,62.0,39.0,71.0,67.0,,50.0,100.0,,218.0,199.0,87.0,32.0,91.0,33.0,21.0,6.0,,4.0,8.0,,150.0,117.0,53.0,16.0,56.0,13.0,15.0,4.0,,2.0,8.0,,62.0,55.0,49.0,67.0,296.0,358.0,245.0,147.0,184.0,198.0,119.0,99.0,,100.0,,,1.0,,,1.0,,100.0,100.0,7.0,5.0,7.0,5.0,,,,,,
164133341,Kyha,sanguino,33.0,858.0,100.0,100.0,,0.0,100.0,33.0,,50.0,20.0,50.0,0.0,100.0,3.0,2.0,,4.0,1.0,3.0,,2.0,5.0,2.0,1.0,2.0,3.0,2.0,,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,2.0,,,,0.0,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,
180605887,Hatam,silvermoon,75.0,110998.0,56.0,50.0,52.0,51.0,55.0,64.0,52.0,43.0,0.0,0.0,21.0,100.0,310.0,301.0,196.0,219.0,210.0,173.0,153.0,7.0,1.0,3.0,14.0,1.0,175.0,150.0,102.0,112.0,115.0,111.0,80.0,3.0,0.0,0.0,3.0,1.0,55.0,45.0,49.0,50.0,421.0,509.0,233.0,256.0,232.0,229.0,115.0,127.0,,,100.0,,,1.0,,,1.0,,0.0,,12.0,,0.0,,,,,,
132269807,Jabufive,kaelthas,15.0,902.0,33.0,0.0,0.0,33.0,0.0,0.0,,50.0,50.0,0.0,50.0,50.0,3.0,2.0,1.0,3.0,1.0,1.0,,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,100.0,,,1.0,,,1.0,,,,,,,,,,,,,
136972478,Judgemegood,thrall,27.0,615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,3.0,,3.0,,,,,,
196175533,Бихэпи,soulflayer,174.0,80871.0,66.0,71.0,66.0,66.0,63.0,58.0,67.0,67.0,72.0,61.0,57.0,56.0,112.0,107.0,177.0,202.0,171.0,163.0,162.0,90.0,61.0,46.0,46.0,52.0,74.0,76.0,116.0,134.0,107.0,94.0,108.0,60.0,44.0,28.0,26.0,29.0,61.0,65.0,52.0,50.0,186.0,75.0,42.0,111.0,114.0,49.0,22.0,55.0,,80.0,33.0,,5.0,3.0,,4.0,1.0,100.0,75.0,24.0,4.0,24.0,3.0,,,,,,
