character.id,character.name,character.realm.slug,honor_level,honorable_kills,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Korrak's Revenge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Isle of Conquest played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Korrak's Revenge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Isle of Conquest won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Korrak's Revenge won,Strand of the Ancients win_rate,Strand of the Ancients played,Strand of the Ancients won,Ashran win_rate,Ashran played,Ashran won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
154135172,Imaqtcats,sanguino,7.0,691.0,0.0,71.0,75.0,100.0,50.0,100.0,50.0,0.0,100.0,100.0,2.0,7.0,4.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145643572,Rekatron,tarren-mill,32.0,8671.0,50.0,71.0,57.0,,71.0,133.0,67.0,20.0,100.0,100.0,8.0,7.0,7.0,,7.0,3.0,3.0,5.0,2.0,2.0,4.0,5.0,4.0,,5.0,4.0,2.0,1.0,2.0,2.0,67.0,29.0,67.0,33.0,80.0,29.0,0.0,85.0,3.0,7.0,3.0,3.0,5.0,7.0,1.0,13.0,2.0,2.0,2.0,1.0,4.0,2.0,0.0,11.0,,,,,,,,,,,,,,,
81214680,Blaxxtariam,frostwolf,39.0,32622.0,51.0,48.0,59.0,,49.0,79.0,47.0,50.0,43.0,,109.0,86.0,121.0,,65.0,19.0,15.0,12.0,7.0,,56.0,41.0,71.0,,32.0,15.0,7.0,6.0,3.0,,43.0,53.0,55.0,56.0,51.0,52.0,,,51.0,116.0,84.0,78.0,72.0,23.0,,,22.0,62.0,46.0,44.0,37.0,12.0,,,48.0,82.0,39.0,,,,,,,,,,,,
119766949,Admitancja,burning-legion,47.0,6144.0,60.0,50.0,73.0,,50.0,0.0,0.0,100.0,100.0,0.0,5.0,16.0,15.0,,18.0,2.0,1.0,1.0,1.0,1.0,3.0,8.0,11.0,,9.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,46.0,71.0,0.0,90.0,,,1.0,8.0,13.0,7.0,1.0,10.0,,,0.0,4.0,6.0,5.0,0.0,9.0,,,60.0,10.0,6.0,0.0,1.0,0.0,,,,,,,,,
140580886,Kènpachî,blackrock,75.0,20030.0,43.0,40.0,20.0,,71.0,150.0,50.0,50.0,100.0,60.0,7.0,5.0,5.0,,7.0,2.0,2.0,2.0,1.0,5.0,3.0,2.0,1.0,,5.0,3.0,1.0,1.0,1.0,3.0,75.0,38.0,10.0,50.0,50.0,,,,4.0,16.0,10.0,12.0,2.0,,,,3.0,6.0,1.0,6.0,1.0,,,,86.0,7.0,6.0,,,,,,,,,,,,
147314448,Gordux,thrall,24.0,347.0,,,,,,,100.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117024009,Extoria,terrordar,29.0,1709.0,0.0,25.0,50.0,,0.0,,,,0.0,0.0,2.0,4.0,2.0,,2.0,,,,1.0,1.0,0.0,1.0,1.0,,0.0,,,,0.0,0.0,60.0,25.0,29.0,0.0,,0.0,,,5.0,8.0,7.0,1.0,,1.0,,,3.0,2.0,2.0,0.0,,0.0,,,50.0,2.0,1.0,,,,100.0,84.0,84.0,,,,,,
153806585,Мст,gordunni,20.0,2581.0,33.0,46.0,69.0,80.0,75.0,40.0,75.0,33.0,100.0,50.0,6.0,13.0,13.0,5.0,8.0,10.0,8.0,6.0,3.0,6.0,2.0,6.0,9.0,4.0,6.0,4.0,6.0,2.0,3.0,3.0,50.0,,,29.0,50.0,67.0,100.0,0.0,4.0,,,7.0,4.0,3.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,0.0,,,,0.0,1.0,0.0,100.0,4.0,4.0,,,,,,
35008478,Helldorado,dethecus,49.0,6003.0,60.0,100.0,33.0,,67.0,,0.0,,50.0,100.0,5.0,3.0,3.0,,3.0,,1.0,,2.0,1.0,3.0,3.0,1.0,,2.0,,0.0,,1.0,1.0,42.0,51.0,78.0,62.0,53.0,,,,12.0,35.0,18.0,13.0,15.0,,,,5.0,18.0,14.0,8.0,8.0,,,,47.0,17.0,8.0,,,,100.0,2.0,2.0,,,,,,
10699933,Hugopala,dethecus,5.0,11235.0,67.0,,50.0,,0.0,0.0,,100.0,,,9.0,,14.0,,1.0,1.0,,2.0,,,6.0,,7.0,,0.0,0.0,,2.0,,,45.0,62.0,42.0,61.0,59.0,,,,31.0,21.0,26.0,23.0,29.0,,,,14.0,13.0,11.0,14.0,17.0,,,,45.0,22.0,10.0,,,,,,,,,,,,
