character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Deepwind Gorge (Legacy) played,Ashran played,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Deepwind Gorge (Legacy) won,Ashran won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
167094488,Bolderbast,tarren-mill,14.0,3157.0,0.0,50.0,75.0,67.0,62.0,57.0,50.0,67.0,40.0,55.0,25.0,100.0,40.0,2.0,2.0,4.0,9.0,8.0,7.0,10.0,15.0,10.0,11.0,8.0,1.0,15.0,0.0,1.0,3.0,6.0,5.0,4.0,5.0,10.0,4.0,6.0,2.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
118788591,Doraq,blackhand,81.0,42191.0,58.0,53.0,61.0,66.0,67.0,53.0,,62.0,60.0,78.0,40.0,36.0,100.0,24.0,32.0,31.0,38.0,9.0,19.0,,21.0,15.0,9.0,5.0,14.0,2.0,14.0,17.0,19.0,25.0,6.0,10.0,,13.0,9.0,7.0,2.0,5.0,2.0,70.0,72.0,61.0,50.0,43.0,105.0,40.0,46.0,8.0,7.0,74.0,29.0,28.0,4.0,3.0,,,,,,,,,,,,
81214680,Blaxxtariam,frostwolf,39.0,32622.0,43.0,56.0,51.0,51.0,48.0,59.0,,49.0,79.0,47.0,50.0,43.0,,51.0,78.0,72.0,109.0,86.0,121.0,,65.0,19.0,15.0,12.0,7.0,,22.0,44.0,37.0,56.0,41.0,71.0,,32.0,15.0,7.0,6.0,3.0,,53.0,55.0,48.0,52.0,,116.0,84.0,82.0,23.0,,62.0,46.0,39.0,12.0,,,,,,,,,,,,,
148198080,Virtualpala,blackmoore,7.0,684.0,67.0,,100.0,,,,,,100.0,,,100.0,,3.0,,3.0,,,,,,1.0,,,1.0,,2.0,,3.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150562402,Knowmexx,blackmoore,32.0,887.0,50.0,,100.0,100.0,,100.0,100.0,100.0,67.0,100.0,50.0,100.0,67.0,2.0,,3.0,1.0,,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,,3.0,1.0,,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
93597379,Hallowed,aggra-português,43.0,395.0,,,,50.0,,,100.0,100.0,0.0,,,,0.0,,,,2.0,,,1.0,1.0,2.0,,,,1.0,,,,1.0,,,1.0,1.0,0.0,,,,0.0,0.0,,,,,1.0,,,,,0.0,,,,,0.0,1.0,0.0,,,,,,,,,
88842309,Icra,eredar,11.0,1906.0,,40.0,0.0,75.0,67.0,40.0,,40.0,50.0,100.0,50.0,,50.0,,5.0,1.0,4.0,3.0,5.0,,5.0,2.0,3.0,2.0,,2.0,,2.0,0.0,3.0,2.0,2.0,,2.0,1.0,3.0,1.0,,1.0,33.0,67.0,80.0,100.0,,3.0,3.0,5.0,2.0,,1.0,2.0,4.0,2.0,,,,,,,,,,,,,
115694018,Colîa,eredar,16.0,31078.0,59.0,58.0,69.0,72.0,80.0,66.0,,62.0,50.0,89.0,67.0,,,46.0,69.0,49.0,96.0,54.0,112.0,,56.0,2.0,9.0,3.0,,,27.0,40.0,34.0,69.0,43.0,74.0,,35.0,1.0,8.0,2.0,,,59.0,71.0,63.0,44.0,,125.0,133.0,71.0,18.0,,74.0,95.0,45.0,8.0,,,,,100.0,4.0,4.0,,,,,,
148078900,Арахнея,howling-fjord,56.0,289.0,,,0.0,,,,,,100.0,0.0,,100.0,,,,1.0,,,,,,1.0,1.0,,1.0,,,,0.0,,,,,,1.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184227887,Glôr,nemesis,13.0,998.0,25.0,,0.0,100.0,,67.0,,,0.0,0.0,0.0,0.0,0.0,4.0,,2.0,1.0,,3.0,,,1.0,1.0,2.0,3.0,3.0,1.0,,0.0,1.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,,,,,,,,,,,,
183917942,Zacefron,hyjal,32.0,136.0,,0.0,,0.0,,,,,0.0,,100.0,,,,1.0,,1.0,,,,,1.0,,1.0,,,,0.0,,0.0,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188759228,Karmacharger,silvermoon,13.0,410.0,,,,,,50.0,,0.0,0.0,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226283851,Doríáth,sylvanas,47.0,56222.0,38.0,39.0,58.0,43.0,59.0,45.0,,57.0,58.0,40.0,50.0,31.0,44.0,29.0,23.0,19.0,21.0,27.0,20.0,,28.0,12.0,15.0,12.0,13.0,18.0,11.0,9.0,11.0,9.0,16.0,9.0,,16.0,7.0,6.0,6.0,4.0,8.0,67.0,43.0,46.0,43.0,,6.0,7.0,13.0,7.0,,4.0,3.0,6.0,3.0,,,,,,,,,,,,,
147483914,Furbyqt,blackmoore,45.0,63162.0,52.0,44.0,44.0,49.0,60.0,50.0,4900.0,51.0,60.0,25.0,40.0,43.0,80.0,204.0,127.0,96.0,136.0,97.0,135.0,1.0,83.0,15.0,12.0,5.0,7.0,5.0,106.0,56.0,42.0,66.0,58.0,68.0,49.0,42.0,9.0,3.0,2.0,3.0,4.0,42.0,44.0,48.0,66.0,50.0,346.0,279.0,123.0,53.0,2.0,147.0,123.0,59.0,35.0,1.0,75.0,4.0,3.0,100.0,7.0,7.0,,,,,,
168959257,Bultsax,tarren-mill,3.0,249.0,,,,,0.0,,,,,,50.0,,,,,,,1.0,,,,,,2.0,,,,,,,0.0,,,,,,1.0,,,0.0,,,50.0,,1.0,,,2.0,,0.0,,,1.0,,,,,,,,,,,,,
98790741,Pyörätuoli,stormscale,30.0,7089.0,55.0,44.0,70.0,64.0,53.0,69.0,75.0,56.0,50.0,50.0,67.0,0.0,62.0,11.0,9.0,10.0,14.0,17.0,13.0,4.0,9.0,6.0,4.0,3.0,3.0,8.0,6.0,4.0,7.0,9.0,9.0,9.0,3.0,5.0,3.0,2.0,2.0,0.0,5.0,36.0,41.0,40.0,40.0,100.0,14.0,17.0,5.0,5.0,1.0,5.0,7.0,2.0,2.0,1.0,,,,,,,100.0,1.0,1.0,,,
