character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
147280595,Negativedmg,kazzak,179.0,67969.0,82.0,80.0,57.0,62.0,60.0,36.0,91.0,86.0,91.0,75.0,100.0,67.0,133.0,50.0,100.0,46.0,100.0,11.0,10.0,7.0,8.0,10.0,14.0,11.0,7.0,11.0,12.0,4.0,3.0,3.0,2.0,1.0,13.0,3.0,9.0,8.0,4.0,5.0,6.0,5.0,10.0,6.0,10.0,9.0,4.0,2.0,4.0,1.0,1.0,6.0,3.0,,,,,,,,,,,,,,,,,,
166651200,Holyperson,ulduar,11.0,604.0,,,,,,,,100.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,100.0,7.0,7.0,,,,,,,,,,,,,,,
132278049,Oliiver,drakthul,6.0,1300.0,0.0,100.0,,100.0,,50.0,,,,0.0,100.0,,0.0,,,,,2.0,1.0,,2.0,,4.0,,,,1.0,1.0,,1.0,,,,,0.0,1.0,,2.0,,2.0,,,,0.0,1.0,,0.0,,,,,,,,100.0,1.0,1.0,,,,,,,,,,,,
193772441,Madares,silvermoon,15.0,1545.0,0.0,,,0.0,,50.0,100.0,50.0,50.0,50.0,,50.0,0.0,100.0,0.0,100.0,25.0,1.0,,,1.0,,4.0,1.0,2.0,2.0,4.0,,2.0,1.0,3.0,2.0,3.0,4.0,0.0,,,0.0,,2.0,1.0,1.0,1.0,2.0,,1.0,0.0,3.0,0.0,3.0,1.0,,,,,,,100.0,1.0,1.0,,,,,,,,,
127175674,Hucâr,gorgonnash,11.0,17031.0,47.0,70.0,67.0,62.0,50.0,54.0,56.0,70.0,68.0,50.0,69.0,,60.0,50.0,70.0,50.0,0.0,19.0,64.0,54.0,39.0,24.0,24.0,25.0,23.0,25.0,36.0,16.0,,5.0,2.0,10.0,2.0,3.0,9.0,45.0,36.0,24.0,12.0,13.0,14.0,16.0,17.0,18.0,11.0,,3.0,1.0,7.0,1.0,0.0,75.0,8.0,6.0,100.0,1.0,1.0,,,,100.0,1.0,1.0,,,,,,
151952434,Sejanus,gilneas,45.0,58635.0,69.0,56.0,55.0,54.0,49.0,51.0,60.0,49.0,61.0,64.0,66.0,,,,,,,105.0,259.0,190.0,167.0,152.0,82.0,72.0,49.0,100.0,47.0,32.0,,,,,,,72.0,144.0,105.0,90.0,74.0,42.0,43.0,24.0,61.0,30.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,
175918014,Bossexoxo,ragnaros,81.0,270.0,100.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94644508,Akenna,antonidas,21.0,3534.0,100.0,68.0,0.0,0.0,50.0,50.0,71.0,67.0,20.0,62.0,33.0,,100.0,50.0,0.0,,100.0,2.0,22.0,4.0,2.0,4.0,4.0,7.0,6.0,5.0,8.0,3.0,,3.0,2.0,1.0,,2.0,2.0,15.0,0.0,0.0,2.0,2.0,5.0,4.0,1.0,5.0,1.0,,3.0,1.0,0.0,,2.0,40.0,5.0,2.0,100.0,76.0,76.0,,,,,,,,,,,,
172809122,Andû,hyjal,10.0,778.0,0.0,,,0.0,,100.0,,0.0,50.0,50.0,,,25.0,50.0,,50.0,100.0,2.0,,,1.0,,1.0,,1.0,2.0,2.0,,,4.0,2.0,,2.0,1.0,0.0,,,0.0,,1.0,,0.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,100.0,1.0,1.0,,,,,,,,,
136938662,Komaster,todeswache,6.0,4186.0,50.0,49.0,11.0,60.0,,100.0,100.0,40.0,100.0,50.0,,50.0,100.0,0.0,,100.0,0.0,8.0,35.0,9.0,5.0,,5.0,1.0,5.0,1.0,2.0,,2.0,1.0,1.0,,1.0,2.0,4.0,17.0,1.0,3.0,,5.0,1.0,2.0,1.0,1.0,,1.0,1.0,0.0,,1.0,0.0,,,,,,,,,,100.0,1.0,1.0,,,,,,
