character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Rated Eye of the Storm win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Rated Eye of the Storm played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Rated Eye of the Storm won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
170267257,Neb,shattered-hand,19.0,5048.0,83.0,52.0,45.0,67.0,33.0,60.0,74.0,59.0,57.0,63.0,69.0,6.0,27.0,22.0,12.0,3.0,15.0,23.0,27.0,21.0,19.0,16.0,5.0,14.0,10.0,8.0,1.0,9.0,17.0,16.0,12.0,12.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101228281,Reava,alleria,76.0,11264.0,58.0,40.0,80.0,62.0,68.0,70.0,65.0,76.0,52.0,53.0,62.0,31.0,10.0,15.0,26.0,19.0,20.0,34.0,33.0,27.0,32.0,8.0,18.0,4.0,12.0,16.0,13.0,14.0,22.0,25.0,14.0,17.0,5.0,75.0,33.0,39.0,43.0,20.0,60.0,100.0,50.0,4.0,3.0,18.0,21.0,10.0,5.0,2.0,6.0,3.0,1.0,7.0,9.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,
175381022,Falkèn,shattered-hand,20.0,7651.0,52.0,50.0,35.0,35.0,33.0,64.0,67.0,52.0,43.0,58.0,50.0,33.0,28.0,37.0,17.0,12.0,25.0,18.0,25.0,21.0,19.0,2.0,17.0,14.0,13.0,6.0,4.0,16.0,12.0,13.0,9.0,11.0,1.0,,,,,100.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
197580854,Ørjän,silvermoon,12.0,3584.0,100.0,,,33.0,,50.0,67.0,50.0,75.0,67.0,,1.0,,,3.0,,4.0,15.0,4.0,4.0,12.0,,1.0,,,1.0,,2.0,10.0,2.0,3.0,8.0,,100.0,100.0,36.0,55.0,75.0,75.0,,54.0,2.0,1.0,11.0,11.0,8.0,4.0,,13.0,2.0,1.0,4.0,6.0,6.0,3.0,,7.0,,,,,,,,,,,,
164027090,Larachël,sanguino,18.0,3204.0,67.0,,,50.0,,29.0,83.0,33.0,75.0,70.0,,3.0,,,4.0,,7.0,6.0,6.0,4.0,10.0,,2.0,,,2.0,,2.0,5.0,2.0,3.0,7.0,,40.0,80.0,62.0,50.0,60.0,67.0,,33.0,5.0,5.0,8.0,6.0,10.0,3.0,,6.0,2.0,4.0,5.0,3.0,6.0,2.0,,2.0,,,,,,,,,,,,
98504501,Darkjukka,bloodfeather,131.0,42333.0,59.0,67.0,66.0,58.0,68.0,66.0,71.0,52.0,82.0,78.0,73.0,118.0,109.0,88.0,74.0,60.0,47.0,41.0,21.0,44.0,32.0,22.0,70.0,73.0,58.0,43.0,41.0,31.0,29.0,11.0,36.0,25.0,16.0,2250.0,,67.0,80.0,80.0,67.0,100.0,62.0,2.0,,12.0,10.0,5.0,6.0,1.0,8.0,45.0,,8.0,8.0,4.0,4.0,1.0,5.0,,,,,,,,,,,,
136676508,Tonínoo,dun-modr,22.0,6186.0,67.0,75.0,50.0,56.0,0.0,33.0,54.0,57.0,33.0,50.0,67.0,3.0,8.0,8.0,9.0,2.0,3.0,13.0,23.0,12.0,20.0,3.0,2.0,6.0,4.0,5.0,0.0,1.0,7.0,13.0,4.0,10.0,2.0,50.0,100.0,67.0,53.0,40.0,,,70.0,2.0,2.0,12.0,15.0,15.0,,,10.0,1.0,2.0,8.0,8.0,6.0,,,7.0,,,,,,,,,,,,
145130374,Palla,executus,18.0,2857.0,60.0,0.0,,33.0,,0.0,33.0,100.0,100.0,50.0,80.0,5.0,1.0,,3.0,,1.0,3.0,1.0,3.0,2.0,5.0,3.0,0.0,,1.0,,0.0,1.0,1.0,3.0,1.0,4.0,,,67.0,75.0,50.0,71.0,100.0,,,,9.0,4.0,4.0,7.0,5.0,,,,6.0,3.0,2.0,5.0,5.0,,0.0,1.0,0.0,,,,,,,,,
196563389,Narapasla,hyjal,15.0,4122.0,100.0,,,71.0,,50.0,38.0,75.0,55.0,88.0,0.0,4.0,,,7.0,,2.0,8.0,8.0,11.0,8.0,2.0,4.0,,,5.0,,1.0,3.0,6.0,6.0,7.0,0.0,,0.0,44.0,42.0,50.0,50.0,,25.0,,1.0,9.0,12.0,6.0,4.0,,8.0,,0.0,4.0,5.0,3.0,2.0,,2.0,17.0,6.0,1.0,100.0,1.0,1.0,,,,,,
176453733,Bléachy,twisting-nether,29.0,48633.0,52.0,64.0,65.0,59.0,64.0,60.0,66.0,46.0,57.0,62.0,56.0,80.0,150.0,181.0,93.0,88.0,47.0,149.0,56.0,118.0,42.0,9.0,42.0,96.0,118.0,55.0,56.0,28.0,98.0,26.0,67.0,26.0,5.0,,,,,100.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
