profile.id,profile.name,profile.realm.slug,specialization.id,faction.type
193199478,Сейвзона,soulflayer,66,HORDE
57445329,Руньён,galakrond,66,HORDE
245041355,Динадин,gordunni,66,ALLIANCE
119545021,Whimsy,burning-legion,66,HORDE
175769732,Вайнрих,galakrond,66,HORDE
246978378,Панактото,gordunni,66,ALLIANCE
201753295,Антикус,soulflayer,66,HORDE
118055440,Святошадэн,galakrond,66,ALLIANCE
18820223,Лайтмен,azuregos,66,ALLIANCE
116932256,Роэн,galakrond,66,HORDE
141864217,Айвишпал,galakrond,66,HORDE
174536731,Розовыйщит,howling-fjord,66,HORDE
62798593,Вузид,galakrond,66,ALLIANCE
111300583,Kassor,ysondre,66,HORDE
175495365,Фрига,galakrond,66,ALLIANCE
90845213,Oberkommando,sanguino,66,HORDE
175885777,Zanzir,magtheridon,66,HORDE
146504695,Aurelys,tarren-mill,66,HORDE
166985046,Ринолай,deepholm,66,ALLIANCE
144046900,Рахэль,howling-fjord,66,HORDE
131559351,Erotikuss,aegwynn,66,ALLIANCE
39994724,Наиксикс,galakrond,66,HORDE
104629302,Карвинн,howling-fjord,66,HORDE
108713937,Любомур,galakrond,66,ALLIANCE
244026970,Аутича,gordunni,66,ALLIANCE
194564244,Yeeta,silvermoon,66,ALLIANCE
172361913,Максфрай,howling-fjord,66,HORDE
195570071,Squibie,silvermoon,66,ALLIANCE
157000328,Calypox,alexstrasza,66,ALLIANCE
115920321,Гангарт,galakrond,66,ALLIANCE
121997654,Spankádin,draenor,66,HORDE
195728591,Solotyr,hyjal,66,ALLIANCE
121369235,Тээс,gordunni,66,ALLIANCE
187460461,Äzulà,hyjal,66,HORDE
155625828,Светлаятень,gordunni,66,ALLIANCE
173014080,Nightspirit,nemesis,66,HORDE
186637553,Овейт,gordunni,66,ALLIANCE
128250347,Одикон,galakrond,66,HORDE
139723203,Икугу,galakrond,66,ALLIANCE
174380096,Дедстобед,galakrond,66,ALLIANCE
140924366,Херлбой,galakrond,66,ALLIANCE
169778541,Хм,razuvious,66,ALLIANCE
166828751,Десслайт,gordunni,66,ALLIANCE
244355575,Церейрус,gordunni,66,ALLIANCE
167023808,Бабблодин,deepholm,66,HORDE
162268025,Primaldeath,garona,66,ALLIANCE
182884356,Иакс,gordunni,66,ALLIANCE
146761970,Ревген,galakrond,66,ALLIANCE
173757841,Шепоткрови,howling-fjord,66,HORDE
245614722,Ддоменщик,gordunni,66,ALLIANCE
165225926,Афисто,galakrond,66,ALLIANCE
175168375,Хампи,howling-fjord,66,HORDE
152870737,Adke,argent-dawn,66,ALLIANCE
135298036,Cangurón,dun-modr,66,ALLIANCE
124245114,Auxarius,defias-brotherhood,66,HORDE
120093773,Rankoneordie,draenor,66,HORDE
192045964,Дикобраазз,eversong,66,ALLIANCE
214836177,Auera,sylvanas,66,ALLIANCE
177875802,Morgenkoger,silvermoon,66,ALLIANCE
176246875,Asphodel,burning-legion,66,ALLIANCE
166981659,Dermatoss,blackrock,66,HORDE
78973088,Киирраа,gordunni,66,ALLIANCE
161824612,Торчулан,howling-fjord,66,HORDE
150605473,Элламет,galakrond,66,ALLIANCE
148749174,Дарквей,galakrond,66,HORDE
154600347,Craackk,antonidas,66,ALLIANCE
188018415,Реолка,gordunni,66,ALLIANCE
137167280,Artamiel,les-sentinelles,66,ALLIANCE
166450550,Arratius,blackmoore,66,ALLIANCE
150432143,Enimya,draenor,66,HORDE
172512957,Мэдтофик,razuvious,66,ALLIANCE
181649700,Lojzo,deathwing,66,ALLIANCE
105225644,Cctheshades,kazzak,66,HORDE
106925870,Nøïzy,archimonde,66,HORDE
245117475,Втсбабл,gordunni,66,ALLIANCE
237052395,Шокирую,borean-tundra,66,HORDE
118051383,Anyvile,antonidas,66,ALLIANCE
162276416,Арналадон,eversong,66,ALLIANCE
134064380,Куплюгараж,azuregos,66,ALLIANCE
174412277,Raíjin,dalaran,66,ALLIANCE
149465420,Supermon,argent-dawn,66,HORDE
67466910,Herkuluni,ravencrest,66,ALLIANCE
148976589,Неонко,howling-fjord,66,HORDE
70520838,Вогон,galakrond,66,HORDE
175606879,Juramentada,exodar,66,HORDE
167181874,Элхан,deepholm,66,HORDE
133390164,Råre,draenor,66,HORDE
191747184,Fistingood,silvermoon,66,ALLIANCE
176644890,Артемониус,gordunni,66,ALLIANCE
116707126,Тяжесть,galakrond,66,ALLIANCE
161831393,Yohance,uldum,66,HORDE
175664578,Фарисс,galakrond,66,ALLIANCE
175416231,Паларон,howling-fjord,66,HORDE
145231473,Атрэас,galakrond,66,ALLIANCE
202738846,Дхоатеус,soulflayer,66,HORDE
174990510,Ксандеркейдж,howling-fjord,66,HORDE
167289224,Serokras,blackmoore,66,ALLIANCE
181483376,Андуралус,gordunni,66,ALLIANCE
183148479,Медаяз,gordunni,66,ALLIANCE
192017612,Pomfritzel,silvermoon,66,ALLIANCE
175857019,Tindertank,twisting-nether,66,HORDE
223599875,Exidion,sylvanas,66,ALLIANCE
167204534,Банчи,razuvious,66,HORDE
151495327,Lukepxd,ragnaros,66,HORDE
80531460,Alienx,kazzak,66,HORDE
155250431,Deviouslight,drakthul,66,ALLIANCE
121115669,Caseryss,arathor,66,HORDE
158867318,Gongarvi,dun-modr,66,ALLIANCE
244675134,Тащисюдаеё,soulflayer,66,HORDE
200642588,Хулиганчегк,soulflayer,66,HORDE
202886880,Святоушлёпок,soulflayer,66,HORDE
80918673,Разбер,gordunni,66,ALLIANCE
181225796,Ариатик,soulflayer,66,HORDE
169698476,Пиксельшторм,razuvious,66,ALLIANCE
102101523,Лейкпластырь,galakrond,66,ALLIANCE
178894040,Mizukhan,hyjal,66,HORDE
192338389,Wosky,archimonde,66,HORDE
166300919,Kiezelsteen,argent-dawn,66,ALLIANCE
153078382,Anorwen,pozzo-delleternità,66,ALLIANCE
175087307,Dantone,magtheridon,66,ALLIANCE
209919859,Турбодизель,goldrinn,66,HORDE
106939409,Zastadin,dethecus,66,HORDE
154473138,Ignispetram,ravencrest,66,ALLIANCE
147357286,Nanisunda,thrall,66,HORDE
183568768,Холлихелл,soulflayer,66,HORDE
142769905,Gunsarc,dun-modr,66,ALLIANCE
179845298,Sejn,silvermoon,66,ALLIANCE
181826941,Palanix,aegwynn,66,ALLIANCE
127593735,Форстарлинг,blackscar,66,ALLIANCE
108623248,Майзас,soulflayer,66,HORDE
166767800,Scárecrów,drakthul,66,HORDE
167292382,Lookipala,tarren-mill,66,HORDE
172353075,Аулер,gordunni,66,ALLIANCE
195622369,Líghtfòrged,silvermoon,66,ALLIANCE
169736887,Фийка,gordunni,66,ALLIANCE
175998785,Cluther,twisting-nether,66,HORDE
143093593,Сулмилдир,galakrond,66,HORDE
83977490,Нэрик,galakrond,66,HORDE
170489359,Wardën,kazzak,66,HORDE
176408761,Зверобийник,howling-fjord,66,HORDE
197169175,Yûméko,hyjal,66,HORDE
244499804,Сыротёрка,gordunni,66,ALLIANCE
110044331,Vish,balnazzar,66,ALLIANCE
176602415,Sérindëy,dalaran,66,ALLIANCE
178161505,Harrypottah,ahnqiraj,66,ALLIANCE
140040978,Aurèli,blackmoore,66,HORDE
176354487,Anasteryan,twisting-nether,66,HORDE
193660474,Turinox,kazzak,66,HORDE
192681831,Темиус,eversong,66,ALLIANCE
116387848,Диахрон,galakrond,66,HORDE
159793315,Drenpie,argent-dawn,66,ALLIANCE
83306999,Mengalita,les-sentinelles,66,ALLIANCE
141657790,Därkisinme,blades-edge,66,ALLIANCE
195442580,Выклучатель,soulflayer,66,HORDE
166597903,Sindrallig,hyjal,66,ALLIANCE
155410653,Lübä,madmortem,66,ALLIANCE
173681582,Спектор,gordunni,66,ALLIANCE
187022384,Bubblewoman,arathor,66,ALLIANCE
242523079,Религард,gordunni,66,ALLIANCE
199375464,Садуя,soulflayer,66,HORDE
246020056,Суман,soulflayer,66,HORDE
115866451,Назарбайй,galakrond,66,ALLIANCE
163963331,Aluzynada,dun-modr,66,ALLIANCE
161139848,Азъгардец,gordunni,66,ALLIANCE
150728464,Чудомохнатка,galakrond,66,ALLIANCE
175307045,Рагноросища,galakrond,66,ALLIANCE
