character.id,profile.name,profile.slug,score
158624613,Nyùkä,conseil-des-ombres,2061.2
160263077,Butzzbenzer,nozdormu,1512.4
160604312,Sephecs,nozdormu,1267.0
245041355,Динадин,gordunni,1295.9
131559351,Erotikuss,aegwynn,1104.6
94724787,Amaleika,nozdormu,1139.2
155250431,Deviouslight,drakthul,1164.2
165606918,Hegeshine,argent-dawn,1571.4
155596230,Schnauzli,perenolde,1171.8
161204362,Xeladin,garrosh,1188.8
73150020,Elijahu,eredar,1511.6
118015526,Lyte,nozdormu,1259.4
99896751,Hothanatos,nozdormu,1181.2
99250043,Amicitia,antonidas,1194.4
68366054,Amunrey,nozdormu,1060.1
175196320,Хитя,howling-fjord,1210.9
153078382,Anorwen,pozzo-delleternità,1274.8
156073122,Muuhlan,perenolde,1386.4
197550361,Lustucrü,archimonde,1237.8
94680827,Neohit,twisting-nether,972.4
187527906,Гростер,gordunni,1255.3
156085046,Holycabby,teldrassil,1319.8
191840232,Nakui,aegwynn,1521.3
162689893,Krøamar,twisting-nether,1041.6
166768405,Buidsear,blackmoore,1427.0
59832361,Milàny,ysondre,958.2
154524358,Dalinn,teldrassil,1038.3
111554269,Bretony,twisting-nether,808.7
111845569,Mestrong,aegwynn,1137.4
88715608,Eycha,garrosh,1027.5
197011934,Eriot,frostmane,1136.6
108222133,Sîrlapperich,antonidas,1111.4
156083619,Axuz,perenolde,978.1
172649351,Zozio,dun-modr,1313.8
198022977,ßigleßelge,archimonde,953.9
83696336,Palast,nemesis,1153.3
218934718,Qhaah,sylvanas,1310.4
243291332,Холиджастис,gordunni,1051.1
161915249,Twinibo,shattrath,849.1
155063123,Ràyzèr,antonidas,1208.3
160013505,Ayven,dalaran,1114.3
161175764,Orsola,garrosh,1081.0
137478706,Jimioo,argent-dawn,1138.6
127018855,Tepi,nozdormu,986.4
160835993,Kiith,silvermoon,839.0
159298617,Hólyshet,tarren-mill,1097.7
163097449,Schayla,garrosh,1250.9
208307745,Silverdawn,runetotem,1149.3
156311796,Andýson,antonidas,1026.2
146739606,Ибха,gordunni,1055.0
109701171,Alia,quelthalas,869.3
98398071,Toplul,ravencrest,987.4
155182053,Arkanes,perenolde,848.1
247159249,Зоенька,soulflayer,910.5
160688161,Netrana,perenolde,1035.3
166981659,Dermatoss,blackrock,1002.2
154454348,Langeezy,ravencrest,918.2
118699603,Cyruz,eonar,896.7
120299696,Vraccâs,silvermoon,883.1
113142020,Stonehead,shattrath,849.4
196740717,Mazzaia,silvermoon,977.8
67865667,Elyana,nozdormu,888.3
119055674,Lízarí,antonidas,1138.0
107290934,Dorem,shattrath,853.6
110117923,Sîlîan,blackmoore,858.2
195690055,Heliof,silvermoon,1005.0
157250078,Tanduwin,antonidas,1118.4
156103505,Echnatón,teldrassil,1021.2
173440088,Тэсон,howling-fjord,853.5
139225789,Sannylight,malfurion,1067.7
169874478,Protlakson,drakthul,921.1
69341483,Altora,shattrath,935.8
160480098,Tschibureki,shattrath,857.0
120418544,Multík,burning-legion,1005.9
166031312,Dalline,kelthuzad,943.7
245895438,Аргоныч,gordunni,1003.8
121791826,Culsec,confrérie-du-thorium,1043.6
160026525,Shanis,doomhammer,852.5
158108681,Thejóy,tarren-mill,1342.9
155676909,Fíesel,teldrassil,877.4
62338330,Albe,aggramar,1088.6
26089178,Wingless,garrosh,1072.4
44349718,Ethós,garrosh,958.3
64160021,Malaketh,blackmoore,989.6
163832801,Holyblood,aegwynn,731.2
