0,1,2,3,4,5,6,7,character.id
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Golden Path,Resolute Defender,Punish the Guilty,Shielding Words,169910781
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Shielding Words,Vengeful Shock,Resolute Defender,163632883
Pelagos,Combat Meditation,Road of Trials,Bond of Friendship,Shielding Words,Resolute Defender,Punish the Guilty,Golden Path,154436128
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Resolute Defender,Shielding Words,Vengeful Shock,Golden Path,147395689
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Focused Light,Shielding Words,Ringing Clarity,Pure Concentration,167094488
Pelagos,Combat Meditation,Road of Trials,Bond of Friendship,Shielding Words,Resolute Defender,Vengeful Shock,,191894188
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Vengeful Shock,Shielding Words,Ringing Clarity,Resolute Defender,183594814
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Punish the Guilty,Resolute Defender,Ringing Clarity,Shielding Words,197358910
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Resolute Defender,Shielding Words,Ringing Clarity,Royal Decree,113377211
Pelagos,Combat Meditation,Road of Trials,Bond of Friendship,Shielding Words,Resolute Defender,Punish the Guilty,Golden Path,176695367
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Ringing Clarity,Resolute Defender,Vengeful Shock,Shielding Words,154699600
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,Vengeful Shock,Golden Path,164405939
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Punish the Guilty,Resolute Defender,Ringing Clarity,Shielding Words,170267257
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Punish the Guilty,Resolute Defender,Ringing Clarity,Shielding Words,136242937
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Shielding Words,Punish the Guilty,Resolute Defender,69296778
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,Vengeful Shock,Light's Barding,150617010
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Shielding Words,Royal Decree,Vengeful Shock,Light's Barding,162892627
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Vengeful Shock,Golden Path,Ringing Clarity,Resolute Defender,101228281
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Punish the Guilty,Resolute Defender,Vengeful Shock,Shielding Words,89592022
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Punish the Guilty,Resolute Defender,Vengeful Shock,,149563678
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Shielding Words,Resolute Defender,Vengeful Shock,Golden Path,81214680
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Resolute Defender,Shielding Words,Vengeful Shock,Light's Barding,154220855
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Ringing Clarity,Resolute Defender,Vengeful Shock,Golden Path,188436851
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,Punish the Guilty,,154906752
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Golden Path,Resolute Defender,Vengeful Shock,Shielding Words,153375291
Pelagos,Combat Meditation,Road of Trials,Bond of Friendship,Resolute Defender,Shielding Words,Ringing Clarity,Golden Path,165166566
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,Virtuous Command,,194396987
