id,has_queue,realms,_links.self.href,status.type,status.name,population.type,population.name,mythic_leaderboards.href,auctions.href,parent_realm
509,False,"[{'id': 509, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/509?namespace=dynamic-eu'}, 'name': 'Garona', 'category': 'French', 'locale': 'frFR', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'garona'}, {'id': 544, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/509?namespace=dynamic-eu'}, 'name': ""Ner'zhul"", 'category': 'French', 'locale': 'frFR', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'nerzhul'}, {'id': 546, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/509?namespace=dynamic-eu'}, 'name': 'Sargeras', 'category': 'French', 'locale': 'frFR', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'sargeras'}]",https://eu.api.blizzard.com/data/wow/connected-realm/509?namespace=dynamic-eu,UP,Up,MEDIUM,Medium,https://eu.api.blizzard.com/data/wow/connected-realm/509/mythic-leaderboard/?namespace=dynamic-eu,https://eu.api.blizzard.com/data/wow/connected-realm/509/auctions?namespace=dynamic-eu,Garona
510,False,"[{'id': 510, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/510?namespace=dynamic-eu'}, 'name': ""Vol'jin"", 'category': 'French', 'locale': 'frFR', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'voljin'}, {'id': 1620, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/510?namespace=dynamic-eu'}, 'name': 'Chants éternels', 'category': 'French', 'locale': 'frFR', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'chants-éternels'}]",https://eu.api.blizzard.com/data/wow/connected-realm/510?namespace=dynamic-eu,UP,Up,LOW,Low,https://eu.api.blizzard.com/data/wow/connected-realm/510/mythic-leaderboard/?namespace=dynamic-eu,https://eu.api.blizzard.com/data/wow/connected-realm/510/auctions?namespace=dynamic-eu,Vol'jin
512,False,"[{'id': 512, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/512?namespace=dynamic-eu'}, 'name': 'Arak-arahm', 'category': 'French', 'locale': 'frFR', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'arakarahm'}, {'id': 543, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/512?namespace=dynamic-eu'}, 'name': ""Kael'thas"", 'category': 'French', 'locale': 'frFR', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'kaelthas'}, {'id': 642, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/512?namespace=dynamic-eu'}, 'name': 'Rashgarroth', 'category': 'French', 'locale': 'frFR', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'rashgarroth'}, {'id': 643, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/512?namespace=dynamic-eu'}, 'name': ""Throk'Feroth"", 'category': 'French', 'locale': 'frFR', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'throkferoth'}]",https://eu.api.blizzard.com/data/wow/connected-realm/512?namespace=dynamic-eu,UP,Up,LOW,Low,https://eu.api.blizzard.com/data/wow/connected-realm/512/mythic-leaderboard/?namespace=dynamic-eu,https://eu.api.blizzard.com/data/wow/connected-realm/512/auctions?namespace=dynamic-eu,Arak-arahm
531,False,"[{'id': 531, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/531?namespace=dynamic-eu'}, 'name': 'Dethecus', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'dethecus'}, {'id': 605, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/531?namespace=dynamic-eu'}, 'name': 'Theradras', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'theradras'}, {'id': 610, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/531?namespace=dynamic-eu'}, 'name': 'Onyxia', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'onyxia'}, {'id': 615, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/531?namespace=dynamic-eu'}, 'name': 'Terrordar', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'terrordar'}, {'id': 1319, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/531?namespace=dynamic-eu'}, 'name': ""Mug'thol"", 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'mugthol'}]",https://eu.api.blizzard.com/data/wow/connected-realm/531?namespace=dynamic-eu,UP,Up,LOW,Low,https://eu.api.blizzard.com/data/wow/connected-realm/531/mythic-leaderboard/?namespace=dynamic-eu,https://eu.api.blizzard.com/data/wow/connected-realm/531/auctions?namespace=dynamic-eu,Dethecus
570,False,"[{'id': 570, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/570?namespace=dynamic-eu'}, 'name': 'Lothar', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'lothar'}, {'id': 565, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/570?namespace=dynamic-eu'}, 'name': 'Baelgun', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'baelgun'}, {'id': 579, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/570?namespace=dynamic-eu'}, 'name': 'Azshara', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'azshara'}, {'id': 616, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/570?namespace=dynamic-eu'}, 'name': ""Krag'jin"", 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'kragjin'}]",https://eu.api.blizzard.com/data/wow/connected-realm/570?namespace=dynamic-eu,UP,Up,MEDIUM,Medium,https://eu.api.blizzard.com/data/wow/connected-realm/570/mythic-leaderboard/?namespace=dynamic-eu,https://eu.api.blizzard.com/data/wow/connected-realm/570/auctions?namespace=dynamic-eu,Lothar
578,False,"[{'id': 578, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/578?namespace=dynamic-eu'}, 'name': 'Arthas', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'arthas'}, {'id': 535, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/578?namespace=dynamic-eu'}, 'name': 'Durotan', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'durotan'}, {'id': 588, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/578?namespace=dynamic-eu'}, 'name': ""Kel'Thuzad"", 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'kelthuzad'}, {'id': 609, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/578?namespace=dynamic-eu'}, 'name': 'Wrathbringer', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'wrathbringer'}, {'id': 1318, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/578?namespace=dynamic-eu'}, 'name': ""Vek'lor"", 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'veklor'}, {'id': 1328, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/578?namespace=dynamic-eu'}, 'name': 'Tirion', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'tirion'}, {'id': 1613, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/578?namespace=dynamic-eu'}, 'name': 'Blutkessel', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'blutkessel'}]",https://eu.api.blizzard.com/data/wow/connected-realm/578?namespace=dynamic-eu,UP,Up,MEDIUM,Medium,https://eu.api.blizzard.com/data/wow/connected-realm/578/mythic-leaderboard/?namespace=dynamic-eu,https://eu.api.blizzard.com/data/wow/connected-realm/578/auctions?namespace=dynamic-eu,Arthas
580,False,"[{'id': 580, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/580?namespace=dynamic-eu'}, 'name': 'Blackmoore', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'blackmoore'}, {'id': 1106, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/580?namespace=dynamic-eu'}, 'name': 'Tichondrius', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'tichondrius'}, {'id': 1409, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/580?namespace=dynamic-eu'}, 'name': 'Lordaeron', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'lordaeron'}]",https://eu.api.blizzard.com/data/wow/connected-realm/580?namespace=dynamic-eu,UP,Up,FULL,Full,https://eu.api.blizzard.com/data/wow/connected-realm/580/mythic-leaderboard/?namespace=dynamic-eu,https://eu.api.blizzard.com/data/wow/connected-realm/580/auctions?namespace=dynamic-eu,Blackmoore
581,False,"[{'id': 581, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/581?namespace=dynamic-eu'}, 'name': 'Blackrock', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'blackrock'}]",https://eu.api.blizzard.com/data/wow/connected-realm/581?namespace=dynamic-eu,UP,Up,FULL,Full,https://eu.api.blizzard.com/data/wow/connected-realm/581/mythic-leaderboard/?namespace=dynamic-eu,https://eu.api.blizzard.com/data/wow/connected-realm/581/auctions?namespace=dynamic-eu,Blackrock
604,False,"[{'id': 604, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/604?namespace=dynamic-eu'}, 'name': 'Thrall', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'thrall'}, {'id': 568, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/604?namespace=dynamic-eu'}, 'name': 'Kargath', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'kargath'}, {'id': 1330, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/604?namespace=dynamic-eu'}, 'name': 'Ambossar', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'ambossar'}]",https://eu.api.blizzard.com/data/wow/connected-realm/604?namespace=dynamic-eu,UP,Up,HIGH,High,https://eu.api.blizzard.com/data/wow/connected-realm/604/mythic-leaderboard/?namespace=dynamic-eu,https://eu.api.blizzard.com/data/wow/connected-realm/604/auctions?namespace=dynamic-eu,Thrall
612,False,"[{'id': 612, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/612?namespace=dynamic-eu'}, 'name': 'Nefarian', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'nefarian'}, {'id': 567, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/612?namespace=dynamic-eu'}, 'name': 'Gilneas', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'gilneas'}, {'id': 582, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/612?namespace=dynamic-eu'}, 'name': 'Destromath', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'destromath'}, {'id': 586, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/612?namespace=dynamic-eu'}, 'name': 'Gorgonnash', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'gorgonnash'}, {'id': 591, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/612?namespace=dynamic-eu'}, 'name': 'Mannoroth', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'mannoroth'}, {'id': 611, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/612?namespace=dynamic-eu'}, 'name': ""Nera'thor"", 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'nerathor'}, {'id': 1323, 'region': {'key': {'href': 'https://eu.api.blizzard.com/data/wow/region/3?namespace=dynamic-eu'}, 'name': 'Europe', 'id': 3}, 'connected_realm': {'href': 'https://eu.api.blizzard.com/data/wow/connected-realm/612?namespace=dynamic-eu'}, 'name': 'Ulduar', 'category': 'German', 'locale': 'deDE', 'timezone': 'Europe/Paris', 'type': {'type': 'NORMAL', 'name': 'Normal'}, 'is_tournament': False, 'slug': 'ulduar'}]",https://eu.api.blizzard.com/data/wow/connected-realm/612?namespace=dynamic-eu,UP,Up,MEDIUM,Medium,https://eu.api.blizzard.com/data/wow/connected-realm/612/mythic-leaderboard/?namespace=dynamic-eu,https://eu.api.blizzard.com/data/wow/connected-realm/612/auctions?namespace=dynamic-eu,Nefarian
