character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Alterac Valley won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Rated Eye of the Storm win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Rated Eye of the Storm played,Korrak's Revenge played,Deepwind Gorge played,Classic Warsong Gulch won,Rated Eye of the Storm won,Korrak's Revenge won,Deepwind Gorge won,Eye of the Storm win_rate,Isle of Conquest win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Arathi Basin Comp Stomp win_rate,Eye of the Storm played,Isle of Conquest played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Arathi Basin Comp Stomp played,Eye of the Storm won,Isle of Conquest won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Arathi Basin Comp Stomp won,Classic Arathi Basin win_rate,Classic Arathi Basin played,Classic Arathi Basin won,Strand of the Ancients win_rate,Strand of the Ancients played,Strand of the Ancients won,Southshore vs. Tarren Mill win_rate,Cooking: Impossible win_rate,Southshore vs. Tarren Mill played,Cooking: Impossible played,Southshore vs. Tarren Mill won,Cooking: Impossible won
162360973,Kobayashipls,twisting-nether,10.0,896.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,50.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180420766,Тивиар,gordunni,7.0,1640.0,,0.0,50.0,33.0,50.0,,,0.0,67.0,100.0,,1.0,2.0,3.0,2.0,,,1.0,3.0,1.0,,0.0,1.0,1.0,1.0,,,0.0,2.0,1.0,0.0,50.0,25.0,33.0,1.0,2.0,8.0,3.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
145130374,Palla,executus,18.0,2857.0,60.0,33.0,100.0,100.0,50.0,,67.0,75.0,50.0,71.0,5.0,3.0,1.0,3.0,2.0,,9.0,4.0,4.0,7.0,3.0,1.0,1.0,3.0,1.0,,6.0,3.0,2.0,5.0,0.0,,,,1.0,,,,0.0,,,,33.0,0.0,80.0,0.0,100.0,3.0,1.0,5.0,1.0,5.0,1.0,0.0,4.0,0.0,5.0,,,,,,,,,,,,
189279294,Холиманьяк,gordunni,60.0,14208.0,0.0,57.0,67.0,56.0,64.0,0.0,66.0,46.0,74.0,0.0,3.0,28.0,27.0,36.0,47.0,1.0,44.0,26.0,23.0,2.0,0.0,16.0,18.0,20.0,30.0,0.0,29.0,12.0,17.0,0.0,55.0,,,75.0,11.0,,,8.0,6.0,,,6.0,72.0,57.0,55.0,44.0,100.0,25.0,7.0,20.0,9.0,2.0,18.0,4.0,11.0,4.0,2.0,60.0,5.0,3.0,,,,,,,,,
167884326,Kongozuna,tarren-mill,95.0,25523.0,62.0,75.0,53.0,48.0,77.0,,75.0,100.0,33.0,50.0,8.0,24.0,17.0,25.0,35.0,,12.0,2.0,6.0,2.0,5.0,18.0,9.0,12.0,27.0,,9.0,2.0,2.0,1.0,56.0,,100.0,50.0,55.0,,1.0,2.0,31.0,,1.0,1.0,64.0,43.0,56.0,,100.0,70.0,7.0,18.0,,37.0,45.0,3.0,10.0,,37.0,61.0,36.0,22.0,71.0,7.0,5.0,,,,,,
86944878,Silency,stormreaver,45.0,6003.0,32.0,60.0,33.0,50.0,40.0,,,50.0,33.0,45.0,25.0,5.0,9.0,8.0,10.0,,,4.0,6.0,11.0,8.0,3.0,3.0,4.0,4.0,,,2.0,2.0,5.0,60.0,,,75.0,5.0,,,4.0,3.0,,,3.0,74.0,33.0,,,,19.0,6.0,,,,14.0,2.0,,,,33.0,18.0,6.0,60.0,5.0,3.0,,,,,,
117678468,Nozarash,twisting-nether,11.0,15287.0,24.0,45.0,62.0,60.0,78.0,,,0.0,,,25.0,11.0,13.0,10.0,9.0,,,1.0,,,6.0,5.0,8.0,6.0,7.0,,,0.0,,,55.0,,,,11.0,,,,6.0,,,,33.0,14.0,20.0,,,6.0,22.0,10.0,,,2.0,3.0,2.0,,,36.0,11.0,4.0,50.0,8.0,4.0,,,,,,
180109619,Yaminosenshi,hellfire,7.0,3749.0,67.0,33.0,67.0,0.0,,,,60.0,0.0,33.0,3.0,3.0,3.0,1.0,,,,5.0,1.0,3.0,2.0,1.0,2.0,0.0,,,,3.0,0.0,1.0,0.0,,50.0,67.0,1.0,,4.0,3.0,0.0,,2.0,2.0,67.0,0.0,,,,3.0,2.0,,,,2.0,0.0,,,,0.0,1.0,0.0,,,,,,,,,
137417779,Ardiana,khadgar,36.0,39099.0,57.0,78.0,50.0,17.0,62.0,,100.0,,,0.0,63.0,9.0,6.0,6.0,8.0,,1.0,,,1.0,36.0,7.0,3.0,1.0,5.0,,1.0,,,0.0,49.0,,0.0,0.0,431.0,,8.0,1.0,213.0,,0.0,0.0,50.0,58.0,67.0,,,107.0,100.0,3.0,,,54.0,58.0,2.0,,,48.0,114.0,55.0,47.0,95.0,45.0,,,,,,
95463891,Soldrethár,bloodhoof,45.0,19204.0,57.0,42.0,100.0,58.0,60.0,20.0,50.0,,0.0,67.0,40.0,19.0,1.0,24.0,5.0,5.0,2.0,,1.0,3.0,23.0,8.0,1.0,14.0,3.0,1.0,1.0,,0.0,2.0,50.0,,,,40.0,,,,20.0,,,,50.0,50.0,0.0,,,28.0,20.0,1.0,,,14.0,10.0,0.0,,,48.0,31.0,15.0,39.0,23.0,9.0,,,,,,
