character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Southshore vs. Tarren Mill win_rate,Arathi Basin Winter win_rate,Cooking: Impossible win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Southshore vs. Tarren Mill played,Arathi Basin Winter played,Cooking: Impossible played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Southshore vs. Tarren Mill won,Arathi Basin Winter won,Cooking: Impossible won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won
164207080,Taeric,anachronos,34.0,12504.0,50.0,53.0,29.0,76.0,50.0,73.0,67.0,74.0,25.0,63.0,36.0,33.0,33.0,50.0,0.0,75.0,73.0,67.0,50.0,100.0,100.0,75.0,10.0,15.0,7.0,17.0,6.0,15.0,18.0,27.0,16.0,35.0,11.0,6.0,3.0,4.0,2.0,8.0,11.0,6.0,10.0,10.0,2.0,12.0,5.0,8.0,2.0,13.0,3.0,11.0,12.0,20.0,4.0,22.0,4.0,2.0,1.0,2.0,0.0,6.0,8.0,4.0,5.0,10.0,2.0,9.0,,,
136676508,Tonínoo,dun-modr,22.0,6186.0,67.0,75.0,50.0,56.0,0.0,33.0,54.0,57.0,33.0,50.0,67.0,100.0,,,,67.0,53.0,40.0,,,,70.0,3.0,8.0,8.0,9.0,2.0,3.0,13.0,23.0,12.0,20.0,3.0,2.0,,,,12.0,15.0,15.0,,,,10.0,2.0,6.0,4.0,5.0,0.0,1.0,7.0,13.0,4.0,10.0,2.0,2.0,,,,8.0,8.0,6.0,,,,7.0,50.0,2.0,1.0
48128140,Amzil,kul-tiras,11.0,12634.0,41.0,61.0,51.0,67.0,56.0,34.0,44.0,75.0,64.0,86.0,100.0,100.0,,,,100.0,71.0,88.0,100.0,,,100.0,17.0,38.0,35.0,15.0,25.0,29.0,34.0,4.0,25.0,7.0,1.0,1.0,,,,6.0,7.0,8.0,1.0,,,4.0,7.0,23.0,18.0,10.0,14.0,10.0,15.0,3.0,16.0,6.0,1.0,1.0,,,,6.0,5.0,7.0,1.0,,,4.0,,,
107578790,Sindrome,anachronos,31.0,3876.0,,0.0,100.0,38.0,,0.0,83.0,25.0,0.0,100.0,,,,33.0,,100.0,50.0,33.0,100.0,100.0,,100.0,,2.0,2.0,8.0,,1.0,6.0,4.0,1.0,2.0,,,,3.0,,2.0,4.0,3.0,1.0,2.0,,5.0,,0.0,2.0,3.0,,0.0,5.0,1.0,0.0,2.0,,,,1.0,,2.0,2.0,1.0,1.0,2.0,,5.0,,,
124508002,Themis,les-sentinelles,13.0,1346.0,50.0,,,,,25.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,75.0,0.0,0.0,50.0,,,,2.0,,,,,4.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,4.0,1.0,1.0,4.0,,,,1.0,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,0.0,0.0,2.0,,,,,,
141055943,Palark,alonsus,17.0,2586.0,0.0,69.0,33.0,60.0,,,50.0,67.0,50.0,54.0,75.0,100.0,,,,100.0,,,,,,,1.0,13.0,6.0,5.0,,,16.0,12.0,14.0,13.0,4.0,1.0,,,,1.0,,,,,,,0.0,9.0,2.0,3.0,,,8.0,8.0,7.0,7.0,3.0,1.0,,,,1.0,,,,,,,50.0,2.0,1.0
113763354,Murathmir,kul-tiras,89.0,2125.0,50.0,,100.0,,,25.0,0.0,,67.0,0.0,67.0,,,,,,,100.0,33.0,100.0,0.0,,4.0,,2.0,,,4.0,1.0,,3.0,3.0,3.0,,,,,,,1.0,3.0,48.0,1.0,,2.0,,2.0,,,1.0,0.0,,2.0,0.0,2.0,,,,,,,1.0,1.0,48.0,0.0,,,,
166079251,Steks,blades-edge,22.0,20841.0,48.0,59.0,62.0,49.0,64.0,48.0,33.0,82.0,38.0,58.0,40.0,,,67.0,,100.0,70.0,57.0,60.0,,14.0,25.0,160.0,49.0,93.0,43.0,61.0,23.0,15.0,11.0,26.0,12.0,5.0,,,3.0,,3.0,10.0,7.0,5.0,,7.0,4.0,77.0,29.0,58.0,21.0,39.0,11.0,5.0,9.0,10.0,7.0,2.0,,,2.0,,3.0,7.0,4.0,3.0,,1.0,1.0,,,
176436172,Palathos,ragnaros,21.0,16174.0,48.0,60.0,76.0,62.0,55.0,56.0,33.0,0.0,71.0,12.0,0.0,30.0,100.0,,,0.0,0.0,0.0,50.0,,50.0,67.0,134.0,15.0,21.0,8.0,11.0,16.0,3.0,5.0,7.0,8.0,3.0,10.0,1.0,,,2.0,4.0,2.0,2.0,,2.0,3.0,64.0,9.0,16.0,5.0,6.0,9.0,1.0,0.0,5.0,1.0,0.0,3.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,2.0,,,
199216357,Wynell,arathor,17.0,1057.0,100.0,,,75.0,,,100.0,,100.0,,,67.0,,,,,100.0,50.0,100.0,,,100.0,2.0,,,4.0,,,3.0,,2.0,,,3.0,,,,,1.0,2.0,1.0,,,1.0,2.0,,,3.0,,,3.0,,2.0,,,2.0,,,,,1.0,1.0,1.0,,,1.0,,,
