character.id,character.name,character.realm.slug,honor_level,honorable_kills,Isle of Conquest win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Battle for Wintergrasp win_rate,Isle of Conquest played,Seething Shore played,Warsong Gulch played,Battle for Wintergrasp played,Isle of Conquest won,Seething Shore won,Warsong Gulch won,Battle for Wintergrasp won,Alterac Valley win_rate,Eye of the Storm win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Arathi Basin played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Arathi Basin won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Deepwind Gorge (Legacy) win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Deepwind Gorge (Legacy) played,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Deepwind Gorge (Legacy) won,Ashran win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Ashran played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Ashran won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won
148078900,Арахнея,howling-fjord,56.0,289.0,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167094488,Bolderbast,tarren-mill,14.0,3157.0,75.0,40.0,55.0,100.0,4.0,10.0,11.0,1.0,3.0,4.0,6.0,1.0,0.0,50.0,67.0,62.0,57.0,50.0,67.0,25.0,40.0,2.0,2.0,9.0,8.0,7.0,10.0,15.0,8.0,15.0,0.0,1.0,6.0,5.0,4.0,5.0,10.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
169910781,Kyarrala,tarren-mill,4.0,277.0,,100.0,0.0,,,1.0,1.0,,,1.0,0.0,,,100.0,100.0,100.0,,,100.0,,0.0,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
150451053,Koyjin,kazzak,104.0,57121.0,43.0,,,,72.0,,,,31.0,,,,55.0,61.0,78.0,67.0,58.0,,69.0,,,87.0,114.0,45.0,9.0,31.0,,13.0,,,48.0,69.0,35.0,6.0,18.0,,9.0,,,49.0,49.0,53.0,53.0,449.0,170.0,109.0,15.0,219.0,83.0,58.0,8.0,,,,,,,,,,,,
171439082,Grippingcnt,kazzak,54.0,1134.0,,80.0,33.0,,,5.0,6.0,,,4.0,2.0,,100.0,0.0,67.0,33.0,100.0,100.0,100.0,50.0,100.0,1.0,1.0,6.0,3.0,9.0,2.0,4.0,6.0,1.0,1.0,0.0,4.0,1.0,9.0,2.0,4.0,3.0,1.0,100.0,50.0,,0.0,1.0,2.0,,1.0,1.0,1.0,,0.0,,,,,,,,,,,,
110447787,Ayyah,stormscale,4.0,466.0,,,50.0,,,,2.0,,,,1.0,,,,100.0,100.0,,,,100.0,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,1.0,,0.0,,,,1.0,,,,0.0,,,,,,,,,,,,,,,
163632883,Aitas,tarren-mill,162.0,100346.0,45.0,500.0,100.0,100.0,225.0,8.0,3.0,4.0,102.0,40.0,3.0,4.0,51.0,60.0,65.0,66.0,62.0,,65.0,60.0,0.0,210.0,235.0,265.0,181.0,257.0,,186.0,5.0,1.0,108.0,140.0,171.0,120.0,159.0,,121.0,3.0,0.0,62.0,60.0,55.0,58.0,247.0,290.0,222.0,84.0,154.0,173.0,123.0,49.0,100.0,100.0,0.0,2.0,36.0,5.0,2.0,36.0,0.0,,,
128966569,Kompanypala,tarren-mill,47.0,9762.0,25.0,,33.0,,12.0,,3.0,,3.0,,1.0,,49.0,71.0,40.0,56.0,30.0,280.0,80.0,75.0,40.0,39.0,14.0,15.0,9.0,23.0,5.0,10.0,4.0,5.0,19.0,10.0,6.0,5.0,7.0,14.0,8.0,3.0,2.0,52.0,50.0,67.0,80.0,27.0,28.0,21.0,5.0,14.0,14.0,14.0,4.0,,,,,,,,,,,,
33356986,Лаунч,howling-fjord,22.0,20308.0,53.0,100.0,57.0,,32.0,1.0,7.0,,17.0,1.0,4.0,,72.0,68.0,60.0,67.0,75.0,,33.0,0.0,100.0,39.0,62.0,20.0,3.0,8.0,,6.0,2.0,2.0,28.0,42.0,12.0,2.0,6.0,,2.0,0.0,2.0,72.0,61.0,69.0,33.0,78.0,71.0,64.0,3.0,56.0,43.0,44.0,1.0,0.0,,,1.0,,,0.0,,,,,
142421824,Whodapala,dentarg,32.0,7838.0,52.0,75.0,100.0,71.0,21.0,4.0,4.0,7.0,11.0,3.0,4.0,5.0,47.0,63.0,52.0,67.0,25.0,700.0,33.0,100.0,100.0,17.0,19.0,21.0,9.0,12.0,1.0,15.0,3.0,1.0,8.0,12.0,11.0,6.0,3.0,7.0,5.0,3.0,1.0,27.0,54.0,24.0,67.0,33.0,13.0,17.0,6.0,9.0,7.0,4.0,4.0,33.0,100.0,,6.0,72.0,,2.0,72.0,,50.0,2.0,1.0
