character.id,character.name,character.realm.slug,honor_level,honorable_kills,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Battle for Wintergrasp win_rate,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Battle for Wintergrasp played,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Silvershard Mines win_rate,Classic Warsong Gulch played,Silvershard Mines played,Classic Warsong Gulch won,Silvershard Mines won,Arathi Basin win_rate,Deepwind Gorge win_rate,Arathi Basin played,Deepwind Gorge played,Arathi Basin won,Deepwind Gorge won,Alterac Valley win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Rated Eye of the Storm win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Alterac Valley played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Rated Eye of the Storm played,Seething Shore played,Warsong Gulch played,Alterac Valley won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Rated Eye of the Storm won,Seething Shore won,Warsong Gulch won,Ashran win_rate,Arathi Basin Winter win_rate,Korrak's Revenge win_rate,Ashran played,Arathi Basin Winter played,Korrak's Revenge played,Ashran won,Arathi Basin Winter won,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
168522770,Bakmachine,ragnaros,4.0,411.0,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87892285,Keevâ,draenor,5.0,331.0,0.0,33.0,100.0,,2.0,3.0,1.0,,0.0,1.0,1.0,,0.0,50.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148169893,Yesyesyes,arthas,5.0,190.0,0.0,,,,1.0,,,,0.0,,,,,,,,,,0.0,100.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137340802,Ajire,magtheridon,47.0,8998.0,58.0,69.0,71.0,100.0,19.0,16.0,17.0,1.0,11.0,11.0,12.0,1.0,25.0,20.0,32.0,15.0,8.0,3.0,38.0,0.0,16.0,2.0,6.0,0.0,17.0,40.0,35.0,43.0,25.0,47.0,100.0,62.0,38.0,6.0,15.0,37.0,7.0,8.0,15.0,1.0,13.0,16.0,1.0,6.0,13.0,3.0,2.0,7.0,1.0,8.0,6.0,,,,,,,,,,,,,,,,,,
177144909,Aryxxë,twisting-nether,30.0,4570.0,89.0,33.0,57.0,83.0,9.0,9.0,7.0,6.0,8.0,3.0,4.0,5.0,100.0,79.0,3.0,14.0,3.0,11.0,100.0,100.0,3.0,2.0,3.0,2.0,58.0,75.0,50.0,,33.0,58.0,100.0,67.0,67.0,19.0,4.0,4.0,,9.0,12.0,2.0,6.0,3.0,11.0,3.0,2.0,,3.0,7.0,2.0,4.0,2.0,33.0,50.0,57.0,3.0,2.0,7.0,1.0,1.0,4.0,,,,,,,,,
245964140,Аймай,deathguard,10.0,933.0,50.0,67.0,,0.0,2.0,3.0,,1.0,1.0,2.0,,0.0,,0.0,,1.0,,0.0,50.0,,2.0,,1.0,,,,50.0,,100.0,100.0,,50.0,,,,4.0,,1.0,2.0,,2.0,,,,2.0,,1.0,2.0,,1.0,,100.0,100.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,
160686835,Daire,draenor,7.0,1463.0,33.0,0.0,,,6.0,1.0,,,2.0,0.0,,,,67.0,,3.0,,2.0,88.0,0.0,8.0,2.0,7.0,0.0,100.0,,67.0,,100.0,57.0,,60.0,50.0,1.0,,3.0,,1.0,7.0,,5.0,2.0,1.0,,2.0,,1.0,4.0,,3.0,1.0,25.0,,,4.0,,,1.0,,,,,,,,,,,
169726299,Erìanìa,stormreaver,2.0,31800.0,53.0,69.0,25.0,,130.0,13.0,4.0,,69.0,9.0,1.0,,52.0,66.0,120.0,29.0,63.0,19.0,,,,,,,55.0,46.0,49.0,44.0,57.0,55.0,,0.0,,84.0,138.0,98.0,90.0,56.0,98.0,,1.0,,46.0,63.0,48.0,40.0,32.0,54.0,,0.0,,,,,,,,,,,,,,,,,,,
160158798,Gorben,moonglade,10.0,695.0,0.0,100.0,,,1.0,1.0,,,0.0,1.0,,,,75.0,,4.0,,3.0,67.0,75.0,3.0,4.0,2.0,3.0,,,100.0,,,100.0,,,,,,4.0,,,1.0,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
118009245,Heracleus,ravencrest,40.0,1586.0,29.0,100.0,,0.0,7.0,2.0,,1.0,2.0,2.0,,0.0,,40.0,,5.0,,2.0,57.0,38.0,7.0,8.0,4.0,3.0,33.0,,50.0,,60.0,50.0,100.0,67.0,80.0,6.0,,6.0,,5.0,6.0,1.0,6.0,5.0,2.0,,3.0,,3.0,3.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,
