character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Warsong Gulch win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Winter played,Warsong Gulch played,Korrak's Revenge played,Rated Eye of the Storm won,Ashran won,Arathi Basin Winter won,Warsong Gulch won,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
126725985,Borimir,agamaggan,41.0,1771.0,40.0,100.0,0.0,0.0,0.0,100.0,40.0,50.0,0.0,50.0,100.0,0.0,0.0,50.0,100.0,0.0,5.0,1.0,2.0,2.0,2.0,4.0,5.0,6.0,2.0,2.0,1.0,2.0,4.0,2.0,44.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,44.0,0.0,,,,,,,,,,,,,,,,,,,,,
158746586,Kohanayim,twilights-hammer,83.0,6181.0,73.0,,,57.0,,50.0,64.0,48.0,65.0,36.0,,52.0,56.0,78.0,,58.0,15.0,,,14.0,,12.0,22.0,29.0,23.0,22.0,,33.0,25.0,9.0,,19.0,11.0,,,8.0,,6.0,14.0,14.0,15.0,8.0,,17.0,14.0,7.0,,11.0,29.0,78.0,67.0,46.0,0.0,17.0,9.0,3.0,24.0,1.0,5.0,7.0,2.0,11.0,0.0,,,,,,
139945419,Grancigula,kazzak,16.0,1253.0,100.0,100.0,,,50.0,50.0,83.0,0.0,67.0,40.0,100.0,75.0,,,,,4.0,1.0,,,2.0,4.0,6.0,1.0,3.0,5.0,1.0,4.0,,,,,4.0,1.0,,,1.0,2.0,5.0,0.0,2.0,2.0,1.0,3.0,,,,,,,,50.0,100.0,,,,2.0,1.0,,,,1.0,1.0,,,,,,
158326157,Hirschelf,antonidas,6.0,13583.0,59.0,38.0,40.0,60.0,39.0,70.0,45.0,17.0,32.0,20.0,0.0,0.0,,,,,66.0,52.0,55.0,47.0,46.0,27.0,31.0,12.0,25.0,10.0,1.0,1.0,,,,,39.0,20.0,22.0,28.0,18.0,19.0,14.0,2.0,8.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
144221254,Korppi,emeriss,26.0,5647.0,64.0,62.0,67.0,50.0,,86.0,44.0,67.0,69.0,71.0,60.0,62.0,67.0,100.0,,50.0,22.0,8.0,3.0,6.0,,14.0,9.0,15.0,13.0,17.0,5.0,8.0,3.0,2.0,,2.0,14.0,5.0,2.0,3.0,,12.0,4.0,10.0,9.0,12.0,3.0,5.0,2.0,2.0,,1.0,,100.0,,83.0,,,3.0,,6.0,,,3.0,,5.0,,,,,,,
111195297,Keiko,emeriss,37.0,9152.0,35.0,45.0,44.0,74.0,38.0,21.0,48.0,48.0,42.0,65.0,88.0,75.0,43.0,,,71.0,20.0,22.0,18.0,27.0,13.0,24.0,25.0,33.0,26.0,34.0,8.0,16.0,14.0,,,7.0,7.0,10.0,8.0,20.0,5.0,5.0,12.0,16.0,11.0,22.0,7.0,12.0,6.0,,,5.0,100.0,50.0,50.0,44.0,,5.0,2.0,2.0,9.0,,5.0,1.0,1.0,4.0,,,,,,,
149199343,Tragor,bloodscalp,33.0,231.0,,,,,,,,,,,,100.0,,0.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
164651210,Utydelig,tarren-mill,15.0,13012.0,46.0,54.0,50.0,40.0,36.0,42.0,63.0,77.0,42.0,36.0,50.0,67.0,100.0,100.0,,0.0,50.0,28.0,20.0,25.0,22.0,31.0,27.0,13.0,12.0,14.0,2.0,3.0,1.0,2.0,,4.0,23.0,15.0,10.0,10.0,8.0,13.0,17.0,10.0,5.0,5.0,1.0,2.0,1.0,2.0,,0.0,,50.0,,67.0,,,4.0,,3.0,,,2.0,,2.0,,,,,,,
175253993,Andreyx,twisting-nether,11.0,811.0,50.0,,,50.0,,33.0,33.0,,0.0,50.0,,,100.0,0.0,,0.0,4.0,,,2.0,,3.0,3.0,,3.0,2.0,,,1.0,1.0,,1.0,2.0,,,1.0,,1.0,1.0,,0.0,1.0,,,1.0,0.0,,0.0,,20.0,,100.0,,,5.0,,1.0,,,1.0,,1.0,,,,,,,
163109279,Joaxlol,draenor,19.0,908.0,0.0,,,50.0,,75.0,,100.0,,0.0,,,0.0,100.0,,33.0,1.0,,,2.0,,4.0,,2.0,,2.0,,,1.0,1.0,,3.0,0.0,,,1.0,,3.0,,2.0,,0.0,,,0.0,1.0,,1.0,,100.0,,,,,1.0,,,,,1.0,,,,,,,,,
