character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Isle of Conquest win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Isle of Conquest played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Alterac Valley won,Isle of Conquest won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Deepwind Gorge (Legacy) win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Deepwind Gorge (Legacy) played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Deepwind Gorge (Legacy) won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Winter played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Rated Eye of the Storm won,Ashran won,Arathi Basin Winter won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
156893097,Dawnbringer,archimonde,12.0,1099.0,100.0,33.0,100.0,100.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170267257,Neb,shattered-hand,19.0,5048.0,83.0,60.0,63.0,,,,,6.0,15.0,19.0,,,,,5.0,9.0,12.0,,,,,52.0,45.0,67.0,33.0,74.0,59.0,57.0,69.0,27.0,22.0,12.0,3.0,23.0,27.0,21.0,16.0,14.0,10.0,8.0,1.0,17.0,16.0,12.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
42015450,Retzrik,kazzak,54.0,37177.0,41.0,31.0,49.0,76.0,79.0,44.0,67.0,112.0,32.0,41.0,29.0,149.0,48.0,6.0,46.0,10.0,20.0,22.0,118.0,21.0,4.0,54.0,56.0,49.0,54.0,47.0,68.0,54.0,57.0,72.0,55.0,94.0,46.0,57.0,47.0,54.0,21.0,39.0,31.0,46.0,25.0,27.0,32.0,29.0,12.0,833.0,75.0,75.0,100.0,75.0,50.0,3.0,4.0,4.0,33.0,8.0,22.0,25.0,3.0,3.0,33.0,6.0,11.0,,,,,,
120564150,Lorant,defias-brotherhood,60.0,11537.0,52.0,68.0,48.0,200.0,,100.0,0.0,27.0,40.0,23.0,1.0,,1.0,3.0,14.0,27.0,11.0,2.0,,1.0,0.0,45.0,21.0,27.0,56.0,47.0,31.0,63.0,33.0,11.0,14.0,11.0,9.0,15.0,13.0,19.0,12.0,5.0,3.0,3.0,5.0,7.0,4.0,12.0,4.0,,29.0,,100.0,,,,7.0,,7.0,,,,2.0,,7.0,,,,,,,,
137831375,Hashcat,defias-brotherhood,26.0,6099.0,60.0,,59.0,44.0,65.0,57.0,50.0,5.0,,17.0,16.0,17.0,23.0,4.0,3.0,,10.0,7.0,11.0,13.0,2.0,,,58.0,,40.0,53.0,50.0,,,,19.0,,10.0,15.0,10.0,,,,11.0,,4.0,8.0,5.0,,0.0,100.0,,100.0,40.0,75.0,1.0,1.0,,3.0,5.0,20.0,0.0,1.0,,3.0,2.0,15.0,,,,,,
154704488,Jitizim,ravencrest,15.0,3998.0,60.0,80.0,45.0,60.0,71.0,73.0,33.0,10.0,10.0,11.0,10.0,7.0,15.0,3.0,6.0,8.0,5.0,6.0,5.0,11.0,1.0,,,100.0,,64.0,40.0,82.0,,,,3.0,,11.0,5.0,11.0,,,,3.0,,7.0,2.0,9.0,,100.0,67.0,,,,67.0,4.0,3.0,,,,12.0,4.0,2.0,,,,8.0,,,,,,
158963308,Aucharius,darkmoon-faire,15.0,1949.0,,100.0,40.0,67.0,100.0,100.0,,,2.0,5.0,3.0,1.0,4.0,,,2.0,2.0,2.0,1.0,4.0,,0.0,,83.0,0.0,80.0,17.0,40.0,80.0,1.0,,6.0,3.0,5.0,6.0,5.0,5.0,0.0,,5.0,0.0,4.0,1.0,2.0,4.0,100.0,,50.0,,,67.0,2.0,,2.0,,,6.0,2.0,,1.0,,,4.0,,,,,,
74086767,Fàlk,antonidas,16.0,30579.0,49.0,46.0,59.0,67.0,50.0,0.0,57.0,87.0,80.0,34.0,6.0,4.0,1.0,7.0,43.0,37.0,20.0,4.0,2.0,0.0,4.0,41.0,33.0,51.0,34.0,45.0,50.0,36.0,,68.0,79.0,67.0,71.0,20.0,8.0,11.0,,28.0,26.0,34.0,24.0,9.0,4.0,4.0,,,0.0,,100.0,,0.0,,4.0,,9.0,,2.0,,0.0,,9.0,,0.0,,,,,,
133368774,Qunaii,defias-brotherhood,29.0,1882.0,50.0,25.0,,0.0,50.0,50.0,,6.0,4.0,,1.0,4.0,2.0,,3.0,1.0,,0.0,2.0,1.0,,,,80.0,,100.0,0.0,25.0,,,,5.0,,1.0,1.0,4.0,,,,4.0,,1.0,0.0,1.0,,50.0,,0.0,,0.0,60.0,2.0,,1.0,,6.0,5.0,1.0,,0.0,,0.0,3.0,,,,,,
185202259,Aritas,silvermoon,46.0,19864.0,68.0,53.0,67.0,120.0,50.0,,60.0,129.0,74.0,9.0,5.0,2.0,,5.0,88.0,39.0,6.0,6.0,1.0,,3.0,52.0,47.0,48.0,55.0,36.0,62.0,63.0,50.0,60.0,49.0,50.0,33.0,28.0,13.0,30.0,8.0,31.0,23.0,24.0,18.0,10.0,8.0,19.0,4.0,,,33.0,,,100.0,,,3.0,,,2.0,,,1.0,,,2.0,,,,,,
