character.id,character.name,character.realm.slug,honor_level,honorable_kills,Classic Warsong Gulch win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Classic Warsong Gulch won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Classic Arathi Basin win_rate,Classic Arathi Basin played,Classic Arathi Basin won,Alterac Valley win_rate,Ashran win_rate,Battle for Wintergrasp win_rate,Korrak's Revenge win_rate,Alterac Valley played,Ashran played,Battle for Wintergrasp played,Korrak's Revenge played,Alterac Valley won,Ashran won,Battle for Wintergrasp won,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
158963308,Aucharius,darkmoon-faire,15.0,1949.0,0.0,83.0,0.0,100.0,80.0,17.0,40.0,100.0,40.0,80.0,50.0,67.0,100.0,100.0,67.0,1.0,6.0,3.0,2.0,5.0,6.0,5.0,2.0,5.0,5.0,2.0,3.0,1.0,4.0,6.0,0.0,5.0,0.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
172804819,Khoria,twisting-nether,63.0,1073.0,0.0,100.0,100.0,0.0,67.0,50.0,50.0,,,100.0,,,,,,1.0,1.0,2.0,1.0,3.0,2.0,2.0,,,1.0,,,,,,0.0,1.0,2.0,0.0,2.0,1.0,1.0,,,1.0,,,,,,100.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
99440777,Koniria,zuluhed,55.0,10882.0,44.0,59.0,65.0,54.0,50.0,38.0,57.0,,43.0,,100.0,57.0,50.0,25.0,0.0,64.0,17.0,17.0,39.0,8.0,8.0,7.0,,7.0,,1.0,7.0,4.0,4.0,1.0,28.0,10.0,11.0,21.0,4.0,3.0,4.0,,3.0,,1.0,4.0,2.0,1.0,0.0,64.0,22.0,14.0,42.0,33.0,75.0,71.0,24.0,3.0,4.0,7.0,10.0,1.0,3.0,5.0,,,,,,,,,
165797653,Päm,twisting-nether,43.0,2115.0,,33.0,,,0.0,67.0,0.0,,0.0,,,0.0,33.0,100.0,0.0,,3.0,,,1.0,3.0,2.0,,4.0,,,1.0,3.0,2.0,2.0,,1.0,,,0.0,2.0,0.0,,0.0,,,0.0,1.0,2.0,0.0,,,,0.0,,50.0,17.0,1.0,,4.0,18.0,0.0,,2.0,3.0,,,,,,,,,
89907460,Nimsy,blackhand,45.0,22814.0,52.0,47.0,53.0,29.0,45.0,45.0,53.0,500.0,57.0,38.0,40.0,71.0,64.0,65.0,50.0,107.0,62.0,15.0,7.0,77.0,100.0,100.0,1.0,127.0,26.0,5.0,34.0,25.0,26.0,26.0,56.0,29.0,8.0,2.0,35.0,45.0,53.0,5.0,72.0,10.0,2.0,24.0,16.0,17.0,13.0,61.0,66.0,40.0,33.0,,100.0,,12.0,,1.0,,4.0,,1.0,,100.0,5.0,5.0,,,,,,
182510604,Oswäld,archimonde,42.0,3262.0,,67.0,,100.0,40.0,43.0,50.0,67.0,57.0,,67.0,50.0,17.0,75.0,0.0,,3.0,,1.0,5.0,7.0,8.0,6.0,7.0,,3.0,6.0,12.0,4.0,5.0,,2.0,,1.0,2.0,3.0,4.0,4.0,4.0,,2.0,3.0,2.0,3.0,0.0,,,,50.0,100.0,0.0,50.0,2.0,1.0,1.0,8.0,1.0,1.0,0.0,4.0,,,,,,,,,
167088252,Brunori,tarren-mill,9.0,1428.0,,,,0.0,100.0,100.0,100.0,,0.0,,,33.0,50.0,67.0,50.0,,,,3.0,3.0,1.0,1.0,,1.0,,,3.0,2.0,3.0,2.0,,,,0.0,3.0,1.0,1.0,,0.0,,,1.0,1.0,2.0,1.0,,,,,60.0,67.0,,,5.0,3.0,,,3.0,2.0,,,,,,,,,,
35008478,Helldorado,dethecus,49.0,6003.0,51.0,62.0,47.0,53.0,60.0,100.0,33.0,,67.0,,,,0.0,,100.0,35.0,13.0,17.0,15.0,5.0,3.0,3.0,,3.0,,,,1.0,,1.0,18.0,8.0,8.0,8.0,3.0,3.0,1.0,,2.0,,,,0.0,,1.0,78.0,18.0,14.0,42.0,,50.0,,12.0,,2.0,,5.0,,1.0,,100.0,2.0,2.0,,,,,,
98593662,Squall,zuluhed,1.0,35842.0,80.0,69.0,69.0,67.0,100.0,,50.0,,0.0,,,0.0,,,,50.0,39.0,16.0,3.0,1.0,,2.0,,2.0,,,2.0,,,,40.0,27.0,11.0,2.0,1.0,,1.0,,0.0,,,0.0,,,,87.0,31.0,27.0,75.0,,,,12.0,,,,9.0,,,,,,,,,,,,
134244517,Marhun,drakthul,37.0,1067.0,80.0,50.0,,,0.0,100.0,33.0,0.0,60.0,,,0.0,100.0,75.0,100.0,5.0,4.0,,,3.0,1.0,3.0,1.0,5.0,,,2.0,1.0,4.0,2.0,4.0,2.0,,,0.0,1.0,1.0,0.0,3.0,,,0.0,1.0,3.0,2.0,100.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
