character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Korrak's Revenge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Korrak's Revenge played,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Ashran win_rate,Ashran played,Ashran won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
113620817,Cykapala,ravencrest,15.0,3411.0,67.0,53.0,67.0,50.0,86.0,100.0,17.0,100.0,67.0,25.0,75.0,100.0,50.0,3.0,15.0,3.0,4.0,7.0,2.0,6.0,1.0,3.0,4.0,4.0,2.0,4.0,2.0,8.0,2.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78845600,Ruael,das-syndikat,30.0,40083.0,74.0,51.0,59.0,47.0,12.0,23.0,53.0,46.0,,100.0,,,0.0,273.0,59.0,58.0,17.0,8.0,22.0,34.0,26.0,,1.0,,,1.0,201.0,30.0,34.0,8.0,1.0,5.0,18.0,12.0,,1.0,,,0.0,44.0,54.0,44.0,27.0,52.0,56.0,70.0,15.0,23.0,30.0,31.0,4.0,,,,,,,,,,,,,,,,,,
114336886,Vanlor,eredar,74.0,907.0,,,100.0,0.0,0.0,,60.0,0.0,100.0,,0.0,,,,,1.0,2.0,1.0,,5.0,1.0,2.0,,1.0,,,,,1.0,0.0,0.0,,3.0,0.0,2.0,,0.0,,,,,,,,,,,,,,,100.0,1.0,1.0,,,,,,,,,,,,,,,
163405904,Fløy,draenor,8.0,149.0,,50.0,,,,,,,0.0,0.0,,,100.0,,2.0,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165147471,Maxbaby,dalaran,51.0,446.0,,,,,100.0,0.0,0.0,,,50.0,0.0,,0.0,,,,,1.0,2.0,2.0,,,4.0,2.0,,2.0,,,,,1.0,0.0,0.0,,,2.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165793821,Oldmanslagn,argent-dawn,13.0,1751.0,0.0,50.0,75.0,57.0,100.0,20.0,67.0,40.0,,,100.0,,50.0,2.0,4.0,4.0,7.0,2.0,5.0,6.0,5.0,,,2.0,,2.0,0.0,2.0,3.0,4.0,2.0,1.0,4.0,2.0,,,2.0,,1.0,80.0,0.0,0.0,,5.0,1.0,5.0,,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
180109619,Yaminosenshi,hellfire,7.0,3749.0,67.0,67.0,0.0,33.0,67.0,0.0,,,,60.0,0.0,33.0,67.0,3.0,3.0,2.0,3.0,3.0,1.0,,,,5.0,1.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,0.0,,,,3.0,0.0,1.0,2.0,0.0,0.0,,50.0,1.0,1.0,,4.0,0.0,0.0,,2.0,,,,,,,,,,,,,,,,,,
93030662,Walor,ysondre,11.0,886.0,50.0,,,50.0,100.0,100.0,80.0,,67.0,0.0,100.0,,33.0,2.0,,,2.0,2.0,1.0,5.0,,3.0,1.0,1.0,,3.0,1.0,,,1.0,2.0,1.0,4.0,,2.0,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134791701,Dinnadan,burning-legion,35.0,1683.0,,67.0,100.0,50.0,50.0,33.0,40.0,100.0,0.0,0.0,100.0,,0.0,,6.0,1.0,2.0,4.0,3.0,5.0,2.0,1.0,2.0,1.0,,1.0,,4.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,,0.0,100.0,38.0,67.0,,4.0,8.0,3.0,,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,
136601841,Masari,kult-der-verdammten,16.0,812.0,100.0,60.0,33.0,,25.0,100.0,100.0,,100.0,100.0,,50.0,,1.0,5.0,3.0,,4.0,1.0,1.0,,1.0,1.0,,2.0,,1.0,3.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,100.0,2.0,2.0,,,,,,,,,,,,
