character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Isle of Conquest win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Isle of Conquest played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Alterac Valley won,Isle of Conquest won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Ashran win_rate,Ashran played,Ashran won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
156893097,Dawnbringer,archimonde,12.0,1099.0,100.0,33.0,100.0,100.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96768294,Vasilipupkin,antonidas,122.0,141705.0,62.0,60.0,63.0,77.0,19.0,50.0,33.0,271.0,121.0,144.0,13.0,16.0,4.0,6.0,168.0,73.0,91.0,10.0,3.0,2.0,2.0,57.0,55.0,53.0,55.0,56.0,52.0,53.0,3225.0,51.0,33.0,100.0,0.0,50.0,512.0,477.0,300.0,211.0,209.0,132.0,202.0,4.0,89.0,3.0,10.0,2.0,2.0,294.0,263.0,160.0,116.0,117.0,68.0,107.0,129.0,45.0,1.0,10.0,0.0,1.0,,,,,,,,,
194386574,Bigclock,outland,43.0,1762.0,,,50.0,71.0,50.0,80.0,,,,6.0,7.0,10.0,10.0,,,,3.0,5.0,5.0,8.0,,,,80.0,,17.0,55.0,100.0,57.0,,,,,78.0,,,5.0,,6.0,11.0,6.0,7.0,,,,,9.0,,,4.0,,1.0,6.0,6.0,4.0,,,,,7.0,,,,,,,,,
176231782,Intrøper,outland,11.0,3109.0,50.0,50.0,29.0,83.0,75.0,75.0,67.0,2.0,2.0,7.0,6.0,4.0,4.0,3.0,1.0,1.0,2.0,5.0,3.0,3.0,2.0,50.0,100.0,38.0,,33.0,67.0,44.0,,50.0,,,,0.0,4.0,3.0,8.0,,3.0,6.0,9.0,,4.0,,,,1.0,2.0,3.0,3.0,,1.0,4.0,4.0,,2.0,,,,0.0,,,,,,,,,
247688319,Doomalke,hellfire,30.0,1526.0,50.0,50.0,67.0,,67.0,100.0,100.0,2.0,2.0,3.0,,3.0,2.0,2.0,1.0,1.0,2.0,,2.0,2.0,2.0,,,100.0,,,100.0,,,,,,,100.0,,,1.0,,,1.0,,,,,,,5.0,,,1.0,,,1.0,,,,,,,5.0,33.0,3.0,1.0,,,,,,
182104757,Shebae,outland,30.0,2101.0,100.0,100.0,67.0,100.0,33.0,50.0,0.0,1.0,1.0,9.0,6.0,3.0,8.0,1.0,1.0,1.0,6.0,6.0,1.0,4.0,0.0,100.0,,67.0,,57.0,67.0,71.0,40.0,,100.0,,,50.0,1.0,,3.0,,7.0,6.0,7.0,5.0,,1.0,,,4.0,1.0,,2.0,,4.0,4.0,5.0,2.0,,1.0,,,2.0,,,,,,,,,
183148479,Медаяз,gordunni,15.0,2420.0,100.0,100.0,33.0,50.0,,100.0,50.0,1.0,3.0,6.0,4.0,,1.0,2.0,1.0,3.0,2.0,2.0,,1.0,1.0,33.0,25.0,20.0,100.0,50.0,50.0,,,33.0,,,,0.0,3.0,4.0,5.0,2.0,4.0,2.0,,,3.0,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0,,,,0.0,100.0,1.0,1.0,,,,,,
18820223,Лайтмен,azuregos,8.0,9405.0,83.0,0.0,50.0,,,,0.0,6.0,1.0,6.0,,,,1.0,5.0,0.0,3.0,,,,0.0,40.0,77.0,100.0,0.0,80.0,75.0,50.0,,100.0,,,,,20.0,13.0,1.0,3.0,5.0,4.0,8.0,,2.0,,,,,8.0,10.0,1.0,0.0,4.0,3.0,4.0,,2.0,,,,,,,,,,,,,
102178351,Zahndoktor,antonidas,18.0,665.0,100.0,0.0,100.0,100.0,,,50.0,2.0,1.0,1.0,1.0,,,2.0,2.0,0.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,2.0,2.0,,,,,,
196113285,Visermand,outland,12.0,1815.0,0.0,75.0,33.0,0.0,67.0,25.0,75.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,0.0,3.0,1.0,0.0,2.0,1.0,3.0,,,0.0,,100.0,50.0,,,,,,,67.0,,,1.0,,2.0,2.0,,,,,,,3.0,,,0.0,,2.0,1.0,,,,,,,2.0,50.0,2.0,1.0,,,,,,
