character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Ashran win_rate,Arathi Basin Winter win_rate,Arathi Basin Comp Stomp win_rate,Ashran played,Arathi Basin Winter played,Arathi Basin Comp Stomp played,Ashran won,Arathi Basin Winter won,Arathi Basin Comp Stomp won,Rated Eye of the Storm win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Korrak's Revenge played,Rated Eye of the Storm won,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
123852462,Klerdinia,thunderhorn,49.0,4881.0,0.0,100.0,100.0,75.0,0.0,67.0,50.0,56.0,75.0,50.0,80.0,100.0,65.0,75.0,100.0,100.0,1.0,2.0,1.0,8.0,1.0,3.0,8.0,9.0,8.0,12.0,5.0,6.0,60.0,4.0,1.0,2.0,0.0,2.0,1.0,6.0,0.0,2.0,4.0,5.0,6.0,6.0,4.0,6.0,39.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,
159409056,Jarvee,silvermoon,52.0,13320.0,46.0,25.0,100.0,50.0,50.0,40.0,70.0,70.0,50.0,77.0,67.0,90.0,71.0,56.0,59.0,0.0,13.0,8.0,6.0,16.0,4.0,5.0,23.0,23.0,26.0,22.0,6.0,21.0,17.0,9.0,17.0,3.0,6.0,2.0,6.0,8.0,2.0,2.0,16.0,16.0,13.0,17.0,4.0,19.0,12.0,5.0,10.0,0.0,100.0,43.0,100.0,2.0,7.0,19.0,2.0,3.0,19.0,,,,,,,,,
165037468,Diktrol,stormreaver,16.0,2301.0,50.0,,,67.0,,100.0,100.0,62.0,57.0,67.0,,67.0,100.0,20.0,50.0,88.0,6.0,,,3.0,,2.0,1.0,8.0,7.0,3.0,,3.0,2.0,5.0,4.0,8.0,3.0,,,2.0,,2.0,1.0,5.0,4.0,2.0,,2.0,2.0,1.0,2.0,7.0,100.0,,,4.0,,,4.0,,,0.0,100.0,2.0,1.0,0.0,1.0,,,
222480059,Перпендикуль,gordunni,17.0,4592.0,50.0,,,67.0,,60.0,0.0,0.0,100.0,50.0,,40.0,75.0,43.0,30.0,50.0,10.0,,,6.0,,10.0,1.0,3.0,6.0,4.0,,5.0,4.0,7.0,10.0,4.0,5.0,,,4.0,,6.0,0.0,0.0,6.0,2.0,,2.0,3.0,3.0,3.0,2.0,62.0,33.0,,8.0,3.0,,5.0,1.0,,,,,,,,,,
194231961,Selliuocsem,archimonde,22.0,2547.0,100.0,,,50.0,,100.0,36.0,56.0,62.0,25.0,,50.0,60.0,50.0,50.0,75.0,1.0,,,2.0,,3.0,11.0,16.0,13.0,8.0,,10.0,10.0,10.0,2.0,4.0,1.0,,,1.0,,3.0,4.0,9.0,8.0,2.0,,5.0,6.0,5.0,1.0,3.0,33.0,,,3.0,,,1.0,,,33.0,,9.0,,3.0,,,,
166079251,Steks,blades-edge,22.0,20841.0,48.0,59.0,62.0,49.0,64.0,48.0,33.0,82.0,38.0,58.0,40.0,100.0,70.0,57.0,60.0,25.0,160.0,49.0,93.0,43.0,61.0,23.0,15.0,11.0,26.0,12.0,5.0,3.0,10.0,7.0,5.0,4.0,77.0,29.0,58.0,21.0,39.0,11.0,5.0,9.0,10.0,7.0,2.0,3.0,7.0,4.0,3.0,1.0,,67.0,,,3.0,,,2.0,,,14.0,,7.0,,1.0,,,
147459469,Enoula,blackmoore,8.0,7493.0,47.0,70.0,70.0,62.0,56.0,57.0,33.0,40.0,,100.0,,100.0,60.0,100.0,0.0,,15.0,20.0,23.0,16.0,16.0,14.0,3.0,5.0,,3.0,,5.0,5.0,1.0,1.0,,7.0,14.0,16.0,10.0,9.0,8.0,1.0,2.0,,3.0,,5.0,3.0,1.0,0.0,,0.0,,100.0,1.0,,4.0,0.0,,4.0,,50.0,,4.0,,2.0,,,
193908538,Чуу,gordunni,43.0,1437.0,0.0,,,100.0,,100.0,50.0,17.0,50.0,67.0,,60.0,40.0,,50.0,0.0,1.0,,,1.0,,1.0,2.0,6.0,4.0,3.0,,5.0,5.0,,4.0,3.0,0.0,,,1.0,,1.0,1.0,1.0,2.0,2.0,,3.0,2.0,,2.0,0.0,0.0,0.0,,1.0,1.0,,0.0,0.0,,,,,,,,,,
196436232,Jale,wildhammer,28.0,567.0,,,,100.0,,,50.0,100.0,100.0,60.0,,0.0,0.0,100.0,,0.0,,,,2.0,,,2.0,2.0,4.0,5.0,,1.0,1.0,1.0,,1.0,,,,2.0,,,1.0,2.0,4.0,3.0,,0.0,0.0,1.0,,0.0,,,,,,,,,,,,,,,,,,
154424885,Aedera,ravencrest,1.0,355.0,0.0,,,,,50.0,,,,,,,,,0.0,,1.0,,,,,2.0,,,,,,,,,1.0,,0.0,,,,,1.0,,,,,,,,,0.0,,0.0,,,1.0,,,0.0,,,,,,,,,,,
