character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge win_rate,Deepwind Gorge played,Deepwind Gorge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Cooking: Impossible win_rate,Southshore vs. Tarren Mill played,Cooking: Impossible played,Southshore vs. Tarren Mill won,Cooking: Impossible won
144130261,Postedeguill,dalaran,37.0,12301.0,62.0,50.0,46.0,59.0,67.0,57.0,27.0,50.0,53.0,56.0,60.0,0.0,0.0,100.0,29.0,100.0,60.0,100.0,24.0,40.0,26.0,27.0,12.0,7.0,11.0,16.0,15.0,9.0,5.0,2.0,3.0,10.0,7.0,1.0,5.0,2.0,15.0,20.0,12.0,16.0,8.0,4.0,3.0,8.0,8.0,5.0,3.0,0.0,0.0,10.0,2.0,1.0,3.0,2.0,,,,,,,,,,,,,,,
109069073,Khalep,suramar,66.0,1398.0,,,,50.0,,,0.0,29.0,17.0,25.0,0.0,,,67.0,100.0,,100.0,,,,,2.0,,,1.0,7.0,6.0,4.0,2.0,,,3.0,2.0,,1.0,,,,,1.0,,,0.0,2.0,1.0,1.0,0.0,,,2.0,2.0,,1.0,,0.0,1.0,0.0,,,,,,,,,,,,
122340550,Gøt,draenor,109.0,28062.0,59.0,52.0,52.0,55.0,64.0,52.0,55.0,54.0,54.0,59.0,45.0,53.0,55.0,79.0,57.0,53.0,72.0,100.0,58.0,48.0,33.0,47.0,14.0,52.0,76.0,57.0,56.0,58.0,20.0,15.0,11.0,24.0,21.0,15.0,29.0,5.0,34.0,25.0,17.0,26.0,9.0,27.0,42.0,31.0,30.0,34.0,9.0,8.0,6.0,19.0,12.0,8.0,21.0,5.0,59.0,17.0,10.0,100.0,3.0,3.0,,,,,,,,,
64384723,Nucléøtøm,medivh,27.0,5780.0,60.0,60.0,47.0,22.0,43.0,100.0,0.0,67.0,60.0,38.0,33.0,,100.0,,,0.0,,,10.0,10.0,17.0,9.0,7.0,3.0,6.0,3.0,5.0,13.0,3.0,,1.0,,,2.0,,,6.0,6.0,8.0,2.0,3.0,3.0,0.0,2.0,3.0,5.0,1.0,,1.0,,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,
166079251,Steks,blades-edge,22.0,20841.0,48.0,59.0,62.0,49.0,64.0,48.0,33.0,82.0,38.0,58.0,40.0,,67.0,100.0,70.0,57.0,60.0,,160.0,49.0,93.0,43.0,61.0,23.0,15.0,11.0,26.0,12.0,5.0,,3.0,3.0,10.0,7.0,5.0,,77.0,29.0,58.0,21.0,39.0,11.0,5.0,9.0,10.0,7.0,2.0,,2.0,3.0,7.0,4.0,3.0,,25.0,4.0,1.0,,,,14.0,7.0,1.0,,,,,,
189570109,Изэраа,gordunni,229.0,36220.0,14.0,45.0,54.0,58.0,58.0,33.0,46.0,60.0,58.0,40.0,58.0,,50.0,115.0,69.0,50.0,42.0,100.0,43.0,40.0,24.0,33.0,19.0,42.0,26.0,48.0,36.0,40.0,31.0,,2.0,13.0,16.0,14.0,19.0,1.0,6.0,18.0,13.0,19.0,11.0,14.0,12.0,29.0,21.0,16.0,18.0,,1.0,15.0,11.0,7.0,8.0,1.0,100.0,2.0,2.0,,,,14.0,7.0,1.0,,,,,,
211942967,Бычито,thermaplugg,32.0,10426.0,75.0,67.0,25.0,81.0,,73.0,35.0,63.0,53.0,57.0,64.0,,,65.0,39.0,78.0,100.0,,4.0,3.0,8.0,16.0,,11.0,17.0,19.0,19.0,21.0,22.0,,,17.0,18.0,9.0,2.0,,3.0,2.0,2.0,13.0,,8.0,6.0,12.0,10.0,12.0,14.0,,,11.0,7.0,7.0,2.0,,67.0,3.0,2.0,,,,100.0,1.0,1.0,,,,,,
128177353,Holijust,kazzak,7.0,9620.0,49.0,27.0,38.0,33.0,11.0,55.0,12.0,33.0,0.0,83.0,,,,0.0,,,,,70.0,55.0,29.0,48.0,9.0,11.0,8.0,3.0,6.0,6.0,,,,2.0,,,,,34.0,15.0,11.0,16.0,1.0,6.0,1.0,1.0,0.0,5.0,,,,0.0,,,,,,,,,,,,,,,,,,,
154057664,Malwéthiel,kirin-tor,84.0,5572.0,44.0,33.0,0.0,0.0,,50.0,65.0,71.0,21.0,27.0,80.0,0.0,,250.0,20.0,,50.0,100.0,9.0,12.0,4.0,2.0,,8.0,17.0,7.0,24.0,11.0,5.0,1.0,,2.0,5.0,,6.0,14.0,4.0,4.0,0.0,0.0,,4.0,11.0,5.0,5.0,3.0,4.0,0.0,,5.0,1.0,,3.0,14.0,33.0,3.0,1.0,,,,0.0,4.0,0.0,,,,,,
87769201,Smö,suramar,10.0,5109.0,33.0,50.0,0.0,40.0,33.0,78.0,50.0,0.0,50.0,29.0,40.0,,,100.0,100.0,67.0,,,3.0,4.0,4.0,5.0,3.0,9.0,2.0,2.0,4.0,7.0,5.0,,,1.0,2.0,3.0,,,1.0,2.0,0.0,2.0,1.0,7.0,1.0,0.0,2.0,2.0,2.0,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
