character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Isle of Conquest win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Isle of Conquest played,Temple of Kotmogu played,Ashran played,Seething Shore played,Battle for Wintergrasp played,Alterac Valley won,Isle of Conquest won,Temple of Kotmogu won,Ashran won,Seething Shore won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Warsong Gulch played,Arathi Basin played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Warsong Gulch won,Arathi Basin won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
102178351,Zahndoktor,antonidas,18.0,665.0,100.0,0.0,100.0,100.0,100.0,50.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148198080,Virtualpala,blackmoore,7.0,684.0,67.0,100.0,,,100.0,100.0,3.0,3.0,,,1.0,1.0,2.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96768294,Vasilipupkin,antonidas,122.0,141705.0,62.0,60.0,63.0,,77.0,33.0,271.0,121.0,144.0,,13.0,6.0,168.0,73.0,91.0,,10.0,2.0,57.0,55.0,53.0,55.0,56.0,52.0,53.0,3225.0,51.0,33.0,19.0,50.0,100.0,0.0,50.0,512.0,477.0,300.0,211.0,209.0,132.0,202.0,4.0,89.0,3.0,16.0,4.0,10.0,2.0,2.0,294.0,263.0,160.0,116.0,117.0,68.0,107.0,129.0,45.0,1.0,3.0,2.0,10.0,0.0,1.0,,,,,,
64791081,Ревирант,gordunni,57.0,7346.0,50.0,0.0,72.0,100.0,50.0,0.0,2.0,1.0,18.0,1.0,8.0,2.0,1.0,0.0,13.0,1.0,4.0,0.0,45.0,100.0,38.0,71.0,50.0,29.0,56.0,,33.0,38.0,59.0,86.0,100.0,,33.0,22.0,1.0,13.0,7.0,14.0,31.0,16.0,,3.0,8.0,17.0,7.0,5.0,,6.0,10.0,1.0,5.0,5.0,7.0,9.0,9.0,,1.0,3.0,10.0,6.0,5.0,,2.0,,,,,,
175091275,Läthgërtha,dun-modr,44.0,3760.0,0.0,40.0,40.0,0.0,62.0,33.0,2.0,5.0,10.0,2.0,16.0,3.0,0.0,2.0,4.0,0.0,10.0,1.0,,,50.0,,62.0,80.0,58.0,56.0,,,59.0,43.0,,,67.0,,,4.0,,16.0,10.0,19.0,9.0,,,17.0,14.0,,,27.0,,,2.0,,10.0,8.0,11.0,5.0,,,10.0,6.0,,,18.0,0.0,1.0,0.0,,,
188759228,Karmacharger,silvermoon,13.0,410.0,,,0.0,,0.0,,,,1.0,,1.0,,,,0.0,,0.0,,,,,,,,50.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
143937353,Blumes,argent-dawn,79.0,8686.0,56.0,88.0,50.0,57.0,44.0,60.0,9.0,8.0,32.0,7.0,36.0,5.0,5.0,7.0,16.0,4.0,16.0,3.0,57.0,37.0,70.0,,44.0,35.0,54.0,100.0,43.0,100.0,74.0,56.0,100.0,18.0,70.0,14.0,19.0,10.0,,32.0,31.0,24.0,9.0,14.0,1.0,19.0,16.0,3.0,11.0,10.0,8.0,7.0,7.0,,14.0,11.0,13.0,9.0,6.0,1.0,14.0,9.0,3.0,2.0,7.0,0.0,1.0,0.0,,,
148814723,Bohen,blackmoore,39.0,9053.0,32.0,25.0,0.0,50.0,56.0,75.0,22.0,4.0,4.0,2.0,9.0,8.0,7.0,1.0,0.0,1.0,5.0,6.0,50.0,0.0,33.0,0.0,40.0,50.0,60.0,200.0,50.0,,40.0,67.0,100.0,,100.0,2.0,1.0,3.0,1.0,10.0,6.0,5.0,1.0,2.0,,5.0,3.0,2.0,,3.0,1.0,0.0,1.0,0.0,4.0,3.0,3.0,2.0,1.0,,2.0,2.0,2.0,,3.0,,,,,,
146437861,Majtipapusza,the-maelstrom,136.0,22170.0,67.0,72.0,73.0,50.0,73.0,40.0,21.0,18.0,33.0,2.0,11.0,5.0,14.0,13.0,24.0,1.0,8.0,2.0,43.0,62.0,61.0,71.0,57.0,68.0,54.0,,69.0,100.0,43.0,90.0,,,100.0,23.0,21.0,18.0,7.0,23.0,28.0,26.0,,26.0,1.0,7.0,10.0,,,4.0,10.0,13.0,11.0,5.0,13.0,19.0,14.0,,18.0,1.0,3.0,9.0,,,4.0,,,,,,
171613860,Náthi,dun-modr,126.0,1213.0,,50.0,100.0,50.0,100.0,0.0,,2.0,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,1.0,0.0,,,0.0,,0.0,20.0,75.0,,,0.0,100.0,100.0,,,67.0,,,1.0,,1.0,5.0,4.0,,,2.0,1.0,2.0,,,3.0,,,0.0,,0.0,1.0,3.0,,,0.0,1.0,2.0,,,2.0,,,,,,
