character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Ashran win_rate,Rated Eye of the Storm played,Ashran played,Rated Eye of the Storm won,Ashran won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Arathi Basin Comp Stomp played,Korrak's Revenge played,Arathi Basin Comp Stomp won,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
130863518,Pinpar,los-errantes,148.0,14438.0,50.0,44.0,58.0,59.0,79.0,54.0,55.0,60.0,65.0,75.0,45.0,150.0,50.0,100.0,0.0,75.0,22.0,27.0,33.0,22.0,14.0,13.0,22.0,20.0,17.0,24.0,11.0,2.0,4.0,2.0,1.0,4.0,11.0,12.0,19.0,13.0,11.0,7.0,12.0,12.0,11.0,18.0,5.0,3.0,2.0,2.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,
194396987,Crael,hyjal,22.0,412.0,,,,,,,100.0,100.0,50.0,100.0,,100.0,,50.0,50.0,0.0,,,,,,,1.0,1.0,2.0,1.0,,1.0,,2.0,2.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
156067386,Boldaro,arathor,26.0,1501.0,60.0,33.0,100.0,67.0,0.0,0.0,0.0,,33.0,40.0,33.0,200.0,0.0,,,,5.0,3.0,1.0,6.0,1.0,1.0,2.0,,3.0,5.0,3.0,1.0,1.0,,,,3.0,1.0,1.0,4.0,0.0,0.0,0.0,,1.0,2.0,1.0,2.0,0.0,,,,,,,,,,100.0,1.0,1.0,,,,,,,,,,,,
73997688,Tyark,eredar,22.0,3718.0,0.0,50.0,,60.0,,0.0,56.0,33.0,60.0,62.0,33.0,75.0,50.0,25.0,20.0,67.0,2.0,2.0,,5.0,,1.0,9.0,9.0,5.0,8.0,3.0,4.0,6.0,4.0,5.0,3.0,0.0,1.0,,3.0,,0.0,5.0,3.0,3.0,5.0,1.0,3.0,3.0,1.0,1.0,2.0,,100.0,,1.0,,1.0,,,,100.0,67.0,1.0,3.0,1.0,2.0,,,,,,
96588270,Gumgum,arygos,27.0,2582.0,0.0,0.0,0.0,40.0,0.0,0.0,33.0,33.0,0.0,0.0,100.0,,100.0,,,,1.0,2.0,1.0,5.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,,1.0,,,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,,,,0.0,,1.0,,0.0,,,,,,
164108514,Torkas,alleria,25.0,569.0,100.0,,,0.0,,,100.0,0.0,,100.0,,,100.0,,100.0,0.0,1.0,,,1.0,,,1.0,1.0,,1.0,,,2.0,,1.0,1.0,1.0,,,0.0,,,1.0,0.0,,1.0,,,2.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
66844458,Tánkérz,hellscream,27.0,4385.0,75.0,61.0,71.0,50.0,,33.0,42.0,69.0,92.0,50.0,60.0,78.0,57.0,67.0,50.0,12.0,4.0,18.0,7.0,8.0,,6.0,19.0,16.0,12.0,18.0,5.0,9.0,7.0,3.0,4.0,8.0,3.0,11.0,5.0,4.0,,2.0,8.0,11.0,11.0,9.0,3.0,7.0,4.0,2.0,2.0,1.0,0.0,100.0,2.0,2.0,0.0,2.0,,,,,100.0,,1.0,,1.0,,,,,,
156196167,Autismmeistr,ravencrest,15.0,3840.0,75.0,,,75.0,,44.0,83.0,45.0,20.0,67.0,,71.0,62.0,50.0,0.0,75.0,4.0,,,8.0,,9.0,6.0,11.0,5.0,12.0,,7.0,8.0,6.0,2.0,8.0,3.0,,,6.0,,4.0,5.0,5.0,1.0,8.0,,5.0,5.0,3.0,0.0,6.0,0.0,33.0,1.0,6.0,0.0,2.0,,,,,,,,,,,,,,,
156085046,Holycabby,teldrassil,47.0,100.0,,100.0,,,,,0.0,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16371665,Mëlk,tyrande,16.0,2997.0,56.0,0.0,57.0,50.0,64.0,,,,,,,,,,,,9.0,7.0,14.0,10.0,28.0,,,,,,,,,,,,5.0,0.0,8.0,5.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208307745,Silverdawn,runetotem,25.0,50078.0,57.0,63.0,58.0,62.0,58.0,57.0,70.0,67.0,56.0,67.0,73.0,67.0,33.0,25.0,33.0,56.0,130.0,206.0,146.0,165.0,123.0,70.0,201.0,147.0,181.0,153.0,79.0,6.0,3.0,4.0,3.0,9.0,74.0,129.0,84.0,103.0,71.0,40.0,140.0,99.0,102.0,102.0,58.0,4.0,1.0,1.0,1.0,5.0,,,,,,,100.0,1.0,1.0,100.0,,2.0,,2.0,,,,,,,
187020069,Blastnkill,silvermoon,1.0,97.0,100.0,,,,,,0.0,,,100.0,,,,0.0,,,1.0,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,0.0,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
175023052,Pliszken,silvermoon,31.0,1742.0,,,,,,0.0,33.0,33.0,75.0,60.0,,50.0,20.0,100.0,100.0,100.0,,,,,,1.0,3.0,3.0,4.0,5.0,,4.0,5.0,1.0,1.0,2.0,,,,,,0.0,1.0,1.0,3.0,3.0,,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,25.0,,4.0,,1.0,,,,,,
207861356,Yael,kilrogg,7.0,978.0,,50.0,100.0,,,50.0,0.0,0.0,0.0,,50.0,0.0,,,,,,10.0,3.0,,,2.0,1.0,1.0,1.0,,2.0,2.0,,,,,,5.0,3.0,,,1.0,0.0,0.0,0.0,,1.0,0.0,,,,,,100.0,,1.0,,1.0,,,,,,,,,,,,,,,
156434218,Bakhos,ysondre,6.0,485.0,,,,,,67.0,,,50.0,,,,100.0,,,,,,,,,3.0,,,2.0,,,,1.0,,,,,,,,,2.0,,,1.0,,,,1.0,,,,,100.0,,2.0,,2.0,67.0,3.0,2.0,,,,,,,,,,,,
167207803,Wörth,tyrande,11.0,3683.0,,67.0,40.0,40.0,0.0,67.0,64.0,41.0,50.0,50.0,46.0,0.0,100.0,50.0,0.0,100.0,,9.0,10.0,15.0,4.0,3.0,14.0,17.0,12.0,14.0,13.0,1.0,1.0,2.0,1.0,3.0,,6.0,4.0,6.0,0.0,2.0,9.0,7.0,6.0,7.0,6.0,0.0,1.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,
158394520,Pornggers,ragnaros,29.0,2296.0,100.0,,,83.0,,67.0,50.0,50.0,100.0,100.0,,67.0,,100.0,100.0,100.0,2.0,,,6.0,,3.0,2.0,2.0,1.0,3.0,,3.0,,1.0,1.0,1.0,2.0,,,5.0,,2.0,1.0,1.0,1.0,3.0,,2.0,,1.0,1.0,1.0,,,,,,,,,,100.0,100.0,2.0,2.0,2.0,2.0,,,,,,
158251081,Höfi,alleria,18.0,2025.0,100.0,20.0,100.0,100.0,,0.0,43.0,33.0,50.0,33.0,80.0,0.0,,100.0,,,2.0,5.0,1.0,1.0,,1.0,7.0,6.0,4.0,6.0,5.0,2.0,,1.0,,,2.0,1.0,1.0,1.0,,0.0,3.0,2.0,2.0,2.0,4.0,0.0,,1.0,,,,,,,,,,,,100.0,,2.0,,2.0,,,,,,,
82330804,Alesh,pozzo-delleternità,11.0,1276.0,,,,100.0,,,,50.0,,50.0,,,,,,,,,,1.0,,,,2.0,,2.0,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
202192068,Чухландок,gordunni,2.0,650.0,,,,,,,0.0,100.0,,67.0,,100.0,50.0,,,0.0,,,,,,,1.0,2.0,,3.0,,1.0,4.0,,,1.0,,,,,,,0.0,2.0,,2.0,,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
166941979,Ule,archimonde,21.0,5862.0,57.0,56.0,0.0,50.0,,43.0,38.0,55.0,60.0,33.0,20.0,33.0,83.0,50.0,67.0,,7.0,9.0,1.0,4.0,,7.0,8.0,11.0,15.0,12.0,5.0,6.0,6.0,2.0,6.0,,4.0,5.0,0.0,2.0,,3.0,3.0,6.0,9.0,4.0,1.0,2.0,5.0,1.0,4.0,,,,,,,,,,,100.0,,7.0,,7.0,,,,,,,
122152146,Buruthor,tyrande,30.0,2868.0,58.0,64.0,38.0,50.0,38.0,82.0,50.0,33.0,67.0,22.0,22.0,100.0,,,,,12.0,14.0,8.0,6.0,8.0,11.0,6.0,12.0,9.0,9.0,9.0,1.0,,,,,7.0,9.0,3.0,3.0,3.0,9.0,3.0,4.0,6.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
