character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Cooking: Impossible win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Cooking: Impossible played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Cooking: Impossible won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
139653617,Bolívar,magtheridon,25.0,10775.0,29.0,56.0,100.0,67.0,0.0,60.0,74.0,55.0,74.0,45.0,56.0,75.0,50.0,100.0,76.0,50.0,65.0,50.0,100.0,50.0,74.0,7.0,9.0,1.0,18.0,1.0,5.0,27.0,20.0,19.0,22.0,9.0,4.0,2.0,1.0,17.0,20.0,17.0,4.0,2.0,2.0,19.0,2.0,5.0,1.0,12.0,0.0,3.0,20.0,11.0,14.0,10.0,5.0,3.0,1.0,1.0,13.0,10.0,11.0,2.0,2.0,1.0,14.0,,,,,,
127168376,Andgrod,minahonda,16.0,4570.0,0.0,85.0,55.0,55.0,44.0,75.0,35.0,67.0,71.0,44.0,59.0,,50.0,,75.0,50.0,75.0,,,,,2.0,13.0,11.0,11.0,9.0,4.0,17.0,18.0,17.0,16.0,17.0,,2.0,,4.0,6.0,4.0,,,,,0.0,11.0,6.0,6.0,4.0,3.0,6.0,12.0,12.0,7.0,10.0,,1.0,,3.0,3.0,3.0,,,,,,,,,,
175810099,Paloushe,dalaran,9.0,2176.0,67.0,,,100.0,,56.0,100.0,,0.0,0.0,,57.0,,,40.0,100.0,50.0,40.0,,,0.0,6.0,,,1.0,,9.0,2.0,,2.0,3.0,,7.0,,,5.0,2.0,2.0,5.0,,,2.0,4.0,,,1.0,,5.0,2.0,,0.0,0.0,,4.0,,,2.0,2.0,1.0,2.0,,,0.0,,,,,,
161267279,Hitlander,exodar,11.0,2638.0,0.0,,,80.0,,100.0,64.0,40.0,100.0,75.0,,,100.0,,86.0,57.0,75.0,100.0,,,60.0,1.0,,,5.0,,1.0,11.0,5.0,3.0,4.0,,,5.0,,7.0,7.0,4.0,1.0,,,5.0,0.0,,,4.0,,1.0,7.0,2.0,3.0,3.0,,,5.0,,6.0,4.0,3.0,1.0,,,3.0,,,,,,
191840232,Nakui,aegwynn,28.0,2299.0,,,,0.0,,50.0,100.0,67.0,60.0,100.0,0.0,33.0,,,67.0,67.0,29.0,0.0,100.0,,67.0,,,,2.0,,2.0,3.0,6.0,5.0,1.0,1.0,3.0,,,6.0,6.0,7.0,4.0,1.0,,3.0,,,,0.0,,1.0,3.0,4.0,3.0,1.0,0.0,1.0,,,4.0,4.0,2.0,0.0,1.0,,2.0,,,,,,
174805952,Palanez,exodar,26.0,160.0,,,,,,,,,50.0,,,0.0,,,,50.0,,,,,0.0,,,,,,,,,2.0,,,1.0,,,,2.0,,,,,1.0,,,,,,,,,1.0,,,0.0,,,,1.0,,,,,0.0,,,,,,
172739751,Ztrega,silvermoon,77.0,16281.0,49.0,46.0,46.0,36.0,22.0,65.0,42.0,37.0,47.0,33.0,39.0,0.0,33.0,,200.0,40.0,100.0,100.0,100.0,,,55.0,80.0,24.0,42.0,32.0,23.0,43.0,49.0,38.0,52.0,31.0,1.0,3.0,,2.0,10.0,2.0,1.0,2.0,,,27.0,37.0,11.0,15.0,7.0,15.0,18.0,18.0,18.0,17.0,12.0,0.0,1.0,,4.0,4.0,2.0,1.0,2.0,,,,,,,,
111052905,Lisburn,eonar,8.0,16434.0,41.0,38.0,61.0,49.0,36.0,50.0,33.0,43.0,36.0,26.0,67.0,,,,,,,,,,50.0,73.0,55.0,51.0,57.0,64.0,40.0,15.0,23.0,25.0,19.0,6.0,,,,,,,,,,2.0,30.0,21.0,31.0,28.0,23.0,20.0,5.0,10.0,9.0,5.0,4.0,,,,,,,,,,1.0,,,,,,
164541110,Алекстрэк,gordunni,37.0,21384.0,68.0,54.0,33.0,59.0,41.0,80.0,46.0,42.0,49.0,46.0,55.0,0.0,100.0,,44.0,54.0,67.0,17.0,100.0,,25.0,22.0,26.0,24.0,34.0,27.0,10.0,39.0,31.0,39.0,28.0,38.0,1.0,1.0,,18.0,13.0,3.0,6.0,7.0,,4.0,15.0,14.0,8.0,20.0,11.0,8.0,18.0,13.0,19.0,13.0,21.0,0.0,1.0,,8.0,7.0,2.0,1.0,7.0,,1.0,,,,,,
185322365,Aertine,hyjal,38.0,46849.0,59.0,69.0,71.0,68.0,50.0,56.0,65.0,57.0,60.0,57.0,44.0,33.0,83.0,,56.0,68.0,38.0,69.0,100.0,100.0,50.0,95.0,89.0,89.0,117.0,58.0,78.0,80.0,53.0,60.0,40.0,27.0,3.0,6.0,,25.0,31.0,21.0,36.0,11.0,1.0,10.0,56.0,61.0,63.0,80.0,29.0,44.0,52.0,30.0,36.0,23.0,12.0,1.0,5.0,,14.0,21.0,8.0,25.0,11.0,1.0,5.0,,,,,,
170921071,Дитристаг,gordunni,76.0,58369.0,62.0,51.0,49.0,56.0,45.0,74.0,52.0,59.0,49.0,48.0,55.0,50.0,100.0,,73.0,54.0,71.0,26.0,,12.0,75.0,69.0,71.0,49.0,45.0,42.0,27.0,52.0,71.0,49.0,62.0,29.0,16.0,1.0,,11.0,63.0,17.0,19.0,,8.0,4.0,43.0,36.0,24.0,25.0,19.0,20.0,27.0,42.0,24.0,30.0,16.0,8.0,1.0,,8.0,34.0,12.0,5.0,,1.0,3.0,,,,,,
