character.id,character.name,character.realm.slug,honor_level,honorable_kills,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Alterac Valley win_rate,Ashran win_rate,Cooking: Impossible win_rate,Korrak's Revenge win_rate,Alterac Valley played,Ashran played,Cooking: Impossible played,Korrak's Revenge played,Alterac Valley won,Ashran won,Cooking: Impossible won,Korrak's Revenge won,Strand of the Ancients win_rate,Rated Eye of the Storm win_rate,Deepwind Gorge (Legacy) win_rate,Strand of the Ancients played,Rated Eye of the Storm played,Deepwind Gorge (Legacy) played,Strand of the Ancients won,Rated Eye of the Storm won,Deepwind Gorge (Legacy) won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
107578790,Sindrome,anachronos,31.0,3876.0,0.0,100.0,38.0,0.0,83.0,25.0,0.0,100.0,33.0,100.0,50.0,33.0,100.0,100.0,100.0,2.0,2.0,8.0,1.0,6.0,4.0,1.0,2.0,3.0,2.0,4.0,3.0,1.0,2.0,5.0,0.0,2.0,3.0,0.0,5.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
112479556,Paladinity,ravencrest,26.0,3148.0,,,100.0,67.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,67.0,100.0,75.0,,,3.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,,3.0,7.0,4.0,,,3.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,,2.0,7.0,3.0,75.0,0.0,0.0,57.0,4.0,2.0,1.0,7.0,3.0,0.0,0.0,4.0,,,,,,,,,,,,
153748785,Lòken,antonidas,52.0,12648.0,54.0,29.0,41.0,33.0,37.0,33.0,52.0,40.0,,100.0,33.0,40.0,50.0,,33.0,48.0,42.0,34.0,27.0,27.0,15.0,33.0,20.0,,2.0,6.0,5.0,2.0,,3.0,26.0,12.0,14.0,9.0,10.0,5.0,17.0,8.0,,2.0,2.0,2.0,1.0,,1.0,56.0,,,0.0,48.0,,,1.0,27.0,,,0.0,30.0,550.0,50.0,37.0,2.0,12.0,11.0,11.0,6.0,,,
148589653,Lénah,senjin,23.0,619.0,,,,,67.0,0.0,67.0,0.0,,50.0,100.0,0.0,100.0,,100.0,,,,,3.0,1.0,3.0,1.0,,2.0,2.0,3.0,1.0,,2.0,,,,,2.0,0.0,2.0,0.0,,1.0,2.0,0.0,1.0,,2.0,0.0,,,,1.0,,,,0.0,,,,,0.0,,,1.0,,,0.0,,,,
176644890,Артемониус,gordunni,23.0,3210.0,50.0,100.0,62.0,50.0,50.0,80.0,50.0,50.0,,20.0,50.0,,50.0,,,2.0,1.0,8.0,4.0,8.0,5.0,4.0,6.0,,5.0,2.0,,4.0,,,1.0,1.0,5.0,2.0,4.0,4.0,2.0,3.0,,1.0,1.0,,2.0,,,33.0,33.0,,50.0,3.0,3.0,,4.0,1.0,1.0,,2.0,,,100.0,,,4.0,,,4.0,,,
183013498,Гидгуд,gordunni,39.0,3035.0,50.0,100.0,50.0,100.0,12.0,73.0,88.0,75.0,,100.0,83.0,67.0,,,67.0,4.0,1.0,6.0,1.0,8.0,11.0,8.0,12.0,,7.0,6.0,6.0,,,6.0,2.0,1.0,3.0,1.0,1.0,8.0,7.0,9.0,,7.0,5.0,4.0,,,4.0,100.0,50.0,,,1.0,2.0,,,1.0,1.0,,,,,100.0,,,1.0,,,1.0,,,
153681494,Helaku,kirin-tor,19.0,53173.0,56.0,60.0,66.0,38.0,63.0,69.0,55.0,53.0,67.0,62.0,100.0,33.0,87.0,100.0,50.0,70.0,106.0,119.0,130.0,75.0,13.0,74.0,19.0,3.0,8.0,6.0,3.0,15.0,1.0,4.0,39.0,64.0,78.0,50.0,47.0,9.0,41.0,10.0,2.0,5.0,6.0,1.0,13.0,1.0,2.0,50.0,78.0,,,111.0,9.0,,,55.0,7.0,,,43.0,,57.0,82.0,,7.0,35.0,,4.0,,,
195622369,Líghtfòrged,silvermoon,24.0,385.0,,,100.0,,,,,0.0,,100.0,,,,,0.0,,,1.0,,,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,0.0,,1.0,,,,,0.0,,0.0,,,,1.0,,,,0.0,,,,0.0,,,1.0,,,0.0,,,,
136643238,Atilaelhuno,dun-modr,41.0,7225.0,43.0,12.0,28.0,83.0,46.0,56.0,20.0,21.0,,45.0,40.0,0.0,40.0,100.0,0.0,14.0,8.0,18.0,12.0,13.0,9.0,10.0,14.0,,11.0,5.0,6.0,5.0,2.0,2.0,6.0,1.0,5.0,10.0,6.0,5.0,2.0,3.0,,5.0,2.0,0.0,2.0,2.0,0.0,44.0,,,0.0,16.0,,,1.0,7.0,,,0.0,0.0,,21.0,3.0,,19.0,0.0,,4.0,,,
108200144,Palpàdin,antonidas,11.0,919.0,,,50.0,100.0,,,50.0,,,33.0,,,50.0,100.0,100.0,,,2.0,1.0,,,2.0,,,3.0,,,2.0,3.0,1.0,,,1.0,1.0,,,1.0,,,1.0,,,1.0,3.0,1.0,100.0,,,0.0,1.0,,,3.0,1.0,,,0.0,,,100.0,,,1.0,,,1.0,,,
