character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Ashran played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Korrak's Revenge played,Deepwind Gorge played,Ashran won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Korrak's Revenge won,Deepwind Gorge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
94724787,Amaleika,nozdormu,24.0,23280.0,53.0,58.0,68.0,67.0,57.0,53.0,72.0,78.0,72.0,67.0,100.0,36.0,104.0,90.0,66.0,56.0,19.0,76.0,18.0,43.0,12.0,5.0,19.0,60.0,61.0,44.0,32.0,10.0,55.0,14.0,31.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155250431,Deviouslight,drakthul,12.0,3659.0,40.0,,,33.0,,67.0,25.0,33.0,67.0,0.0,,5.0,,,3.0,,6.0,4.0,3.0,6.0,3.0,,2.0,,,1.0,,4.0,1.0,1.0,4.0,0.0,,100.0,60.0,100.0,25.0,100.0,40.0,100.0,67.0,2.0,10.0,4.0,4.0,1.0,5.0,1.0,3.0,2.0,6.0,4.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,
99250043,Amicitia,antonidas,64.0,11534.0,0.0,,,48.0,,50.0,70.0,61.0,44.0,57.0,85.0,1.0,,,27.0,,6.0,30.0,56.0,34.0,37.0,20.0,0.0,,,13.0,,3.0,21.0,34.0,15.0,21.0,17.0,0.0,57.0,80.0,63.0,69.0,100.0,,43.0,1.0,7.0,45.0,41.0,32.0,2.0,,7.0,0.0,4.0,36.0,26.0,22.0,2.0,,3.0,100.0,2.0,2.0,,,,,,,,,
153078382,Anorwen,pozzo-delleternità,14.0,4849.0,42.0,25.0,0.0,44.0,,50.0,14.0,0.0,33.0,50.0,31.0,12.0,4.0,6.0,9.0,,20.0,7.0,2.0,3.0,10.0,16.0,5.0,1.0,0.0,4.0,,10.0,1.0,0.0,1.0,5.0,5.0,,,43.0,0.0,67.0,100.0,0.0,,,,7.0,1.0,3.0,4.0,1.0,,,,3.0,0.0,2.0,4.0,0.0,,100.0,1.0,1.0,,,,,,,,,
156073122,Muuhlan,perenolde,18.0,968.0,0.0,0.0,50.0,,0.0,100.0,60.0,67.0,0.0,50.0,17.0,1.0,1.0,2.0,,1.0,1.0,5.0,3.0,2.0,6.0,6.0,0.0,0.0,1.0,,0.0,1.0,3.0,2.0,0.0,3.0,1.0,,,300.0,,,,,,,,1.0,,,,,,,,3.0,,,,,,100.0,4.0,4.0,,,,,,,,,
197550361,Lustucrü,archimonde,64.0,16985.0,25.0,64.0,43.0,51.0,31.0,45.0,55.0,25.0,29.0,56.0,60.0,12.0,96.0,103.0,43.0,39.0,11.0,22.0,24.0,24.0,16.0,5.0,3.0,61.0,44.0,22.0,12.0,5.0,12.0,6.0,7.0,9.0,3.0,,,150.0,0.0,,,,,,,2.0,1.0,,,,,,,3.0,0.0,,,,,,,,,,,,,,,,
187527906,Гростер,gordunni,235.0,2193.0,50.0,,,100.0,,0.0,38.0,40.0,25.0,67.0,0.0,2.0,,,3.0,,1.0,8.0,5.0,4.0,6.0,1.0,1.0,,,3.0,,0.0,3.0,2.0,1.0,4.0,0.0,50.0,,50.0,75.0,50.0,50.0,,50.0,2.0,,4.0,4.0,4.0,2.0,,2.0,1.0,,2.0,3.0,2.0,1.0,,1.0,,,,,,,,,,,,
156085046,Holycabby,teldrassil,47.0,100.0,,100.0,,,,,0.0,,,,,,2.0,,,,,1.0,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191840232,Nakui,aegwynn,28.0,2299.0,,,,0.0,,50.0,100.0,67.0,60.0,100.0,0.0,,,,2.0,,2.0,3.0,6.0,5.0,1.0,1.0,,,,0.0,,1.0,3.0,4.0,3.0,1.0,0.0,33.0,,67.0,67.0,29.0,0.0,,67.0,3.0,,6.0,6.0,7.0,4.0,,3.0,1.0,,4.0,4.0,2.0,0.0,,2.0,100.0,1.0,1.0,,,,,,,,,
59832361,Milàny,ysondre,7.0,4934.0,100.0,36.0,44.0,62.0,57.0,50.0,42.0,60.0,38.0,31.0,50.0,1.0,28.0,16.0,16.0,7.0,4.0,24.0,10.0,16.0,16.0,6.0,1.0,10.0,7.0,10.0,4.0,2.0,10.0,6.0,6.0,5.0,3.0,,,50.0,67.0,50.0,0.0,,0.0,,,2.0,3.0,2.0,1.0,,2.0,,,1.0,2.0,1.0,0.0,,0.0,,,,,,,,,,,,
