character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Korrak's Revenge played,Rated Eye of the Storm won,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
210052866,Hayfire,kilrogg,48.0,10972.0,83.0,100.0,100.0,70.0,100.0,74.0,71.0,69.0,76.0,70.0,83.0,0.0,86.0,79.0,50.0,67.0,100.0,75.0,12.0,1.0,3.0,10.0,1.0,23.0,17.0,16.0,17.0,23.0,12.0,2.0,14.0,19.0,14.0,9.0,2.0,4.0,10.0,1.0,3.0,7.0,1.0,17.0,12.0,11.0,13.0,16.0,10.0,0.0,12.0,15.0,7.0,6.0,2.0,3.0,,,,,,,,,,,,,,,
191342278,Merinicus,hellfire,11.0,57755.0,64.0,63.0,52.0,52.0,51.0,57.0,57.0,43.0,47.0,64.0,75.0,,50.0,0.0,0.0,75.0,,,166.0,158.0,200.0,199.0,196.0,103.0,30.0,7.0,36.0,14.0,4.0,,2.0,1.0,2.0,4.0,,,106.0,100.0,103.0,103.0,100.0,59.0,17.0,3.0,17.0,9.0,3.0,,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,
210021985,Goldanna,nagrand,69.0,1492.0,54.0,,,,,60.0,100.0,,,100.0,100.0,25.0,100.0,0.0,0.0,50.0,,,13.0,,,,,5.0,3.0,,,1.0,1.0,4.0,1.0,1.0,2.0,4.0,,,7.0,,,,,3.0,3.0,,,1.0,1.0,1.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,
247688319,Doomalke,hellfire,30.0,1526.0,50.0,,,100.0,,50.0,,100.0,,67.0,,33.0,,67.0,100.0,100.0,,100.0,2.0,,,1.0,,2.0,,1.0,,3.0,,3.0,,3.0,2.0,2.0,,5.0,1.0,,,1.0,,1.0,,1.0,,2.0,,1.0,,2.0,2.0,2.0,,5.0,,,,,,,,,,,,,,,
154220855,Eliasér,zuljin,51.0,53942.0,53.0,64.0,59.0,54.0,57.0,45.0,57.0,61.0,58.0,42.0,39.0,100.0,57.0,100.0,67.0,75.0,,50.0,68.0,223.0,176.0,122.0,136.0,38.0,106.0,49.0,91.0,43.0,28.0,1.0,7.0,2.0,3.0,4.0,,4.0,36.0,143.0,103.0,66.0,77.0,17.0,60.0,30.0,53.0,18.0,11.0,1.0,4.0,2.0,2.0,3.0,,2.0,7000.0,60.0,1.0,5.0,70.0,3.0,,,,,,,,,
153197999,Gordain,malfurion,17.0,4505.0,38.0,,,50.0,,86.0,38.0,50.0,33.0,50.0,50.0,67.0,50.0,40.0,75.0,33.0,100.0,0.0,8.0,,,6.0,,7.0,8.0,8.0,3.0,4.0,2.0,6.0,4.0,5.0,4.0,9.0,2.0,2.0,3.0,,,3.0,,6.0,3.0,4.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,0.0,,0.0,,4.0,,0.0,100.0,1.0,1.0,,,,,,
193091808,Thaladriana,aegwynn,17.0,8033.0,44.0,75.0,0.0,44.0,12.0,67.0,53.0,48.0,59.0,80.0,57.0,33.0,87.0,53.0,43.0,100.0,,36.0,9.0,4.0,1.0,9.0,8.0,9.0,17.0,27.0,22.0,15.0,7.0,6.0,15.0,15.0,7.0,2.0,,14.0,4.0,3.0,0.0,4.0,1.0,6.0,9.0,13.0,13.0,12.0,4.0,2.0,13.0,8.0,3.0,2.0,,5.0,50.0,50.0,4.0,8.0,2.0,4.0,,,,,,,,,
114207216,Patch,ravencrest,12.0,40669.0,48.0,69.0,65.0,61.0,55.0,53.0,52.0,70.0,69.0,44.0,60.0,,75.0,52.0,100.0,50.0,100.0,50.0,143.0,95.0,102.0,83.0,91.0,106.0,58.0,10.0,77.0,9.0,5.0,,4.0,31.0,2.0,2.0,29.0,2.0,68.0,66.0,66.0,51.0,50.0,56.0,30.0,7.0,53.0,4.0,3.0,,3.0,16.0,2.0,1.0,29.0,1.0,,20.0,,5.0,,1.0,0.0,1.0,0.0,,,,,,
133696445,Jetsetter,draenor,47.0,21395.0,50.0,60.0,73.0,61.0,60.0,50.0,69.0,51.0,74.0,68.0,65.0,75.0,29.0,0.0,100.0,17.0,,0.0,106.0,25.0,30.0,33.0,15.0,38.0,32.0,35.0,38.0,47.0,26.0,4.0,7.0,2.0,2.0,6.0,,1.0,53.0,15.0,22.0,20.0,9.0,19.0,22.0,18.0,28.0,32.0,17.0,3.0,2.0,0.0,2.0,1.0,,0.0,,,,,,,,,,,,,,,
210067060,Athoman,nagrand,232.0,199564.0,69.0,70.0,66.0,70.0,70.0,68.0,74.0,64.0,64.0,70.0,62.0,100.0,104.0,67.0,71.0,88.0,100.0,71.0,241.0,633.0,337.0,249.0,172.0,217.0,200.0,216.0,213.0,227.0,212.0,1.0,23.0,24.0,14.0,8.0,5.0,24.0,166.0,445.0,222.0,174.0,120.0,148.0,147.0,138.0,137.0,158.0,131.0,1.0,24.0,16.0,10.0,7.0,5.0,17.0,,25.0,,4.0,,1.0,75.0,8.0,6.0,100.0,1.0,1.0,,,
