character.id,character.name,character.realm.slug,honor_level,honorable_kills,Isle of Conquest win_rate,Arathi Basin win_rate,Isle of Conquest played,Arathi Basin played,Isle of Conquest won,Arathi Basin won,Alterac Valley win_rate,Eye of the Storm win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Ashran played,Seething Shore played,Warsong Gulch played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Ashran won,Seething Shore won,Warsong Gulch won,Battle for Wintergrasp won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Arathi Basin Winter win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Arathi Basin Winter played,Classic Warsong Gulch won,Classic Arathi Basin won,Arathi Basin Winter won,Strand of the Ancients win_rate,Deepwind Gorge (Legacy) win_rate,Strand of the Ancients played,Deepwind Gorge (Legacy) played,Strand of the Ancients won,Deepwind Gorge (Legacy) won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
178142124,Десперайт,gordunni,39.0,808.0,100.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195482970,Brianno,kazzak,53.0,3910.0,67.0,55.0,3.0,11.0,2.0,6.0,75.0,100.0,50.0,100.0,22.0,25.0,58.0,50.0,44.0,40.0,88.0,79.0,4.0,3.0,8.0,4.0,9.0,4.0,12.0,16.0,9.0,5.0,8.0,14.0,3.0,3.0,4.0,4.0,2.0,1.0,7.0,8.0,4.0,2.0,7.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
136938662,Komaster,todeswache,6.0,4186.0,100.0,,5.0,,5.0,,50.0,60.0,100.0,40.0,100.0,,50.0,50.0,100.0,0.0,100.0,0.0,8.0,5.0,1.0,5.0,1.0,,2.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,,1.0,1.0,1.0,0.0,1.0,0.0,49.0,11.0,100.0,35.0,9.0,1.0,17.0,1.0,1.0,,,,,,,,,,,,,,,,,,
179027754,Толомир,soulflayer,12.0,56.0,,100.0,,1.0,,1.0,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146437861,Majtipapusza,the-maelstrom,136.0,22170.0,72.0,90.0,18.0,10.0,13.0,9.0,67.0,61.0,57.0,68.0,54.0,,73.0,50.0,73.0,43.0,40.0,100.0,21.0,18.0,23.0,28.0,26.0,,33.0,2.0,11.0,7.0,5.0,4.0,14.0,11.0,13.0,19.0,14.0,,24.0,1.0,8.0,3.0,2.0,4.0,43.0,62.0,100.0,23.0,21.0,1.0,10.0,13.0,1.0,71.0,69.0,7.0,26.0,5.0,18.0,,,,,,,,,,,,
78769113,Экзекуторс,howling-fjord,47.0,31676.0,32.0,100.0,81.0,3.0,26.0,3.0,41.0,53.0,46.0,60.0,40.0,2200.0,48.0,80.0,20.0,67.0,50.0,33.0,81.0,81.0,65.0,30.0,62.0,1.0,66.0,5.0,5.0,3.0,6.0,3.0,33.0,43.0,30.0,18.0,25.0,22.0,32.0,4.0,1.0,2.0,3.0,1.0,36.0,41.0,,95.0,70.0,,34.0,29.0,,50.0,10.0,68.0,10.0,34.0,1.0,,,,,,,,,,,,
237882031,Padawa,ghostlands,20.0,1543.0,,60.0,,10.0,,6.0,,100.0,25.0,25.0,50.0,25.0,71.0,,83.0,75.0,,60.0,,1.0,4.0,8.0,10.0,4.0,7.0,,6.0,4.0,,5.0,,1.0,1.0,2.0,5.0,1.0,5.0,,5.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
124131684,Fatfall,the-maelstrom,23.0,11420.0,48.0,80.0,149.0,5.0,71.0,4.0,66.0,53.0,29.0,38.0,43.0,,60.0,57.0,100.0,0.0,100.0,71.0,67.0,17.0,24.0,26.0,14.0,,25.0,7.0,5.0,2.0,2.0,7.0,44.0,9.0,7.0,10.0,6.0,,15.0,4.0,5.0,0.0,2.0,5.0,44.0,31.0,,9.0,32.0,,4.0,10.0,,36.0,100.0,25.0,1.0,9.0,1.0,,,,,,,,,,,,
101864005,Dreamer,ragnaros,25.0,25595.0,33.0,100.0,15.0,1.0,5.0,1.0,63.0,63.0,0.0,80.0,50.0,,100.0,,,,50.0,,73.0,38.0,1.0,5.0,2.0,,1.0,,,,2.0,,46.0,24.0,0.0,4.0,1.0,,1.0,,,,1.0,,51.0,59.0,,39.0,69.0,,20.0,41.0,,43.0,40.0,44.0,5.0,19.0,2.0,,,,,,,,,,,,
185742940,Аисандра,soulflayer,38.0,1362.0,100.0,100.0,2.0,1.0,2.0,1.0,0.0,0.0,100.0,100.0,40.0,,0.0,,33.0,,0.0,,1.0,1.0,2.0,3.0,5.0,,1.0,,3.0,,1.0,,0.0,0.0,2.0,3.0,2.0,,0.0,,1.0,,0.0,,,,100.0,,,1.0,,,1.0,,100.0,,1.0,,1.0,,,,,,,,,,,,
134245080,Zedbug,spinebreaker,7.0,1238.0,100.0,50.0,1.0,4.0,1.0,2.0,33.0,,60.0,100.0,83.0,,100.0,0.0,17.0,67.0,,50.0,3.0,,5.0,1.0,6.0,,1.0,1.0,6.0,3.0,,2.0,1.0,,3.0,1.0,5.0,,1.0,0.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
209552371,Noderneder,deathwing,22.0,1059.0,,60.0,,5.0,,3.0,,100.0,0.0,75.0,0.0,100.0,,,100.0,0.0,,40.0,,3.0,3.0,4.0,4.0,1.0,,,1.0,1.0,,5.0,,3.0,0.0,3.0,0.0,1.0,,,1.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
210098991,Langi,lightnings-blade,7.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,
119545021,Whimsy,burning-legion,8.0,1377.0,,,,,,,50.0,,,,,,100.0,,100.0,100.0,50.0,100.0,2.0,,,,,,3.0,,1.0,1.0,2.0,1.0,1.0,,,,,,3.0,,1.0,1.0,1.0,1.0,,0.0,100.0,,1.0,1.0,,0.0,1.0,,0.0,,1.0,,0.0,,,,,,,,,,,,
157171057,Vicker,stormscale,13.0,123.0,0.0,100.0,1.0,1.0,0.0,1.0,,,,0.0,100.0,100.0,,,,,,100.0,,,,2.0,1.0,1.0,,,,,,1.0,,,,0.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
194762802,Arathia,deathwing,54.0,548.0,,,,,,,,,,,,,,,,,67.0,0.0,,,,,,,,,,,3.0,1.0,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
175810099,Paloushe,dalaran,9.0,2176.0,56.0,50.0,9.0,2.0,5.0,1.0,67.0,100.0,100.0,,0.0,,0.0,57.0,40.0,100.0,40.0,0.0,6.0,1.0,2.0,,2.0,,3.0,7.0,5.0,2.0,5.0,2.0,4.0,1.0,2.0,,0.0,,0.0,4.0,2.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
120407693,Caylais,drakthul,32.0,4575.0,67.0,25.0,3.0,4.0,2.0,1.0,40.0,38.0,75.0,56.0,50.0,,83.0,20.0,67.0,100.0,67.0,67.0,5.0,8.0,4.0,9.0,4.0,,6.0,5.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,5.0,2.0,,5.0,1.0,2.0,1.0,2.0,2.0,17.0,50.0,,6.0,4.0,,1.0,2.0,,43.0,29.0,7.0,7.0,3.0,2.0,90.0,10.0,9.0,,,,,,,,,
242636159,Rasfon,the-maelstrom,25.0,3675.0,50.0,71.0,6.0,7.0,3.0,5.0,50.0,50.0,60.0,88.0,71.0,,75.0,75.0,67.0,50.0,0.0,50.0,2.0,6.0,5.0,8.0,7.0,,4.0,4.0,3.0,6.0,1.0,6.0,1.0,3.0,3.0,7.0,5.0,,3.0,3.0,2.0,3.0,0.0,3.0,,,100.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
166734171,Zelaeya,blackmoore,14.0,32.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155250431,Deviouslight,drakthul,12.0,3659.0,67.0,100.0,6.0,1.0,4.0,1.0,40.0,33.0,25.0,33.0,67.0,,0.0,100.0,100.0,25.0,40.0,67.0,5.0,3.0,4.0,3.0,6.0,,3.0,2.0,4.0,4.0,5.0,3.0,2.0,1.0,1.0,1.0,4.0,,0.0,2.0,4.0,1.0,2.0,2.0,,,60.0,,,10.0,,,6.0,,,,,,,100.0,1.0,1.0,,,,,,,,,
140892084,Krisis,dun-modr,17.0,2880.0,75.0,75.0,4.0,4.0,3.0,3.0,33.0,33.0,50.0,29.0,40.0,,50.0,100.0,20.0,50.0,75.0,100.0,6.0,3.0,2.0,7.0,5.0,,4.0,3.0,5.0,6.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,,2.0,3.0,1.0,3.0,3.0,1.0,0.0,,100.0,2.0,,1.0,0.0,,1.0,,0.0,,3.0,,0.0,,,,100.0,8.0,8.0,,,,,,
156424854,Falixix,la-croisade-écarlate,43.0,27492.0,50.0,,6.0,,3.0,,55.0,62.0,55.0,33.0,50.0,,22.0,60.0,,0.0,,0.0,22.0,26.0,40.0,6.0,42.0,,9.0,5.0,,3.0,,2.0,12.0,16.0,22.0,2.0,21.0,,2.0,3.0,,0.0,,0.0,58.0,70.0,,62.0,56.0,,36.0,39.0,,57.0,0.0,42.0,1.0,24.0,0.0,,,,,,,,,,,,
174509571,Kethmil,dun-modr,7.0,382.0,100.0,,1.0,,1.0,,33.0,0.0,,,,,,,,0.0,100.0,,3.0,1.0,,,,,,,,1.0,1.0,,1.0,0.0,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175760203,Vayki,hyjal,5.0,8510.0,64.0,,11.0,,7.0,,45.0,50.0,,,100.0,,,,,,,,20.0,18.0,,,1.0,,,,,,,,9.0,9.0,,,1.0,,,,,,,,57.0,43.0,,23.0,21.0,,13.0,9.0,,50.0,,16.0,,8.0,,,,,,,,,,,,,
156085046,Holycabby,teldrassil,47.0,100.0,,,,,,,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,100.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,
158921316,Abrahamlcn,draenor,5.0,1417.0,33.0,67.0,3.0,3.0,1.0,2.0,50.0,50.0,,100.0,,,67.0,,50.0,50.0,100.0,50.0,2.0,6.0,,3.0,,,3.0,,4.0,2.0,1.0,2.0,1.0,3.0,,3.0,,,2.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
143372979,Илетил,soulflayer,36.0,66522.0,60.0,55.0,72.0,11.0,43.0,6.0,54.0,73.0,56.0,66.0,63.0,,65.0,71.0,75.0,80.0,60.0,83.0,74.0,144.0,61.0,29.0,62.0,,20.0,7.0,8.0,5.0,5.0,12.0,40.0,105.0,34.0,19.0,39.0,,13.0,5.0,6.0,4.0,3.0,10.0,76.0,62.0,,231.0,205.0,,175.0,127.0,,69.0,63.0,118.0,27.0,81.0,17.0,,,,,,,,,,,,
96768294,Vasilipupkin,antonidas,122.0,141705.0,60.0,50.0,121.0,4.0,73.0,2.0,62.0,53.0,56.0,52.0,53.0,3225.0,63.0,,77.0,19.0,33.0,50.0,271.0,300.0,209.0,132.0,202.0,4.0,144.0,,13.0,16.0,6.0,2.0,168.0,160.0,117.0,68.0,107.0,129.0,91.0,,10.0,3.0,2.0,1.0,57.0,55.0,33.0,512.0,477.0,3.0,294.0,263.0,1.0,55.0,51.0,211.0,89.0,116.0,45.0,0.0,2.0,0.0,100.0,10.0,10.0,,,,,,
134200391,Chuipàlà,sargeras,31.0,1749.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,0.0,60.0,17.0,62.0,,50.0,,83.0,,,0.0,2.0,3.0,5.0,6.0,8.0,,2.0,,6.0,,,1.0,1.0,0.0,3.0,1.0,5.0,,1.0,,5.0,,,0.0,50.0,67.0,,8.0,3.0,,4.0,2.0,,,0.0,,1.0,,0.0,,,,,,,,,,,,
175253993,Andreyx,twisting-nether,11.0,811.0,33.0,100.0,3.0,1.0,1.0,1.0,50.0,50.0,33.0,,0.0,,50.0,20.0,,100.0,0.0,0.0,4.0,2.0,3.0,,3.0,,2.0,5.0,,1.0,1.0,1.0,2.0,1.0,1.0,,0.0,,1.0,1.0,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
188402402,Ergard,the-maelstrom,49.0,4855.0,78.0,100.0,9.0,2.0,7.0,2.0,73.0,44.0,50.0,27.0,50.0,,50.0,100.0,,,50.0,,11.0,9.0,4.0,11.0,6.0,,6.0,2.0,,,2.0,,8.0,4.0,2.0,3.0,3.0,,3.0,2.0,,,1.0,,40.0,38.0,,10.0,13.0,,4.0,5.0,,25.0,50.0,8.0,4.0,2.0,2.0,,,,,,,,,,,,
141114720,Sacrydia,the-maelstrom,125.0,31041.0,55.0,38.0,64.0,8.0,35.0,3.0,60.0,55.0,53.0,62.0,56.0,,45.0,80.0,29.0,40.0,55.0,50.0,70.0,80.0,51.0,37.0,50.0,,42.0,5.0,7.0,10.0,11.0,2.0,42.0,44.0,27.0,23.0,28.0,,19.0,4.0,2.0,4.0,6.0,1.0,68.0,59.0,100.0,97.0,94.0,1.0,66.0,55.0,1.0,57.0,70.0,63.0,23.0,36.0,16.0,,,,100.0,4.0,4.0,,,,,,
175816260,Palakø,zuljin,34.0,9350.0,44.0,,9.0,,4.0,,78.0,37.0,60.0,33.0,50.0,,75.0,,100.0,100.0,100.0,,27.0,19.0,35.0,3.0,28.0,,4.0,,1.0,1.0,1.0,,21.0,7.0,21.0,1.0,14.0,,3.0,,1.0,1.0,1.0,,59.0,56.0,,61.0,50.0,,36.0,28.0,,43.0,50.0,14.0,2.0,6.0,1.0,,,,,,,,,,,,
242801700,Bulldoge,ghostlands,23.0,25384.0,44.0,0.0,9.0,3.0,4.0,0.0,59.0,57.0,68.0,100.0,67.0,,60.0,,0.0,50.0,,50.0,66.0,21.0,19.0,1.0,12.0,,5.0,,1.0,4.0,,2.0,39.0,12.0,13.0,1.0,8.0,,3.0,,0.0,2.0,,1.0,78.0,61.0,,46.0,49.0,,36.0,30.0,,62.0,100.0,29.0,1.0,18.0,1.0,,,,100.0,1.0,1.0,,,,,,
153806585,Мст,gordunni,20.0,2581.0,50.0,33.0,4.0,6.0,2.0,2.0,50.0,29.0,33.0,46.0,69.0,80.0,75.0,0.0,40.0,75.0,100.0,50.0,4.0,7.0,6.0,13.0,13.0,5.0,8.0,1.0,10.0,8.0,3.0,6.0,2.0,2.0,2.0,6.0,9.0,4.0,6.0,0.0,4.0,6.0,3.0,3.0,,,100.0,,,2.0,,,2.0,,67.0,,3.0,,2.0,0.0,2.0,0.0,100.0,4.0,4.0,,,,,,
165566705,Johawk,kargath,44.0,1455.0,17.0,100.0,6.0,1.0,1.0,1.0,75.0,50.0,75.0,33.0,0.0,0.0,67.0,100.0,0.0,50.0,50.0,33.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
237883055,Tyrenis,dragonblight,4.0,203.0,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,6.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237886091,Hamsandwich,ghostlands,1.0,323.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,0.0,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
119151404,Casemir,antonidas,20.0,421.0,,,,,,,,100.0,50.0,,0.0,,,,100.0,,,0.0,,2.0,2.0,,1.0,,,,1.0,,,2.0,,2.0,1.0,,0.0,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
