character.id,character.name,character.realm.slug,honor_level,honorable_kills,Isle of Conquest win_rate,Arathi Basin win_rate,Isle of Conquest played,Arathi Basin played,Isle of Conquest won,Arathi Basin won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Cooking: Impossible win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Cooking: Impossible played,Seething Shore played,Warsong Gulch played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Cooking: Impossible won,Seething Shore won,Warsong Gulch won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
178142124,Десперайт,gordunni,39.0,808.0,100.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139653617,Bolívar,magtheridon,25.0,10775.0,60.0,65.0,5.0,17.0,3.0,11.0,29.0,56.0,100.0,67.0,0.0,74.0,55.0,74.0,45.0,56.0,75.0,50.0,100.0,76.0,50.0,50.0,100.0,50.0,74.0,7.0,9.0,1.0,18.0,1.0,27.0,20.0,19.0,22.0,9.0,4.0,2.0,1.0,17.0,20.0,4.0,2.0,2.0,19.0,2.0,5.0,1.0,12.0,0.0,20.0,11.0,14.0,10.0,5.0,3.0,1.0,1.0,13.0,10.0,2.0,2.0,1.0,14.0,,,,,,
194098262,Miyamoto,balnazzar,70.0,3844.0,0.0,75.0,1.0,4.0,0.0,3.0,50.0,,,80.0,,100.0,100.0,70.0,78.0,100.0,,,,100.0,75.0,67.0,,,67.0,2.0,,,10.0,,7.0,8.0,10.0,9.0,3.0,,,,8.0,4.0,3.0,,,6.0,1.0,,,8.0,,7.0,8.0,7.0,7.0,3.0,,,,8.0,3.0,2.0,,,4.0,,,,,,
174300660,Lorein,ragnaros,9.0,96.0,0.0,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176474438,Vìzzer,burning-legion,55.0,2516.0,,57.0,,14.0,,8.0,0.0,100.0,100.0,33.0,,43.0,33.0,50.0,55.0,60.0,100.0,,,100.0,78.0,,,,62.0,1.0,2.0,1.0,9.0,,7.0,9.0,10.0,11.0,5.0,1.0,,,5.0,9.0,,,,8.0,0.0,2.0,1.0,3.0,,3.0,3.0,5.0,6.0,3.0,1.0,,,5.0,7.0,,,,5.0,,,,,,
167392337,Jayline,tarren-mill,9.0,132.0,,,,,,,,,,,,,25.0,,33.0,,,,,,,,,,,,,,,,,4.0,,3.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
118609313,Wipepower,ravencrest,26.0,2893.0,17.0,75.0,6.0,4.0,1.0,3.0,78.0,,,100.0,,50.0,100.0,100.0,100.0,,0.0,,,86.0,33.0,33.0,,0.0,0.0,9.0,,,4.0,,2.0,1.0,1.0,2.0,,1.0,,,7.0,3.0,6.0,,1.0,1.0,7.0,,,4.0,,1.0,1.0,1.0,2.0,,0.0,,,6.0,1.0,2.0,,0.0,0.0,100.0,1.0,1.0,,,
80806240,Irônbreaker,frostwolf,17.0,9735.0,32.0,,37.0,,12.0,,38.0,49.0,69.0,53.0,65.0,78.0,54.0,45.0,50.0,57.0,,,,,,,,,,24.0,35.0,39.0,17.0,20.0,18.0,24.0,20.0,22.0,14.0,,,,,,,,,,9.0,17.0,27.0,9.0,13.0,14.0,13.0,9.0,11.0,8.0,,,,,,,,,,,,,,,
193091808,Thaladriana,aegwynn,17.0,8033.0,67.0,43.0,9.0,7.0,6.0,3.0,44.0,75.0,0.0,44.0,12.0,53.0,48.0,59.0,80.0,57.0,33.0,,,87.0,53.0,100.0,,50.0,36.0,9.0,4.0,1.0,9.0,8.0,17.0,27.0,22.0,15.0,7.0,6.0,,,15.0,15.0,2.0,,8.0,14.0,4.0,3.0,0.0,4.0,1.0,9.0,13.0,13.0,12.0,4.0,2.0,,,13.0,8.0,2.0,,4.0,5.0,50.0,4.0,2.0,,,
194762802,Arathia,deathwing,54.0,548.0,,,,,,,,,,,,,,,,,,,,,,67.0,,,0.0,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,
