character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Arathi Basin win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Arathi Basin played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Classic Arathi Basin won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Battle for Wintergrasp won,Deepwind Gorge won,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Arathi Basin win_rate,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Arathi Basin played,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Arathi Basin won,Classic Warsong Gulch win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Classic Warsong Gulch played,Eye of the Storm played,Strand of the Ancients played,Classic Warsong Gulch won,Eye of the Storm won,Strand of the Ancients won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Ashran win_rate,Arathi Basin Comp Stomp win_rate,Ashran played,Arathi Basin Comp Stomp played,Ashran won,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Cooking: Impossible win_rate,Southshore vs. Tarren Mill played,Cooking: Impossible played,Southshore vs. Tarren Mill won,Cooking: Impossible won
119545021,Whimsy,burning-legion,8.0,1377.0,50.0,0.0,100.0,0.0,100.0,100.0,100.0,50.0,100.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246978378,Панактото,gordunni,27.0,947.0,,,67.0,,,0.0,,100.0,0.0,,,3.0,,,1.0,,3.0,3.0,,,2.0,,,0.0,,3.0,0.0,50.0,0.0,100.0,0.0,100.0,100.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
18820223,Лайтмен,azuregos,8.0,9405.0,83.0,77.0,50.0,100.0,,,,0.0,,6.0,13.0,6.0,2.0,,,,1.0,,5.0,10.0,3.0,2.0,,,,0.0,,0.0,80.0,75.0,50.0,,,1.0,5.0,4.0,8.0,,,0.0,4.0,3.0,4.0,,,40.0,100.0,0.0,20.0,1.0,3.0,8.0,1.0,0.0,,,,,,,,,,,,,,,
116932256,Роэн,galakrond,31.0,1386.0,67.0,,33.0,,,,0.0,,,3.0,,3.0,,,,1.0,,,2.0,,1.0,,,,0.0,,,,0.0,67.0,0.0,,0.0,,1.0,3.0,1.0,,1.0,,0.0,2.0,0.0,,0.0,100.0,50.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,100.0,1.0,1.0,,,,,,,,,,,,
141864217,Айвишпал,galakrond,31.0,6959.0,75.0,50.0,60.0,67.0,100.0,71.0,48.0,0.0,0.0,4.0,2.0,30.0,6.0,1.0,24.0,25.0,1.0,2.0,3.0,1.0,18.0,4.0,1.0,17.0,12.0,0.0,0.0,33.0,84.0,65.0,58.0,80.0,29.0,3.0,19.0,20.0,19.0,5.0,14.0,1.0,16.0,13.0,11.0,4.0,4.0,50.0,60.0,,2.0,10.0,,1.0,6.0,,0.0,1.0,0.0,0.0,100.0,1.0,5.0,0.0,5.0,,,,,,
175495365,Фрига,galakrond,14.0,4640.0,38.0,,50.0,,,0.0,50.0,33.0,60.0,8.0,,6.0,,,5.0,16.0,6.0,5.0,3.0,,3.0,,,0.0,8.0,2.0,3.0,64.0,20.0,50.0,78.0,,43.0,11.0,5.0,6.0,9.0,,7.0,7.0,1.0,3.0,7.0,,3.0,,31.0,,,16.0,,,5.0,,,,,33.0,,3.0,,1.0,,,,,,,
90845213,Oberkommando,sanguino,22.0,2705.0,20.0,50.0,67.0,,50.0,0.0,0.0,100.0,50.0,5.0,2.0,3.0,,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,0.0,0.0,2.0,1.0,62.0,0.0,100.0,67.0,,50.0,8.0,2.0,3.0,3.0,,2.0,5.0,0.0,3.0,2.0,,1.0,,71.0,50.0,,7.0,2.0,,5.0,1.0,,,,40.0,,5.0,,2.0,,,,,,,
144046900,Рахэль,howling-fjord,41.0,94792.0,69.0,55.0,39.0,71.0,,67.0,,100.0,,218.0,358.0,33.0,21.0,,6.0,,8.0,,150.0,198.0,13.0,15.0,,4.0,,8.0,,67.0,61.0,50.0,62.0,,50.0,147.0,87.0,32.0,91.0,,4.0,99.0,53.0,16.0,56.0,,2.0,62.0,59.0,49.0,296.0,199.0,245.0,184.0,117.0,119.0,100.0,5.0,5.0,100.0,100.0,1.0,7.0,1.0,7.0,,,,,,
39994724,Наиксикс,galakrond,53.0,88402.0,44.0,64.0,61.0,71.0,,103.0,100.0,67.0,67.0,48.0,238.0,64.0,38.0,,31.0,1.0,3.0,3.0,21.0,152.0,39.0,27.0,,32.0,1.0,2.0,2.0,39.0,64.0,77.0,65.0,,,74.0,177.0,70.0,167.0,,,29.0,114.0,54.0,109.0,,,71.0,58.0,43.0,493.0,101.0,96.0,350.0,59.0,41.0,100.0,2.0,2.0,,,,,,,,,,,,
104629302,Карвинн,howling-fjord,6.0,3353.0,62.0,33.0,100.0,0.0,,50.0,0.0,67.0,50.0,8.0,3.0,2.0,2.0,,2.0,1.0,6.0,2.0,5.0,1.0,2.0,0.0,,1.0,0.0,4.0,1.0,29.0,50.0,100.0,0.0,,0.0,7.0,4.0,2.0,1.0,,2.0,2.0,2.0,2.0,0.0,,0.0,,50.0,100.0,,2.0,2.0,,1.0,2.0,,,,100.0,,4.0,,4.0,,,,,,,
194564244,Yeeta,silvermoon,6.0,242.0,,,50.0,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,0.0,0.0,,0.0,100.0,,1.0,1.0,,1.0,1.0,,0.0,0.0,,0.0,1.0,,0.0,,,1.0,,,0.0,,,,,,,,,,,,,,,,
172361913,Максфрай,howling-fjord,24.0,678.0,100.0,,100.0,,,0.0,,,100.0,1.0,,1.0,,,1.0,,,1.0,1.0,,1.0,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1.0,1.0,0.0,,1.0,,0.0,,,,,,,
115920321,Гангарт,galakrond,46.0,6675.0,0.0,,,,,,,50.0,,1.0,,,,,,,2.0,,0.0,,,,,,,1.0,,,,,0.0,,,,,,1.0,,,,,,0.0,,,100.0,,0.0,1.0,,1.0,1.0,,0.0,,,,,,,,,,,,,,,
195728591,Solotyr,hyjal,41.0,7870.0,88.0,71.0,50.0,25.0,,,,40.0,,8.0,7.0,2.0,4.0,,,,5.0,,7.0,5.0,1.0,1.0,,,,2.0,,17.0,50.0,50.0,50.0,,,6.0,12.0,6.0,8.0,,,1.0,6.0,3.0,4.0,,,80.0,36.0,33.0,10.0,11.0,9.0,8.0,4.0,3.0,,,,50.0,,2.0,,1.0,,,,,,,
139723203,Икугу,galakrond,12.0,3177.0,0.0,12.0,50.0,71.0,,40.0,,,,1.0,8.0,4.0,7.0,,5.0,,,,0.0,1.0,2.0,5.0,,2.0,,,,0.0,14.0,33.0,33.0,,,1.0,7.0,6.0,3.0,,,0.0,1.0,2.0,1.0,,,33.0,50.0,,9.0,6.0,,3.0,3.0,,100.0,1.0,1.0,,,,,,,,,,,,
140924366,Херлбой,galakrond,73.0,2576.0,,75.0,0.0,67.0,,67.0,,100.0,100.0,,4.0,3.0,3.0,,6.0,,2.0,1.0,,3.0,0.0,2.0,,4.0,,2.0,1.0,,80.0,75.0,80.0,,0.0,,5.0,4.0,5.0,,1.0,,4.0,3.0,4.0,,0.0,67.0,60.0,,6.0,5.0,,4.0,3.0,,,,,,,,,,,,,,,,
173757841,Шепоткрови,howling-fjord,14.0,1043.0,100.0,,100.0,,,50.0,,100.0,100.0,1.0,,1.0,,,2.0,,3.0,1.0,1.0,,1.0,,,1.0,,3.0,1.0,50.0,100.0,,,,50.0,2.0,2.0,,,,2.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
