character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won
124180279,Bopcorn,draenor,47.0,1746.0,100.0,75.0,67.0,100.0,0.0,100.0,100.0,67.0,33.0,100.0,100.0,1.0,8.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0,2.0,1.0,6.0,2.0,2.0,0.0,4.0,3.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138502282,Тейдени,howling-fjord,67.0,32278.0,71.0,70.0,77.0,70.0,72.0,76.0,75.0,97.0,67.0,70.0,75.0,21.0,30.0,26.0,50.0,50.0,33.0,56.0,29.0,12.0,23.0,4.0,15.0,21.0,20.0,35.0,36.0,25.0,42.0,28.0,8.0,16.0,3.0,58.0,52.0,78.0,62.0,100.0,0.0,75.0,100.0,100.0,24.0,31.0,130.0,32.0,1.0,1.0,12.0,4.0,6.0,14.0,16.0,101.0,20.0,1.0,0.0,9.0,4.0,6.0,,,
148078900,Арахнея,howling-fjord,56.0,289.0,,,0.0,,,,,100.0,0.0,,,,,1.0,,,,,1.0,1.0,,,,,0.0,,,,,1.0,0.0,,,,,,,,,100.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,
167094488,Bolderbast,tarren-mill,14.0,3157.0,0.0,50.0,75.0,67.0,62.0,57.0,67.0,40.0,55.0,25.0,40.0,2.0,2.0,4.0,9.0,8.0,7.0,15.0,10.0,11.0,8.0,15.0,0.0,1.0,3.0,6.0,5.0,4.0,10.0,4.0,6.0,2.0,6.0,,,,,,,100.0,,,,,,,,,1.0,,,,,,,,,1.0,,,50.0,10.0,5.0
131021084,Лёхабычара,howling-fjord,29.0,2603.0,60.0,50.0,25.0,33.0,50.0,71.0,83.0,86.0,50.0,83.0,40.0,5.0,2.0,4.0,6.0,2.0,7.0,6.0,7.0,6.0,6.0,5.0,3.0,1.0,1.0,2.0,1.0,5.0,5.0,6.0,3.0,5.0,2.0,,,,,100.0,,80.0,,,,,,,1.0,,5.0,,,,,,,1.0,,4.0,,,100.0,1.0,1.0
153765540,Йосяфлексер,howling-fjord,120.0,4664.0,,67.0,100.0,39.0,50.0,90.0,57.0,77.0,60.0,67.0,75.0,,9.0,1.0,18.0,16.0,10.0,14.0,13.0,5.0,9.0,4.0,,6.0,1.0,7.0,8.0,9.0,8.0,10.0,3.0,6.0,3.0,75.0,100.0,,55.0,,,,,100.0,4.0,1.0,,11.0,,,,,1.0,3.0,1.0,,6.0,,,,,1.0,71.0,7.0,5.0
33356986,Лаунч,howling-fjord,22.0,20308.0,72.0,68.0,53.0,60.0,67.0,75.0,33.0,100.0,57.0,0.0,100.0,39.0,62.0,32.0,20.0,3.0,8.0,6.0,1.0,7.0,2.0,2.0,28.0,42.0,17.0,12.0,2.0,6.0,2.0,1.0,4.0,0.0,2.0,72.0,61.0,69.0,33.0,0.0,,,,,78.0,71.0,64.0,3.0,1.0,,,,,56.0,43.0,44.0,1.0,0.0,,,,,,,
156908535,Gabil,burning-legion,15.0,2117.0,100.0,,50.0,50.0,50.0,,40.0,100.0,100.0,100.0,,2.0,,4.0,2.0,2.0,,5.0,1.0,2.0,1.0,,2.0,,2.0,1.0,1.0,,2.0,1.0,2.0,1.0,,,,,0.0,67.0,,,,,,,,1.0,3.0,,,,,,,,0.0,2.0,,,,,,,
164479772,Райтволл,howling-fjord,7.0,694.0,,,,,,,100.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,100.0,,,,,,,,,1.0,,,,,,,,,1.0,,,
183917942,Zacefron,hyjal,32.0,136.0,,0.0,,0.0,,,,0.0,,100.0,,,1.0,,1.0,,,,1.0,,1.0,,,0.0,,0.0,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163632883,Aitas,tarren-mill,162.0,100346.0,51.0,60.0,45.0,65.0,66.0,62.0,65.0,500.0,100.0,60.0,0.0,210.0,235.0,225.0,265.0,181.0,257.0,186.0,8.0,3.0,5.0,1.0,108.0,140.0,102.0,171.0,120.0,159.0,121.0,40.0,3.0,3.0,0.0,62.0,60.0,55.0,58.0,100.0,,100.0,100.0,0.0,247.0,290.0,222.0,84.0,2.0,,4.0,36.0,5.0,154.0,173.0,123.0,49.0,2.0,,4.0,36.0,0.0,,,
147116888,Ксеноо,howling-fjord,11.0,3045.0,100.0,,100.0,100.0,,0.0,50.0,0.0,,,50.0,1.0,,1.0,1.0,,1.0,2.0,1.0,,,2.0,1.0,,1.0,1.0,,0.0,1.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1.0,1.0
195482970,Brianno,kazzak,53.0,3910.0,75.0,100.0,67.0,50.0,100.0,22.0,58.0,44.0,40.0,55.0,79.0,4.0,3.0,3.0,8.0,4.0,9.0,12.0,9.0,5.0,11.0,14.0,3.0,3.0,2.0,4.0,4.0,2.0,7.0,4.0,2.0,6.0,11.0,,,,,50.0,,88.0,,,,,,,16.0,,8.0,,,,,,,8.0,,7.0,,,25.0,4.0,1.0
101228281,Reava,alleria,76.0,11264.0,58.0,62.0,70.0,65.0,76.0,52.0,53.0,39.0,43.0,20.0,50.0,31.0,26.0,20.0,34.0,33.0,27.0,32.0,18.0,21.0,10.0,6.0,18.0,16.0,14.0,22.0,25.0,14.0,17.0,7.0,9.0,2.0,3.0,40.0,80.0,68.0,62.0,33.0,,60.0,100.0,,10.0,15.0,19.0,8.0,3.0,,5.0,2.0,,4.0,12.0,13.0,5.0,1.0,,3.0,2.0,,75.0,4.0,3.0
188423956,Ilnakadyr,hyjal,48.0,8476.0,14.0,67.0,55.0,56.0,38.0,62.0,54.0,70.0,40.0,0.0,0.0,7.0,3.0,11.0,32.0,13.0,16.0,26.0,10.0,5.0,1.0,3.0,1.0,2.0,6.0,18.0,5.0,10.0,14.0,7.0,2.0,0.0,0.0,50.0,36.0,33.0,29.0,,,40.0,,,6.0,11.0,9.0,7.0,,,5.0,,,3.0,4.0,3.0,2.0,,,2.0,,,,,
158487277,Crazywings,blackhand,14.0,1206.0,100.0,100.0,,50.0,100.0,75.0,100.0,100.0,50.0,50.0,50.0,1.0,3.0,,4.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,,,100.0,100.0,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,50.0,2.0,1.0
