character.id,character.name,character.realm.slug,honor_level,honorable_kills,Classic Arathi Basin win_rate,Classic Arathi Basin played,Classic Arathi Basin won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,Ashran win_rate,Seething Shore win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Classic Warsong Gulch played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,Ashran played,Seething Shore played,Battle for Wintergrasp played,Alterac Valley won,Classic Warsong Gulch won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,Ashran won,Seething Shore won,Battle for Wintergrasp won,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Warsong Gulch played,Arathi Basin played,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge win_rate,Deepwind Gorge played,Deepwind Gorge won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
166500867,Keleda,malygos,4.0,85.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161484022,Kurczaka,azshara,6.0,19177.0,50.0,14.0,7.0,82.0,64.0,73.0,57.0,38.0,40.0,50.0,50.0,0.0,20.0,17.0,11.0,15.0,14.0,8.0,5.0,2.0,4.0,1.0,5.0,14.0,7.0,11.0,8.0,3.0,2.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111135416,Lennáx,aegwynn,11.0,4946.0,57.0,7.0,4.0,73.0,56.0,57.0,67.0,29.0,33.0,44.0,,50.0,0.0,22.0,9.0,7.0,3.0,7.0,9.0,9.0,,2.0,2.0,16.0,5.0,4.0,2.0,2.0,3.0,4.0,,1.0,0.0,54.0,70.0,40.0,100.0,0.0,100.0,13.0,10.0,5.0,1.0,1.0,1.0,7.0,7.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,
193054276,Shyliin,silvermoon,4.0,1029.0,,,,,,,,,0.0,100.0,0.0,,33.0,,,,,,1.0,1.0,2.0,,3.0,,,,,,0.0,1.0,0.0,,1.0,0.0,100.0,,,,100.0,1.0,1.0,,,,1.0,0.0,1.0,,,,1.0,33.0,3.0,1.0,,,,,,,,,,,,,,,
133236058,Tøtørpal,drekthar,72.0,1281.0,,,,,,100.0,,100.0,0.0,100.0,100.0,100.0,100.0,,,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,,,1.0,,1.0,0.0,2.0,1.0,1.0,1.0,33.0,33.0,,,67.0,50.0,3.0,3.0,,,3.0,2.0,1.0,1.0,,,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
185244175,Helliél,pozzo-delleternità,4.0,664.0,,,,,,100.0,,,43.0,0.0,,50.0,,,,1.0,,,7.0,2.0,,2.0,,,,1.0,,,3.0,0.0,,1.0,,100.0,67.0,,,33.0,0.0,1.0,3.0,,,3.0,2.0,1.0,2.0,,,1.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,
42907293,Tiberiath,die-aldor,52.0,28020.0,62.0,65.0,40.0,47.0,53.0,67.0,57.0,38.0,0.0,40.0,,150.0,100.0,58.0,97.0,30.0,23.0,16.0,6.0,5.0,,2.0,1.0,27.0,51.0,20.0,13.0,6.0,0.0,2.0,,3.0,1.0,67.0,22.0,33.0,0.0,,,3.0,9.0,3.0,2.0,,,2.0,2.0,1.0,0.0,,,,,,20.0,5.0,1.0,100.0,25.0,25.0,,,,,,,,,
158112757,Làzarùs,thrall,7.0,1253.0,,,,100.0,,25.0,,0.0,60.0,100.0,,75.0,,1.0,,4.0,,1.0,5.0,2.0,,4.0,,1.0,,1.0,,0.0,3.0,2.0,,3.0,,25.0,80.0,,,100.0,33.0,4.0,5.0,,,3.0,3.0,1.0,4.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,
163224163,Радостьмоя,gordunni,94.0,10242.0,38.0,8.0,3.0,,55.0,67.0,100.0,,43.0,56.0,,55.0,,,22.0,24.0,3.0,,28.0,43.0,,20.0,,,12.0,16.0,3.0,,12.0,24.0,,11.0,,59.0,54.0,67.0,50.0,62.0,69.0,41.0,48.0,12.0,4.0,16.0,16.0,24.0,26.0,8.0,2.0,10.0,11.0,82.0,11.0,9.0,0.0,1.0,0.0,100.0,2.0,2.0,,,,,,,,,
49655666,Celiar,die-aldor,84.0,25622.0,49.0,51.0,25.0,53.0,58.0,61.0,51.0,34.0,64.0,80.0,,,100.0,51.0,26.0,46.0,41.0,29.0,14.0,5.0,,,1.0,27.0,15.0,28.0,21.0,10.0,9.0,4.0,,,1.0,61.0,50.0,60.0,,,,18.0,6.0,5.0,,,,11.0,3.0,3.0,,,,,,,,,,100.0,69.0,69.0,,,,,,,,,
69121785,Syriel,nazjatar,26.0,10735.0,0.0,1.0,0.0,43.0,33.0,0.0,50.0,0.0,,33.0,,,100.0,7.0,3.0,1.0,2.0,1.0,,3.0,,,1.0,3.0,1.0,0.0,1.0,0.0,,1.0,,,1.0,100.0,100.0,50.0,,,,1.0,2.0,2.0,,,,1.0,2.0,1.0,,,,,,,91.0,22.0,20.0,100.0,1.0,1.0,,,,,,,,,
110058812,Alienar,blackhand,38.0,46664.0,52.0,170.0,89.0,40.0,66.0,52.0,50.0,43.0,38.0,57.0,33.0,71.0,40.0,251.0,173.0,119.0,117.0,93.0,24.0,14.0,6.0,7.0,10.0,100.0,114.0,62.0,58.0,40.0,9.0,8.0,2.0,5.0,4.0,52.0,50.0,29.0,0.0,44.0,17.0,25.0,22.0,7.0,2.0,9.0,6.0,13.0,11.0,2.0,0.0,4.0,1.0,100.0,2.0,2.0,75.0,4.0,3.0,100.0,6.0,6.0,,,,,,,,,
97623904,Grimaldi,tarren-mill,59.0,13628.0,33.0,24.0,8.0,44.0,57.0,58.0,59.0,32.0,61.0,39.0,,200.0,,59.0,58.0,38.0,49.0,37.0,36.0,23.0,,1.0,,26.0,33.0,22.0,29.0,12.0,22.0,9.0,,2.0,,56.0,50.0,80.0,,75.0,0.0,36.0,8.0,5.0,,4.0,1.0,20.0,4.0,4.0,,3.0,0.0,,,,,,,,,,,,,,,,,,
165289668,Summerlovexx,blackmoore,38.0,1010.0,,,,75.0,,,,40.0,,100.0,0.0,,50.0,4.0,,,,5.0,,1.0,2.0,,2.0,3.0,,,,2.0,,1.0,0.0,,1.0,67.0,100.0,,,33.0,67.0,3.0,3.0,,,3.0,3.0,2.0,3.0,,,1.0,2.0,100.0,1.0,1.0,,,,,,,,,,,,,,,
66536471,Thesandro,die-aldor,10.0,17359.0,53.0,15.0,8.0,50.0,30.0,86.0,60.0,43.0,67.0,0.0,0.0,0.0,50.0,14.0,10.0,7.0,5.0,7.0,3.0,3.0,1.0,1.0,2.0,7.0,3.0,6.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,50.0,,,,33.0,0.0,2.0,,,,3.0,1.0,1.0,,,,1.0,0.0,50.0,4.0,2.0,,,,,,,,,,,,,,,
115900144,Crouzoline,blackhand,17.0,343.0,,,,100.0,,,,,,,,0.0,100.0,2.0,,,,,,,,1.0,2.0,2.0,,,,,,,,0.0,2.0,,100.0,,,0.0,,,1.0,,,1.0,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
162393278,Leylandra,die-aldor,99.0,1799.0,,,,,,0.0,,,67.0,67.0,,67.0,100.0,,,1.0,,,3.0,3.0,,3.0,1.0,,,0.0,,,2.0,2.0,,2.0,1.0,67.0,0.0,,,40.0,67.0,3.0,2.0,,,5.0,3.0,2.0,0.0,,,2.0,2.0,100.0,1.0,1.0,,,,,,,,,,,,,,,
125178163,Temeraire,die-aldor,5.0,4937.0,52.0,21.0,11.0,67.0,48.0,25.0,83.0,50.0,0.0,67.0,,,,18.0,25.0,4.0,6.0,2.0,1.0,3.0,,,,12.0,12.0,1.0,5.0,1.0,0.0,2.0,,,,40.0,43.0,100.0,,,100.0,5.0,7.0,1.0,,,1.0,2.0,3.0,1.0,,,1.0,100.0,1.0,1.0,100.0,1.0,1.0,,,,,,,,,,,,
132488766,Berago,die-aldor,15.0,29873.0,62.0,71.0,44.0,62.0,59.0,63.0,60.0,53.0,62.0,100.0,,,,85.0,85.0,78.0,102.0,79.0,50.0,1.0,,,,53.0,50.0,49.0,61.0,42.0,31.0,1.0,,,,64.0,100.0,,,,,42.0,1.0,,,,,27.0,1.0,,,,,,,,,,,,,,,,,,,,,,
123922540,Culkin,antonidas,23.0,158.0,,,,,,,,,,100.0,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,100.0,0.0,,,0.0,,1.0,1.0,,,1.0,,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
165252855,Yelruna,die-aldor,37.0,160.0,,,,,,,,,0.0,,,25.0,,,,,,,2.0,,,4.0,,,,,,,0.0,,,1.0,,,0.0,,,100.0,0.0,,1.0,,,1.0,2.0,,0.0,,,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
91034245,Mercilessa,thunderhorn,5.0,12661.0,48.0,48.0,23.0,50.0,54.0,41.0,61.0,62.0,55.0,,,,0.0,26.0,67.0,69.0,31.0,16.0,11.0,,,,1.0,13.0,36.0,28.0,19.0,10.0,6.0,,,,0.0,30.0,50.0,,,,,10.0,2.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
86442046,Cuddlebubble,ravencrest,8.0,130.0,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98572179,Greycloak,kult-der-verdammten,43.0,113872.0,60.0,283.0,169.0,57.0,66.0,62.0,55.0,58.0,57.0,42.0,,62.0,25.0,191.0,320.0,258.0,232.0,111.0,49.0,31.0,,8.0,4.0,108.0,210.0,160.0,127.0,64.0,28.0,13.0,,5.0,1.0,46.0,48.0,69.0,,67.0,50.0,57.0,31.0,16.0,,9.0,4.0,26.0,15.0,11.0,,6.0,2.0,100.0,1.0,1.0,,,,,,,7400.0,2.0,148.0,,,,,,
78267303,Testomat,dun-morogh,21.0,4770.0,38.0,8.0,3.0,57.0,40.0,44.0,22.0,60.0,44.0,10.0,0.0,50.0,,7.0,15.0,9.0,9.0,10.0,9.0,10.0,1.0,2.0,,4.0,6.0,4.0,2.0,6.0,4.0,1.0,0.0,1.0,,54.0,36.0,40.0,,,,13.0,11.0,15.0,,,,7.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,
133639926,Morgenbann,die-aldor,37.0,5292.0,56.0,9.0,5.0,44.0,29.0,0.0,,56.0,67.0,67.0,50.0,14.0,50.0,16.0,7.0,3.0,,18.0,3.0,6.0,4.0,7.0,6.0,7.0,2.0,0.0,,10.0,2.0,4.0,2.0,1.0,3.0,30.0,57.0,0.0,,25.0,,10.0,7.0,1.0,,8.0,,3.0,4.0,0.0,,2.0,,0.0,2.0,0.0,,,,100.0,1.0,1.0,,,,,,,,,
147664448,Bügelschloss,blackmoore,11.0,2938.0,,,,80.0,,,,50.0,50.0,40.0,50.0,62.0,38.0,5.0,,,,2.0,2.0,5.0,4.0,8.0,8.0,4.0,,,,1.0,1.0,2.0,2.0,5.0,3.0,20.0,70.0,,,50.0,100.0,5.0,10.0,,,2.0,2.0,1.0,7.0,,,1.0,2.0,100.0,3.0,3.0,,,,,,,,,,,,,,,
176700761,Copyright,minahonda,43.0,3158.0,,,,62.0,67.0,57.0,60.0,0.0,30.0,50.0,50.0,,0.0,8.0,9.0,7.0,5.0,1.0,10.0,4.0,2.0,,1.0,5.0,6.0,4.0,3.0,0.0,3.0,2.0,1.0,,0.0,60.0,71.0,100.0,,100.0,0.0,5.0,7.0,1.0,,1.0,4.0,3.0,5.0,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,
29428703,Dardan,die-aldor,52.0,1650.0,,,,0.0,40.0,25.0,,20.0,0.0,17.0,,50.0,33.0,1.0,5.0,4.0,,5.0,1.0,6.0,,2.0,6.0,0.0,2.0,1.0,,1.0,0.0,1.0,,1.0,2.0,0.0,,,,50.0,,1.0,,,,2.0,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,
176037656,Pilper,twisting-nether,17.0,1583.0,,,,0.0,,0.0,,,40.0,33.0,,67.0,,1.0,,2.0,,,5.0,6.0,,9.0,,0.0,,0.0,,,2.0,2.0,,6.0,,40.0,100.0,,,80.0,80.0,5.0,2.0,,,5.0,5.0,2.0,2.0,,,4.0,4.0,57.0,7.0,4.0,,,,,,,,,,,,,,,
150787688,Jigsaaw,amanthul,1.0,4924.0,20.0,5.0,1.0,78.0,,,33.0,33.0,0.0,14.0,0.0,,,9.0,,,12.0,9.0,2.0,7.0,1.0,,,7.0,,,4.0,3.0,0.0,1.0,0.0,,,25.0,58.0,,,100.0,,4.0,12.0,,,1.0,,1.0,7.0,,,1.0,,,,,,,,,,,,,,,,,,,
112585952,Madaya,die-aldor,154.0,14459.0,81.0,31.0,25.0,64.0,68.0,69.0,74.0,59.0,58.0,92.0,,,,39.0,41.0,26.0,57.0,29.0,33.0,13.0,,,,25.0,28.0,18.0,42.0,17.0,19.0,12.0,,,,80.0,73.0,78.0,,,,35.0,11.0,9.0,,,,28.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,
106501375,Felaana,die-aldor,10.0,2954.0,50.0,10.0,5.0,100.0,75.0,88.0,45.0,100.0,45.0,91.0,,,,1.0,12.0,8.0,11.0,1.0,11.0,11.0,,,,1.0,9.0,7.0,5.0,1.0,5.0,10.0,,,,60.0,78.0,83.0,,,,10.0,9.0,6.0,,,,6.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,
142422515,Moncsí,die-arguswacht,8.0,927.0,,,,,,,,,50.0,0.0,,25.0,100.0,,,,,,2.0,1.0,,4.0,1.0,,,,,,1.0,0.0,,1.0,1.0,0.0,,100.0,,75.0,,1.0,,1.0,,4.0,,0.0,,1.0,,3.0,,,,,,,,100.0,2.0,2.0,,,,,,,,,
31952676,Megatroon,drakthul,21.0,21344.0,61.0,61.0,37.0,48.0,62.0,77.0,78.0,47.0,67.0,100.0,,,,66.0,48.0,43.0,41.0,15.0,3.0,2.0,,,,32.0,30.0,33.0,32.0,7.0,2.0,2.0,,,,100.0,20.0,100.0,,,,1.0,5.0,1.0,,,,1.0,1.0,1.0,,,,,,,83.0,6.0,5.0,,,,,,,,,,,,
119003965,Maintanck,eredar,1.0,193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,0.0,,,1.0,,,1.0,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
175980693,Dreymo,die-aldor,20.0,963.0,,,,67.0,,,,50.0,100.0,100.0,0.0,100.0,0.0,6.0,,,,4.0,1.0,2.0,1.0,1.0,1.0,4.0,,,,2.0,1.0,2.0,0.0,1.0,0.0,100.0,,,,100.0,33.0,1.0,,,,1.0,3.0,1.0,,,,1.0,1.0,100.0,2.0,2.0,,,,,,,,,,,,,,,
165519655,Yöda,die-aldor,69.0,8064.0,37.0,38.0,14.0,69.0,59.0,39.0,68.0,55.0,59.0,33.0,12.0,50.0,33.0,16.0,32.0,31.0,19.0,22.0,17.0,15.0,8.0,4.0,6.0,11.0,19.0,12.0,13.0,12.0,10.0,5.0,1.0,2.0,2.0,32.0,50.0,60.0,,100.0,0.0,22.0,8.0,10.0,,1.0,1.0,7.0,4.0,6.0,,1.0,0.0,33.0,3.0,1.0,,,,,,,,,,,,,,,
145415104,Isyniel,hyjal,23.0,5399.0,50.0,2.0,1.0,50.0,20.0,76.0,100.0,0.0,0.0,100.0,,0.0,,6.0,5.0,17.0,2.0,1.0,1.0,1.0,,2.0,,3.0,1.0,13.0,2.0,0.0,0.0,1.0,,0.0,,0.0,,,,100.0,,2.0,,,,1.0,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,
