character.id,character.name,character.realm.slug,honor_level,honorable_kills,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Battle for Wintergrasp played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Battle for Wintergrasp won,Rated Eye of the Storm win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Rated Eye of the Storm won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
174241461,Hêizën,marécage-de-zangar,17.0,519.0,100.0,100.0,33.0,100.0,60.0,0.0,0.0,50.0,50.0,0.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111673299,Gusrim,shadowsong,19.0,36139.0,45.0,88.0,45.0,62.0,67.0,67.0,50.0,60.0,50.0,20.0,11.0,8.0,20.0,13.0,6.0,3.0,6.0,5.0,2.0,5.0,5.0,7.0,9.0,8.0,4.0,2.0,3.0,3.0,1.0,1.0,47.0,57.0,59.0,43.0,52.0,71.0,100.0,75.0,32.0,47.0,59.0,44.0,64.0,7.0,1.0,4.0,15.0,27.0,35.0,19.0,33.0,5.0,1.0,3.0,,,,,,,,,,,,
132751714,Syrielle,dalaran,97.0,71497.0,60.0,67.0,74.0,81.0,56.0,0.0,80.0,79.0,50.0,33.0,70.0,36.0,35.0,47.0,55.0,2.0,10.0,14.0,14.0,6.0,42.0,24.0,26.0,38.0,31.0,0.0,8.0,11.0,7.0,2.0,54.0,76.0,69.0,74.0,61.0,64.0,100.0,17.0,83.0,123.0,120.0,110.0,111.0,11.0,1.0,6.0,45.0,94.0,83.0,81.0,68.0,7.0,1.0,1.0,1267.0,100.0,100.0,6.0,6.0,4.0,76.0,6.0,4.0,,,
226274304,Valithria,sylvanas,58.0,7799.0,71.0,50.0,33.0,80.0,73.0,,100.0,80.0,62.0,,7.0,2.0,6.0,5.0,11.0,,2.0,10.0,8.0,,5.0,1.0,2.0,4.0,8.0,,2.0,8.0,5.0,,56.0,33.0,33.0,62.0,100.0,50.0,,29.0,9.0,3.0,3.0,8.0,1.0,8.0,,7.0,5.0,1.0,1.0,5.0,1.0,4.0,,2.0,75.0,100.0,0.0,4.0,51.0,2.0,3.0,51.0,0.0,,,
175810099,Paloushe,dalaran,9.0,2176.0,56.0,100.0,,0.0,0.0,57.0,40.0,100.0,50.0,0.0,9.0,2.0,,2.0,3.0,7.0,5.0,2.0,2.0,2.0,5.0,2.0,,0.0,0.0,4.0,2.0,2.0,1.0,0.0,67.0,,,100.0,,,,40.0,6.0,,,1.0,,,,5.0,4.0,,,1.0,,,,2.0,,,,,,,,,,,,
162999798,Iladonf,dalaran,16.0,161.0,50.0,100.0,,,,,,,,,2.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156893097,Dawnbringer,archimonde,12.0,1099.0,33.0,,,,100.0,,100.0,0.0,0.0,,3.0,,,,1.0,,2.0,3.0,2.0,,1.0,,,,1.0,,2.0,0.0,0.0,,100.0,,,,,,,0.0,1.0,,,,,,,1.0,1.0,,,,,,,0.0,,,,,,,,,,,,
144130261,Postedeguill,dalaran,37.0,12301.0,57.0,27.0,50.0,53.0,56.0,0.0,100.0,29.0,100.0,,7.0,11.0,16.0,15.0,9.0,2.0,10.0,7.0,1.0,,4.0,3.0,8.0,8.0,5.0,0.0,10.0,2.0,1.0,,62.0,50.0,46.0,59.0,67.0,60.0,0.0,60.0,24.0,40.0,26.0,27.0,12.0,5.0,3.0,5.0,15.0,20.0,12.0,16.0,8.0,3.0,0.0,3.0,,100.0,,,2.0,,,2.0,,,,
190776907,Kínky,frostmane,194.0,190946.0,65.0,69.0,68.0,65.0,77.0,0.0,287.0,64.0,64.0,40.0,321.0,398.0,367.0,353.0,367.0,3.0,71.0,28.0,22.0,5.0,210.0,275.0,249.0,230.0,282.0,0.0,204.0,18.0,14.0,2.0,67.0,73.0,59.0,63.0,66.0,75.0,100.0,60.0,419.0,572.0,562.0,294.0,248.0,271.0,1.0,10.0,279.0,416.0,331.0,185.0,163.0,202.0,1.0,6.0,3375.0,100.0,20.0,4.0,1.0,5.0,135.0,1.0,1.0,,,
128816238,Meìlly,dalaran,31.0,2910.0,67.0,100.0,100.0,50.0,33.0,,0.0,,,,6.0,1.0,1.0,2.0,3.0,,2.0,,,,4.0,1.0,1.0,1.0,1.0,,0.0,,,,60.0,100.0,,100.0,100.0,0.0,,100.0,5.0,1.0,,1.0,2.0,2.0,,1.0,3.0,1.0,,1.0,2.0,0.0,,1.0,,100.0,,,9.0,,,9.0,,,,
