character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Arathi Basin Winter win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Arathi Basin Winter played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Arathi Basin Winter won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
95555033,Greedosan,twisting-nether,37.0,7541.0,64.0,73.0,57.0,73.0,55.0,40.0,71.0,75.0,78.0,67.0,45.0,100.0,100.0,20.0,0.0,75.0,0.0,53.0,11.0,7.0,11.0,11.0,25.0,14.0,12.0,9.0,6.0,11.0,1.0,6.0,5.0,2.0,4.0,3.0,34.0,8.0,4.0,8.0,6.0,10.0,10.0,9.0,7.0,4.0,5.0,1.0,6.0,1.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,
51689423,Élivrio,naxxramas,60.0,12136.0,56.0,59.0,17.0,47.0,46.0,25.0,38.0,56.0,31.0,69.0,33.0,,100.0,71.0,50.0,50.0,,16.0,22.0,12.0,19.0,13.0,8.0,13.0,9.0,13.0,16.0,9.0,,3.0,7.0,4.0,4.0,,9.0,13.0,2.0,9.0,6.0,2.0,5.0,5.0,4.0,11.0,3.0,,3.0,5.0,2.0,2.0,,50.0,100.0,83.0,2.0,1.0,6.0,1.0,1.0,5.0,,,,,,,,,
170229125,Элитныи,gordunni,53.0,24170.0,49.0,62.0,54.0,60.0,58.0,40.0,56.0,59.0,70.0,79.0,76.0,,100.0,0.0,,,,39.0,110.0,79.0,52.0,53.0,30.0,70.0,27.0,91.0,24.0,21.0,,1.0,2.0,,,,19.0,68.0,43.0,31.0,31.0,12.0,39.0,16.0,64.0,19.0,16.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
165797653,Päm,twisting-nether,43.0,2115.0,0.0,,,33.0,,,0.0,67.0,0.0,0.0,,,0.0,33.0,100.0,50.0,0.0,1.0,,,3.0,,,1.0,3.0,2.0,4.0,,,1.0,3.0,2.0,4.0,2.0,0.0,,,1.0,,,0.0,2.0,0.0,0.0,,,0.0,1.0,2.0,2.0,0.0,,,17.0,,,18.0,,,3.0,,,,,,,,,
91221822,Cemgiskan,illidan,41.0,3108.0,44.0,22.0,67.0,40.0,33.0,22.0,71.0,100.0,71.0,0.0,,100.0,0.0,0.0,0.0,0.0,100.0,18.0,9.0,3.0,5.0,9.0,9.0,7.0,1.0,7.0,1.0,,6.0,2.0,2.0,1.0,2.0,1.0,8.0,2.0,2.0,2.0,3.0,2.0,5.0,1.0,5.0,0.0,,6.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
140891853,Sêphïrøth,illidan,14.0,5932.0,50.0,100.0,,43.0,0.0,33.0,33.0,30.0,60.0,25.0,60.0,,50.0,50.0,40.0,75.0,0.0,8.0,1.0,,7.0,1.0,6.0,9.0,10.0,10.0,8.0,5.0,,12.0,6.0,5.0,8.0,1.0,4.0,1.0,,3.0,0.0,2.0,3.0,3.0,6.0,2.0,3.0,,6.0,3.0,2.0,6.0,0.0,,100.0,100.0,,3.0,6.0,,3.0,6.0,,,,,,,,,
173598076,Akaiinu,twisting-nether,18.0,1627.0,100.0,,,50.0,,33.0,75.0,50.0,0.0,100.0,,,50.0,100.0,100.0,0.0,0.0,1.0,,,2.0,,3.0,4.0,2.0,1.0,1.0,,,2.0,2.0,4.0,1.0,1.0,1.0,,,1.0,,1.0,3.0,1.0,0.0,1.0,,,1.0,2.0,4.0,0.0,0.0,,100.0,,,2.0,,,2.0,,,,,,,,,,
85396355,Tyranu,frostwolf,3.0,3749.0,46.0,17.0,60.0,100.0,86.0,17.0,50.0,33.0,70.0,50.0,44.0,100.0,,,100.0,,25.0,13.0,6.0,10.0,2.0,7.0,18.0,8.0,3.0,10.0,6.0,9.0,1.0,,,1.0,,4.0,6.0,1.0,6.0,2.0,6.0,3.0,4.0,1.0,7.0,3.0,4.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
174176320,Palpartout,dalaran,25.0,522.0,100.0,,,100.0,,0.0,0.0,,,100.0,,100.0,,100.0,,100.0,0.0,1.0,,,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,0.0,0.0,,,1.0,,1.0,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,
91397717,Kïrah,illidan,18.0,3627.0,75.0,60.0,14.0,56.0,100.0,0.0,29.0,60.0,25.0,43.0,44.0,,50.0,,,,,4.0,15.0,7.0,9.0,3.0,1.0,7.0,5.0,8.0,7.0,9.0,,2.0,,,,,3.0,9.0,1.0,5.0,3.0,0.0,2.0,3.0,2.0,3.0,4.0,,1.0,,,,,,,67.0,,,3.0,,,2.0,,,,,,,,,
82649630,Tesalion,blackhand,13.0,6050.0,15.0,57.0,50.0,23.0,40.0,14.0,46.0,69.0,29.0,31.0,29.0,100.0,33.0,50.0,,67.0,67.0,26.0,14.0,10.0,13.0,5.0,14.0,13.0,16.0,7.0,13.0,14.0,2.0,3.0,2.0,,3.0,3.0,4.0,8.0,5.0,3.0,2.0,2.0,6.0,11.0,2.0,4.0,4.0,2.0,1.0,1.0,,2.0,2.0,,,100.0,,,5.0,,,5.0,,,,,,,,,
34037255,Arthàas,naxxramas,14.0,9552.0,53.0,49.0,65.0,48.0,50.0,57.0,42.0,50.0,48.0,43.0,33.0,,52.0,23.0,29.0,50.0,36.0,19.0,43.0,17.0,25.0,8.0,7.0,24.0,18.0,27.0,28.0,6.0,,27.0,13.0,14.0,2.0,14.0,10.0,21.0,11.0,12.0,4.0,4.0,10.0,9.0,13.0,12.0,2.0,,14.0,3.0,4.0,1.0,5.0,,,,,,,,,,,,,,,,,,
175660087,Popsmoke,naxxramas,10.0,16126.0,46.0,59.0,52.0,64.0,36.0,52.0,38.0,45.0,48.0,45.0,50.0,33.0,80.0,100.0,100.0,,40.0,37.0,32.0,29.0,28.0,33.0,31.0,32.0,22.0,33.0,29.0,10.0,3.0,5.0,3.0,1.0,,5.0,17.0,19.0,15.0,18.0,12.0,16.0,12.0,10.0,16.0,13.0,5.0,1.0,4.0,3.0,1.0,,2.0,,,100.0,,,1.0,,,1.0,,,,,,,,,
91060995,Sileighty,illidan,37.0,29863.0,46.0,57.0,60.0,54.0,47.0,46.0,65.0,71.0,65.0,62.0,44.0,100.0,67.0,67.0,53.0,50.0,50.0,50.0,77.0,87.0,82.0,60.0,50.0,92.0,45.0,85.0,63.0,39.0,2.0,21.0,18.0,17.0,6.0,6.0,23.0,44.0,52.0,44.0,28.0,23.0,60.0,32.0,55.0,39.0,17.0,2.0,14.0,12.0,9.0,3.0,3.0,0.0,,0.0,1.0,,1.0,0.0,,0.0,800.0,3.0,24.0,,,,,,
226271489,Epithimia,sylvanas,12.0,16969.0,52.0,61.0,46.0,61.0,47.0,55.0,39.0,65.0,62.0,45.0,25.0,0.0,60.0,0.0,33.0,0.0,0.0,48.0,31.0,24.0,23.0,30.0,33.0,23.0,17.0,29.0,29.0,4.0,1.0,5.0,1.0,3.0,1.0,1.0,25.0,19.0,11.0,14.0,14.0,18.0,9.0,11.0,18.0,13.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
162758759,Понидоктор,howling-fjord,27.0,496.0,,,,100.0,,,33.0,,100.0,0.0,,0.0,50.0,100.0,,,50.0,,,,1.0,,,3.0,,1.0,3.0,,1.0,2.0,1.0,,,2.0,,,,1.0,,,1.0,,1.0,0.0,,0.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
141975019,Agamenón,sanguino,53.0,182.0,,50.0,50.0,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163846729,Ithuriel,illidan,14.0,962.0,67.0,,,100.0,,0.0,50.0,100.0,0.0,33.0,,,100.0,50.0,,100.0,57.0,6.0,,,3.0,,2.0,2.0,1.0,1.0,3.0,,,2.0,4.0,,1.0,7.0,4.0,,,3.0,,0.0,1.0,1.0,0.0,1.0,,,2.0,2.0,,1.0,4.0,,,,,,,,,,,,,,,,,,
91417893,Cynnos,illidan,9.0,9064.0,33.0,36.0,48.0,39.0,42.0,20.0,33.0,32.0,33.0,33.0,50.0,,,,33.0,,100.0,15.0,25.0,27.0,46.0,33.0,25.0,6.0,19.0,18.0,21.0,4.0,,,,3.0,,1.0,5.0,9.0,13.0,18.0,14.0,5.0,2.0,6.0,6.0,7.0,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
119268203,Deicide,guldan,61.0,2492.0,,25.0,0.0,50.0,0.0,0.0,100.0,38.0,33.0,14.0,50.0,,100.0,0.0,,,,,4.0,3.0,2.0,1.0,1.0,2.0,8.0,3.0,7.0,4.0,,1.0,1.0,,,,,1.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,,1.0,0.0,,,,,100.0,,,1.0,,,1.0,,,,,,,,,,
