character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Southshore vs. Tarren Mill win_rate,Cooking: Impossible win_rate,Southshore vs. Tarren Mill played,Cooking: Impossible played,Southshore vs. Tarren Mill won,Cooking: Impossible won
195177961,Anthonel,nemesis,65.0,41330.0,42.0,50.0,53.0,60.0,58.0,36.0,57.0,65.0,59.0,54.0,50.0,100.0,60.0,60.0,67.0,75.0,74.0,100.0,75.0,50.0,91.0,44.0,30.0,63.0,24.0,87.0,46.0,46.0,34.0,52.0,34.0,2.0,15.0,25.0,39.0,20.0,27.0,18.0,4.0,6.0,38.0,22.0,16.0,38.0,14.0,31.0,26.0,30.0,20.0,28.0,17.0,2.0,9.0,15.0,26.0,15.0,20.0,18.0,3.0,3.0,,,,,,,,,
78769113,Экзекуторс,howling-fjord,47.0,31676.0,41.0,36.0,41.0,53.0,50.0,32.0,46.0,60.0,40.0,48.0,10.0,80.0,,20.0,67.0,100.0,50.0,,,33.0,81.0,95.0,70.0,81.0,68.0,81.0,65.0,30.0,62.0,66.0,10.0,5.0,,5.0,3.0,3.0,6.0,,,3.0,33.0,34.0,29.0,43.0,34.0,26.0,30.0,18.0,25.0,32.0,1.0,4.0,,1.0,2.0,3.0,3.0,,,1.0,2200.0,1.0,22.0,,,,,,
165259343,Rockyouu,blackrock,32.0,160.0,,,,0.0,,,0.0,0.0,100.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
151740789,Аббигайль,howling-fjord,58.0,14103.0,43.0,89.0,100.0,74.0,0.0,33.0,64.0,65.0,64.0,63.0,71.0,,100.0,69.0,67.0,60.0,100.0,,50.0,73.0,7.0,9.0,3.0,19.0,1.0,3.0,36.0,31.0,33.0,35.0,21.0,,3.0,32.0,21.0,30.0,3.0,,2.0,11.0,3.0,8.0,3.0,14.0,0.0,1.0,23.0,20.0,21.0,22.0,15.0,,3.0,22.0,14.0,18.0,3.0,,1.0,8.0,,,,,,,,,
162758759,Понидоктор,howling-fjord,27.0,496.0,,,,100.0,,,33.0,,100.0,0.0,,0.0,,50.0,100.0,,,,,50.0,,,,1.0,,,3.0,,1.0,3.0,,1.0,,2.0,1.0,,,,,2.0,,,,1.0,,,1.0,,1.0,0.0,,0.0,,1.0,1.0,,,,,1.0,,,,,,,,,
59088983,Любаня,ashenvale,9.0,38603.0,51.0,61.0,59.0,63.0,51.0,40.0,50.0,69.0,74.0,61.0,67.0,0.0,80.0,100.0,80.0,100.0,50.0,100.0,,75.0,87.0,180.0,137.0,107.0,107.0,47.0,34.0,13.0,23.0,18.0,3.0,2.0,5.0,1.0,5.0,5.0,2.0,1.0,,4.0,44.0,110.0,81.0,67.0,55.0,19.0,17.0,9.0,17.0,11.0,2.0,0.0,4.0,1.0,4.0,5.0,1.0,1.0,,3.0,,,,,,,,,
76528323,Неош,ashenvale,5.0,3253.0,100.0,69.0,71.0,57.0,75.0,0.0,100.0,,57.0,,,,,,,,,,,,3.0,13.0,7.0,7.0,4.0,1.0,2.0,,7.0,,,,,,,,,,,,3.0,9.0,5.0,4.0,3.0,0.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,
169471389,Lílium,tarren-mill,13.0,20502.0,55.0,51.0,58.0,38.0,50.0,60.0,50.0,90.0,65.0,67.0,44.0,100.0,,,0.0,67.0,100.0,,,67.0,99.0,98.0,59.0,56.0,58.0,45.0,20.0,10.0,17.0,6.0,9.0,1.0,,,1.0,3.0,2.0,,,3.0,54.0,50.0,34.0,21.0,29.0,27.0,10.0,9.0,11.0,4.0,4.0,1.0,,,0.0,2.0,2.0,,,2.0,,,,,,,,,
196175533,Бихэпи,soulflayer,174.0,80871.0,66.0,61.0,65.0,71.0,52.0,50.0,66.0,66.0,63.0,58.0,67.0,80.0,33.0,67.0,72.0,61.0,57.0,100.0,75.0,56.0,112.0,186.0,75.0,107.0,42.0,111.0,177.0,202.0,171.0,163.0,162.0,5.0,3.0,90.0,61.0,46.0,46.0,24.0,4.0,52.0,74.0,114.0,49.0,76.0,22.0,55.0,116.0,134.0,107.0,94.0,108.0,4.0,1.0,60.0,44.0,28.0,26.0,24.0,3.0,29.0,,,,,,,,,
185742940,Аисандра,soulflayer,38.0,1362.0,0.0,,,0.0,,100.0,100.0,100.0,40.0,0.0,100.0,,100.0,33.0,,100.0,0.0,,,,1.0,,,1.0,,2.0,2.0,3.0,5.0,1.0,1.0,,1.0,3.0,,1.0,1.0,,,,0.0,,,0.0,,2.0,2.0,3.0,2.0,0.0,1.0,,1.0,1.0,,1.0,0.0,,,,,,,,,,,,
