character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Ashran played,Arathi Basin Winter played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Ashran won,Arathi Basin Winter won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
162957640,Calamitas,azshara,21.0,2006.0,0.0,0.0,0.0,57.0,67.0,62.0,33.0,56.0,0.0,43.0,40.0,56.0,0.0,50.0,2.0,1.0,1.0,14.0,6.0,8.0,6.0,9.0,1.0,7.0,10.0,9.0,2.0,6.0,0.0,0.0,0.0,8.0,4.0,5.0,2.0,5.0,0.0,3.0,4.0,5.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
163132153,Läuft,kragjin,206.0,56138.0,59.0,58.0,68.0,66.0,66.0,71.0,920.0,68.0,67.0,64.0,76.0,68.0,,77.0,70.0,130.0,80.0,105.0,115.0,106.0,5.0,92.0,48.0,33.0,34.0,25.0,,30.0,41.0,75.0,54.0,69.0,76.0,75.0,46.0,63.0,32.0,21.0,26.0,17.0,,23.0,70.0,49.0,65.0,100.0,44.0,100.0,0.0,213.0,160.0,86.0,1.0,9.0,13.0,5.0,150.0,78.0,56.0,1.0,4.0,13.0,0.0,,,,,,
126725985,Borimir,agamaggan,41.0,1771.0,40.0,0.0,100.0,40.0,50.0,0.0,,50.0,100.0,0.0,,0.0,50.0,0.0,5.0,2.0,4.0,5.0,6.0,2.0,,2.0,1.0,2.0,,4.0,2.0,1.0,2.0,0.0,4.0,2.0,3.0,0.0,,1.0,1.0,0.0,,0.0,1.0,0.0,100.0,0.0,0.0,,,100.0,,1.0,2.0,2.0,,,44.0,,1.0,0.0,0.0,,,44.0,,,,,,,
117678468,Nozarash,twisting-nether,11.0,15287.0,24.0,33.0,14.0,45.0,62.0,60.0,,78.0,20.0,,0.0,,,,25.0,6.0,22.0,11.0,13.0,10.0,,9.0,10.0,,1.0,,,,6.0,2.0,3.0,5.0,8.0,6.0,,7.0,2.0,,0.0,,,,55.0,36.0,50.0,,,,,11.0,11.0,8.0,,,,,6.0,4.0,4.0,,,,,,,,,,
95484374,Dpms,twisting-nether,110.0,92301.0,49.0,53.0,47.0,55.0,70.0,54.0,,60.0,69.0,80.0,70.0,60.0,100.0,75.0,134.0,281.0,116.0,225.0,138.0,236.0,,176.0,118.0,5.0,10.0,5.0,2.0,8.0,66.0,148.0,55.0,123.0,97.0,128.0,,106.0,81.0,4.0,7.0,3.0,2.0,6.0,57.0,58.0,52.0,50.0,100.0,,,306.0,292.0,286.0,4.0,1.0,,,175.0,168.0,149.0,2.0,1.0,,,,,,,,
161484022,Kurczaka,azshara,6.0,19177.0,82.0,73.0,38.0,40.0,50.0,,,,,0.0,,,20.0,,17.0,15.0,8.0,5.0,2.0,,,,,1.0,,,5.0,,14.0,11.0,3.0,2.0,1.0,,,,,0.0,,,1.0,,64.0,50.0,57.0,50.0,,,,11.0,14.0,14.0,4.0,,,,7.0,7.0,8.0,2.0,,,,,,,,,
100462881,Gibari,eredar,239.0,46771.0,72.0,67.0,66.0,65.0,49.0,73.0,1650.0,79.0,56.0,75.0,50.0,38.0,67.0,50.0,43.0,49.0,41.0,37.0,35.0,45.0,2.0,43.0,9.0,12.0,6.0,8.0,9.0,8.0,31.0,33.0,27.0,24.0,17.0,33.0,33.0,34.0,5.0,9.0,3.0,3.0,6.0,4.0,71.0,68.0,60.0,80.0,,100.0,,42.0,38.0,20.0,5.0,,44.0,,30.0,26.0,12.0,4.0,,44.0,,,,,,,
99486244,Shamonie,draenor,18.0,33.0,,,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161891340,Palimba,azshara,46.0,7933.0,40.0,17.0,60.0,40.0,58.0,54.0,50.0,42.0,80.0,94.0,63.0,54.0,50.0,43.0,10.0,6.0,10.0,15.0,12.0,13.0,2.0,24.0,5.0,16.0,30.0,13.0,4.0,7.0,4.0,1.0,6.0,6.0,7.0,7.0,1.0,10.0,4.0,15.0,19.0,7.0,2.0,3.0,100.0,50.0,0.0,100.0,67.0,100.0,50.0,3.0,2.0,4.0,7.0,3.0,47.0,4.0,3.0,1.0,0.0,7.0,2.0,47.0,2.0,0.0,1.0,0.0,,,
124508002,Themis,les-sentinelles,13.0,1346.0,50.0,,25.0,100.0,0.0,0.0,,0.0,0.0,75.0,0.0,0.0,50.0,,2.0,,4.0,2.0,2.0,2.0,,1.0,2.0,4.0,1.0,1.0,4.0,,1.0,,1.0,2.0,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,2.0,,,,,0.0,,,,,,,1.0,,,,,,,0.0,,,,,,,,,
145355935,Нурфанон,gordunni,4.0,726.0,,67.0,0.0,100.0,,0.0,,40.0,0.0,0.0,100.0,,,100.0,,3.0,1.0,2.0,,2.0,,5.0,1.0,1.0,1.0,,,1.0,,2.0,0.0,2.0,,0.0,,2.0,0.0,0.0,1.0,,,1.0,,,,0.0,,,,,,,1.0,,,,,,,0.0,,,,,,,,,
162775094,Snude,azshara,13.0,34650.0,49.0,54.0,38.0,27.0,50.0,50.0,,54.0,33.0,60.0,0.0,100.0,67.0,100.0,71.0,101.0,40.0,11.0,10.0,6.0,,13.0,6.0,5.0,2.0,2.0,3.0,1.0,35.0,55.0,15.0,3.0,5.0,3.0,,7.0,2.0,3.0,0.0,2.0,2.0,1.0,56.0,64.0,50.0,,,100.0,,106.0,87.0,109.0,,,1.0,,59.0,56.0,54.0,,,1.0,,,,,,,
164525223,Gìngerturtle,blackmoore,23.0,202.0,,,,0.0,,0.0,,0.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165427440,Lithî,azshara,6.0,114.0,,,,,,100.0,,,,,0.0,100.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,0.0,1.0,,,,,,100.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,
78845600,Ruael,das-syndikat,30.0,40083.0,74.0,51.0,59.0,47.0,12.0,23.0,,53.0,46.0,,100.0,,,0.0,273.0,59.0,58.0,17.0,8.0,22.0,,34.0,26.0,,1.0,,,1.0,201.0,30.0,34.0,8.0,1.0,5.0,,18.0,12.0,,1.0,,,0.0,44.0,54.0,44.0,,,,27.0,52.0,56.0,70.0,,,,15.0,23.0,30.0,31.0,,,,4.0,,,,,,
86944878,Silency,stormreaver,45.0,6003.0,32.0,74.0,33.0,60.0,33.0,50.0,,40.0,,,50.0,33.0,45.0,75.0,25.0,19.0,6.0,5.0,9.0,8.0,,10.0,,,4.0,6.0,11.0,4.0,8.0,14.0,2.0,3.0,3.0,4.0,,4.0,,,2.0,2.0,5.0,3.0,60.0,33.0,60.0,,,,,5.0,18.0,5.0,,,,,3.0,6.0,3.0,,,,,,,,,,
161885931,Hellsaw,azshara,18.0,10196.0,,0.0,,0.0,33.0,50.0,,50.0,100.0,,,,,,,1.0,,1.0,3.0,4.0,,2.0,1.0,,,,,,,0.0,,0.0,1.0,2.0,,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,1.0,5.0,2.0,,,,,0.0,0.0,0.0,,,,,,,,,,
163136776,Laerin,azshara,114.0,14375.0,50.0,40.0,72.0,54.0,52.0,61.0,,57.0,0.0,,50.0,,58.0,,22.0,5.0,39.0,13.0,21.0,23.0,,7.0,2.0,,2.0,,33.0,,11.0,2.0,28.0,7.0,11.0,14.0,,4.0,0.0,,1.0,,19.0,,,40.0,,,100.0,,67.0,,5.0,,,1.0,,6.0,,2.0,,,1.0,,4.0,,,,,,
164846369,Klexe,blackrock,12.0,4952.0,75.0,60.0,33.0,50.0,50.0,67.0,0.0,73.0,,60.0,44.0,50.0,50.0,31.0,8.0,5.0,3.0,8.0,6.0,3.0,1.0,11.0,,5.0,9.0,8.0,6.0,13.0,6.0,3.0,1.0,4.0,3.0,2.0,0.0,8.0,,3.0,4.0,4.0,3.0,4.0,,,,57.0,,,83.0,,,,14.0,,,6.0,,,,8.0,,,5.0,,,,,,
162926974,Luchinhaert,azshara,2.0,229.0,,,0.0,,,,100.0,0.0,0.0,,,0.0,,0.0,,,1.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,,0.0,,,,1.0,0.0,0.0,,,0.0,,0.0,,100.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,
193066606,Zarik,hyjal,14.0,422.0,,,,,100.0,100.0,,100.0,,50.0,,67.0,,100.0,,,,,1.0,2.0,,1.0,,2.0,,3.0,,1.0,,,,,1.0,2.0,,1.0,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
135618512,Maldrock,blackrock,23.0,182.0,100.0,,33.0,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175999956,Koszies,twisting-nether,17.0,4594.0,78.0,75.0,43.0,55.0,58.0,82.0,,43.0,43.0,75.0,0.0,100.0,80.0,100.0,9.0,8.0,7.0,11.0,12.0,11.0,,14.0,7.0,4.0,1.0,3.0,5.0,2.0,7.0,6.0,3.0,6.0,7.0,9.0,,6.0,3.0,3.0,0.0,3.0,4.0,2.0,38.0,50.0,100.0,67.0,100.0,100.0,,8.0,6.0,3.0,3.0,2.0,3.0,,3.0,3.0,3.0,2.0,2.0,3.0,,,,,,,
159709105,Numenor,lothar,6.0,758.0,,,100.0,,,,,0.0,,,,,50.0,100.0,,,2.0,,,,,1.0,,,,,2.0,3.0,,,2.0,,,,,0.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
153395344,Isolith,malganis,31.0,7859.0,0.0,56.0,33.0,36.0,48.0,54.0,,48.0,50.0,,,,,,2.0,27.0,12.0,33.0,44.0,28.0,,27.0,20.0,,,,,,0.0,15.0,4.0,12.0,21.0,15.0,,13.0,10.0,,,,,,45.0,54.0,62.0,,,,,29.0,28.0,21.0,,,,,13.0,15.0,13.0,,,,,,,,,,
120278986,Muuhhskete,norgannon,3.0,617.0,,100.0,0.0,0.0,100.0,100.0,,0.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,0.0,0.0,1.0,1.0,,0.0,,,,,,,50.0,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,
148268233,Dunkelzerg,blackmoore,81.0,342.0,,0.0,,67.0,,0.0,0.0,,,100.0,,,0.0,0.0,,2.0,,3.0,,1.0,1.0,,,2.0,,,1.0,1.0,,0.0,,2.0,,0.0,0.0,,,2.0,,,0.0,0.0,,,,0.0,,,,,,,1.0,,,,,,,0.0,,,,,,,,,
176201206,Nakkimon,bronze-dragonflight,19.0,7297.0,72.0,33.0,36.0,27.0,58.0,60.0,38.0,50.0,,73.0,42.0,46.0,62.0,60.0,18.0,3.0,25.0,11.0,12.0,15.0,8.0,16.0,,11.0,12.0,13.0,13.0,15.0,13.0,1.0,9.0,3.0,7.0,9.0,3.0,8.0,,8.0,5.0,6.0,8.0,9.0,,,,52.0,50.0,,75.0,,,,27.0,2.0,,4.0,,,,14.0,1.0,,3.0,,,,,,
157932010,Ráilow,thrall,18.0,23415.0,38.0,58.0,42.0,57.0,78.0,50.0,2100.0,62.0,86.0,67.0,67.0,25.0,57.0,71.0,52.0,38.0,45.0,21.0,9.0,16.0,1.0,13.0,7.0,6.0,3.0,4.0,14.0,7.0,20.0,22.0,19.0,12.0,7.0,8.0,21.0,8.0,6.0,4.0,2.0,1.0,8.0,5.0,54.0,64.0,53.0,,100.0,,100.0,65.0,69.0,55.0,,1.0,,5.0,35.0,44.0,29.0,,1.0,,5.0,,,,,,
94017367,Parisha,frostwolf,23.0,3125.0,33.0,50.0,60.0,67.0,100.0,50.0,,,0.0,50.0,,,100.0,,3.0,2.0,5.0,3.0,1.0,2.0,,,1.0,2.0,,,2.0,,1.0,1.0,3.0,2.0,1.0,1.0,,,0.0,1.0,,,2.0,,100.0,,100.0,,,,100.0,1.0,,1.0,,,,1.0,1.0,,1.0,,,,1.0,,,,,,
155140521,Solai,eredar,2.0,354.0,50.0,,0.0,,100.0,,,0.0,,0.0,33.0,100.0,,67.0,2.0,,1.0,,1.0,,,1.0,,1.0,3.0,1.0,,3.0,1.0,,0.0,,1.0,,,0.0,,0.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
164453772,Ùsila,lothar,5.0,206.0,,100.0,100.0,,,100.0,,0.0,,,,,,0.0,,1.0,1.0,,,1.0,,1.0,,,,,,1.0,,1.0,1.0,,,1.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
